epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3292,4.45932,7.90457,5.25723,0,0,0,0,5.94098,7.38254,4.13928,0.0707895,0.00324561,0.00324561
2,31.2305,2.93193,3.45015,3.28705,0,0,0,0,5.93868,6.78052,4.15829,0.0407352,0.00652467,0.00652467
3,45.3734,2.5369,3.07336,2.65342,0,0,0,0,5.92507,6.37984,4.16739,0.0106259,0.00974873,0.00974873
4,59.7926,2.46882,2.26463,2.50493,0.00163,0.075,0.02509,0.00515,4.30886,4.17878,3.08888,0.0097525,0.0097525,0.0097525
5,73.547,2.09904,1.5756,2.16586,0.77661,0.37125,0.29275,0.0907,2.48589,1.69587,2.86496,0.00967,0.00967,0.00967
6,87.313,1.86003,1.20684,1.91813,0.471,0.50465,0.46152,0.17983,2.15173,2.06455,2.36358,0.0095875,0.0095875,0.0095875
7,101.167,1.65516,1.04555,1.70311,0.52227,0.5349,0.50623,0.22723,1.92026,1.26972,2.03837,0.009505,0.009505,0.009505
8,115.052,1.49124,0.8831,1.5364,0.58998,0.54781,0.55712,0.3088,1.62613,1.479,1.71257,0.0094225,0.0094225,0.0094225
9,129.049,1.37647,0.81716,1.41716,0.63321,0.56557,0.56598,0.30447,1.5238,1.5391,1.61783,0.00934,0.00934,0.00934
10,142.946,1.33016,0.78594,1.34466,0.64366,0.56473,0.577,0.25551,1.70987,1.12021,1.58174,0.0092575,0.0092575,0.0092575
11,156.867,1.27308,0.74103,1.2891,0.60289,0.6035,0.59402,0.30884,1.53926,0.82025,1.4935,0.009175,0.009175,0.009175
12,170.872,1.22278,0.69839,1.22097,0.67544,0.63167,0.61232,0.33597,1.34593,0.84485,1.40746,0.0090925,0.0090925,0.0090925
13,185.751,1.1879,0.6955,1.18407,0.62649,0.6959,0.63205,0.33105,1.44683,0.79736,1.42979,0.00901,0.00901,0.00901
14,199.754,1.13805,0.65351,1.14882,0.59965,0.65198,0.61757,0.26296,1.81904,1.05769,1.69521,0.0089275,0.0089275,0.0089275
15,213.551,1.10759,0.62774,1.12772,0.66828,0.66794,0.68304,0.3867,1.30066,0.77528,1.33169,0.008845,0.008845,0.008845
16,227.418,1.06826,0.6074,1.10284,0.73273,0.66215,0.67478,0.3509,1.44863,0.86902,1.44587,0.0087625,0.0087625,0.0087625
17,240.99,1.04843,0.59018,1.08115,0.70599,0.66315,0.6728,0.38241,1.39241,0.7743,1.35181,0.00868,0.00868,0.00868
18,254.552,1.0294,0.56705,1.05174,0.67867,0.70134,0.67534,0.36289,1.37447,0.78523,1.37033,0.0085975,0.0085975,0.0085975
19,268.113,1.00136,0.57189,1.04232,0.70256,0.68277,0.67642,0.39756,1.23995,0.73518,1.27467,0.008515,0.008515,0.008515
20,281.783,0.99447,0.55663,1.02911,0.661,0.61545,0.64791,0.32964,1.65772,0.90482,1.52115,0.0084325,0.0084325,0.0084325
21,295.321,0.95083,0.53782,1.00571,0.72542,0.66101,0.692,0.37563,1.36523,0.78599,1.37274,0.00835,0.00835,0.00835
22,308.821,0.94514,0.53478,0.9942,0.54826,0.56004,0.57127,0.20353,2.50986,1.67662,2.26754,0.0082675,0.0082675,0.0082675
23,322.439,0.92749,0.52321,0.98443,0.76134,0.65399,0.70282,0.40047,1.28361,0.72461,1.33568,0.008185,0.008185,0.008185
24,336.328,0.90366,0.51209,0.96899,0.70169,0.68682,0.72824,0.39016,1.38332,0.76756,1.4396,0.0081025,0.0081025,0.0081025
25,350.188,0.87774,0.50213,0.95753,0.69546,0.72907,0.70042,0.39938,1.30965,0.73024,1.34918,0.00802,0.00802,0.00802
26,363.714,0.86417,0.49378,0.94522,0.545,0.44644,0.4764,0.18415,2.57484,1.9798,2.33911,0.0079375,0.0079375,0.0079375
27,377.401,0.84379,0.49276,0.93401,0.72048,0.66978,0.70464,0.40815,1.31678,0.76744,1.36512,0.007855,0.007855,0.007855
28,391.126,0.85576,0.4874,0.93322,0.76012,0.69215,0.74359,0.41871,1.2845,0.72926,1.39357,0.0077725,0.0077725,0.0077725
29,404.952,0.83923,0.47489,0.92819,0.72925,0.71113,0.73309,0.40191,1.36609,0.77696,1.42067,0.00769,0.00769,0.00769
30,418.394,0.82128,0.47793,0.91128,0.66,0.66317,0.68807,0.37721,1.41826,0.83024,1.4605,0.0076075,0.0076075,0.0076075
31,432.099,0.80004,0.46755,0.90536,0.73365,0.68342,0.69623,0.37029,1.5076,0.88993,1.46999,0.007525,0.007525,0.007525
32,445.583,0.7883,0.45521,0.89721,0.69385,0.69694,0.69998,0.40635,1.2397,0.70445,1.3223,0.0074425,0.0074425,0.0074425
33,458.963,0.76369,0.44567,0.89157,0.64698,0.55943,0.61311,0.26083,2.22944,1.40872,2.05051,0.00736,0.00736,0.00736
34,472.45,0.75975,0.44498,0.89191,0.60408,0.64688,0.62709,0.2932,2.03443,1.2967,1.68222,0.0072775,0.0072775,0.0072775
35,485.945,0.7468,0.43851,0.87996,0.74529,0.72407,0.71494,0.41422,1.26846,0.71445,1.401,0.007195,0.007195,0.007195
36,499.501,0.73601,0.43306,0.87229,0.67225,0.64694,0.67323,0.37214,1.54528,0.98245,1.5014,0.0071125,0.0071125,0.0071125
37,513.123,0.71171,0.42542,0.8652,0.69355,0.71984,0.71463,0.38961,1.42082,0.7959,1.52733,0.00703,0.00703,0.00703
38,526.842,0.69838,0.41219,0.85725,0.7943,0.72198,0.74611,0.42658,1.29415,0.71026,1.36246,0.0069475,0.0069475,0.0069475
39,540.55,0.68637,0.41025,0.85126,0.74062,0.71363,0.71996,0.42102,1.20542,0.6727,1.30966,0.006865,0.006865,0.006865
40,554.138,0.67466,0.40986,0.85265,0.7707,0.69472,0.72784,0.41131,1.29882,0.74413,1.43226,0.0067825,0.0067825,0.0067825
41,567.698,0.67611,0.40305,0.84813,0.78777,0.71169,0.73114,0.43318,1.19442,0.65102,1.30389,0.0067,0.0067,0.0067
42,581.319,0.65879,0.3968,0.84544,0.73254,0.72677,0.73027,0.41921,1.23468,0.69647,1.38594,0.0066175,0.0066175,0.0066175
43,594.945,0.64812,0.3978,0.84214,0.73567,0.71468,0.71075,0.41664,1.25496,0.69787,1.41303,0.006535,0.006535,0.006535
44,608.339,0.62448,0.38174,0.83341,0.70804,0.66131,0.66899,0.37172,1.46888,0.85037,1.47884,0.0064525,0.0064525,0.0064525
45,621.823,0.62607,0.38507,0.82996,0.73608,0.71781,0.71745,0.4199,1.22589,0.68355,1.40545,0.00637,0.00637,0.00637
46,635.368,0.61815,0.37386,0.83106,0.7999,0.73241,0.74333,0.43006,1.21747,0.69424,1.33054,0.0062875,0.0062875,0.0062875
47,649.007,0.60862,0.37269,0.82632,0.66256,0.53552,0.62121,0.26937,2.18485,1.60124,1.89737,0.006205,0.006205,0.006205
48,662.708,0.59829,0.37419,0.82552,0.73667,0.73434,0.72843,0.42805,1.2275,0.66212,1.3338,0.0061225,0.0061225,0.0061225
49,676.343,0.59217,0.37173,0.82143,0.70887,0.7368,0.7223,0.42057,1.24301,0.72995,1.3826,0.00604,0.00604,0.00604
50,689.825,0.57933,0.36176,0.81571,0.77449,0.73247,0.74214,0.42908,1.27485,0.69696,1.38637,0.0059575,0.0059575,0.0059575
51,703.189,0.57063,0.35974,0.81282,0.70276,0.70656,0.69153,0.38545,1.42423,0.8444,1.461,0.005875,0.005875,0.005875
52,716.598,0.55855,0.35171,0.80954,0.79044,0.70297,0.74561,0.43471,1.25525,0.68325,1.38848,0.0057925,0.0057925,0.0057925
53,730.021,0.55888,0.35324,0.80874,0.74843,0.71677,0.72233,0.42568,1.20774,0.69891,1.39206,0.00571,0.00571,0.00571
54,743.501,0.54206,0.3417,0.80575,0.80509,0.70946,0.76642,0.4319,1.2234,0.65993,1.34807,0.0056275,0.0056275,0.0056275
55,757.063,0.53662,0.34028,0.8045,0.71811,0.74933,0.74033,0.4366,1.2048,0.68561,1.35396,0.005545,0.005545,0.005545
56,770.599,0.52392,0.3352,0.80222,0.80705,0.70113,0.74014,0.44131,1.20397,0.6855,1.35361,0.0054625,0.0054625,0.0054625
57,784.36,0.51463,0.33213,0.79802,0.71928,0.73528,0.72605,0.43637,1.20168,0.68469,1.39798,0.00538,0.00538,0.00538
58,798.121,0.5064,0.32483,0.79503,0.80306,0.75119,0.76491,0.43672,1.27011,0.69989,1.37299,0.0052975,0.0052975,0.0052975
59,811.596,0.49945,0.32712,0.79748,0.789,0.66926,0.71311,0.40109,1.36304,0.78308,1.42291,0.005215,0.005215,0.005215
60,825.183,0.50125,0.32767,0.79375,0.74287,0.75369,0.74655,0.42976,1.20572,0.68015,1.32969,0.0051325,0.0051325,0.0051325
61,838.696,0.49306,0.31591,0.79347,0.7557,0.68872,0.7162,0.41794,1.26072,0.72994,1.4045,0.00505,0.00505,0.00505
62,852.071,0.48782,0.31554,0.79076,0.79723,0.70843,0.7419,0.45279,1.18743,0.67698,1.34435,0.0049675,0.0049675,0.0049675
63,865.939,0.47415,0.30967,0.79027,0.73891,0.72302,0.73679,0.44034,1.2047,0.67047,1.33406,0.004885,0.004885,0.004885
64,879.424,0.46952,0.30773,0.78686,0.80361,0.68258,0.71749,0.4247,1.27923,0.70983,1.39558,0.0048025,0.0048025,0.0048025
65,892.79,0.46507,0.30523,0.78443,0.77012,0.72407,0.73547,0.42728,1.24304,0.7009,1.3721,0.00472,0.00472,0.00472
66,906.446,0.45612,0.30036,0.78602,0.74304,0.72637,0.72603,0.41986,1.24645,0.71539,1.38742,0.0046375,0.0046375,0.0046375
67,919.883,0.44857,0.29701,0.78135,0.80577,0.71698,0.75139,0.44882,1.19861,0.67256,1.32096,0.004555,0.004555,0.004555
68,933.342,0.45969,0.29798,0.78225,0.78367,0.74055,0.76938,0.44502,1.1934,0.69592,1.3705,0.0044725,0.0044725,0.0044725
69,946.759,0.44057,0.29038,0.78161,0.78248,0.71218,0.76446,0.44185,1.20626,0.67674,1.33519,0.00439,0.00439,0.00439
70,960.035,0.43343,0.28738,0.77994,0.76677,0.74285,0.75376,0.44574,1.16719,0.65206,1.30894,0.0043075,0.0043075,0.0043075
71,974.096,0.42831,0.28293,0.77804,0.7847,0.72835,0.76943,0.45795,1.16985,0.63947,1.30796,0.004225,0.004225,0.004225
72,988.25,0.41777,0.27707,0.77593,0.80433,0.73206,0.77421,0.44117,1.23122,0.65959,1.35898,0.0041425,0.0041425,0.0041425
73,1002.28,0.41837,0.27779,0.77503,0.82345,0.6932,0.76211,0.44221,1.21351,0.66219,1.37536,0.00406,0.00406,0.00406
74,1015.92,0.40958,0.27736,0.77262,0.7835,0.72302,0.75683,0.44498,1.19882,0.68083,1.3505,0.0039775,0.0039775,0.0039775
75,1029.72,0.39858,0.27161,0.77226,0.75763,0.72866,0.75451,0.44728,1.2027,0.68986,1.37714,0.003895,0.003895,0.003895
76,1043.19,0.39093,0.26567,0.77107,0.76814,0.74471,0.7579,0.45182,1.18803,0.65765,1.33215,0.0038125,0.0038125,0.0038125
77,1056.88,0.38346,0.2645,0.77001,0.78013,0.737,0.75382,0.44842,1.18864,0.67353,1.30179,0.00373,0.00373,0.00373
78,1070.46,0.37876,0.25632,0.76939,0.78866,0.70257,0.7482,0.42248,1.31822,0.76386,1.44753,0.0036475,0.0036475,0.0036475
79,1083.99,0.37443,0.25283,0.76717,0.80278,0.72991,0.77113,0.43276,1.25115,0.72055,1.40672,0.003565,0.003565,0.003565
80,1097.83,0.37328,0.2548,0.76741,0.76917,0.75239,0.76757,0.43945,1.24466,0.73623,1.39154,0.0034825,0.0034825,0.0034825
81,1111.53,0.37125,0.25152,0.76658,0.83046,0.70439,0.76047,0.44771,1.21898,0.66972,1.36519,0.0034,0.0034,0.0034
82,1125.04,0.36204,0.24854,0.76443,0.79134,0.73825,0.78942,0.45613,1.19408,0.65337,1.36141,0.0033175,0.0033175,0.0033175
83,1138.9,0.35982,0.24653,0.76572,0.77648,0.7418,0.77014,0.44635,1.20756,0.69095,1.38184,0.003235,0.003235,0.003235
84,1152.44,0.34633,0.24308,0.7639,0.75318,0.7441,0.76219,0.44514,1.21438,0.68845,1.37946,0.0031525,0.0031525,0.0031525
85,1165.93,0.34519,0.23876,0.76231,0.75218,0.73998,0.76228,0.45875,1.18319,0.67051,1.33851,0.00307,0.00307,0.00307
86,1179.46,0.34086,0.23619,0.76097,0.81047,0.72137,0.77571,0.4559,1.20266,0.67485,1.36231,0.0029875,0.0029875,0.0029875
87,1192.99,0.3293,0.23087,0.75954,0.77278,0.72387,0.77337,0.45285,1.21278,0.69817,1.37592,0.002905,0.002905,0.002905
88,1207.01,0.32962,0.23088,0.76081,0.78485,0.77371,0.78588,0.45589,1.20493,0.65582,1.35363,0.0028225,0.0028225,0.0028225
89,1220.79,0.32212,0.22668,0.75808,0.79964,0.73346,0.77504,0.45455,1.20232,0.68418,1.35542,0.00274,0.00274,0.00274
90,1234.6,0.3202,0.22798,0.75865,0.8218,0.7441,0.77485,0.45685,1.17834,0.66569,1.34553,0.0026575,0.0026575,0.0026575
91,1248.36,0.31344,0.22066,0.7572,0.79987,0.74639,0.77068,0.4424,1.21182,0.69623,1.37174,0.002575,0.002575,0.002575
92,1262,0.30798,0.21985,0.75604,0.81155,0.71552,0.76364,0.46033,1.19349,0.6963,1.36666,0.0024925,0.0024925,0.0024925
93,1275.7,0.29867,0.2161,0.75642,0.85773,0.70255,0.773,0.45454,1.19651,0.68102,1.36856,0.00241,0.00241,0.00241
94,1289.78,0.29752,0.21289,0.75566,0.78109,0.73805,0.76415,0.45173,1.21414,0.70423,1.38647,0.0023275,0.0023275,0.0023275
95,1303.55,0.28971,0.21004,0.7555,0.80317,0.73509,0.77337,0.45897,1.18858,0.69054,1.37442,0.002245,0.002245,0.002245
96,1317.52,0.2858,0.20678,0.75308,0.83675,0.73346,0.77951,0.44832,1.20503,0.67913,1.35654,0.0021625,0.0021625,0.0021625
97,1331.46,0.28009,0.20371,0.75341,0.80779,0.74764,0.77656,0.45539,1.20396,0.67615,1.35989,0.00208,0.00208,0.00208
98,1345.06,0.278,0.20147,0.75279,0.82753,0.73773,0.77418,0.4544,1.19987,0.71283,1.39038,0.0019975,0.0019975,0.0019975
99,1358.8,0.27276,0.20035,0.75157,0.80861,0.73221,0.77883,0.45313,1.21133,0.69407,1.38369,0.001915,0.001915,0.001915
100,1372.52,0.26332,0.19528,0.75202,0.80994,0.72637,0.77129,0.45971,1.19658,0.681,1.37399,0.0018325,0.0018325,0.0018325
101,1386.37,0.25607,0.19219,0.7506,0.83473,0.72157,0.77969,0.45789,1.20642,0.66903,1.37559,0.00175,0.00175,0.00175
102,1400.29,0.25753,0.19238,0.74981,0.83382,0.72282,0.77483,0.45578,1.18991,0.68253,1.37263,0.0016675,0.0016675,0.0016675
103,1420.78,0.24587,0.18693,0.75009,0.81505,0.73287,0.77209,0.4562,1.21277,0.70557,1.39387,0.001585,0.001585,0.001585
104,1441.39,0.24671,0.18573,0.74874,0.8215,0.74055,0.77524,0.45599,1.20352,0.68695,1.38247,0.0015025,0.0015025,0.0015025
105,1456.04,0.24105,0.18288,0.74887,0.76699,0.75119,0.76876,0.4531,1.20424,0.70261,1.39388,0.00142,0.00142,0.00142
106,1471.96,0.23314,0.17914,0.74692,0.84282,0.72204,0.78683,0.46,1.19666,0.69493,1.38495,0.0013375,0.0013375,0.0013375
107,1485.82,0.23139,0.17858,0.7467,0.82187,0.71323,0.77997,0.46087,1.18737,0.69183,1.37654,0.001255,0.001255,0.001255
108,1499.67,0.22468,0.17413,0.74675,0.80647,0.72157,0.77489,0.46006,1.19518,0.70533,1.38012,0.0011725,0.0011725,0.0011725
109,1513.32,0.21709,0.17007,0.74504,0.76871,0.75086,0.77932,0.45982,1.21059,0.7094,1.39673,0.00109,0.00109,0.00109
