epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6394,4.78316,11.1656,3.04002,0.12131,0.22998,0.11987,0.0401,2.65001,4.4057,1.91618,0.0701261,0.00331933,0.00331933
2,162.61,2.25737,2.26201,1.50352,0.21088,0.24368,0.20273,0.06718,2.40491,3.743,1.66712,0.0400712,0.00659778,0.00659778
3,241.174,1.98624,1.60412,1.31762,0.67792,0.17606,0.1779,0.07381,2.26198,4.03032,1.55579,0.00996128,0.00982123,0.00982123
4,319.367,1.81755,1.23838,1.23564,0.46537,0.56045,0.48616,0.18912,2.01611,2.31443,1.39359,0.0097525,0.0097525,0.0097525
5,397.585,1.69893,1.00181,1.17804,0.52362,0.4165,0.40514,0.15412,2.23943,2.62631,1.53586,0.00967,0.00967,0.00967
6,475.673,1.626,0.89151,1.14844,0.67885,0.60504,0.68472,0.27798,2.02192,1.48548,1.39718,0.0095875,0.0095875,0.0095875
7,553.953,1.57829,0.82407,1.12917,0.61851,0.5159,0.56154,0.24915,1.9678,1.75947,1.38728,0.009505,0.009505,0.009505
8,632.165,1.53668,0.77624,1.1113,0.78237,0.64267,0.74708,0.30663,1.98224,1.31491,1.40302,0.0094225,0.0094225,0.0094225
9,710.269,1.5077,0.74226,1.09952,0.73839,0.71711,0.7783,0.33323,1.89804,1.25908,1.34477,0.00934,0.00934,0.00934
10,788.419,1.47992,0.72004,1.08809,0.65933,0.27139,0.30626,0.13298,2.40696,2.8827,1.57278,0.0092575,0.0092575,0.0092575
11,866.585,1.45292,0.69325,1.07697,0.80884,0.73613,0.77485,0.33685,1.88361,1.2726,1.33823,0.009175,0.009175,0.009175
12,944.792,1.42326,0.67205,1.0664,0.77341,0.64609,0.70906,0.30185,1.95288,1.43557,1.39609,0.0090925,0.0090925,0.0090925
13,1023.09,1.40334,0.65907,1.05868,0.73539,0.60613,0.68022,0.28574,2.02873,1.39241,1.39626,0.00901,0.00901,0.00901
14,1101.27,1.37456,0.64088,1.0472,0.70387,0.72068,0.73984,0.3138,2.00006,1.26403,1.39834,0.0089275,0.0089275,0.0089275
15,1179.29,1.35488,0.62582,1.04114,0.71707,0.64395,0.68772,0.29676,1.97192,1.28544,1.39867,0.008845,0.008845,0.008845
16,1257.38,1.33045,0.61416,1.03307,0.78147,0.74752,0.75766,0.32842,1.94995,1.18819,1.37052,0.0087625,0.0087625,0.0087625
17,1335.47,1.30787,0.60047,1.02478,0.83096,0.68957,0.74484,0.31971,1.95676,1.51214,1.39492,0.00868,0.00868,0.00868
18,1413.76,1.27777,0.58666,1.01509,0.7377,0.38999,0.47196,0.19929,2.18765,2.19587,1.50729,0.0085975,0.0085975,0.0085975
19,1491.8,1.25634,0.57731,1.00755,0.75292,0.68941,0.74552,0.32359,1.9575,1.22004,1.38937,0.008515,0.008515,0.008515
20,1569.86,1.22834,0.56713,0.99773,0.81445,0.77404,0.78813,0.3495,1.8747,1.15007,1.35513,0.0084325,0.0084325,0.0084325
21,1648.01,1.2113,0.5563,0.99156,0.79205,0.75485,0.77489,0.33859,1.89987,1.26946,1.37525,0.00835,0.00835,0.00835
22,1726.16,1.1883,0.5461,0.98363,0.73924,0.6728,0.68105,0.31186,1.93514,1.38888,1.40657,0.0082675,0.0082675,0.0082675
23,1804.23,1.15761,0.53801,0.97449,0.8033,0.73056,0.74693,0.33898,1.9247,1.23809,1.36744,0.008185,0.008185,0.008185
24,1882.38,1.13231,0.52624,0.96613,0.64305,0.59415,0.62127,0.28685,1.92254,1.57572,1.39302,0.0081025,0.0081025,0.0081025
25,1960.52,1.11548,0.52029,0.95974,0.8384,0.76907,0.79308,0.34998,1.87817,1.27957,1.3799,0.00802,0.00802,0.00802
26,2038.65,1.08741,0.50844,0.95032,0.83741,0.76062,0.77342,0.34668,1.86206,1.217,1.37103,0.0079375,0.0079375,0.0079375
27,2116.74,1.06553,0.50113,0.94307,0.85573,0.75369,0.78896,0.35002,1.8841,1.29351,1.37894,0.007855,0.007855,0.007855
28,2194.8,1.04743,0.49077,0.93859,0.85021,0.7914,0.80245,0.35739,1.8758,1.17301,1.38527,0.0077725,0.0077725,0.0077725
29,2273.01,1.02143,0.48446,0.92964,0.78883,0.74088,0.75448,0.33403,1.9304,1.24047,1.393,0.00769,0.00769,0.00769
30,2351.14,0.99695,0.4762,0.92237,0.8657,0.77884,0.80817,0.3767,1.84589,1.16411,1.37357,0.0076075,0.0076075,0.0076075
31,2429.33,0.98366,0.46885,0.91723,0.83248,0.74923,0.78147,0.34972,1.88905,1.21712,1.40017,0.007525,0.007525,0.007525
32,2507.41,0.95432,0.46034,0.9099,0.60333,0.4515,0.50536,0.22599,2.16179,2.22173,1.53907,0.0074425,0.0074425,0.0074425
33,2585.39,0.936,0.45229,0.90328,0.81849,0.76063,0.7856,0.3446,1.9347,1.16716,1.43427,0.00736,0.00736,0.00736
34,2663.52,0.92385,0.44763,0.9,0.81168,0.76656,0.78043,0.34552,1.90589,1.23475,1.42133,0.0072775,0.0072775,0.0072775
35,2741.73,0.90429,0.44041,0.89491,0.85187,0.78561,0.79379,0.35456,1.90159,1.19011,1.4299,0.007195,0.007195,0.007195
