epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.897,8.66735,36.0262,3.6146,0,0,0,0,8.12732,38.3937,3.34066,0.0912739,0.00118992,0.00118992
2,218.67,7.85865,16.8247,3.23005,0,0,0,0,6.70775,288.51,2.45155,0.0824739,0.00238985,0.00238985
3,328.333,3.53586,3.45227,1.65125,0.00073,0.0497,0.00044,0.00012,5.29828,266.285,2.11698,0.0736736,0.00358953,0.00358953
4,437.596,2.91605,2.31486,1.29067,0.41906,0.49882,0.39941,0.15651,2.8328,3.02233,1.34611,0.0648728,0.00478875,0.00478875
5,548.009,2.7226,1.9732,1.18643,0.27616,0.14032,0.08611,0.02771,4.05113,5.33152,1.6273,0.0560713,0.00598732,0.00598732
6,656.535,2.54447,1.75474,1.13297,0.02593,0.14391,0.03165,0.01275,3.31527,10.8794,1.56141,0.0472691,0.00718504,0.00718504
7,766.06,2.46514,1.57323,1.10078,0.10052,0.02333,0.00039,0.00015,5.19016,904.06,4.97477,0.0384658,0.00838172,0.00838172
8,874.882,2.40014,1.41835,1.08689,0.15655,0.3571,0.27252,0.10696,3.05134,5.01665,1.33429,0.0296612,0.00957717,0.00957717
9,984.307,2.35802,1.34181,1.06447,0.69047,0.57912,0.62452,0.25865,2.71501,2.76215,1.24287,0.0208552,0.0107712,0.0107712
10,1093.28,2.35873,1.25361,1.05811,0.49509,0.38507,0.43358,0.17744,2.77555,2.97892,1.22303,0.0120476,0.0119636,0.0119636
11,1202.1,2.27643,1.19452,1.04182,0.5671,0.28989,0.33349,0.13842,2.8597,3.91968,1.2864,0.0119675,0.0119675,0.0119675
12,1310.66,2.21955,1.10304,1.02294,0.51063,0.30207,0.27698,0.105,3.07465,3.80773,1.34509,0.0119606,0.0119606,0.0119606
13,1419.59,2.1909,1.03688,1.00453,0.63019,0.23457,0.25599,0.1127,2.8988,4.7821,1.33589,0.0119532,0.0119532,0.0119532
14,1528.33,2.16791,1.01167,0.99976,0.61861,0.26499,0.32806,0.13811,2.97166,3.48969,1.30931,0.011945,0.011945,0.011945
15,1637.02,2.13604,0.99662,0.99215,0.69392,0.70747,0.69613,0.3122,2.60634,2.07518,1.16878,0.0119363,0.0119363,0.0119363
16,1745.99,2.10436,0.96083,0.99012,0.48406,0.08704,0.10802,0.04641,3.61933,6.50257,1.58924,0.0119269,0.0119269,0.0119269
