epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.4146,7.58518,39.3943,2.7865,0,0,0,0,7.31295,4.40791,2.57473,0.0888445,0.0012395,0.0012395
2,191.266,7.58486,19.666,2.76341,0,0,0,0,7.25372,nan,2.4887,0.0775945,0.00248943,0.00248943
3,286.449,4.42476,4.73688,1.66358,0.36057,0.17252,0.19239,0.06597,2.98004,2.73259,1.15133,0.0663441,0.00373909,0.00373909
4,381.63,2.66633,2.11795,1.02515,0.42629,0.3281,0.32972,0.10915,2.86379,2.76934,1.08396,0.0550933,0.00498828,0.00498828
5,476.455,2.41763,1.67819,0.92017,0.58936,0.14177,0.16267,0.05529,2.75844,3.39319,1.0619,0.0438418,0.00623679,0.00623679
6,571.203,2.35079,1.48975,0.89772,0.61621,0.59385,0.60973,0.24117,2.58365,1.76625,0.98212,0.0325895,0.00748442,0.00748442
7,666.11,2.25997,1.35387,0.86981,0.46004,0.12129,0.13699,0.06072,2.88503,3.83438,1.07172,0.021336,0.00873096,0.00873096
8,760.54,2.23549,1.23484,0.85267,0.39557,0.16731,0.17468,0.06631,2.73962,3.56986,1.04625,0.0100813,0.00997622,0.00997622
9,854.961,2.14674,1.12957,0.8439,0.4237,0.19232,0.17359,0.07139,2.52314,3.544,0.96039,0.00998264,0.00998264,0.00998264
10,949.286,2.07319,1.0412,0.81896,0.69361,0.65691,0.66455,0.28051,2.41805,1.54164,0.91721,0.00997803,0.00997803,0.00997803
11,1044.23,2.04428,0.95846,0.80632,0.71612,0.67091,0.73886,0.30877,2.33922,1.68218,0.89632,0.00997288,0.00997288,0.00997288
12,1138.97,1.99487,0.90776,0.79159,0.621,0.47958,0.48837,0.20527,2.44652,2.3229,0.92107,0.0099672,0.0099672,0.0099672
13,1233.31,1.99279,0.8651,0.7937,0.77235,0.22457,0.28032,0.11985,2.40902,3.23315,0.92127,0.00996097,0.00996097,0.00996097
14,1327.66,1.94639,0.84536,0.77751,0.37909,0.30767,0.28328,0.12605,2.57336,3.05448,0.95812,0.0099542,0.0099542,0.0099542
15,1422.05,1.90464,0.81786,0.77808,0.62571,0.20342,0.24673,0.11021,2.56987,3.89297,1.01542,0.0099469,0.0099469,0.0099469
16,1516.59,1.90295,0.82117,0.76897,0.8117,0.76907,0.78758,0.34046,2.33715,1.24367,0.91466,0.00993906,0.00993906,0.00993906
17,1611.21,1.89011,0.78713,0.76548,0.86568,0.77817,0.81105,0.34715,2.35891,1.162,0.91493,0.00993068,0.00993068,0.00993068
18,1705.88,1.88775,0.77143,0.76434,0.56501,0.31626,0.41017,0.17742,2.65676,2.80366,0.97993,0.00992177,0.00992177,0.00992177
19,1800.4,1.85551,0.74383,0.75511,0.65523,0.39203,0.4494,0.2,2.5369,2.71017,0.95254,0.00991232,0.00991232,0.00991232
20,1895.51,1.83713,0.74714,0.75476,0.77463,0.08793,0.13738,0.06193,3.05174,6.51911,1.14484,0.00990234,0.00990234,0.00990234
21,1989.8,1.8129,0.72517,0.75769,0.84261,0.74342,0.81299,0.3468,2.40515,1.24805,0.90471,0.00989183,0.00989183,0.00989183
22,2084.38,1.8248,0.7061,0.75195,0.70606,0.55017,0.60308,0.27117,2.44097,1.85947,0.93029,0.00988079,0.00988079,0.00988079
23,2181.48,1.82863,0.69412,0.75198,0.57767,0.30174,0.38356,0.16757,2.42794,2.91652,0.915,0.00986922,0.00986922,0.00986922
24,2277.07,1.83789,0.69886,0.75676,0.61806,0.14735,0.20465,0.08233,2.75262,4.43767,1.00371,0.00985711,0.00985711,0.00985711
25,2373.19,1.80736,0.69109,0.74626,0.84261,0.80496,0.80399,0.36334,2.22363,1.1641,0.87713,0.00984449,0.00984449,0.00984449
26,2470.89,1.77524,0.67338,0.74189,0.7396,0.73819,0.7438,0.32277,2.27554,1.4913,0.88552,0.00983133,0.00983133,0.00983133
27,2568.09,1.78878,0.68615,0.73494,0.78689,0.72488,0.78068,0.32768,2.45126,1.12269,0.93002,0.00981765,0.00981765,0.00981765
28,2663.99,1.72944,0.66547,0.72422,0.87608,0.18905,0.29701,0.13704,2.6537,3.56553,0.98794,0.00980345,0.00980345,0.00980345
29,2758.34,1.7547,0.66955,0.7391,0.82091,0.75809,0.78537,0.36086,2.22573,1.30877,0.8809,0.00978873,0.00978873,0.00978873
30,2852.63,1.73675,0.65402,0.73323,0.68259,0.27189,0.37236,0.17161,2.49346,3.25711,0.91986,0.00977349,0.00977349,0.00977349
31,2946.88,1.73046,0.66671,0.73053,0.73287,0.7055,0.72055,0.32931,2.2734,1.22678,0.88481,0.00975773,0.00975773,0.00975773
32,3041.32,1.72057,0.64436,0.72822,0.81236,0.80011,0.80226,0.35833,2.25858,1.19724,0.88505,0.00974145,0.00974145,0.00974145
33,3135.61,1.7076,0.64215,0.72592,0.57167,0.16571,0.19372,0.09539,2.64857,4.15997,0.99909,0.00972466,0.00972466,0.00972466
34,3229.9,1.71163,0.63886,0.71858,0.62011,0.44903,0.4671,0.20917,2.41776,2.48984,0.91298,0.00970736,0.00970736,0.00970736
35,3324.85,1.68079,0.61582,0.71612,0.58298,0.22156,0.33106,0.15257,2.77532,3.42662,1.00108,0.00968955,0.00968955,0.00968955
36,3421.25,1.70557,0.62338,0.72185,0.57298,0.40056,0.40372,0.19039,2.40075,2.71234,0.91522,0.00967122,0.00967122,0.00967122
37,3518.49,1.66135,0.62116,0.71441,0.86733,0.80473,0.81262,0.37864,2.2131,1.22275,0.88167,0.00965239,0.00965239,0.00965239
38,3616.02,1.69804,0.62514,0.71901,0.65428,0.27657,0.37121,0.1783,2.40572,3.28555,0.90545,0.00963306,0.00963306,0.00963306
39,3710.33,1.66714,0.60498,0.72015,0.84182,0.81039,0.81092,0.35778,2.25957,1.08115,0.8886,0.00961322,0.00961322,0.00961322
40,3806.32,1.64956,0.61618,0.70841,0.59688,0.21109,0.28866,0.1441,2.4351,3.5394,0.91826,0.00959289,0.00959289,0.00959289
41,3904.38,1.67844,0.60752,0.72343,0.86894,0.82285,0.83037,0.37313,2.23429,1.12347,0.88822,0.00957205,0.00957205,0.00957205
42,3999.56,1.64191,0.58728,0.711,0.86893,0.83205,0.8377,0.38307,2.19339,1.15353,0.88396,0.00955072,0.00955072,0.00955072
43,4094.05,1.66681,0.60213,0.71151,0.69989,0.51068,0.56232,0.2574,2.31542,2.02467,0.89309,0.00952889,0.00952889,0.00952889
44,4187.93,1.62241,0.58616,0.70787,0.53379,0.24758,0.30434,0.13874,2.56534,3.3508,0.96077,0.00950658,0.00950658,0.00950658
45,4282.05,1.63622,0.58892,0.70411,0.81296,0.76898,0.77516,0.35792,2.23657,1.28142,0.88774,0.00948377,0.00948377,0.00948377
46,4376.14,1.62746,0.59402,0.70984,0.70026,0.45294,0.48728,0.2284,2.33915,2.38876,0.89722,0.00946048,0.00946048,0.00946048
47,4470.08,1.60729,0.58049,0.70273,0.86395,0.80716,0.81573,0.38143,2.21244,1.1425,0.89575,0.00943671,0.00943671,0.00943671
48,4564.25,1.63179,0.59608,0.71523,0.65712,0.27652,0.35767,0.17449,2.37927,3.27642,0.90884,0.00941245,0.00941245,0.00941245
49,4658.36,1.60673,0.57473,0.7049,0.65061,0.28146,0.3713,0.18652,2.38938,3.27472,0.92284,0.00938772,0.00938772,0.00938772
50,4752.43,1.62282,0.58401,0.70133,0.59463,0.268,0.35027,0.16755,2.39045,3.5375,0.9028,0.00936251,0.00936251,0.00936251
51,4846.59,1.59706,0.57472,0.70641,0.64794,0.36025,0.43402,0.2101,2.32821,2.73379,0.8952,0.00933683,0.00933683,0.00933683
52,4940.71,1.60749,0.56834,0.69884,0.68656,0.50448,0.56543,0.28065,2.33778,2.13533,0.90584,0.00931067,0.00931067,0.00931067
53,5034.91,1.60377,0.56823,0.70184,0.81065,0.75149,0.76051,0.3503,2.2245,1.29094,0.88041,0.00928405,0.00928405,0.00928405
54,5128.78,1.58382,0.56859,0.70407,0.57019,0.26441,0.32343,0.15667,2.41644,3.09891,0.91381,0.00925697,0.00925697,0.00925697
