epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,411.55,3.83393,3.94372,1.75543,0.46215,0.00625,0.23261,0.05947,4.61446,6.82699,1.76883,0.0669882,9.93333e-05,9.93333e-05
2,835.802,2.67746,1.58486,1.17319,0.00182,0.00291,0.00524,0.00307,4.59509,30.9172,1.73672,0.0337548,0.000199198,0.000199198
3,1255.67,2.47993,1.39892,1.07456,0.58896,0.36974,0.37379,0.14066,3.19226,4.74132,1.19136,0.000520744,0.000298522,0.000298522
4,1680.67,2.37037,1.29195,1.0358,0.57405,0.32359,0.2777,0.08634,3.74446,141.475,1.40309,0.000298172,0.000298172,0.000298172
5,2100.76,2.31173,1.20641,1.01598,0.76849,0.48892,0.50852,0.21168,2.7357,5.62206,1.047,0.000296755,0.000296755,0.000296755
6,2520.37,2.23934,1.13961,0.99608,0.72164,0.46585,0.45311,0.1626,2.98247,5.04504,1.08914,0.00029494,0.00029494,0.00029494
7,2943.87,2.19061,1.08931,0.98603,0.69619,0.47075,0.49905,0.20651,2.58105,43.4731,1.01731,0.000292732,0.000292732,0.000292732
8,3362.96,2.15688,1.04671,0.97614,0.78818,0.55803,0.61872,0.2658,2.50471,3.74836,0.99817,0.000290137,0.000290137,0.000290137
9,3778.19,2.1296,1.00416,0.96786,0.78423,0.53528,0.60867,0.26865,2.48142,2.07712,0.98871,0.000287162,0.000287162,0.000287162
10,4198.62,2.12104,1.00193,0.96206,0.79009,0.55288,0.60557,0.26099,2.4634,3.32929,0.98267,0.000283814,0.000283814,0.000283814
11,4616.15,2.08731,0.96648,0.95784,0.79355,0.54493,0.59921,0.25803,2.47663,3.81782,0.99704,0.000280105,0.000280105,0.000280105
12,5030.74,2.06257,0.94757,0.94836,0.8304,0.51679,0.60589,0.27346,2.47825,2.302,0.97441,0.000276043,0.000276043,0.000276043
13,5450.57,2.02816,0.92108,0.94421,0.78772,0.53167,0.57525,0.24872,2.50244,19.4947,0.99588,0.000271639,0.000271639,0.000271639
14,5865.44,2.01871,0.90622,0.93876,0.82887,0.56973,0.64804,0.29491,2.42397,2.47645,0.97304,0.000266906,0.000266906,0.000266906
15,6282.49,1.99909,0.89068,0.93258,0.78182,0.55695,0.60207,0.25501,2.44953,3.68862,0.9831,0.000261857,0.000261857,0.000261857
16,6700.32,1.96924,0.85831,0.92657,0.81626,0.55086,0.59796,0.25487,2.46372,7.31867,0.98562,0.000256505,0.000256505,0.000256505
17,7118.59,1.95822,0.85578,0.9239,0.79761,0.55382,0.60663,0.2618,2.49642,5.89355,0.99318,0.000250866,0.000250866,0.000250866
18,7538.17,1.94029,0.84509,0.92247,0.82078,0.52649,0.56541,0.25048,2.49804,8.58458,0.99109,0.000244954,0.000244954,0.000244954
19,7954.5,1.91437,0.82616,0.91387,0.82772,0.54075,0.58963,0.25997,2.47297,2.61247,0.98675,0.000238786,0.000238786,0.000238786
20,8373.39,1.91101,0.81934,0.91401,0.81697,0.56209,0.61077,0.26679,2.4483,3.42346,0.98572,0.000232379,0.000232379,0.000232379
21,8793.56,1.87219,0.79766,0.90582,0.82284,0.52137,0.54258,0.23586,2.55269,4.92272,1.00556,0.00022575,0.00022575,0.00022575
22,9208.29,1.86483,0.78964,0.90134,0.82683,0.53873,0.60327,0.27605,2.43918,2.28493,0.97841,0.000218918,0.000218918,0.000218918
23,9624.91,1.84393,0.77849,0.90034,0.77716,0.56304,0.5912,0.25071,2.56199,2.78464,1.02155,0.0002119,0.0002119,0.0002119
24,10041.2,1.82709,0.76172,0.89494,0.8329,0.57632,0.62739,0.26846,2.48447,3.06718,0.99969,0.000204718,0.000204718,0.000204718
25,10457.1,1.82212,0.75601,0.89422,0.79299,0.53981,0.57733,0.24354,2.51412,2.7164,1.01746,0.000197389,0.000197389,0.000197389
26,10873.5,1.79539,0.74547,0.88767,0.82505,0.57609,0.63122,0.28376,2.4518,3.3703,0.98312,0.000189935,0.000189935,0.000189935
27,11292.2,1.77106,0.72402,0.88187,0.77015,0.53102,0.56659,0.25092,2.54642,11.7395,1.01654,0.000182375,0.000182375,0.000182375
28,11713,1.75901,0.7227,0.87976,0.80744,0.51717,0.56076,0.2493,2.58923,6.44964,1.03446,0.000174731,0.000174731,0.000174731
29,12132.1,1.75208,0.71462,0.87907,0.82397,0.56876,0.60627,0.26818,2.47907,3.92428,0.99176,0.000167022,0.000167022,0.000167022
30,12549.3,1.71176,0.69217,0.87014,0.78212,0.48627,0.49492,0.21153,2.70047,4.27957,1.07081,0.000159272,0.000159272,0.000159272
31,12966.3,1.6963,0.68301,0.86651,0.7563,0.50455,0.54453,0.24052,2.64138,5.82587,1.06457,0.0001515,0.0001515,0.0001515
32,13385.1,1.69037,0.67702,0.86507,0.82546,0.55086,0.58854,0.26292,2.54067,4.13926,1.01999,0.000143728,0.000143728,0.000143728
33,13803.9,1.66725,0.66561,0.86341,0.81804,0.55064,0.58617,0.25166,2.51097,2.88243,1.01398,0.000135978,0.000135978,0.000135978
34,14222.2,1.64314,0.65296,0.85354,0.76704,0.51022,0.54903,0.23943,2.61126,8.01392,1.05438,0.000128269,0.000128269,0.000128269
