epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.871,3.59264,2.77317,1.71734,0.0001,6e-05,5e-05,0,3.89848,7.32297,1.5029,0.0669407,9.94764e-05,9.94764e-05
2,630.972,2.57757,1.5016,1.21171,0.51694,0.08664,0.10395,0.02666,3.41533,15.2174,1.30089,0.0337073,0.000199448,0.000199448
3,951.616,2.40019,1.34421,1.10763,0.57809,0.15275,0.16072,0.04164,3.41639,46.4714,1.22969,0.000473823,0.000299303,0.000299303
4,1268.98,2.31297,1.24519,1.0727,0.84313,0.11698,0.13667,0.04756,2.71439,47.9987,1.01049,0.00029961,0.00029961,0.00029961
5,1586.83,2.24885,1.17146,1.0524,0.80753,0.56317,0.60382,0.25171,2.17546,7.79705,0.86568,0.000299307,0.000299307,0.000299307
6,1898.46,2.19272,1.108,1.03229,0.77116,0.48109,0.58013,0.24874,2.21657,2.25853,0.88831,0.000298917,0.000298917,0.000298917
7,2208.93,2.14272,1.05333,1.02329,0.69602,0.39806,0.49725,0.21298,2.27227,2.50147,0.91906,0.000298442,0.000298442,0.000298442
8,2520.85,2.12911,1.02336,1.01711,0.83825,0.51966,0.61879,0.27448,2.15242,2.23237,0.86258,0.00029788,0.00029788,0.00029788
9,2838.73,2.09516,0.9812,1.01354,0.81982,0.597,0.63434,0.27063,2.14143,14.4004,0.87078,0.000297233,0.000297233,0.000297233
10,3151.56,2.07728,0.9587,1.00596,0.85046,0.58433,0.66738,0.29781,2.14655,2.39816,0.86412,0.000296502,0.000296502,0.000296502
11,3466.55,2.04495,0.94,0.99914,0.82862,0.48851,0.58632,0.2686,2.18302,2.28082,0.86852,0.000295685,0.000295685,0.000295685
12,3784.38,2.01958,0.91396,0.99445,0.81066,0.5887,0.63327,0.26849,2.12468,20.9064,0.85657,0.000294784,0.000294784,0.000294784
13,4101.19,2.00393,0.89835,0.98799,0.86171,0.54838,0.63436,0.28723,2.11394,2.62935,0.86049,0.0002938,0.0002938,0.0002938
14,4414.21,1.98638,0.88829,0.98292,0.85093,0.52949,0.62993,0.28427,2.17898,2.1071,0.87338,0.000292732,0.000292732,0.000292732
15,4729.15,1.96759,0.86604,0.98036,0.83621,0.61149,0.65583,0.28314,2.14564,4.30979,0.87632,0.000291582,0.000291582,0.000291582
16,5046.52,1.94794,0.84747,0.97087,0.79167,0.59257,0.61876,0.26209,2.18358,6.18446,0.88461,0.00029035,0.00029035,0.00029035
17,5362.61,1.9131,0.8303,0.96444,0.82535,0.59725,0.62247,0.26543,2.20463,5.35431,0.88638,0.000289037,0.000289037,0.000289037
18,5678.21,1.91185,0.82431,0.96619,0.8103,0.58851,0.62498,0.26354,2.26629,5.5562,0.89222,0.000287644,0.000287644,0.000287644
19,5993.09,1.90547,0.81576,0.95994,0.83447,0.59644,0.62215,0.26792,2.21076,4.85205,0.89485,0.000286171,0.000286171,0.000286171
20,6307.86,1.86752,0.78972,0.95128,0.86921,0.59719,0.65667,0.28289,2.14801,3.74802,0.87184,0.000284619,0.000284619,0.000284619
21,6621.62,1.85729,0.78498,0.95115,0.84902,0.58914,0.63315,0.27607,2.1914,2.67082,0.88418,0.00028299,0.00028299,0.00028299
22,6938.51,1.86924,0.78504,0.95074,0.83382,0.57632,0.60695,0.26789,2.23148,5.68293,0.89658,0.000281284,0.000281284,0.000281284
23,7254.23,1.84302,0.77068,0.94528,0.83125,0.58227,0.60683,0.25977,2.24631,3.5513,0.90745,0.000279502,0.000279502,0.000279502
24,7567.98,1.82467,0.75522,0.94076,0.83801,0.59732,0.61722,0.27152,2.17814,3.17066,0.88793,0.000277646,0.000277646,0.000277646
25,7882.78,1.80249,0.75149,0.93792,0.8648,0.6113,0.66154,0.29606,2.12624,4.90998,0.86513,0.000275716,0.000275716,0.000275716
26,8196.16,1.81669,0.75053,0.94109,0.81339,0.47428,0.53191,0.23692,2.28007,3.7501,0.90912,0.000273713,0.000273713,0.000273713
27,8510.95,1.78068,0.72811,0.92989,0.82733,0.60178,0.62655,0.26713,2.26424,4.76252,0.91973,0.000271639,0.000271639,0.000271639
28,8826.82,1.77061,0.72171,0.92513,0.83509,0.5829,0.60638,0.2643,2.24687,3.0797,0.90896,0.000269495,0.000269495,0.000269495
29,9146.63,1.75367,0.71299,0.92236,0.79821,0.59088,0.61155,0.25747,2.19639,5.78113,0.8864,0.000267282,0.000267282,0.000267282
30,9459.57,1.74559,0.7091,0.91861,0.82844,0.59076,0.62094,0.27375,2.20885,4.28355,0.89421,0.000265001,0.000265001,0.000265001
31,9775.52,1.73271,0.7003,0.91526,0.80888,0.57534,0.57667,0.24307,2.31602,5.38941,0.94739,0.000262654,0.000262654,0.000262654
32,10091.1,1.70809,0.6855,0.91244,0.86091,0.59032,0.64284,0.2763,2.21531,3.31005,0.88945,0.000260242,0.000260242,0.000260242
33,10404.8,1.70331,0.68351,0.9098,0.85719,0.58224,0.65151,0.28378,2.21879,2.14958,0.88612,0.000257766,0.000257766,0.000257766
34,10720.2,1.68,0.66964,0.90484,0.84085,0.59488,0.61727,0.27199,2.21191,5.56997,0.90961,0.000255229,0.000255229,0.000255229
35,11035.3,1.67438,0.66598,0.90212,0.82793,0.598,0.61045,0.26642,2.23579,4.80609,0.91695,0.000252631,0.000252631,0.000252631
36,11348.6,1.66291,0.65709,0.90023,0.86049,0.5968,0.64329,0.28209,2.20426,2.58091,0.89894,0.000249974,0.000249974,0.000249974
37,11664.4,1.64607,0.65079,0.8931,0.81597,0.58953,0.59438,0.25608,2.25695,6.71561,0.921,0.000247259,0.000247259,0.000247259
38,11979.8,1.6394,0.64692,0.89332,0.83903,0.61622,0.63918,0.27824,2.20908,3.8422,0.90579,0.000244489,0.000244489,0.000244489
39,12294.3,1.62841,0.63747,0.88962,0.83842,0.61317,0.64119,0.27407,2.17198,3.51334,0.89502,0.000241664,0.000241664,0.000241664
40,12608.3,1.60878,0.62869,0.88738,0.84318,0.61361,0.64837,0.28367,2.18683,3.51529,0.90141,0.000238786,0.000238786,0.000238786
41,12924.2,1.59261,0.62708,0.88314,0.83175,0.60843,0.62813,0.27377,2.19608,4.42219,0.9022,0.000235858,0.000235858,0.000235858
42,13237.3,1.5962,0.62173,0.87802,0.85053,0.61236,0.65764,0.28963,2.18373,3.36811,0.89947,0.00023288,0.00023288,0.00023288
43,13551.3,1.58364,0.61769,0.87985,0.84399,0.6038,0.6363,0.27398,2.20727,3.50784,0.90609,0.000229855,0.000229855,0.000229855
44,13865.5,1.54175,0.59857,0.87079,0.8586,0.60874,0.63984,0.27813,2.22259,3.16809,0.91253,0.000226784,0.000226784,0.000226784
45,14181.5,1.55895,0.60423,0.87348,0.83661,0.61498,0.64035,0.27642,2.19327,4.54147,0.90557,0.000223669,0.000223669,0.000223669
46,14496,1.53779,0.59653,0.86917,0.84654,0.61005,0.63555,0.27853,2.21518,3.88295,0.91166,0.000220511,0.000220511,0.000220511
