epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,431.564,6.68913,20.0816,4.8683,0.01602,0.00625,0.00057,8e-05,6.86671,8.08259,6.80484,0.0952703,0.000248932,0.000248932
2,858.828,6.58593,9.97323,4.48604,0.00112,0.0125,0.00017,3e-05,6.43951,432.75,32.3472,0.0905202,0.000498877,0.000498877
3,1285.63,6.24233,7.58135,4.05893,0.0503,0.08375,0.02483,0.00496,5.20015,15.8998,6.59375,0.08577,0.000748606,0.000748606
4,1711.96,4.84439,4.83798,3.30672,0.12649,0.19363,0.07207,0.01647,4.06071,20.6287,5.42836,0.0810193,0.000997956,0.000997956
5,2138.16,3.41294,2.76509,2.55818,0.30688,0.50355,0.29588,0.07608,4.04141,2.17239,2.99987,0.0762681,0.00124676,0.00124676
6,2564.26,2.92536,2.18352,2.17192,0.54586,0.58693,0.54427,0.16657,3.40008,1.68975,2.42944,0.0715162,0.00149487,0.00149487
7,2990.18,2.69258,1.98667,1.96715,0.4449,0.72919,0.62143,0.20256,3.08197,2.31871,1.94305,0.0667635,0.00174211,0.00174211
8,3416.14,2.55567,1.86004,1.85196,0.7222,0.71181,0.73469,0.26883,2.87452,1.30857,1.74728,0.0620097,0.00198832,0.00198832
9,3842.6,2.45846,1.75444,1.74526,0.44929,0.84329,0.70162,0.23365,3.52628,1.68136,1.87523,0.0572547,0.00223334,0.00223334
10,4275.85,2.36669,1.69463,1.69449,0.63817,0.66715,0.60036,0.17667,3.28053,1.57582,1.79393,0.0524984,0.00247702,0.00247702
11,4703.27,2.3507,1.63508,1.64409,0.80688,0.77508,0.81024,0.33818,2.81505,1.27874,1.61583,0.0477406,0.0027192,0.0027192
12,5130.04,2.2905,1.59002,1.58745,0.81815,0.69329,0.7928,0.35974,2.51608,1.20276,1.44172,0.0429811,0.00295971,0.00295971
13,5556.96,2.25681,1.55362,1.56618,0.62194,0.66285,0.67911,0.25305,2.88853,1.62117,1.54468,0.0382198,0.00319841,0.00319841
14,5984.09,2.19953,1.51592,1.52167,0.87471,0.75081,0.80456,0.39894,2.23727,1.06145,1.27706,0.0334565,0.00343513,0.00343513
15,6410.98,2.20961,1.49426,1.53293,0.79361,0.67634,0.81614,0.36519,2.43354,1.16408,1.3141,0.0286911,0.00366973,0.00366973
16,6837.81,2.17868,1.45267,1.50696,0.76377,0.72888,0.75686,0.32514,2.53741,1.50007,1.34037,0.0239234,0.00390205,0.00390205
17,7264.42,2.1759,1.42463,1.49891,0.65394,0.77316,0.76233,0.33772,2.41433,1.1451,1.34867,0.0191533,0.00413194,0.00413194
18,7692.45,2.1356,1.42169,1.47767,0.84926,0.78895,0.8509,0.38961,2.33169,0.95638,1.25028,0.0143806,0.00435926,0.00435926
19,8119.57,2.16131,1.40609,1.48272,0.73034,0.76469,0.8161,0.35651,2.31909,1.1311,1.25528,0.00960522,0.00458386,0.00458386
20,8546.25,2.16372,1.3896,1.48593,0.81848,0.68567,0.8164,0.39098,2.29106,1.14624,1.21115,0.00482695,0.00480558,0.00480558
21,8973.54,2.11733,1.36432,1.45659,0.84506,0.7528,0.85477,0.4044,2.37205,0.9089,1.2452,0.00478603,0.00478603,0.00478603
22,9400.71,2.12229,1.35127,1.45378,0.90226,0.81809,0.89938,0.46186,2.08085,0.87166,1.1186,0.00476445,0.00476445,0.00476445
23,9827.44,2.08823,1.29255,1.43428,0.84836,0.86262,0.92405,0.45391,2.17307,0.88887,1.20243,0.00474189,0.00474189,0.00474189
24,10254.1,2.0825,1.30352,1.43869,0.89539,0.70319,0.86451,0.40018,2.33658,1.05539,1.18267,0.00471835,0.00471835,0.00471835
25,10680.4,2.04187,1.25073,1.40266,0.87512,0.89323,0.9103,0.44909,2.04006,0.85193,1.09095,0.00469386,0.00469386,0.00469386
26,11109.2,1.99731,1.2057,1.38989,0.83768,0.82364,0.88388,0.41212,2.45144,0.9524,1.24764,0.00466841,0.00466841,0.00466841
27,11536.1,1.98972,1.18973,1.38003,0.81716,0.79789,0.83926,0.40764,2.23762,0.87218,1.13145,0.00464203,0.00464203,0.00464203
28,11962.6,1.9682,1.16764,1.39036,0.83946,0.83984,0.87582,0.44255,2.05352,0.84437,1.12204,0.00461471,0.00461471,0.00461471
29,12389.6,1.99488,1.17545,1.39053,0.82019,0.84248,0.8742,0.48219,1.9751,0.78618,1.07358,0.00458648,0.00458648,0.00458648
30,12816.3,1.95983,1.12573,1.37364,0.94481,0.82621,0.93046,0.45289,2.07092,0.82171,1.09179,0.00455734,0.00455734,0.00455734
31,13242.6,1.94355,1.12284,1.35829,0.75067,0.88448,0.87504,0.44379,2.1627,0.8543,1.11303,0.00452732,0.00452732,0.00452732
32,13668.7,1.95501,1.11593,1.36072,0.8528,0.8893,0.90328,0.48467,2.00523,0.77882,1.10934,0.00449641,0.00449641,0.00449641
33,14095,1.91774,1.07806,1.34731,0.78629,0.80722,0.87016,0.41058,2.1733,0.83233,1.15031,0.00446464,0.00446464,0.00446464
34,14521.3,1.886,1.04367,1.33219,0.8721,0.81939,0.89575,0.45033,2.12466,0.78731,1.14094,0.00443202,0.00443202,0.00443202
35,14948.5,1.86848,1.04425,1.30385,0.88304,0.84293,0.87067,0.47002,2.07826,0.76176,1.09676,0.00439856,0.00439856,0.00439856
36,15374.9,1.8634,1.00587,1.31629,0.84161,0.84359,0.86545,0.46792,2.07426,0.74561,1.10896,0.00436428,0.00436428,0.00436428
37,15801.2,1.81901,0.9715,1.2975,0.86866,0.8338,0.86915,0.48599,1.88084,0.72668,1.07921,0.0043292,0.0043292,0.0043292
38,16227.8,1.79498,0.9666,1.28938,0.79174,0.80515,0.83423,0.47589,1.86444,0.72871,1.07839,0.00429332,0.00429332,0.00429332
39,16654.8,1.76951,0.9336,1.27507,0.77131,0.83001,0.84003,0.46708,1.74218,0.68869,1.07054,0.00425667,0.00425667,0.00425667
40,17082.1,1.75264,0.91219,1.26616,0.8627,0.81508,0.87399,0.48925,1.74793,0.67104,1.05608,0.00421925,0.00421925,0.00421925
41,17509,1.70844,0.87939,1.24571,0.8519,0.82996,0.85751,0.49485,1.65708,0.64548,1.04188,0.0041811,0.0041811,0.0041811
42,17935.8,1.6948,0.86853,1.24321,0.79644,0.87981,0.86454,0.48954,1.67598,0.64873,1.03201,0.00414222,0.00414222,0.00414222
43,18362.2,1.67577,0.85599,1.23048,0.79553,0.84609,0.84957,0.48524,1.63014,0.64808,1.03727,0.00410262,0.00410262,0.00410262
44,18788.9,1.6462,0.81688,1.21268,0.82317,0.8069,0.85094,0.49991,1.54976,0.63719,1.0315,0.00406234,0.00406234,0.00406234
45,19215.8,1.66387,0.83143,1.23346,0.7428,0.83246,0.81593,0.48478,1.58266,0.6294,1.03247,0.00402138,0.00402138,0.00402138
46,19642.6,1.62567,0.79176,1.19934,0.84082,0.7877,0.84092,0.5046,1.57235,0.61328,1.02259,0.00397977,0.00397977,0.00397977
47,20069.5,1.62211,0.78351,1.20622,0.88677,0.80733,0.87262,0.49929,1.57534,0.61727,1.0302,0.00393752,0.00393752,0.00393752
48,20496.4,1.61278,0.79408,1.20062,0.77763,0.86496,0.85343,0.49726,1.60889,0.61821,1.02974,0.00389464,0.00389464,0.00389464
49,20923.4,1.57641,0.75229,1.18872,0.77814,0.8312,0.83007,0.49202,1.58883,0.61517,1.02576,0.00385117,0.00385117,0.00385117
50,21350.5,1.57007,0.74106,1.16717,0.83359,0.77289,0.83479,0.47995,1.59554,0.61515,1.02798,0.00380712,0.00380712,0.00380712
51,21779.5,1.47556,0.66907,1.13197,0.8178,0.80381,0.83099,0.4794,1.55243,0.61362,1.0291,0.0037625,0.0037625,0.0037625
