epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.07,6.31082,21.3449,6.44464,0,0,0,0,8.20907,11.9126,3.59652,0.0952906,0.000247863,0.000247863
2,235.514,5.97825,13.0196,5.58103,0.00167,0.005,0.00017,2e-05,6.48974,8.36743,4.24552,0.0905405,0.000497809,0.000497809
3,348.521,5.41964,8.21005,4.17203,0.04763,0.08,0.00946,0.00099,5.84122,5.79627,2.76781,0.0857903,0.000747539,0.000747539
4,461.465,4.81551,5.94562,3.23313,0.07978,0.195,0.03726,0.00425,5.45696,5.67571,2.57082,0.0810396,0.000996889,0.000996889
5,574.38,4.44398,4.46571,2.72971,0.18432,0.1,0.07284,0.00859,5.22132,3.64248,1.9301,0.0762884,0.0012457,0.0012457
6,687.384,4.06608,3.4968,2.21671,0.04384,0.12,0.02257,0.00281,5.46328,7.88338,2.22018,0.0715365,0.0014938,0.0014938
7,800.117,3.87004,2.86413,1.92209,0.03446,0.115,0.03413,0.00457,5.06561,3.55301,2.14018,0.0667838,0.00174104,0.00174104
8,912.692,3.57383,2.4664,1.73469,0.06058,0.055,0.02623,0.00329,5.38568,3.69625,1.93153,0.06203,0.00198725,0.00198725
9,1025.25,3.23931,2.31331,1.92969,0.33959,0.85,0.55387,0.12066,3.90121,12.1684,5.18938,0.057275,0.00223228,0.00223228
10,1137.99,2.89731,1.9877,1.9975,0.90182,0.91853,0.94577,0.3,3.36329,1.88216,2.73327,0.0525187,0.00247596,0.00247596
11,1250.73,2.56463,1.78438,2.01382,0.61267,0.715,0.64053,0.20409,4.06809,1.76288,2.3412,0.0477609,0.00271814,0.00271814
12,1363.19,2.383,1.60033,1.88973,0.72133,0.72479,0.57988,0.17954,3.90363,1.92924,2.26219,0.0430014,0.00295866,0.00295866
13,1475.67,2.26489,1.45664,1.77698,0.86544,0.93259,0.91856,0.35074,2.87859,1.27059,1.84375,0.0382401,0.00319735,0.00319735
14,1588.31,2.18455,1.44077,1.67377,0.83483,0.94,0.94813,0.38757,2.64007,1.47669,1.69408,0.0334768,0.00343408,0.00343408
