epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.7742,6.57019,16.0102,5.63419,0,0,0,0,8.20482,10.8568,3.5859,0.0952906,0.000247863,0.000247863
2,143.122,5.85755,8.8687,4.40589,0,0,0,0,7.31616,8.85606,2.89573,0.0905405,0.000497809,0.000497809
3,214.009,4.97671,5.78727,3.20985,0.04539,0.265,0.02172,0.00267,5.55119,11.237,3.34303,0.0857903,0.000747539,0.000747539
4,284.61,4.54093,4.49851,2.66825,0.0311,0.27,0.02213,0.00258,5.32747,30.1671,3.33947,0.0810396,0.000996889,0.000996889
5,354.959,4.3252,3.73095,2.31035,0.04622,0.315,0.0446,0.00549,5.14649,23.7434,2.44267,0.0762884,0.0012457,0.0012457
6,425.484,4.12034,3.06128,2.01258,0.09383,0.445,0.08815,0.01124,5.06297,19.7582,1.60132,0.0715365,0.0014938,0.0014938
7,495.942,4.0153,2.7424,1.82266,0.16598,0.165,0.09743,0.01112,5.08473,2.89655,1.21561,0.0667838,0.00174104,0.00174104
8,566.105,3.97149,2.53483,1.71159,0.07446,0.25,0.05697,0.00671,5.13303,4.18761,1.51195,0.06203,0.00198725,0.00198725
9,636.189,3.84771,2.38442,1.64127,0.12549,0.155,0.06632,0.00779,5.12124,6.91518,1.61144,0.057275,0.00223228,0.00223228
10,706.262,3.73025,2.26408,1.63448,0.20908,0.33,0.173,0.03176,4.57694,3.74281,3.65663,0.0525187,0.00247596,0.00247596
11,776.535,3.56033,2.08493,1.66474,0.06802,0.63,0.10324,0.02036,4.37065,38.828,12.2383,0.0477609,0.00271814,0.00271814
12,846.628,3.6035,2.08409,1.73546,0.02172,0.695,0.02349,0.00444,4.81431,5.94172,1.95781,0.0430014,0.00295866,0.00295866
13,916.62,3.42631,2.1435,1.76348,0.42291,0.54,0.39684,0.07935,4.03823,1.87869,3.78132,0.0382401,0.00319735,0.00319735
14,987.089,3.26525,2.05239,1.82052,0.0432,0.805,0.11355,0.01402,4.68827,3.01859,1.20793,0.0334768,0.00343408,0.00343408
15,1057.05,3.07421,1.94399,1.81557,0.21594,0.42552,0.22826,0.0338,4.80939,2.35837,2.85851,0.0287114,0.00366868,0.00366868
16,1127.19,3.01014,1.98102,1.77426,0.31444,0.39674,0.27041,0.04791,4.09821,2.2334,2.15091,0.0239437,0.00390101,0.00390101
17,1197.05,2.96249,1.88493,1.731,0.05278,0.77,0.1074,0.01419,4.87925,2.85607,1.33046,0.0191736,0.0041309,0.0041309
18,1267.06,3.05352,2.02392,1.69601,0.7904,0.84847,0.8256,0.23761,3.37961,2.15575,2.44825,0.014401,0.00435823,0.00435823
19,1337.15,2.7594,1.68836,1.67151,0.24009,0.36,0.17543,0.02357,4.4391,2.43808,1.21702,0.00962556,0.00458282,0.00458282
20,1407.13,2.89753,1.82727,1.62061,0.21667,0.74131,0.23889,0.04477,4.25085,2.73725,1.7915,0.00484729,0.00480456,0.00480456
21,1477.03,2.90226,1.7929,1.65093,0.22833,0.305,0.16325,0.02181,4.57881,2.38828,1.16128,0.00478603,0.00478603,0.00478603
22,1547.05,2.90243,1.92957,1.6653,0.08246,0.945,0.19298,0.03421,4.14868,3.25393,1.81502,0.00476445,0.00476445,0.00476445
23,1616.93,2.62715,1.86635,1.56536,0.87157,0.61078,0.79252,0.21635,3.62738,2.29199,2.04938,0.00474189,0.00474189,0.00474189
24,1686.88,2.622,1.75262,1.64483,0.28941,0.345,0.33634,0.07529,3.74071,2.40282,2.91543,0.00471835,0.00471835,0.00471835
25,1756.79,2.55572,1.63382,1.58233,0.25083,0.295,0.19152,0.03282,3.94064,2.59325,1.29927,0.00469386,0.00469386,0.00469386
26,1826.73,2.43572,1.74684,1.54324,0.61011,0.715,0.72379,0.18975,3.53879,1.89043,2.38154,0.00466841,0.00466841,0.00466841
27,1896.61,2.35794,1.48723,1.57147,0.44144,0.445,0.36922,0.09848,4.03534,2.36281,1.94998,0.00464203,0.00464203,0.00464203
28,1966.55,2.32846,1.42845,1.5372,0.47263,0.77,0.60014,0.2052,3.30597,3.19958,3.60408,0.00461471,0.00461471,0.00461471
29,2036.42,2.32737,1.42687,1.58563,0.51592,0.79402,0.62642,0.24034,2.93983,2.33366,2.08521,0.00458648,0.00458648,0.00458648
30,2106.57,2.18673,1.28593,1.46092,0.68306,0.8082,0.72684,0.23274,3.20116,1.79406,2.03286,0.00455734,0.00455734,0.00455734
31,2176.49,2.15801,1.27916,1.50253,0.43171,0.68371,0.49963,0.2184,2.71193,3.59085,1.97927,0.00452732,0.00452732,0.00452732
32,2246.42,2.11347,1.21873,1.44049,0.71329,0.745,0.65676,0.2415,3.45273,1.6138,1.85989,0.00449641,0.00449641,0.00449641
33,2316.44,2.05862,1.17955,1.43525,0.40266,0.59,0.49238,0.21544,3.05254,3.47774,2.70971,0.00446464,0.00446464,0.00446464
34,2386.4,2.0844,1.18007,1.38767,0.6598,0.82427,0.70646,0.27543,3.00301,1.62373,1.79651,0.00443202,0.00443202,0.00443202
35,2456.5,1.91601,1.15743,1.35825,0.51979,0.845,0.63005,0.24374,2.74275,2.10036,1.92278,0.00439856,0.00439856,0.00439856
36,2526.58,1.83914,1.12071,1.32726,0.57485,0.83,0.65837,0.2477,2.97767,2.45099,1.91519,0.00436428,0.00436428,0.00436428
37,2596.51,1.83093,1.14916,1.30713,0.8807,0.92275,0.92112,0.28077,3.22122,1.50946,2.09131,0.0043292,0.0043292,0.0043292
38,2666.59,1.80274,1.1315,1.27267,0.82643,0.83324,0.78505,0.25729,3.33723,1.65152,2.28257,0.00429332,0.00429332,0.00429332
39,2736.48,1.73889,1.02074,1.28085,0.69739,0.79,0.81794,0.31975,3.12087,1.5359,2.12209,0.00425667,0.00425667,0.00425667
40,2806.72,1.80691,1.00536,1.26988,0.86539,0.855,0.85924,0.24347,3.46142,1.47646,1.9803,0.00421925,0.00421925,0.00421925
41,2876.58,1.77204,1.02559,1.28128,0.72856,0.915,0.82951,0.34118,2.75943,1.815,2.13431,0.0041811,0.0041811,0.0041811
42,2946.73,1.6143,0.93421,1.20851,0.70515,0.7653,0.7003,0.25649,3.42885,1.89316,1.84261,0.00414222,0.00414222,0.00414222
43,3016.61,1.55378,0.92981,1.18618,0.71156,0.91277,0.88842,0.41456,2.56325,1.27169,2.06558,0.00410262,0.00410262,0.00410262
44,3086.71,1.54559,0.90836,1.16873,0.95436,0.96,0.98062,0.48682,2.45641,1.18055,1.63784,0.00406234,0.00406234,0.00406234
45,3156.85,1.4465,0.86762,1.12923,0.8014,0.91,0.83629,0.33582,2.75747,1.25481,1.88268,0.00402138,0.00402138,0.00402138
46,3226.86,1.46471,0.8833,1.14775,0.92028,0.95,0.95622,0.4076,2.6138,1.25595,1.87494,0.00397977,0.00397977,0.00397977
