epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.93,8.67498,39.7227,3.60918,0,0,0,0,8.13568,41.2035,3.34909,0.0912739,0.00118992,0.00118992
2,240.967,8.5537,22.8496,3.53464,0,0,0,0,8.05,13.9071,2.99442,0.0824739,0.00238985,0.00238985
3,361.596,4.24871,4.2645,1.88634,0.39592,0.04562,0.03385,0.00965,4.82795,5.90989,2.03157,0.0736736,0.00358953,0.00358953
4,482.146,2.92409,2.3977,1.29357,0.66933,0.07233,0.05841,0.02101,3.42648,6.03447,1.56274,0.0648728,0.00478875,0.00478875
5,602.525,2.72761,1.98555,1.17879,0.58754,0.47597,0.48823,0.19104,2.79891,2.61592,1.25391,0.0560713,0.00598732,0.00598732
6,724.753,2.57602,1.71557,1.14566,0.05789,0.00733,0.03373,0.01436,5.00298,18602.8,5.13057,0.0472691,0.00718504,0.00718504
7,846.141,2.47275,1.54149,1.10784,0.46612,0.03275,0.03242,0.01051,4.8783,50790.1,6.28744,0.0384658,0.00838172,0.00838172
8,966.448,2.41215,1.40734,1.09563,0.7331,0.02276,0.01638,0.0064,5.23845,238.158,7.6957,0.0296612,0.00957717,0.00957717
9,1086.91,2.35799,1.31341,1.06594,0.81374,0.1805,0.27516,0.10614,2.93818,3.99871,1.34798,0.0208552,0.0107712,0.0107712
10,1207.25,2.32894,1.23439,1.05653,0.9014,0.06912,0.07801,0.03193,4.21074,10.1999,2.19504,0.0120476,0.0119636,0.0119636
11,1327.42,2.28917,1.16966,1.04408,0.63729,0.63133,0.64827,0.27548,2.57876,2.22577,1.18971,0.0119675,0.0119675,0.0119675
12,1448.43,2.21993,1.0892,1.0243,0.72076,0.04587,0.0446,0.01785,4.27124,13.0356,3.20561,0.0119606,0.0119606,0.0119606
13,1568.46,2.21458,1.03802,1.0104,0.44489,0.03262,0.03843,0.01407,4.46401,11.5062,1.96179,0.0119532,0.0119532,0.0119532
14,1688.47,2.15897,0.98734,0.99858,0.66781,0.51268,0.57921,0.22538,2.87515,2.01508,1.27067,0.011945,0.011945,0.011945
15,1808.37,2.12894,0.98584,0.99136,0.65735,0.46158,0.59712,0.27421,2.63861,2.66355,1.1955,0.0119363,0.0119363,0.0119363
16,1928.12,2.09772,0.94974,0.98772,0.57341,0.10139,0.14199,0.06683,3.18332,7.53918,1.35758,0.0119269,0.0119269,0.0119269
17,2047.97,2.07218,0.91573,0.97034,0.82062,0.74904,0.78855,0.32794,2.69271,1.75301,1.19537,0.0119168,0.0119168,0.0119168
18,2168.06,2.06953,0.91098,0.97399,0.84157,0.69821,0.76069,0.33917,2.55799,1.69043,1.1496,0.0119061,0.0119061,0.0119061
19,2288.49,2.02493,0.87623,0.96583,0.59717,0.1598,0.18401,0.07152,3.44524,6.24325,1.43272,0.0118948,0.0118948,0.0118948
20,2408.32,2.00429,0.85061,0.9635,0.7791,0.76754,0.77861,0.33615,2.66783,1.70293,1.17239,0.0118828,0.0118828,0.0118828
21,2528.08,1.99617,0.83802,0.95449,0.85003,0.79956,0.82799,0.34929,2.61201,1.46157,1.17183,0.0118702,0.0118702,0.0118702
22,2648.14,1.98959,0.84799,0.95596,0.78269,0.70331,0.75535,0.32198,2.73995,1.36041,1.2187,0.0118569,0.0118569,0.0118569
23,2767.67,1.99323,0.83345,0.95075,0.79854,0.10204,0.14933,0.07423,3.69661,9.91729,1.6111,0.0118431,0.0118431,0.0118431
24,2887.61,1.96162,0.81853,0.94701,0.68611,0.67128,0.73848,0.31507,2.64626,1.799,1.18036,0.0118285,0.0118285,0.0118285
25,3007.45,1.93628,0.80091,0.9439,0.81572,0.75023,0.7911,0.33385,2.70396,1.67731,1.20969,0.0118134,0.0118134,0.0118134
26,3127.22,1.92784,0.78236,0.92629,0.6952,0.17731,0.25979,0.11922,2.90037,5.85036,1.27987,0.0117976,0.0117976,0.0117976
27,3246.79,1.92809,0.80341,0.94298,0.53497,0.0724,0.10321,0.04204,3.69537,10.438,1.55648,0.0117812,0.0117812,0.0117812
28,3366.79,1.90916,0.78412,0.93067,0.27562,0.40169,0.38334,0.18226,2.75463,4.14523,1.22746,0.0117641,0.0117641,0.0117641
29,3486.62,1.88313,0.76208,0.93325,0.67972,0.13719,0.20065,0.10356,3.10724,6.89125,1.39019,0.0117465,0.0117465,0.0117465
30,3607.11,1.89252,0.75942,0.92964,0.87736,0.82477,0.84867,0.36648,2.60491,1.33605,1.18395,0.0117282,0.0117282,0.0117282
