epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.6311,3.66133,4.46404,3.82167,0.01169,0.00627,0.00651,0.00214,3.53835,4.4324,3.491,0.0702439,0.00330623,0.00330623
2,147.136,2.95836,3.52758,3.02637,0.11578,0.16846,0.08761,0.03139,2.5418,3.88962,2.75517,0.040222,0.00661766,0.00661766
3,219.589,2.28892,2.88991,2.40454,0.15823,0.1049,0.04124,0.01579,2.73371,5.38669,2.84305,0.0101781,0.00990708,0.00990708
4,292.73,1.94688,2.39481,2.04693,0.41991,0.37198,0.33332,0.14938,1.86444,2.80731,2.021,0.009901,0.009901,0.009901
5,365.47,1.7642,2.06365,1.86573,0.5459,0.41863,0.43245,0.2114,1.72738,2.11865,1.86231,0.009868,0.009868,0.009868
6,437.321,1.67133,1.88452,1.77889,0.55169,0.43771,0.45332,0.24023,1.65103,1.9844,1.79153,0.009835,0.009835,0.009835
7,509.205,1.60549,1.74454,1.70823,0.61849,0.49637,0.53438,0.28454,1.59175,1.84424,1.72715,0.009802,0.009802,0.009802
8,581.237,1.55985,1.65076,1.66072,0.64224,0.50853,0.55862,0.30925,1.53615,1.71324,1.69135,0.009769,0.009769,0.009769
9,653.12,1.50739,1.54217,1.62812,0.66985,0.54347,0.60005,0.34997,1.4674,1.54208,1.62114,0.009736,0.009736,0.009736
10,725.238,1.47915,1.47324,1.58614,0.70513,0.57445,0.64338,0.38001,1.44483,1.48794,1.60077,0.009703,0.009703,0.009703
11,796.685,1.44621,1.42626,1.57686,0.7061,0.58537,0.65325,0.38736,1.43293,1.46884,1.58428,0.00967,0.00967,0.00967
12,868.124,1.42629,1.36675,1.55004,0.73525,0.60695,0.67544,0.4086,1.38641,1.40049,1.54852,0.009637,0.009637,0.009637
