epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.186,1.34215,2.29723,1.37725,0.68183,0.59335,0.6404,0.42671,1.18931,1.33053,1.22627,0.0702362,0.00330709,0.00330709
2,186.507,1.18831,1.20003,1.23387,0.71352,0.57509,0.62819,0.41196,1.25027,1.35734,1.27559,0.0402143,0.00661851,0.00661851
3,269.487,1.26231,1.22323,1.26645,0.59999,0.49684,0.53215,0.31533,1.42074,2.20872,1.41585,0.0101704,0.00990793,0.00990793
4,351.401,1.34512,1.30197,1.31642,0.60397,0.52699,0.54365,0.32035,1.42504,1.93593,1.41316,0.009901,0.009901,0.009901
5,432.642,1.31857,1.23966,1.30108,0.68002,0.56997,0.61763,0.37497,1.38329,1.48489,1.37011,0.009868,0.009868,0.009868
6,515.486,1.283,1.1715,1.28435,0.72902,0.55375,0.63106,0.40319,1.31401,1.37861,1.33546,0.009835,0.009835,0.009835
7,597.632,1.26549,1.12046,1.26512,0.74744,0.64213,0.70886,0.45488,1.23712,1.16098,1.27014,0.009802,0.009802,0.009802
8,679.468,1.2393,1.08262,1.25301,0.75556,0.64761,0.71611,0.46644,1.22852,1.13562,1.26159,0.009769,0.009769,0.009769
9,761.375,1.2198,1.04312,1.2425,0.75908,0.64277,0.71493,0.47002,1.24116,1.10881,1.27363,0.009736,0.009736,0.009736
10,843.069,1.20588,1.01273,1.22672,0.78606,0.65805,0.74132,0.49332,1.19286,1.02978,1.23854,0.009703,0.009703,0.009703
11,925.253,1.1856,0.98683,1.2206,0.7629,0.66217,0.73204,0.48942,1.20027,1.07641,1.2358,0.00967,0.00967,0.00967
12,1006.72,1.18256,0.95487,1.21282,0.7679,0.68101,0.75676,0.50764,1.17546,1.02383,1.23158,0.009637,0.009637,0.009637
13,1089.46,1.16305,0.94737,1.20237,0.78732,0.68831,0.75938,0.5127,1.16702,0.9886,1.20903,0.009604,0.009604,0.009604
