epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.4199,3.16095,3.48616,3.50927,0.09866,0.47336,0.25016,0.10587,2.7111,3.56214,3.17004,0.00330623,0.00330623,0.0702439
2,129.38,2.11882,2.05005,2.42358,0.55461,0.44711,0.46038,0.22013,1.88271,2.17471,2.21515,0.00658479,0.00658479,0.0401891
3,193.427,1.79398,1.8008,1.9956,0.56051,0.42118,0.43565,0.2122,1.80797,2.30088,2.04077,0.00980835,0.00980835,0.0100793
4,257.64,1.65444,1.7002,1.81891,0.54661,0.44126,0.44495,0.23347,1.73152,2.22552,1.95892,0.0097525,0.0097525,0.0097525
5,321.711,1.53886,1.54897,1.70203,0.64699,0.50161,0.5583,0.30618,1.57674,1.96664,1.79413,0.00967,0.00967,0.00967
6,385.438,1.47405,1.43254,1.63951,0.63654,0.48067,0.52862,0.298,1.53447,1.80079,1.75213,0.0095875,0.0095875,0.0095875
7,449.171,1.42386,1.34498,1.59,0.69248,0.59755,0.66944,0.39141,1.45223,1.55566,1.66166,0.009505,0.009505,0.009505
8,512.921,1.39127,1.28531,1.55832,0.69936,0.56233,0.63438,0.37741,1.40206,1.52431,1.62677,0.0094225,0.0094225,0.0094225
9,576.375,1.35312,1.21774,1.53531,0.72028,0.61414,0.67786,0.41644,1.37574,1.32019,1.58617,0.00934,0.00934,0.00934
10,639.883,1.32835,1.16919,1.49835,0.73804,0.63833,0.70947,0.44863,1.33265,1.26396,1.55147,0.0092575,0.0092575,0.0092575
11,703.365,1.30335,1.14348,1.49263,0.72865,0.61518,0.67957,0.42908,1.34539,1.29499,1.54308,0.009175,0.009175,0.009175
12,766.788,1.28847,1.10006,1.46656,0.75822,0.66038,0.73107,0.46521,1.29431,1.18597,1.51229,0.0090925,0.0090925,0.0090925
13,830.165,1.27419,1.07671,1.46143,0.78773,0.64586,0.73476,0.47278,1.28391,1.16021,1.50458,0.00901,0.00901,0.00901
14,893.567,1.25045,1.04852,1.43733,0.78762,0.66989,0.74579,0.47973,1.28233,1.09805,1.50477,0.0089275,0.0089275,0.0089275
15,957.055,1.2391,1.01556,1.42917,0.79279,0.66821,0.75349,0.49424,1.25741,1.0946,1.48017,0.008845,0.008845,0.008845
16,1020.59,1.22448,1.00398,1.42011,0.78652,0.69143,0.76314,0.50102,1.23876,1.04042,1.47243,0.0087625,0.0087625,0.0087625
17,1083.98,1.20759,0.97887,1.40765,0.78646,0.70541,0.77312,0.50376,1.24864,1.03465,1.47094,0.00868,0.00868,0.00868
18,1147.53,1.19568,0.96028,1.39818,0.77305,0.69102,0.74933,0.49688,1.23355,1.03659,1.45815,0.0085975,0.0085975,0.0085975
19,1210.99,1.18265,0.94629,1.39609,0.8077,0.70394,0.77805,0.51511,1.22983,0.99388,1.44611,0.008515,0.008515,0.008515
