epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,177.719,1.12694,1.76598,0.57195,0.41594,0.08859,0.08358,0.0321,0.92593,1.15061,0.42674,0.00331973,0.00331973,0.0701224
2,343.297,1.02716,0.70152,0.44787,0.51787,0.42891,0.40671,0.23199,0.74287,0.72855,0.34165,0.00659817,0.00659817,0.0400676
3,507.363,0.89485,0.57251,0.36926,0.71197,0.67456,0.68408,0.43615,0.50001,0.61894,0.2582,0.00982162,0.00982162,0.00995767
4,672.654,0.67492,0.53666,0.26928,0.71723,0.59846,0.63833,0.32821,0.68885,0.56633,0.30451,0.0097525,0.0097525,0.0097525
5,836.948,0.66333,0.50571,0.25122,0.77101,0.69861,0.74273,0.43575,0.52545,0.55839,0.24373,0.00967,0.00967,0.00967
6,1001.19,0.66736,0.49008,0.24616,0.74033,0.55164,0.60146,0.31208,0.7257,0.53406,0.29094,0.0095875,0.0095875,0.0095875
7,1165.65,0.67352,0.4742,0.2406,0.80057,0.70532,0.75981,0.46882,0.50096,0.50673,0.22726,0.009505,0.009505,0.009505
8,1330.21,0.65395,0.46476,0.23125,0.8077,0.74586,0.79739,0.51688,0.43326,0.54126,0.22327,0.0094225,0.0094225,0.0094225
9,1494.55,0.59523,0.46406,0.21018,0.80402,0.74748,0.79221,0.50434,0.46403,0.5265,0.2211,0.00934,0.00934,0.00934
10,1658.96,0.61399,0.45916,0.21455,0.80817,0.72657,0.77598,0.46454,0.52782,0.5044,0.23339,0.0092575,0.0092575,0.0092575
11,1822.93,0.60029,0.45169,0.20743,0.81153,0.75713,0.80057,0.50551,0.46353,0.52309,0.21914,0.009175,0.009175,0.009175
12,1986.89,0.59018,0.44615,0.20063,0.80916,0.66218,0.71468,0.39372,0.63027,0.49912,0.25875,0.0090925,0.0090925,0.0090925
13,2150.67,0.56865,0.44036,0.19325,0.81578,0.77417,0.81485,0.51299,0.45218,0.51108,0.21741,0.00901,0.00901,0.00901
14,2314.12,0.547,0.4386,0.18623,0.81494,0.77142,0.81628,0.52038,0.45301,0.50934,0.21908,0.0089275,0.0089275,0.0089275
15,2477.96,0.5607,0.42984,0.18472,0.82261,0.75654,0.80713,0.51762,0.44731,0.50246,0.21554,0.008845,0.008845,0.008845
16,2642.13,0.53619,0.42552,0.17812,0.82193,0.75054,0.80168,0.52415,0.45656,0.50923,0.22318,0.0087625,0.0087625,0.0087625
17,2805.44,0.56063,0.4276,0.18214,0.82287,0.77154,0.81216,0.53549,0.43152,0.51766,0.21783,0.00868,0.00868,0.00868
18,2968.74,0.55789,0.42135,0.1788,0.81627,0.78861,0.82575,0.55363,0.40466,0.49844,0.20211,0.0085975,0.0085975,0.0085975
19,3131.85,0.51571,0.41782,0.16707,0.83268,0.78703,0.8262,0.56089,0.40991,0.49097,0.21501,0.008515,0.008515,0.008515
20,3295.12,0.5384,0.4122,0.17061,0.81467,0.76495,0.8123,0.54376,0.43582,0.5076,0.21579,0.0084325,0.0084325,0.0084325
21,3457.94,0.52083,0.40988,0.16479,0.83421,0.77534,0.81967,0.5546,0.41191,0.50278,0.21263,0.00835,0.00835,0.00835
22,3620.86,0.50857,0.40528,0.1605,0.83003,0.77283,0.82128,0.55381,0.42474,0.51092,0.2167,0.0082675,0.0082675,0.0082675
23,3783.88,0.5084,0.40597,0.15989,0.81231,0.76771,0.80642,0.53163,0.44362,0.5141,0.21838,0.008185,0.008185,0.008185
24,3947.44,0.51352,0.40653,0.16059,0.83352,0.78144,0.81936,0.55561,0.4191,0.50633,0.21213,0.0081025,0.0081025,0.0081025
25,4111.13,0.51857,0.40621,0.15912,0.83459,0.78341,0.82749,0.56968,0.39809,0.50242,0.20551,0.00802,0.00802,0.00802
26,4274.26,0.49149,0.40014,0.1509,0.82843,0.77777,0.81736,0.55567,0.41394,0.50847,0.21252,0.0079375,0.0079375,0.0079375
27,4437.36,0.47292,0.39163,0.14602,0.83518,0.77767,0.82135,0.56282,0.40042,0.50465,0.21096,0.007855,0.007855,0.007855
28,4600.76,0.50115,0.39676,0.15211,0.84876,0.78338,0.82946,0.57732,0.39746,0.49992,0.20867,0.0077725,0.0077725,0.0077725
29,4764.27,0.46943,0.38984,0.14336,0.82932,0.77999,0.82379,0.55801,0.42486,0.49658,0.21749,0.00769,0.00769,0.00769
30,4927.2,0.47621,0.3866,0.14337,0.83872,0.79181,0.83096,0.57196,0.4037,0.48834,0.20577,0.0076075,0.0076075,0.0076075
31,5091.32,0.49074,0.38813,0.14686,0.83844,0.78238,0.82354,0.57116,0.40709,0.4839,0.21246,0.007525,0.007525,0.007525
32,5254.63,0.46787,0.38927,0.14158,0.83689,0.79005,0.83191,0.57754,0.39189,0.49273,0.20398,0.0074425,0.0074425,0.0074425
33,5417.9,0.44658,0.38335,0.1342,0.84568,0.77929,0.82397,0.57412,0.39926,0.50101,0.20941,0.00736,0.00736,0.00736
34,5581.08,0.47023,0.38478,0.14014,0.84312,0.77799,0.81937,0.56385,0.42056,0.49726,0.21258,0.0072775,0.0072775,0.0072775
35,5743.8,0.44114,0.37918,0.13322,0.83401,0.79017,0.82313,0.57344,0.40308,0.49328,0.21166,0.007195,0.007195,0.007195
36,5907.12,0.42533,0.37479,0.12746,0.84049,0.7861,0.82724,0.58688,0.39054,0.48843,0.20993,0.0071125,0.0071125,0.0071125
37,6070.93,0.45019,0.37411,0.13138,0.84466,0.78909,0.82946,0.57875,0.3975,0.50118,0.20886,0.00703,0.00703,0.00703
38,6234.08,0.43273,0.37247,0.12587,0.83865,0.79109,0.82943,0.58698,0.38037,0.50376,0.20348,0.0069475,0.0069475,0.0069475
39,6397.42,0.44492,0.37372,0.12897,0.84926,0.78762,0.82671,0.57325,0.40053,0.50795,0.21019,0.006865,0.006865,0.006865
40,6561.07,0.43025,0.37357,0.12511,0.83638,0.78486,0.82226,0.57395,0.3981,0.51319,0.20627,0.0067825,0.0067825,0.0067825
41,6724.82,0.42203,0.36927,0.12287,0.84237,0.79537,0.83213,0.58463,0.39553,0.50444,0.20875,0.0067,0.0067,0.0067
42,6888.26,0.40865,0.36479,0.12016,0.8575,0.78826,0.83022,0.58909,0.38922,0.50517,0.20674,0.0066175,0.0066175,0.0066175
43,7051.68,0.40986,0.36365,0.11874,0.84809,0.79038,0.82667,0.58717,0.38926,0.50634,0.2093,0.006535,0.006535,0.006535
44,7215.41,0.41199,0.36278,0.11919,0.84663,0.79124,0.82603,0.58199,0.38986,0.50747,0.20917,0.0064525,0.0064525,0.0064525
45,7377.7,0.39585,0.3621,0.11552,0.84959,0.79033,0.82859,0.58894,0.38562,0.50502,0.20723,0.00637,0.00637,0.00637
46,7539.12,0.4182,0.36408,0.11816,0.83398,0.79549,0.82187,0.5639,0.41822,0.50344,0.21173,0.0062875,0.0062875,0.0062875
47,7700.77,0.42294,0.36883,0.11992,0.84722,0.78826,0.82421,0.58668,0.39222,0.50822,0.21005,0.006205,0.006205,0.006205
48,7864.32,0.40154,0.36051,0.11429,0.84661,0.79732,0.83023,0.59002,0.3856,0.50025,0.20464,0.0061225,0.0061225,0.0061225
49,8028.55,0.41767,0.36677,0.11965,0.84176,0.7944,0.82247,0.57735,0.40671,0.49106,0.21411,0.00604,0.00604,0.00604
50,8192.63,0.38779,0.35274,0.10899,0.85974,0.79443,0.83036,0.59267,0.3863,0.49992,0.2117,0.0059575,0.0059575,0.0059575
51,8356.47,0.37719,0.35211,0.10697,0.86503,0.78168,0.82648,0.59483,0.38949,0.50595,0.21076,0.005875,0.005875,0.005875
52,8520.2,0.39053,0.35502,0.10799,0.85864,0.7902,0.82651,0.59253,0.38614,0.50775,0.20847,0.0057925,0.0057925,0.0057925
53,8683.26,0.38817,0.34949,0.10706,0.85929,0.78945,0.82767,0.59401,0.39047,0.50311,0.21422,0.00571,0.00571,0.00571
54,8846.57,0.37907,0.34923,0.1054,0.85398,0.78899,0.8245,0.59249,0.38394,0.49944,0.21097,0.0056275,0.0056275,0.0056275
55,9009.68,0.35615,0.34138,0.09857,0.8507,0.8014,0.82653,0.59309,0.38893,0.50914,0.20885,0.005545,0.005545,0.005545
56,9173.25,0.35711,0.34389,0.09826,0.86327,0.78853,0.82532,0.59309,0.38837,0.51013,0.21035,0.0054625,0.0054625,0.0054625
57,9336.1,0.3527,0.33831,0.09682,0.86033,0.7981,0.83242,0.59826,0.38318,0.51344,0.20424,0.00538,0.00538,0.00538
58,9499.09,0.36192,0.34112,0.09881,0.85429,0.7976,0.8305,0.58862,0.39596,0.5123,0.20838,0.0052975,0.0052975,0.0052975
