epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.8515,3.75014,4.67292,4.03824,0.00036,0.04567,0.00029,8e-05,3.62692,4.54827,3.6743,0.00330623,0.00330623,0.0702439
2,126.028,3.30559,3.8541,3.22562,0.2077,0.13248,0.07419,0.02482,2.75465,4.08885,2.87051,0.00658479,0.00658479,0.0401891
3,188.048,2.36167,3.01217,2.41692,0.22623,0.22945,0.12776,0.05279,2.25095,4.33859,2.38519,0.00980835,0.00980835,0.0100793
4,249.784,2.0012,2.49146,2.04624,0.38757,0.35317,0.30724,0.13842,1.89919,3.05245,2.01677,0.0097525,0.0097525,0.0097525
5,311.678,1.81851,2.15825,1.86378,0.51738,0.37849,0.37561,0.18532,1.78172,2.49125,1.88972,0.00967,0.00967,0.00967
6,373.296,1.72294,1.97085,1.77231,0.48989,0.40786,0.39977,0.20124,1.70574,2.244,1.82551,0.0095875,0.0095875,0.0095875
7,434.337,1.65572,1.83256,1.70429,0.58931,0.48863,0.52125,0.27728,1.63171,1.93355,1.71801,0.009505,0.009505,0.009505
8,496.186,1.60743,1.73,1.65473,0.61808,0.50659,0.54221,0.29539,1.5733,1.77803,1.67193,0.0094225,0.0094225,0.0094225
9,558.031,1.55704,1.63549,1.62332,0.63452,0.52032,0.56123,0.32061,1.53688,1.74353,1.63375,0.00934,0.00934,0.00934
10,619.21,1.53007,1.55985,1.58513,0.64013,0.53419,0.58006,0.32928,1.53308,1.67013,1.63133,0.0092575,0.0092575,0.0092575
11,680.966,1.49778,1.51861,1.57695,0.69893,0.5668,0.62759,0.37011,1.46538,1.57855,1.57384,0.009175,0.009175,0.009175
12,741.93,1.47619,1.45337,1.54885,0.7134,0.57345,0.64371,0.38143,1.44273,1.4791,1.55386,0.0090925,0.0090925,0.0090925
13,803.918,1.45767,1.42278,1.53655,0.70562,0.58423,0.65094,0.38926,1.43549,1.43043,1.53987,0.00901,0.00901,0.00901
14,864.732,1.43028,1.38314,1.50939,0.7188,0.59105,0.66158,0.40683,1.4105,1.379,1.52242,0.0089275,0.0089275,0.0089275
15,925.945,1.40984,1.33794,1.49593,0.73441,0.61981,0.68302,0.42229,1.37652,1.32907,1.49137,0.008845,0.008845,0.008845
16,986.584,1.39897,1.31603,1.49065,0.74584,0.62203,0.68948,0.4319,1.3497,1.28907,1.47776,0.0087625,0.0087625,0.0087625
17,1047.58,1.37434,1.27548,1.47087,0.75318,0.63015,0.70673,0.4415,1.35891,1.27916,1.47123,0.00868,0.00868,0.00868
18,1108.02,1.36259,1.24985,1.46353,0.71647,0.62249,0.6747,0.42238,1.35278,1.32697,1.46621,0.0085975,0.0085975,0.0085975
19,1168.95,1.34559,1.23737,1.45773,0.74998,0.65359,0.71165,0.45145,1.32582,1.21986,1.45361,0.008515,0.008515,0.008515
20,1229.54,1.33949,1.22067,1.44764,0.76201,0.63591,0.71586,0.45936,1.30597,1.19099,1.43292,0.0084325,0.0084325,0.0084325
21,1290.21,1.32246,1.19291,1.42695,0.76675,0.65159,0.72322,0.46465,1.30981,1.20021,1.44086,0.00835,0.00835,0.00835
22,1350.84,1.31053,1.16742,1.42316,0.76748,0.65572,0.72334,0.46971,1.29584,1.16871,1.42892,0.0082675,0.0082675,0.0082675
23,1411.64,1.30369,1.1619,1.41464,0.78897,0.64878,0.73708,0.48105,1.27699,1.12565,1.40966,0.008185,0.008185,0.008185
24,1472.96,1.29585,1.138,1.40886,0.746,0.67626,0.73516,0.48004,1.27615,1.13998,1.40861,0.0081025,0.0081025,0.0081025
25,1533.69,1.28601,1.12567,1.40224,0.78583,0.66453,0.74047,0.48575,1.26815,1.11137,1.40999,0.00802,0.00802,0.00802
26,1594.53,1.26951,1.1051,1.3908,0.78541,0.6705,0.74831,0.49415,1.25102,1.10267,1.39044,0.0079375,0.0079375,0.0079375
27,1655.18,1.26469,1.08757,1.3788,0.78214,0.66592,0.74224,0.48627,1.26023,1.11781,1.39845,0.007855,0.007855,0.007855
28,1717.31,1.25918,1.07361,1.37826,0.7937,0.68141,0.75099,0.49622,1.24633,1.09821,1.3843,0.0077725,0.0077725,0.0077725
29,1778.86,1.24835,1.05475,1.37158,0.77392,0.68648,0.75675,0.50289,1.23989,1.08651,1.37804,0.00769,0.00769,0.00769
30,1840.38,1.23692,1.05068,1.36911,0.77441,0.70043,0.75953,0.50904,1.21624,1.05226,1.37108,0.0076075,0.0076075,0.0076075
31,1900.96,1.22415,1.04707,1.35947,0.80059,0.69264,0.76589,0.51149,1.22139,1.01656,1.36416,0.007525,0.007525,0.007525
