epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.3579,3.73931,4.62131,3.98789,0.00045,0.04273,0.00055,0.00014,3.57275,4.43439,3.52368,0.00330623,0.00330623,0.0702439
2,125.22,3.21666,3.71365,3.15415,0.1163,0.1363,0.07355,0.02598,2.66983,3.68634,2.77922,0.00658479,0.00658479,0.0401891
3,187.939,2.36788,2.98823,2.4258,0.30339,0.15491,0.11836,0.04734,2.28989,4.04728,2.4665,0.00980835,0.00980835,0.0100793
4,250.193,1.99352,2.45576,2.04463,0.38408,0.33105,0.28296,0.11942,2.00344,2.93783,2.11803,0.0097525,0.0097525,0.0097525
5,312.392,1.81486,2.14612,1.86861,0.4563,0.31676,0.2868,0.13484,1.85643,2.69723,1.97411,0.00967,0.00967,0.00967
6,373.573,1.72425,1.96268,1.77716,0.49483,0.41128,0.40852,0.2116,1.72466,2.31724,1.82417,0.0095875,0.0095875,0.0095875
7,434.727,1.65643,1.82664,1.70719,0.60845,0.45706,0.50437,0.2643,1.63399,1.95284,1.72356,0.009505,0.009505,0.009505
8,495.749,1.60741,1.7344,1.6552,0.63541,0.50119,0.54499,0.29658,1.57005,1.78135,1.65841,0.0094225,0.0094225,0.0094225
9,557.516,1.55918,1.64265,1.62314,0.63365,0.51739,0.56256,0.321,1.54074,1.73999,1.63251,0.00934,0.00934,0.00934
10,618.282,1.52984,1.56834,1.57958,0.64593,0.53868,0.58729,0.33387,1.51605,1.67504,1.60808,0.0092575,0.0092575,0.0092575
11,679.352,1.49944,1.52641,1.56833,0.6931,0.57435,0.63022,0.37097,1.46629,1.52907,1.55671,0.009175,0.009175,0.009175
12,740.801,1.48133,1.46575,1.54392,0.71791,0.5799,0.64349,0.38148,1.4318,1.52806,1.52957,0.0090925,0.0090925,0.0090925
13,803.461,1.45991,1.43159,1.52854,0.6815,0.57428,0.63373,0.37918,1.43328,1.49009,1.52227,0.00901,0.00901,0.00901
14,864.407,1.43576,1.3928,1.50253,0.73021,0.59502,0.66645,0.41228,1.39285,1.36459,1.49322,0.0089275,0.0089275,0.0089275
15,925.146,1.4153,1.35236,1.48888,0.7346,0.59149,0.66173,0.4067,1.39174,1.39194,1.48711,0.008845,0.008845,0.008845
16,985.243,1.40586,1.33353,1.48354,0.72426,0.6172,0.68282,0.4254,1.35399,1.34838,1.46553,0.0087625,0.0087625,0.0087625
17,1046.56,1.37923,1.29372,1.46266,0.75594,0.61541,0.69459,0.43443,1.35705,1.30514,1.46018,0.00868,0.00868,0.00868
18,1106.75,1.36594,1.26304,1.45472,0.71574,0.64064,0.67682,0.42457,1.3527,1.27896,1.45728,0.0085975,0.0085975,0.0085975
19,1167.96,1.35173,1.25311,1.44948,0.74618,0.6307,0.6931,0.43898,1.33751,1.26005,1.43709,0.008515,0.008515,0.008515
20,1229.19,1.35098,1.23842,1.44343,0.74788,0.63234,0.70162,0.44974,1.31803,1.24551,1.4277,0.0084325,0.0084325,0.0084325
21,1290.6,1.3283,1.21085,1.4189,0.75745,0.66221,0.72556,0.46308,1.31346,1.19562,1.42048,0.00835,0.00835,0.00835
