epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.4184,3.62228,4.15399,3.58848,0.02748,0.1862,0.02666,0.00843,3.38953,4.19074,3.29481,0.00330623,0.00330623,0.0702439
2,127.704,3.05172,3.4842,2.97999,0.19839,0.10536,0.0663,0.02255,2.70763,4.55194,2.81556,0.00658479,0.00658479,0.0401891
3,190.465,2.51461,3.07074,2.49352,0.16656,0.1909,0.09769,0.03825,2.4618,6.42765,2.57725,0.00980835,0.00980835,0.0100793
4,251.368,2.20272,2.6724,2.14619,0.37269,0.2739,0.22172,0.0888,2.12775,2.94406,2.12198,0.0097525,0.0097525,0.0097525
5,312.858,2.03062,2.37348,1.94672,0.44615,0.32513,0.3108,0.1338,1.99715,2.56815,1.98031,0.00967,0.00967,0.00967
6,374.295,1.93223,2.19725,1.84116,0.48891,0.33307,0.32153,0.14306,1.97166,2.50258,1.92484,0.0095875,0.0095875,0.0095875
7,434.961,1.85844,2.06014,1.75732,0.54316,0.40897,0.4229,0.20176,1.83818,2.10031,1.77184,0.009505,0.009505,0.009505
8,496.588,1.80288,1.95493,1.69669,0.60271,0.4353,0.47294,0.23488,1.78327,2.02299,1.7269,0.0094225,0.0094225,0.0094225
9,557.654,1.74657,1.85517,1.65162,0.63514,0.47912,0.52502,0.27302,1.70906,1.84228,1.63748,0.00934,0.00934,0.00934
10,618.47,1.71346,1.79018,1.6054,0.61601,0.47463,0.50465,0.26654,1.68102,1.84034,1.62178,0.0092575,0.0092575,0.0092575
11,680.531,1.6788,1.74039,1.58838,0.65694,0.49957,0.55502,0.29898,1.62626,1.75351,1.56364,0.009175,0.009175,0.009175
12,741.725,1.6499,1.66881,1.5524,0.64091,0.51256,0.57215,0.31243,1.6193,1.74686,1.55792,0.0090925,0.0090925,0.0090925
13,803.906,1.63214,1.63931,1.53838,0.66078,0.5154,0.57037,0.31775,1.60243,1.68142,1.54554,0.00901,0.00901,0.00901
14,864.589,1.60384,1.59468,1.50954,0.68674,0.51384,0.58214,0.3265,1.59264,1.65746,1.52935,0.0089275,0.0089275,0.0089275
15,925.743,1.58035,1.55224,1.48978,0.68795,0.54972,0.61293,0.34687,1.55342,1.59088,1.49268,0.008845,0.008845,0.008845
16,986.064,1.57034,1.53015,1.48028,0.69025,0.53438,0.59855,0.34169,1.55954,1.56819,1.48258,0.0087625,0.0087625,0.0087625
17,1047.15,1.54021,1.48857,1.46034,0.71516,0.56955,0.63592,0.36239,1.54265,1.52918,1.47908,0.00868,0.00868,0.00868
18,1107.5,1.52323,1.45575,1.44622,0.70508,0.58299,0.64275,0.37614,1.49223,1.45247,1.44126,0.0085975,0.0085975,0.0085975
19,1168.54,1.50808,1.44299,1.43774,0.71672,0.5714,0.64144,0.37975,1.48995,1.44858,1.43508,0.008515,0.008515,0.008515
20,1229.15,1.50204,1.42054,1.42613,0.71305,0.59649,0.66113,0.3969,1.4594,1.38929,1.40714,0.0084325,0.0084325,0.0084325
21,1290.09,1.47981,1.38854,1.40319,0.74401,0.59182,0.66811,0.4006,1.45816,1.38728,1.40778,0.00835,0.00835,0.00835
22,1351.22,1.4678,1.36541,1.39423,0.74183,0.60715,0.67889,0.40837,1.44329,1.39279,1.39504,0.0082675,0.0082675,0.0082675
23,1412.25,1.45694,1.35414,1.38535,0.74672,0.58473,0.66822,0.40654,1.43496,1.37697,1.3865,0.008185,0.008185,0.008185
24,1473.21,1.45112,1.32603,1.3778,0.7345,0.62163,0.69213,0.4241,1.41032,1.30122,1.36686,0.0081025,0.0081025,0.0081025
25,1533.86,1.44156,1.31668,1.36926,0.73331,0.61611,0.68983,0.4224,1.40407,1.31519,1.36479,0.00802,0.00802,0.00802
26,1594.74,1.42318,1.29616,1.35759,0.75158,0.61914,0.69803,0.42869,1.40393,1.30558,1.36452,0.0079375,0.0079375,0.0079375
27,1655.18,1.41451,1.27092,1.34719,0.76205,0.61172,0.69334,0.42935,1.39773,1.30986,1.35266,0.007855,0.007855,0.007855
28,1716.58,1.40595,1.25566,1.33815,0.76287,0.63339,0.71256,0.44305,1.37248,1.25115,1.33425,0.0077725,0.0077725,0.0077725
29,1777.47,1.39467,1.23983,1.33138,0.77419,0.63016,0.71014,0.43861,1.38704,1.28015,1.349,0.00769,0.00769,0.00769
30,1838.66,1.38261,1.22599,1.32768,0.77199,0.64075,0.71641,0.45302,1.3593,1.22898,1.3261,0.0076075,0.0076075,0.0076075
31,1899.2,1.37221,1.22221,1.31983,0.76211,0.64457,0.71557,0.45144,1.34889,1.22482,1.31397,0.007525,0.007525,0.007525
32,1960.46,1.36726,1.20002,1.30825,0.77334,0.64713,0.72613,0.4599,1.33427,1.21599,1.30962,0.0074425,0.0074425,0.0074425
33,2022.29,1.35922,1.19122,1.30843,0.77777,0.65501,0.73068,0.4662,1.33179,1.18493,1.30342,0.00736,0.00736,0.00736
34,2083.07,1.35312,1.17467,1.29506,0.78783,0.65707,0.73238,0.46647,1.32791,1.1892,1.29785,0.0072775,0.0072775,0.0072775
35,2143.22,1.34799,1.15876,1.29572,0.77053,0.65659,0.73084,0.46914,1.31994,1.19127,1.29954,0.007195,0.007195,0.007195
36,2205,1.33526,1.14784,1.28724,0.76609,0.66236,0.7371,0.46817,1.32327,1.17001,1.28883,0.0071125,0.0071125,0.0071125
37,2266.05,1.32822,1.14002,1.28178,0.79046,0.67202,0.74802,0.48232,1.29979,1.15051,1.28159,0.00703,0.00703,0.00703
38,2327.15,1.32546,1.13336,1.27719,0.7953,0.66166,0.7455,0.47981,1.30253,1.15151,1.27692,0.0069475,0.0069475,0.0069475
39,2387.48,1.31347,1.12154,1.27154,0.77933,0.67615,0.75069,0.48293,1.29934,1.12101,1.26986,0.006865,0.006865,0.006865
40,2448.22,1.30767,1.10881,1.26907,0.78007,0.67793,0.75344,0.48784,1.29082,1.11488,1.26959,0.0067825,0.0067825,0.0067825
41,2509.3,1.29908,1.1011,1.25994,0.79142,0.67293,0.75227,0.49026,1.28093,1.1245,1.26321,0.0067,0.0067,0.0067
42,2571.12,1.29643,1.0937,1.255,0.78433,0.6836,0.75553,0.49439,1.27194,1.10571,1.25743,0.0066175,0.0066175,0.0066175
43,2631.52,1.28994,1.08205,1.24711,0.79657,0.67633,0.75945,0.49249,1.27776,1.1094,1.25667,0.006535,0.006535,0.006535
44,2692.14,1.27769,1.06801,1.24483,0.79807,0.68736,0.76401,0.49941,1.2655,1.07971,1.2537,0.0064525,0.0064525,0.0064525
45,2752.69,1.2772,1.06338,1.24456,0.79936,0.69016,0.76211,0.50041,1.25976,1.10532,1.24635,0.00637,0.00637,0.00637
46,2813.52,1.26977,1.0505,1.23997,0.81361,0.69208,0.77119,0.50707,1.25518,1.06934,1.24375,0.0062875,0.0062875,0.0062875
47,2874.04,1.26768,1.04347,1.23116,0.80888,0.68909,0.76947,0.50851,1.24888,1.06379,1.2381,0.006205,0.006205,0.006205
48,2934.64,1.26216,1.03519,1.23456,0.81171,0.68775,0.77363,0.50894,1.25068,1.05912,1.24255,0.0061225,0.0061225,0.0061225
49,2996.16,1.25659,1.03136,1.2282,0.80514,0.69953,0.77678,0.51437,1.24461,1.03397,1.23509,0.00604,0.00604,0.00604
50,3057.19,1.25274,1.02395,1.22551,0.80973,0.70036,0.77616,0.51568,1.23651,1.03725,1.22884,0.0059575,0.0059575,0.0059575
51,3119,1.2383,1.01241,1.21828,0.81459,0.69441,0.77503,0.51551,1.23056,1.03438,1.22629,0.005875,0.005875,0.005875
52,3179.45,1.23989,1.00809,1.21836,0.80706,0.70105,0.7758,0.51561,1.22649,1.02924,1.22328,0.0057925,0.0057925,0.0057925
53,3240.14,1.23294,0.99913,1.21167,0.80612,0.70659,0.7817,0.52021,1.23118,1.01902,1.22612,0.00571,0.00571,0.00571
54,3301.16,1.22491,0.99385,1.21095,0.80858,0.70503,0.7795,0.52215,1.22481,1.0305,1.21975,0.0056275,0.0056275,0.0056275
55,3361.95,1.22643,0.98676,1.20815,0.79719,0.71403,0.78228,0.52441,1.22121,1.02258,1.21907,0.005545,0.005545,0.005545
56,3422.95,1.22695,0.99074,1.20828,0.81097,0.71017,0.78316,0.5253,1.21145,1.02118,1.21394,0.0054625,0.0054625,0.0054625
57,3483.93,1.21449,0.97705,1.20362,0.79854,0.72045,0.7869,0.52886,1.20969,1.00381,1.20975,0.00538,0.00538,0.00538
58,3545.36,1.21017,0.96194,1.19729,0.80902,0.71706,0.78742,0.53003,1.20772,0.99072,1.20946,0.0052975,0.0052975,0.0052975
59,3606,1.20451,0.95905,1.19025,0.81094,0.71694,0.78812,0.53161,1.20309,0.99853,1.20543,0.005215,0.005215,0.005215
60,3666.33,1.20298,0.95399,1.19228,0.80893,0.71995,0.78839,0.53343,1.20313,0.99532,1.20222,0.0051325,0.0051325,0.0051325
61,3726.97,1.2,0.94537,1.19061,0.81643,0.71783,0.79426,0.53545,1.2031,0.98341,1.20591,0.00505,0.00505,0.00505
62,3787.46,1.18396,0.93478,1.18258,0.81382,0.7228,0.79309,0.53669,1.20137,0.9829,1.2022,0.0049675,0.0049675,0.0049675
63,3848.22,1.188,0.93223,1.18408,0.81644,0.72669,0.79578,0.53836,1.19727,0.97503,1.19863,0.004885,0.004885,0.004885
64,3909.73,1.18465,0.9227,1.18029,0.81552,0.72244,0.79491,0.53849,1.1986,0.9748,1.19798,0.0048025,0.0048025,0.0048025
65,3971.32,1.17592,0.91497,1.17434,0.81467,0.72294,0.79624,0.5389,1.19794,0.97563,1.20167,0.00472,0.00472,0.00472
66,4031.72,1.1748,0.92093,1.17643,0.82632,0.72124,0.79761,0.54144,1.19164,0.97142,1.19738,0.0046375,0.0046375,0.0046375
67,4092.15,1.16824,0.91061,1.17177,0.82773,0.71846,0.79838,0.54144,1.19053,0.95986,1.19475,0.004555,0.004555,0.004555
68,4152.85,1.16827,0.90693,1.17079,0.81855,0.72863,0.79992,0.54267,1.18849,0.95884,1.19138,0.0044725,0.0044725,0.0044725
69,4213.08,1.15701,0.901,1.16538,0.81282,0.73755,0.80192,0.54396,1.18782,0.957,1.19055,0.00439,0.00439,0.00439
70,4273.61,1.16512,0.8956,1.16284,0.83051,0.72704,0.80405,0.54571,1.18542,0.94662,1.18978,0.0043075,0.0043075,0.0043075
71,4333.97,1.15877,0.89345,1.16402,0.82467,0.73094,0.80491,0.54654,1.18462,0.9432,1.1891,0.004225,0.004225,0.004225
72,4394.13,1.14839,0.8771,1.15911,0.82413,0.7295,0.80397,0.5484,1.17959,0.94645,1.18899,0.0041425,0.0041425,0.0041425
73,4454.75,1.15182,0.88681,1.15748,0.82359,0.73219,0.80605,0.55019,1.17571,0.93951,1.18382,0.00406,0.00406,0.00406
