epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5398,3.62323,4.14833,3.57716,0.03189,0.17693,0.0277,0.00843,3.38936,4.20442,3.3068,0.00330623,0.00330623,0.0702439
2,136.401,3.04267,3.48141,2.95315,0.29063,0.06949,0.05294,0.01977,2.74909,4.42296,2.83643,0.00658479,0.00658479,0.0401891
3,198.811,2.50003,3.04963,2.4678,0.20994,0.18768,0.11728,0.04553,2.35412,3.51283,2.38502,0.00980835,0.00980835,0.0100793
4,260.656,2.20009,2.66109,2.13624,0.34297,0.29924,0.23849,0.09183,2.13824,2.83203,2.08135,0.0097525,0.0097525,0.0097525
5,322.574,2.03241,2.36448,1.94192,0.44634,0.31724,0.29836,0.12737,2.01648,2.53281,2.00044,0.00967,0.00967,0.00967
6,384.632,1.9359,2.18821,1.8358,0.46455,0.37259,0.36602,0.1712,1.89676,2.33945,1.8426,0.0095875,0.0095875,0.0095875
7,445.829,1.85673,2.05121,1.7468,0.56402,0.42814,0.45558,0.22291,1.82464,2.04186,1.75875,0.009505,0.009505,0.009505
8,507.965,1.80452,1.948,1.68923,0.59958,0.44148,0.47657,0.23984,1.76835,1.9565,1.71493,0.0094225,0.0094225,0.0094225
9,570.126,1.7481,1.85417,1.64779,0.62323,0.47412,0.51647,0.26935,1.71267,1.86809,1.63879,0.00934,0.00934,0.00934
10,631.865,1.71214,1.78432,1.59795,0.645,0.47227,0.5286,0.28191,1.68216,1.81854,1.62101,0.0092575,0.0092575,0.0092575
11,693.99,1.68065,1.73937,1.58227,0.63559,0.51503,0.55955,0.3014,1.64791,1.71583,1.58468,0.009175,0.009175,0.009175
12,755.507,1.65075,1.66865,1.54736,0.64604,0.51959,0.57253,0.31388,1.61872,1.73369,1.55839,0.0090925,0.0090925,0.0090925
13,818.18,1.62991,1.63804,1.53178,0.66584,0.51617,0.58081,0.32552,1.5971,1.67717,1.53051,0.00901,0.00901,0.00901
14,879.498,1.60043,1.59545,1.50057,0.69722,0.52378,0.60008,0.34154,1.56208,1.61883,1.49575,0.0089275,0.0089275,0.0089275
15,941.036,1.57759,1.54959,1.48011,0.68993,0.54679,0.60139,0.34091,1.54955,1.60861,1.48531,0.008845,0.008845,0.008845
16,1002.2,1.56419,1.52554,1.46841,0.68594,0.55305,0.61583,0.35307,1.53781,1.52872,1.45366,0.0087625,0.0087625,0.0087625
17,1063.67,1.53393,1.48526,1.44718,0.71196,0.56505,0.63065,0.36397,1.5144,1.5256,1.45005,0.00868,0.00868,0.00868
18,1124.94,1.51903,1.4534,1.43198,0.70233,0.56884,0.63042,0.37066,1.49188,1.47146,1.43375,0.0085975,0.0085975,0.0085975
19,1187.14,1.50241,1.44324,1.42468,0.72767,0.57246,0.64631,0.38072,1.48646,1.4441,1.42343,0.008515,0.008515,0.008515
20,1248.77,1.49424,1.41532,1.4118,0.7045,0.60016,0.65874,0.39397,1.4587,1.40403,1.40452,0.0084325,0.0084325,0.0084325
21,1310.27,1.47267,1.38153,1.3913,0.74165,0.59504,0.67481,0.40581,1.4488,1.37753,1.38825,0.00835,0.00835,0.00835
22,1371.26,1.46318,1.36397,1.3843,0.7445,0.59246,0.66663,0.40064,1.44277,1.39857,1.38018,0.0082675,0.0082675,0.0082675
23,1432.74,1.45161,1.35047,1.37605,0.74622,0.59347,0.67252,0.40959,1.42193,1.38242,1.36839,0.008185,0.008185,0.008185
24,1494.68,1.44703,1.32757,1.36791,0.72673,0.61424,0.68291,0.41513,1.41816,1.3221,1.36093,0.0081025,0.0081025,0.0081025
25,1556,1.43326,1.31219,1.35609,0.73827,0.62289,0.69817,0.4275,1.39481,1.29674,1.35158,0.00802,0.00802,0.00802
