epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.6973,1.66312,3.85544,1.5339,0.03533,0.30997,0.06563,0.03549,1.71468,3.89222,1.42026,0.00327957,0.00327957,0.0704839
2,95.2166,1.52361,2.49294,1.43312,0.68725,0.16326,0.19275,0.10326,1.81939,3.56429,1.83546,0.00655835,0.00655835,0.0404293
3,122.966,1.47992,1.94257,1.38812,0.28631,0.06945,0.02793,0.01217,2.27328,4.274,2.4415,0.00978212,0.00978212,0.0103198
4,154.029,1.49621,1.79929,1.38115,0.38155,0.242,0.1965,0.09542,1.81371,4.08566,1.63364,0.0097525,0.0097525,0.0097525
5,183.654,1.45463,1.65629,1.35912,0.29911,0.31038,0.19193,0.09757,1.82468,5.20807,1.70342,0.00967,0.00967,0.00967
6,212.125,1.41893,1.56618,1.33909,0.5357,0.43006,0.43037,0.24496,1.54499,2.52143,1.4305,0.0095875,0.0095875,0.0095875
7,241.187,1.39622,1.47771,1.32317,0.48567,0.34254,0.32917,0.18792,1.66684,2.84829,1.65354,0.009505,0.009505,0.009505
8,269.722,1.38126,1.41658,1.30842,0.62091,0.44603,0.48307,0.28142,1.53057,1.99124,1.48471,0.0094225,0.0094225,0.0094225
9,299.338,1.35218,1.36879,1.29075,0.60903,0.45848,0.49415,0.28945,1.50918,1.98907,1.43209,0.00934,0.00934,0.00934
10,328.901,1.34181,1.32187,1.2864,0.65285,0.4646,0.51839,0.31171,1.49101,1.82852,1.42882,0.0092575,0.0092575,0.0092575
11,357.339,1.32757,1.28355,1.27617,0.67988,0.59055,0.63976,0.39375,1.37031,1.56237,1.32299,0.009175,0.009175,0.009175
12,385.729,1.32209,1.25978,1.27247,0.70935,0.56191,0.62563,0.37896,1.40962,1.54933,1.34004,0.0090925,0.0090925,0.0090925
13,413.982,1.30817,1.22733,1.26578,0.68888,0.51538,0.58719,0.3551,1.40555,1.61157,1.34671,0.00901,0.00901,0.00901
14,442.377,1.30321,1.20702,1.25667,0.72785,0.52773,0.61887,0.37831,1.41781,1.59616,1.36612,0.0089275,0.0089275,0.0089275
15,471.745,1.29432,1.1724,1.24953,0.70233,0.59397,0.65137,0.411,1.33699,1.38281,1.30204,0.008845,0.008845,0.008845
16,500.322,1.28244,1.16285,1.24722,0.68448,0.54794,0.61126,0.38313,1.3672,1.43883,1.31885,0.0087625,0.0087625,0.0087625
17,527.995,1.27126,1.13748,1.23331,0.74043,0.62565,0.69287,0.44743,1.27901,1.25545,1.25881,0.00868,0.00868,0.00868
18,555.589,1.26476,1.12564,1.22924,0.70228,0.49976,0.56421,0.35172,1.42365,1.53733,1.39628,0.0085975,0.0085975,0.0085975
19,582.719,1.26058,1.10941,1.22372,0.73644,0.54725,0.62947,0.39335,1.3538,1.45787,1.29685,0.008515,0.008515,0.008515
20,610.018,1.25536,1.09546,1.22062,0.75146,0.63982,0.71123,0.45329,1.28255,1.20642,1.2673,0.0084325,0.0084325,0.0084325
21,638.513,1.24644,1.08816,1.22039,0.7455,0.61162,0.6843,0.43105,1.30737,1.31549,1.26092,0.00835,0.00835,0.00835
22,665.654,1.24794,1.07202,1.21849,0.71394,0.56909,0.6364,0.40695,1.32768,1.38898,1.28559,0.0082675,0.0082675,0.0082675
23,692.891,1.23669,1.05894,1.20856,0.73661,0.57092,0.6437,0.40849,1.3442,1.38886,1.30369,0.008185,0.008185,0.008185
24,719.963,1.22991,1.03587,1.20614,0.75497,0.62698,0.70182,0.45492,1.30351,1.19063,1.27047,0.0081025,0.0081025,0.0081025
25,747.174,1.22349,1.03644,1.20425,0.76233,0.60938,0.69257,0.45961,1.25873,1.20109,1.25032,0.00802,0.00802,0.00802
26,774.09,1.21776,1.02439,1.19673,0.6903,0.53106,0.60497,0.38611,1.36068,1.54093,1.31676,0.0079375,0.0079375,0.0079375
27,802.383,1.21435,1.01124,1.19561,0.77438,0.66963,0.74594,0.49673,1.21986,1.08888,1.21072,0.007855,0.007855,0.007855
28,829.567,1.20851,1.00334,1.19307,0.73899,0.65743,0.72496,0.47671,1.24754,1.154,1.21712,0.0077725,0.0077725,0.0077725
29,859.548,1.20126,0.99554,1.18518,0.76242,0.64541,0.72103,0.47111,1.26207,1.12273,1.22793,0.00769,0.00769,0.00769
30,886.567,1.19905,0.98075,1.18505,0.7848,0.6617,0.73919,0.49025,1.22349,1.12119,1.21692,0.0076075,0.0076075,0.0076075
31,913.647,1.19261,0.97998,1.18103,0.76656,0.64834,0.71972,0.47695,1.23031,1.10362,1.21471,0.007525,0.007525,0.007525
32,940.745,1.18871,0.96667,1.17641,0.78919,0.6631,0.74644,0.49004,1.25216,1.05204,1.22288,0.0074425,0.0074425,0.0074425
33,967.701,1.17859,0.95636,1.16944,0.7829,0.64018,0.7217,0.48218,1.23395,1.14534,1.22611,0.00736,0.00736,0.00736
34,994.669,1.17679,0.95912,1.17479,0.77594,0.61059,0.68111,0.45109,1.28427,1.20092,1.25411,0.0072775,0.0072775,0.0072775
35,1021.88,1.17736,0.94574,1.17089,0.79257,0.69577,0.76977,0.51379,1.19716,0.99844,1.18031,0.007195,0.007195,0.007195
36,1049.03,1.17477,0.938,1.16479,0.79742,0.6714,0.75588,0.51209,1.19251,1.02055,1.18866,0.0071125,0.0071125,0.0071125
37,1076.37,1.16969,0.93762,1.16538,0.79091,0.68335,0.76005,0.51284,1.20151,1.0269,1.19381,0.00703,0.00703,0.00703
38,1103.32,1.15088,0.92053,1.15782,0.80641,0.68333,0.76975,0.51941,1.18794,0.99384,1.18227,0.0069475,0.0069475,0.0069475
39,1130.26,1.16016,0.91487,1.1558,0.78948,0.69453,0.76811,0.5185,1.18711,0.99556,1.17475,0.006865,0.006865,0.006865
40,1157.46,1.15226,0.91416,1.15365,0.7707,0.71318,0.76267,0.51187,1.18501,1.00313,1.1771,0.0067825,0.0067825,0.0067825
41,1184.51,1.15764,0.90836,1.14972,0.79296,0.68831,0.7662,0.5226,1.17415,0.99027,1.17311,0.0067,0.0067,0.0067
42,1211.75,1.15127,0.90194,1.1498,0.79683,0.70904,0.77802,0.53055,1.1711,0.96513,1.16253,0.0066175,0.0066175,0.0066175
43,1238.82,1.14276,0.89835,1.14636,0.78088,0.63336,0.72486,0.48879,1.21549,1.13624,1.19342,0.006535,0.006535,0.006535
44,1266.1,1.14619,0.88999,1.14574,0.79822,0.69496,0.76662,0.51186,1.19515,1.01177,1.18723,0.0064525,0.0064525,0.0064525
45,1292.99,1.13946,0.88287,1.14396,0.81685,0.71177,0.79103,0.54342,1.15794,0.92747,1.15564,0.00637,0.00637,0.00637
46,1320.08,1.14155,0.88187,1.14112,0.81287,0.67554,0.75977,0.51225,1.20212,0.98845,1.17401,0.0062875,0.0062875,0.0062875
47,1347.26,1.13012,0.86925,1.13274,0.8107,0.69262,0.77342,0.52477,1.1847,0.95519,1.16672,0.006205,0.006205,0.006205
48,1374.59,1.13302,0.87275,1.138,0.80581,0.71885,0.78711,0.53773,1.16491,0.93476,1.16237,0.0061225,0.0061225,0.0061225
49,1401.72,1.12096,0.86177,1.13259,0.79511,0.68098,0.7592,0.51484,1.18738,1.00564,1.17985,0.00604,0.00604,0.00604
50,1429.32,1.11774,0.85563,1.1256,0.80727,0.72474,0.7989,0.54739,1.15309,0.90382,1.15042,0.0059575,0.0059575,0.0059575
51,1456.36,1.12765,0.8592,1.12926,0.81091,0.70579,0.78335,0.53586,1.1651,0.93674,1.15922,0.005875,0.005875,0.005875
52,1483.25,1.11624,0.84103,1.12038,0.81675,0.7209,0.79333,0.54542,1.15306,0.89721,1.15333,0.0057925,0.0057925,0.0057925
53,1510.69,1.11075,0.84188,1.1201,0.81276,0.72421,0.79539,0.54854,1.14739,0.90481,1.1471,0.00571,0.00571,0.00571
54,1538.22,1.10251,0.82934,1.11675,0.80842,0.72005,0.79066,0.53999,1.15946,0.95103,1.1503,0.0056275,0.0056275,0.0056275
55,1565.13,1.10538,0.82894,1.11704,0.82137,0.71698,0.79431,0.54932,1.1344,0.90763,1.14117,0.005545,0.005545,0.005545
56,1592.17,1.10533,0.82444,1.11858,0.82795,0.71752,0.79888,0.55555,1.13131,0.89681,1.13789,0.0054625,0.0054625,0.0054625
57,1619.27,1.10533,0.82808,1.11436,0.81486,0.7175,0.79196,0.5421,1.15855,0.8971,1.14178,0.00538,0.00538,0.00538
58,1646.42,1.09932,0.81639,1.11131,0.80733,0.70189,0.77896,0.53535,1.16373,0.95068,1.1551,0.0052975,0.0052975,0.0052975
59,1673.43,1.09239,0.81058,1.10791,0.81856,0.7114,0.79118,0.54963,1.13856,0.91415,1.14222,0.005215,0.005215,0.005215
60,1700.37,1.09101,0.80478,1.10509,0.81938,0.73159,0.80295,0.55804,1.12623,0.87346,1.13135,0.0051325,0.0051325,0.0051325
61,1727.24,1.0915,0.8033,1.10595,0.80513,0.73494,0.79584,0.54868,1.14891,0.89228,1.14549,0.00505,0.00505,0.00505
62,1754.11,1.09052,0.79873,1.10491,0.81642,0.71828,0.79338,0.54888,1.14385,0.89749,1.14121,0.0049675,0.0049675,0.0049675
63,1780.99,1.08651,0.79823,1.1048,0.80838,0.73927,0.80656,0.5646,1.11678,0.87097,1.12457,0.004885,0.004885,0.004885
64,1807.97,1.08133,0.79446,1.10054,0.82933,0.7323,0.80556,0.56283,1.12821,0.87648,1.12869,0.0048025,0.0048025,0.0048025
65,1835.32,1.07707,0.78097,1.09921,0.82853,0.73146,0.80383,0.56357,1.12098,0.87205,1.124,0.00472,0.00472,0.00472
66,1862.42,1.07551,0.78353,1.09749,0.82452,0.73497,0.8095,0.56322,1.12365,0.85672,1.12951,0.0046375,0.0046375,0.0046375
67,1890.09,1.06886,0.77659,1.09441,0.83311,0.74081,0.81087,0.56488,1.12832,0.85191,1.13591,0.004555,0.004555,0.004555
68,1916.94,1.07044,0.77906,1.09674,0.82463,0.73297,0.80211,0.56003,1.13182,0.86147,1.13426,0.0044725,0.0044725,0.0044725
69,1944.03,1.06597,0.7706,1.09192,0.82145,0.71952,0.79454,0.55439,1.13288,0.88058,1.12984,0.00439,0.00439,0.00439
