epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.1609,1.4761,4.09409,0.00941,0.48762,0.35425,0.35952,0.22769,1.36197,2.63177,0.01167,0.00330623,0.00330623,0.0702439
2,173.087,1.38496,1.97616,0.0086,0.62518,0.48379,0.52088,0.32864,1.38486,2.10358,0.0122,0.00658479,0.00658479,0.0401891
3,257.741,1.40734,1.60688,0.00892,0.59266,0.46428,0.49978,0.28297,1.52503,2.12251,0.01485,0.00980835,0.00980835,0.0100793
4,342.073,1.46082,1.55193,0.00943,0.65019,0.53354,0.58206,0.34818,1.45592,1.73805,0.0141,0.0097525,0.0097525,0.0097525
5,426.585,1.41438,1.41838,0.00922,0.70041,0.5696,0.63327,0.40006,1.387,1.59402,0.01297,0.00967,0.00967,0.00967
6,511.056,1.40101,1.33759,0.0091,0.69529,0.54411,0.61581,0.39629,1.39396,1.6235,0.01275,0.0095875,0.0095875,0.0095875
7,595.249,1.37701,1.27205,0.0088,0.73412,0.64819,0.70405,0.46034,1.32848,1.32152,0.01223,0.009505,0.009505,0.009505
8,679.908,1.36318,1.23692,0.00867,0.75077,0.64075,0.71437,0.47017,1.3158,1.29781,0.01216,0.0094225,0.0094225,0.0094225
9,764.467,1.34343,1.18,0.00864,0.76947,0.67371,0.74841,0.49609,1.30797,1.20166,0.01176,0.00934,0.00934,0.00934
10,849.249,1.34129,1.15927,0.00831,0.754,0.66811,0.74374,0.49453,1.29257,1.1788,0.01155,0.0092575,0.0092575,0.0092575
11,933.731,1.31993,1.13435,0.00843,0.78587,0.6865,0.76441,0.51166,1.26445,1.12764,0.01132,0.009175,0.009175,0.009175
12,1018.37,1.31069,1.09103,0.00831,0.76765,0.69194,0.75971,0.51005,1.26615,1.10099,0.01123,0.0090925,0.0090925,0.0090925
13,1102.99,1.30178,1.07823,0.00819,0.80597,0.69435,0.77468,0.52488,1.24936,1.11061,0.0111,0.00901,0.00901,0.00901
14,1187.46,1.29196,1.05482,0.00799,0.78851,0.69566,0.77755,0.52605,1.25762,1.07441,0.01126,0.0089275,0.0089275,0.0089275
15,1271.82,1.27944,1.02771,0.00791,0.81057,0.7044,0.78473,0.53547,1.23908,1.0941,0.01099,0.008845,0.008845,0.008845
16,1356.21,1.2713,1.01438,0.00794,0.78245,0.70419,0.77166,0.52448,1.25672,1.08958,0.01106,0.0087625,0.0087625,0.0087625
17,1440.59,1.25409,0.99376,0.00781,0.79227,0.72061,0.79325,0.54282,1.22392,1.03209,0.01064,0.00868,0.00868,0.00868
18,1525.04,1.24648,0.97768,0.00776,0.77156,0.72574,0.77976,0.53627,1.21967,1.05019,0.01068,0.0085975,0.0085975,0.0085975
19,1609.47,1.24305,0.9665,0.00784,0.79842,0.73061,0.80139,0.55669,1.19057,1.02773,0.01027,0.008515,0.008515,0.008515
20,1693.85,1.24018,0.9554,0.00778,0.77727,0.72304,0.78544,0.54401,1.20376,1.01766,0.0105,0.0084325,0.0084325,0.0084325
21,1778.36,1.23156,0.94317,0.00762,0.81672,0.71323,0.79183,0.54763,1.20757,1.09349,0.01046,0.00835,0.00835,0.00835
22,1862.83,1.22208,0.91928,0.00754,0.80609,0.73514,0.80359,0.56037,1.19654,0.99974,0.01034,0.0082675,0.0082675,0.0082675
23,1947.38,1.2178,0.91533,0.00746,0.79294,0.72546,0.78779,0.54526,1.21787,1.07226,0.01058,0.008185,0.008185,0.008185
24,2031.88,1.21213,0.90223,0.00739,0.81754,0.72815,0.80367,0.56313,1.19346,0.98998,0.01013,0.0081025,0.0081025,0.0081025
25,2116.31,1.20705,0.88833,0.00738,0.81419,0.73916,0.80645,0.56809,1.18533,0.98812,0.01014,0.00802,0.00802,0.00802
26,2200.89,1.19304,0.87321,0.00732,0.82488,0.75289,0.82748,0.58601,1.16403,0.91896,0.00994,0.0079375,0.0079375,0.0079375
27,2285.49,1.19669,0.86682,0.00722,0.82268,0.74263,0.81008,0.56859,1.18085,1.02955,0.01006,0.007855,0.007855,0.007855
28,2369.79,1.19191,0.8566,0.00722,0.82762,0.73794,0.81496,0.57281,1.17816,0.98807,0.01003,0.0077725,0.0077725,0.0077725
29,2454.16,1.18033,0.83763,0.00719,0.82697,0.7544,0.82508,0.5837,1.17381,0.91955,0.01004,0.00769,0.00769,0.00769
30,2538.55,1.17607,0.83913,0.00716,0.84544,0.748,0.82664,0.58889,1.16728,0.95517,0.00989,0.0076075,0.0076075,0.0076075
31,2622.79,1.16476,0.82942,0.00718,0.80416,0.77484,0.82588,0.58228,1.18228,0.90919,0.01019,0.007525,0.007525,0.007525
32,2707.01,1.16674,0.82384,0.00701,0.83654,0.75055,0.8233,0.58825,1.15343,0.96884,0.00968,0.0074425,0.0074425,0.0074425
33,2791.28,1.16107,0.80277,0.00702,0.8394,0.75946,0.83478,0.6031,1.13327,0.91129,0.00948,0.00736,0.00736,0.00736
34,2875.94,1.15378,0.79132,0.00687,0.83389,0.76745,0.83406,0.59908,1.14277,0.88715,0.00959,0.0072775,0.0072775,0.0072775
35,2960.23,1.15188,0.78356,0.00687,0.81882,0.76491,0.82848,0.59208,1.15159,0.91487,0.00981,0.007195,0.007195,0.007195
36,3044.38,1.13773,0.77492,0.00686,0.81858,0.7721,0.83578,0.59665,1.15235,0.87733,0.00981,0.0071125,0.0071125,0.0071125
37,3128.63,1.1366,0.76655,0.00678,0.8305,0.76912,0.83435,0.60235,1.13675,0.91406,0.00957,0.00703,0.00703,0.00703
38,3213.12,1.12736,0.75805,0.0068,0.83167,0.77645,0.84026,0.61029,1.12645,0.87266,0.0094,0.0069475,0.0069475,0.0069475
39,3297.71,1.12313,0.75739,0.00676,0.8356,0.7679,0.84121,0.60882,1.12506,0.87721,0.0093,0.006865,0.006865,0.006865
40,3382.15,1.11829,0.7496,0.00676,0.84024,0.76702,0.83855,0.60982,1.13983,0.88485,0.00948,0.0067825,0.0067825,0.0067825
41,3466.64,1.11553,0.73055,0.00665,0.8423,0.77354,0.83979,0.60963,1.12267,0.91267,0.00932,0.0067,0.0067,0.0067
42,3551.09,1.10491,0.72258,0.00654,0.8324,0.77897,0.84091,0.61307,1.12106,0.89263,0.00925,0.0066175,0.0066175,0.0066175
43,3635.49,1.10498,0.71928,0.00648,0.84363,0.78775,0.84894,0.62095,1.10655,0.86142,0.0091,0.006535,0.006535,0.006535
44,3719.88,1.09182,0.70989,0.00645,0.85545,0.7759,0.84825,0.62243,1.11934,0.86231,0.00924,0.0064525,0.0064525,0.0064525
45,3804.28,1.08986,0.70686,0.00647,0.83533,0.78579,0.84599,0.61585,1.12124,0.85434,0.00929,0.00637,0.00637,0.00637
46,3888.62,1.08586,0.69711,0.00645,0.84918,0.77224,0.84636,0.62013,1.11567,0.8696,0.0092,0.0062875,0.0062875,0.0062875
47,3973,1.0849,0.68518,0.00628,0.85592,0.77551,0.85181,0.62878,1.1041,0.86542,0.00902,0.006205,0.006205,0.006205
48,4057.53,1.07743,0.6774,0.00639,0.85144,0.77678,0.8473,0.62579,1.10783,0.87021,0.00908,0.0061225,0.0061225,0.0061225
49,4141.64,1.06994,0.67105,0.00632,0.84314,0.79042,0.8506,0.62688,1.10761,0.87773,0.00902,0.00604,0.00604,0.00604
50,4225.72,1.067,0.66644,0.00624,0.8418,0.79126,0.85088,0.62953,1.09793,0.86928,0.00894,0.0059575,0.0059575,0.0059575
51,4309.89,1.0526,0.656,0.00622,0.85131,0.78306,0.84954,0.62647,1.09967,0.87355,0.00896,0.005875,0.005875,0.005875
52,4393.94,1.0597,0.6513,0.00627,0.85757,0.78705,0.85297,0.62969,1.10291,0.91189,0.00909,0.0057925,0.0057925,0.0057925
53,4478.05,1.05069,0.64693,0.00617,0.84859,0.77954,0.84891,0.62791,1.09959,0.90968,0.00897,0.00571,0.00571,0.00571
54,4562.18,1.04449,0.64248,0.00615,0.84829,0.78998,0.85305,0.63205,1.09943,0.88963,0.00894,0.0056275,0.0056275,0.0056275
55,4646.33,1.04687,0.63242,0.00609,0.85924,0.781,0.85263,0.6347,1.09714,0.92364,0.00892,0.005545,0.005545,0.005545
56,4730.42,1.045,0.63281,0.00613,0.85018,0.79037,0.85458,0.63499,1.09468,0.86369,0.00887,0.0054625,0.0054625,0.0054625
57,4814.61,1.03554,0.62356,0.00612,0.84213,0.7979,0.85213,0.63613,1.08666,0.88017,0.00877,0.00538,0.00538,0.00538
58,4898.92,1.0262,0.61148,0.006,0.8511,0.78842,0.8521,0.63307,1.09059,0.90766,0.0088,0.0052975,0.0052975,0.0052975
59,4982.93,1.02998,0.61,0.00596,0.8423,0.79782,0.85367,0.63358,1.0927,0.90005,0.00895,0.005215,0.005215,0.005215
60,5067.08,1.02496,0.60282,0.00594,0.83883,0.80372,0.85635,0.63719,1.08668,0.88174,0.00879,0.0051325,0.0051325,0.0051325
61,5151.28,1.01381,0.59879,0.00595,0.85424,0.79123,0.85562,0.63838,1.0889,0.87581,0.00886,0.00505,0.00505,0.00505
62,5235.55,1.00296,0.58397,0.00587,0.84886,0.79724,0.85487,0.63878,1.08395,0.88157,0.00876,0.0049675,0.0049675,0.0049675
63,5319.9,1.00542,0.59018,0.00584,0.85523,0.79509,0.85589,0.64108,1.08317,0.90032,0.00873,0.004885,0.004885,0.004885
64,5404.47,1.00203,0.57913,0.00579,0.86386,0.79544,0.85496,0.64028,1.08619,0.89952,0.00876,0.0048025,0.0048025,0.0048025
65,5488.7,0.99144,0.56757,0.00575,0.86648,0.78827,0.85692,0.64245,1.08374,0.92334,0.00874,0.00472,0.00472,0.00472
66,5572.96,0.99058,0.57067,0.00584,0.8462,0.80118,0.85642,0.64291,1.08493,0.91097,0.00876,0.0046375,0.0046375,0.0046375
67,5657.12,0.98204,0.56168,0.00569,0.85206,0.79905,0.85427,0.641,1.08144,0.91065,0.00872,0.004555,0.004555,0.004555
68,5741.45,0.9768,0.55596,0.00568,0.8559,0.79985,0.8576,0.64398,1.08536,0.89655,0.00875,0.0044725,0.0044725,0.0044725
69,5825.76,0.97037,0.54885,0.00562,0.86118,0.79506,0.85694,0.64345,1.08258,0.90304,0.00867,0.00439,0.00439,0.00439
70,5909.92,0.9728,0.54964,0.00552,0.86528,0.79407,0.85659,0.6439,1.08155,0.92644,0.00868,0.0043075,0.0043075,0.0043075
71,5993.93,0.9672,0.54706,0.00555,0.86147,0.79902,0.85741,0.64666,1.08493,0.94989,0.00869,0.004225,0.004225,0.004225
72,6078.24,0.95526,0.5344,0.00545,0.85371,0.8012,0.85804,0.64677,1.08068,0.9346,0.00865,0.0041425,0.0041425,0.0041425
73,6162.88,0.96087,0.53585,0.0055,0.85681,0.80297,0.85881,0.6466,1.0819,0.94856,0.00867,0.00406,0.00406,0.00406
74,6247.08,0.94361,0.52576,0.00541,0.85473,0.79986,0.85682,0.64557,1.07955,0.93865,0.00861,0.0039775,0.0039775,0.0039775
75,6331.24,0.94692,0.51847,0.00537,0.86597,0.78408,0.85573,0.64524,1.07648,0.93534,0.00858,0.003895,0.003895,0.003895
76,6415.46,0.93575,0.51103,0.00535,0.85903,0.79611,0.85673,0.64738,1.07435,0.93933,0.00859,0.0038125,0.0038125,0.0038125
77,6499.78,0.92756,0.50742,0.00529,0.87276,0.78915,0.85771,0.64622,1.07605,0.9378,0.00858,0.00373,0.00373,0.00373
78,6583.95,0.9276,0.50474,0.00531,0.86239,0.8027,0.85904,0.64833,1.07858,0.95549,0.00863,0.0036475,0.0036475,0.0036475
79,6668.39,0.92208,0.49857,0.0052,0.86115,0.79864,0.85786,0.64823,1.07606,0.96926,0.0086,0.003565,0.003565,0.003565
80,6752.54,0.92548,0.50514,0.00522,0.85981,0.79565,0.85429,0.6463,1.07728,0.96198,0.00861,0.0034825,0.0034825,0.0034825
81,6836.61,0.91505,0.49129,0.00525,0.84433,0.80464,0.85438,0.64617,1.07861,0.96499,0.00861,0.0034,0.0034,0.0034
82,6920.78,0.91006,0.48844,0.00509,0.85757,0.7935,0.85385,0.64696,1.08077,0.97463,0.00866,0.0033175,0.0033175,0.0033175
83,7004.9,0.89978,0.48166,0.00512,0.85507,0.79958,0.85433,0.64777,1.07924,0.97191,0.00862,0.003235,0.003235,0.003235
84,7088.96,0.90805,0.48169,0.00512,0.86462,0.79553,0.8546,0.64909,1.07772,0.97522,0.00859,0.0031525,0.0031525,0.0031525
85,7173.27,0.89202,0.4701,0.00509,0.86977,0.79262,0.85592,0.65098,1.0754,0.97767,0.00856,0.00307,0.00307,0.00307
86,7257.79,0.89498,0.47098,0.00499,0.867,0.79421,0.85625,0.65151,1.07586,0.99704,0.00857,0.0029875,0.0029875,0.0029875
87,7342.07,0.88162,0.46244,0.00494,0.86232,0.79889,0.85583,0.65075,1.07707,1.01211,0.0086,0.002905,0.002905,0.002905
88,7426.2,0.87607,0.45796,0.00494,0.8724,0.78827,0.85489,0.65031,1.07741,1.02133,0.00858,0.0028225,0.0028225,0.0028225
89,7510.32,0.87265,0.45549,0.00492,0.87045,0.79155,0.85473,0.65009,1.07783,1.02732,0.00861,0.00274,0.00274,0.00274
90,7594.36,0.86454,0.44522,0.00484,0.87218,0.79259,0.85513,0.65109,1.07912,1.02977,0.00865,0.0026575,0.0026575,0.0026575
