epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6965,1.55392,5.42472,0.01195,0.49513,0.06794,0.10314,0.06049,1.41362,4.37036,0.01253,0.00330623,0.00330623,0.0702439
2,55.5988,1.40487,3.57985,0.01028,0.38902,0.3024,0.27484,0.16108,1.46343,3.17956,0.01349,0.00658479,0.00658479,0.0401891
3,78.2886,1.41258,2.65832,0.01068,0.45527,0.32849,0.31461,0.17104,1.63347,2.98952,0.01668,0.00980835,0.00980835,0.0100793
4,100.829,1.45035,2.22631,0.01136,0.50184,0.29814,0.3069,0.17619,1.64678,2.97824,0.01687,0.0097525,0.0097525,0.0097525
5,123.117,1.41728,1.86425,0.01098,0.62888,0.31415,0.3479,0.20371,1.74863,3.16412,0.01785,0.00967,0.00967,0.00967
6,145.747,1.38892,1.62691,0.01064,0.64454,0.40505,0.45794,0.27933,1.59589,2.53352,0.01536,0.0095875,0.0095875,0.0095875
7,168.334,1.37124,1.47821,0.01042,0.66185,0.48667,0.54312,0.32514,1.57269,2.03318,0.01533,0.009505,0.009505,0.009505
8,190.809,1.34948,1.35573,0.01013,0.64937,0.45314,0.51121,0.30857,1.55784,2.11703,0.01538,0.0094225,0.0094225,0.0094225
9,213.261,1.33153,1.26415,0.00995,0.65742,0.47539,0.53096,0.31718,1.5857,2.01651,0.01535,0.00934,0.00934,0.00934
10,235.689,1.31145,1.20214,0.00971,0.71255,0.50265,0.5852,0.36955,1.49804,2.0133,0.01428,0.0092575,0.0092575,0.0092575
11,258.204,1.29354,1.14229,0.00948,0.68172,0.46795,0.53263,0.33779,1.55559,2.13536,0.0148,0.009175,0.009175,0.009175
12,280.518,1.2825,1.09181,0.00938,0.69472,0.43097,0.49587,0.30907,1.61413,2.32226,0.01557,0.0090925,0.0090925,0.0090925
13,302.946,1.26473,1.03983,0.00918,0.72271,0.55442,0.62242,0.39238,1.49761,1.65902,0.01389,0.00901,0.00901,0.00901
14,325.505,1.25018,0.99631,0.00897,0.73654,0.49078,0.56711,0.36391,1.53356,2.11262,0.01441,0.0089275,0.0089275,0.0089275
15,347.841,1.2348,0.96712,0.00888,0.72299,0.54889,0.62434,0.39053,1.52443,1.75121,0.01459,0.008845,0.008845,0.008845
16,370.304,1.22385,0.92791,0.00872,0.72219,0.5981,0.65963,0.42553,1.44419,1.61135,0.01328,0.0087625,0.0087625,0.0087625
17,392.855,1.21634,0.89429,0.0086,0.74675,0.56324,0.63661,0.40358,1.49796,1.72366,0.01426,0.00868,0.00868,0.00868
18,415.4,1.19754,0.86655,0.00843,0.73413,0.60223,0.66864,0.42844,1.44387,1.50127,0.01334,0.0085975,0.0085975,0.0085975
19,437.837,1.18382,0.8365,0.00825,0.74402,0.58078,0.65495,0.41826,1.46322,1.54935,0.01377,0.008515,0.008515,0.008515
20,460.138,1.17788,0.81764,0.00819,0.74761,0.60174,0.67421,0.43459,1.43139,1.50673,0.01316,0.0084325,0.0084325,0.0084325
21,482.503,1.16444,0.79603,0.00807,0.74075,0.60925,0.67974,0.444,1.42965,1.52284,0.01319,0.00835,0.00835,0.00835
22,504.891,1.14731,0.7623,0.00793,0.75029,0.6298,0.69461,0.4504,1.44029,1.42822,0.01325,0.0082675,0.0082675,0.0082675
23,527.207,1.13829,0.75064,0.00786,0.77743,0.61012,0.69142,0.45193,1.42818,1.52878,0.01307,0.008185,0.008185,0.008185
24,549.599,1.13183,0.72588,0.00776,0.74899,0.59329,0.67195,0.44736,1.42167,1.62253,0.0129,0.0081025,0.0081025,0.0081025
25,572.315,1.11233,0.70087,0.0076,0.77185,0.61576,0.69388,0.45888,1.41562,1.52314,0.01291,0.00802,0.00802,0.00802
26,594.858,1.10563,0.68146,0.00751,0.75017,0.59843,0.6671,0.4386,1.4385,1.62811,0.01332,0.0079375,0.0079375,0.0079375
27,617.242,1.09202,0.66674,0.0074,0.77738,0.62814,0.70561,0.46688,1.4258,1.50378,0.013,0.007855,0.007855,0.007855
28,639.52,1.08901,0.65508,0.00738,0.76929,0.61372,0.68906,0.45864,1.43128,1.55733,0.01302,0.0077725,0.0077725,0.0077725
29,661.97,1.07685,0.64375,0.00727,0.77829,0.62457,0.69889,0.4611,1.43145,1.50627,0.0131,0.00769,0.00769,0.00769
30,684.518,1.06618,0.62623,0.00714,0.78659,0.65573,0.72015,0.48156,1.37629,1.39581,0.01238,0.0076075,0.0076075,0.0076075
31,706.735,1.0565,0.59774,0.00706,0.75594,0.54133,0.60976,0.40438,1.50688,2.08559,0.01384,0.007525,0.007525,0.007525
32,729.18,1.04718,0.59672,0.007,0.80282,0.62855,0.71309,0.47494,1.41015,1.53537,0.01281,0.0074425,0.0074425,0.0074425
33,751.515,1.03489,0.5762,0.00686,0.76927,0.62035,0.68886,0.45802,1.43753,1.56432,0.01302,0.00736,0.00736,0.00736
34,773.745,1.02614,0.56695,0.00683,0.78725,0.64711,0.72225,0.48391,1.39739,1.46054,0.01257,0.0072775,0.0072775,0.0072775
35,796.353,1.01702,0.54913,0.00672,0.78471,0.63303,0.70951,0.47642,1.41909,1.53319,0.01281,0.007195,0.007195,0.007195
36,818.798,1.00685,0.53677,0.0066,0.79521,0.646,0.72061,0.48638,1.39465,1.53312,0.01249,0.0071125,0.0071125,0.0071125
37,841.137,1.00247,0.52388,0.00658,0.80723,0.6449,0.72678,0.49215,1.38407,1.46619,0.01251,0.00703,0.00703,0.00703
38,863.568,0.98616,0.5152,0.00644,0.79893,0.65629,0.72913,0.48976,1.40141,1.43852,0.01257,0.0069475,0.0069475,0.0069475
39,885.774,0.98232,0.50948,0.00641,0.78357,0.64879,0.7212,0.48691,1.39986,1.55226,0.01268,0.006865,0.006865,0.006865
40,908.136,0.97399,0.49625,0.00632,0.79239,0.6561,0.72505,0.48863,1.39127,1.40612,0.01245,0.0067825,0.0067825,0.0067825
41,930.695,0.96493,0.49956,0.00626,0.79628,0.64934,0.7255,0.49102,1.38871,1.52607,0.01242,0.0067,0.0067,0.0067
42,954.975,0.95256,0.47925,0.00614,0.80134,0.66461,0.72884,0.4923,1.38804,1.42653,0.01235,0.0066175,0.0066175,0.0066175
43,979.409,0.9423,0.46809,0.00606,0.80428,0.65573,0.73255,0.50034,1.38367,1.49061,0.01226,0.006535,0.006535,0.006535
44,1002.77,0.93122,0.46334,0.00599,0.80304,0.6549,0.73541,0.50504,1.37666,1.52694,0.01225,0.0064525,0.0064525,0.0064525
45,1025.17,0.92785,0.45176,0.00597,0.81048,0.64742,0.73007,0.50347,1.36988,1.56577,0.01208,0.00637,0.00637,0.00637
46,1047.44,0.91495,0.43884,0.0058,0.81204,0.65493,0.72809,0.49513,1.3769,1.47988,0.01215,0.0062875,0.0062875,0.0062875
47,1069.96,0.907,0.43407,0.00578,0.80519,0.65724,0.73614,0.50601,1.37123,1.52738,0.01217,0.006205,0.006205,0.006205
48,1092.32,0.89973,0.42386,0.0057,0.80998,0.65151,0.73361,0.5062,1.37303,1.51844,0.01216,0.0061225,0.0061225,0.0061225
