epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2644,2.40048,3.96002,2.26851,0.53478,0.39909,0.40993,0.2323,1.60994,2.11392,1.60107,0.00330623,0.00330623,0.0702439
2,49.8659,1.40477,1.5273,1.40338,0.61901,0.50384,0.53944,0.31782,1.46355,1.68005,1.44499,0.00658479,0.00658479,0.0401891
3,72.4971,1.34944,1.35103,1.31486,0.56326,0.36998,0.38598,0.21601,1.68328,2.55541,1.62178,0.00980835,0.00980835,0.0100793
4,95.0456,1.38041,1.35979,1.31353,0.56019,0.39339,0.39749,0.21895,1.71705,2.20941,1.63156,0.0097525,0.0097525,0.0097525
5,117.42,1.32695,1.22857,1.27031,0.63361,0.45643,0.51058,0.29778,1.55393,1.84614,1.48421,0.00967,0.00967,0.00967
6,140.035,1.26608,1.12173,1.23058,0.67842,0.52944,0.5925,0.36157,1.45421,1.56528,1.36813,0.0095875,0.0095875,0.0095875
7,162.54,1.2173,1.0398,1.19907,0.73582,0.56475,0.64289,0.40155,1.38118,1.36133,1.31394,0.009505,0.009505,0.009505
8,184.905,1.17995,0.98391,1.17253,0.7501,0.62582,0.69868,0.44553,1.32211,1.22779,1.27572,0.0094225,0.0094225,0.0094225
9,207.446,1.14086,0.92014,1.14926,0.7325,0.60651,0.67197,0.42462,1.34242,1.27797,1.29619,0.00934,0.00934,0.00934
10,229.849,1.11225,0.87839,1.13148,0.75026,0.61683,0.69133,0.44007,1.33607,1.24434,1.28659,0.0092575,0.0092575,0.0092575
11,252.219,1.07947,0.82903,1.10775,0.77471,0.64925,0.72332,0.47217,1.28229,1.13549,1.23624,0.009175,0.009175,0.009175
12,274.512,1.05413,0.78902,1.09205,0.76954,0.65605,0.72378,0.47567,1.25815,1.12823,1.23098,0.0090925,0.0090925,0.0090925
13,296.966,1.02459,0.75577,1.07472,0.78211,0.66737,0.73883,0.49088,1.25846,1.08845,1.23577,0.00901,0.00901,0.00901
14,319.261,0.99966,0.71808,1.06006,0.78057,0.66021,0.74212,0.49198,1.25745,1.09226,1.23415,0.0089275,0.0089275,0.0089275
15,341.459,0.96845,0.68446,1.0429,0.79011,0.67382,0.74832,0.49776,1.24577,1.05896,1.23313,0.008845,0.008845,0.008845
16,363.793,0.95074,0.66434,1.03305,0.79962,0.67289,0.75355,0.503,1.23778,1.05486,1.22584,0.0087625,0.0087625,0.0087625
17,386.042,0.93292,0.6395,1.02291,0.80608,0.68129,0.76097,0.51307,1.23098,1.00289,1.22208,0.00868,0.00868,0.00868
18,408.467,0.91205,0.61318,1.01235,0.78898,0.67646,0.74045,0.49432,1.24316,1.0557,1.23302,0.0085975,0.0085975,0.0085975
19,430.611,0.89062,0.59175,1.00091,0.78082,0.68987,0.75463,0.507,1.23072,1.04345,1.21812,0.008515,0.008515,0.008515
20,452.744,0.87038,0.57094,0.99,0.80669,0.69139,0.75619,0.50672,1.23627,1.06678,1.23726,0.0084325,0.0084325,0.0084325
21,474.978,0.85604,0.55491,0.98378,0.81429,0.67759,0.75672,0.50619,1.24587,1.04102,1.22857,0.00835,0.00835,0.00835
22,497.17,0.83424,0.53748,0.9722,0.80865,0.67557,0.75573,0.51064,1.23001,1.05273,1.22597,0.0082675,0.0082675,0.0082675
23,519.387,0.82053,0.52392,0.96436,0.81379,0.68754,0.75351,0.51056,1.22246,1.08599,1.22493,0.008185,0.008185,0.008185
24,541.491,0.80479,0.50605,0.95806,0.81206,0.69615,0.76657,0.51373,1.24098,0.99546,1.22781,0.0081025,0.0081025,0.0081025
25,563.703,0.78592,0.49188,0.94874,0.80781,0.68442,0.75372,0.5157,1.22225,1.09767,1.22676,0.00802,0.00802,0.00802
26,585.942,0.77329,0.48077,0.94347,0.81079,0.69104,0.76056,0.51677,1.21851,1.04297,1.22644,0.0079375,0.0079375,0.0079375
27,608.108,0.75906,0.46704,0.93673,0.81014,0.6834,0.7592,0.51533,1.217,1.06459,1.23329,0.007855,0.007855,0.007855
28,630.326,0.74859,0.45845,0.93166,0.7966,0.70138,0.76165,0.52077,1.20865,1.05139,1.23039,0.0077725,0.0077725,0.0077725
29,652.388,0.73048,0.44835,0.92345,0.80471,0.70381,0.75996,0.51785,1.21839,1.05555,1.23103,0.00769,0.00769,0.00769
30,674.492,0.7179,0.4338,0.91788,0.82093,0.6955,0.76285,0.51682,1.21239,1.03582,1.23608,0.0076075,0.0076075,0.0076075
31,696.659,0.70144,0.42469,0.91147,0.81786,0.69315,0.76331,0.5234,1.21092,1.06076,1.23049,0.007525,0.007525,0.007525
32,718.739,0.69088,0.41329,0.90704,0.80461,0.69265,0.75813,0.52528,1.22086,1.13015,1.2376,0.0074425,0.0074425,0.0074425
33,740.926,0.67562,0.40421,0.89946,0.81932,0.68224,0.75643,0.51945,1.21698,1.14793,1.24421,0.00736,0.00736,0.00736
34,762.989,0.66726,0.39835,0.89739,0.81164,0.70045,0.76621,0.52521,1.21313,1.07392,1.23712,0.0072775,0.0072775,0.0072775
35,785.231,0.65457,0.39279,0.89127,0.79724,0.70361,0.76505,0.52646,1.21316,1.06816,1.24197,0.007195,0.007195,0.007195
36,807.24,0.6446,0.38627,0.88662,0.81721,0.6847,0.76133,0.52707,1.2184,1.16135,1.25095,0.0071125,0.0071125,0.0071125
37,829.456,0.63297,0.37746,0.88277,0.82775,0.68786,0.76651,0.53075,1.21075,1.12124,1.24594,0.00703,0.00703,0.00703
38,851.606,0.62287,0.37133,0.87859,0.83752,0.68575,0.76312,0.52916,1.20722,1.12434,1.24857,0.0069475,0.0069475,0.0069475
39,873.711,0.61242,0.36398,0.87469,0.81964,0.69251,0.75916,0.52925,1.20528,1.1516,1.25639,0.006865,0.006865,0.006865
40,895.943,0.60178,0.36086,0.87137,0.82946,0.69364,0.77057,0.53713,1.19705,1.11202,1.24336,0.0067825,0.0067825,0.0067825
41,918,0.5921,0.35394,0.8677,0.82938,0.69985,0.77141,0.53566,1.19676,1.09174,1.24441,0.0067,0.0067,0.0067
42,940.069,0.57828,0.34291,0.86191,0.81536,0.70143,0.7605,0.52526,1.2064,1.11107,1.24552,0.0066175,0.0066175,0.0066175
43,962.254,0.5671,0.33775,0.85806,0.82361,0.70121,0.76779,0.53623,1.19372,1.14743,1.24338,0.006535,0.006535,0.006535
44,984.237,0.56111,0.3341,0.85596,0.8194,0.69722,0.76422,0.53173,1.21197,1.17403,1.26023,0.0064525,0.0064525,0.0064525
45,1006.36,0.55275,0.32975,0.85283,0.81954,0.69706,0.7616,0.53022,1.19725,1.13923,1.25039,0.00637,0.00637,0.00637
46,1028.32,0.5428,0.32461,0.84976,0.81714,0.69399,0.76479,0.534,1.20463,1.1343,1.25778,0.0062875,0.0062875,0.0062875
47,1050.3,0.53265,0.31926,0.84624,0.84241,0.68913,0.76899,0.54021,1.18782,1.16649,1.25156,0.006205,0.006205,0.006205
48,1072.46,0.52596,0.31485,0.84407,0.83764,0.6943,0.76925,0.54077,1.19064,1.13352,1.25589,0.0061225,0.0061225,0.0061225
49,1094.51,0.51614,0.30757,0.84078,0.82042,0.70619,0.76974,0.54093,1.19552,1.12716,1.2596,0.00604,0.00604,0.00604
50,1116.7,0.5065,0.30575,0.83729,0.82764,0.69848,0.77044,0.53881,1.19178,1.13746,1.26279,0.0059575,0.0059575,0.0059575
51,1138.82,0.49901,0.30152,0.83545,0.8394,0.6866,0.76265,0.53354,1.19327,1.15617,1.26365,0.005875,0.005875,0.005875
52,1160.87,0.4939,0.29834,0.83359,0.83449,0.69137,0.77174,0.54631,1.18315,1.1857,1.25833,0.0057925,0.0057925,0.0057925
53,1183.2,0.48298,0.29315,0.83098,0.84599,0.68624,0.7723,0.54416,1.18731,1.17104,1.26325,0.00571,0.00571,0.00571
54,1205.16,0.47563,0.28822,0.82819,0.82959,0.694,0.76985,0.54269,1.1854,1.16531,1.26576,0.0056275,0.0056275,0.0056275
55,1227.37,0.46836,0.28482,0.82621,0.82273,0.70747,0.77333,0.548,1.17767,1.14115,1.26226,0.005545,0.005545,0.005545
56,1249.41,0.4622,0.28235,0.82491,0.82658,0.70417,0.77156,0.54589,1.1916,1.17207,1.27404,0.0054625,0.0054625,0.0054625
57,1271.68,0.45226,0.27714,0.82116,0.81469,0.70873,0.77161,0.54468,1.18538,1.16658,1.26719,0.00538,0.00538,0.00538
58,1293.78,0.44388,0.27254,0.81924,0.82663,0.7,0.76862,0.54392,1.18087,1.18497,1.27071,0.0052975,0.0052975,0.0052975
59,1315.86,0.43638,0.27006,0.81717,0.83999,0.69453,0.77498,0.54947,1.18292,1.17687,1.26767,0.005215,0.005215,0.005215
60,1337.95,0.42867,0.2673,0.81536,0.81894,0.70868,0.77238,0.54852,1.17375,1.18413,1.26822,0.0051325,0.0051325,0.0051325
61,1359.96,0.4225,0.26374,0.81355,0.81838,0.71226,0.77539,0.54934,1.17379,1.16756,1.2683,0.00505,0.00505,0.00505
62,1382.32,0.41656,0.25936,0.81214,0.8339,0.70489,0.7753,0.54844,1.17489,1.19233,1.27058,0.0049675,0.0049675,0.0049675
63,1404.3,0.40962,0.25717,0.81021,0.83753,0.69729,0.77702,0.55043,1.16983,1.16444,1.26709,0.004885,0.004885,0.004885
64,1426.37,0.40365,0.25208,0.80828,0.83095,0.70057,0.77744,0.55392,1.16933,1.17947,1.26834,0.0048025,0.0048025,0.0048025
