epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1878,5.2025,17.0966,3.31776,0,0,0,0,4.41051,5.80722,2.52509,0.00330532,0.00330532,0.0702521
2,99.0519,2.55385,2.65624,1.68294,0,0,0,0,6.05215,2.56802e+07,382.119,0.00658389,0.00658389,0.0401973
3,142.551,2.1653,1.95756,1.41032,1e-05,0.00263,1e-05,0,3.83422,2539.37,3.61822,0.00980745,0.00980745,0.0100876
4,183.399,1.97551,1.56806,1.31065,0.00033,0.13276,0.00028,6e-05,4.01124,196168,65.3975,0.0097525,0.0097525,0.0097525
5,223.903,1.83293,1.27992,1.24715,0.39421,0.48863,0.44682,0.19192,1.98683,2.42608,1.37395,0.00967,0.00967,0.00967
6,265.35,1.75168,1.12515,1.20644,0,0.00132,0,0,3.60465,61952.8,16.6184,0.0095875,0.0095875,0.0095875
7,307.126,1.71283,1.04343,1.19336,0.69277,0.40579,0.46024,0.18531,2.0914,2.38584,1.40822,0.009505,0.009505,0.009505
8,346.63,1.67307,0.98273,1.17677,0.19852,0.32419,0.25407,0.09378,2.32704,3.69942,1.54789,0.0094225,0.0094225,0.0094225
9,391.184,1.64693,0.92806,1.16286,0.55277,0.03575,0.0289,0.0133,3.36294,8.67632,3.12972,0.00934,0.00934,0.00934
10,430.432,1.62585,0.89713,1.15428,0.52701,0.26019,0.36199,0.16243,2.09199,3.99982,1.4362,0.0092575,0.0092575,0.0092575
11,472.354,1.60536,0.86288,1.14214,0.42178,0.02853,0.00299,0.00137,3.32977,147.046,2.38107,0.009175,0.009175,0.009175
12,510.361,1.5871,0.83839,1.14041,0.64428,0.38827,0.48114,0.21529,2.05416,2.73833,1.39265,0.0090925,0.0090925,0.0090925
13,549.434,1.58063,0.82375,1.13377,0.83038,0.75415,0.80151,0.3426,1.96563,1.372,1.33766,0.00901,0.00901,0.00901
14,588.83,1.5599,0.79811,1.12302,0.68669,0.13907,0.08957,0.03375,2.52071,23.0183,1.67824,0.0089275,0.0089275,0.0089275
15,629.465,1.55197,0.78479,1.11888,0.23735,0.33184,0.28947,0.13015,2.21604,4.94395,1.51482,0.008845,0.008845,0.008845
16,669.45,1.53781,0.76907,1.11871,0.75259,0.54586,0.69871,0.27032,2.19408,1.91646,1.45061,0.0087625,0.0087625,0.0087625
17,709.853,1.52799,0.75453,1.10949,0.80651,0.72834,0.7689,0.34305,1.85467,1.35291,1.2891,0.00868,0.00868,0.00868
18,749.933,1.52325,0.74876,1.11054,0.63154,0.37574,0.53367,0.23495,2.06657,3.08278,1.39325,0.0085975,0.0085975,0.0085975
19,789.07,1.51271,0.73258,1.10114,0.72467,0.33425,0.31351,0.14308,2.07378,3.62497,1.3788,0.008515,0.008515,0.008515
20,826.109,1.4982,0.72255,1.09942,0.69699,0.55082,0.63305,0.26051,2.10627,1.9309,1.41657,0.0084325,0.0084325,0.0084325
21,865.852,1.4956,0.71469,1.10082,0.56179,0.28662,0.26057,0.11824,2.34007,3.10183,1.55461,0.00835,0.00835,0.00835
22,914.549,1.48576,0.70454,1.09768,0.536,0.3173,0.31047,0.14218,2.15834,3.08163,1.44902,0.0082675,0.0082675,0.0082675
23,965.399,1.48307,0.69898,1.09575,0.83894,0.10538,0.13092,0.05335,2.98887,5.12985,1.97077,0.008185,0.008185,0.008185
24,1008.57,1.47042,0.69347,1.09129,0.78683,0.68788,0.76017,0.32004,2.1058,1.72215,1.40715,0.0081025,0.0081025,0.0081025
25,1046.87,1.46534,0.68309,1.08596,0.82176,0.75327,0.80235,0.352,1.97239,1.63877,1.35221,0.00802,0.00802,0.00802
26,1083.48,1.46403,0.67625,1.0895,0.8636,0.10592,0.18494,0.07565,2.97058,5.52723,1.91617,0.0079375,0.0079375,0.0079375
27,1118.23,1.44894,0.66947,1.08116,0.87216,0.78727,0.81836,0.3575,1.9035,1.19133,1.31536,0.007855,0.007855,0.007855
28,1155.01,1.44289,0.66207,1.0763,0.78047,0.72453,0.76071,0.32919,1.8886,1.35086,1.32976,0.0077725,0.0077725,0.0077725
29,1189.37,1.4439,0.66332,1.0779,0.7206,0.63265,0.7067,0.29976,2.00615,1.72245,1.37859,0.00769,0.00769,0.00769
30,1225.91,1.43094,0.65368,1.0741,0.84591,0.17204,0.22475,0.09843,2.24421,3.6303,1.48782,0.0076075,0.0076075,0.0076075
31,1275.76,1.42897,0.65008,1.07289,0.8514,0.79674,0.82223,0.34535,1.98055,1.12977,1.35934,0.007525,0.007525,0.007525
32,1324.19,1.41948,0.64553,1.06946,0.5809,0.38106,0.41992,0.19416,1.98902,2.57815,1.36278,0.0074425,0.0074425,0.0074425
33,1369.37,1.41697,0.63993,1.06739,0.83882,0.76519,0.79256,0.3466,1.91039,1.22457,1.33195,0.00736,0.00736,0.00736
34,1413.95,1.41245,0.63765,1.06798,0.66005,0.68222,0.73869,0.30932,2.03556,1.60965,1.39517,0.0072775,0.0072775,0.0072775
35,1451.75,1.40988,0.63357,1.06532,0.8399,0.75169,0.80493,0.34664,1.98266,1.22642,1.35699,0.007195,0.007195,0.007195
36,1487.01,1.40182,0.62941,1.06207,0.85391,0.14953,0.199,0.09203,2.54729,4.25462,1.71003,0.0071125,0.0071125,0.0071125
37,1522.23,1.39221,0.62253,1.05911,0.64805,0.54457,0.60684,0.24853,2.10554,1.84808,1.42762,0.00703,0.00703,0.00703
38,1557.41,1.39153,0.61713,1.06068,0.86048,0.19543,0.25084,0.11561,2.35754,3.2609,1.5577,0.0069475,0.0069475,0.0069475
39,1591.26,1.38213,0.61381,1.05647,0.8146,0.80103,0.83454,0.36085,1.99432,1.28331,1.36493,0.006865,0.006865,0.006865
40,1626.07,1.38108,0.61341,1.05394,0.75549,0.70778,0.77225,0.33841,1.96702,1.53154,1.36115,0.0067825,0.0067825,0.0067825
41,1709.6,1.37284,0.6087,1.05388,0.76828,0.72947,0.79056,0.325,2.03481,1.53469,1.39152,0.0067,0.0067,0.0067
42,1765.75,1.37755,0.60279,1.05044,0.81371,0.36725,0.4565,0.21182,1.9259,2.47556,1.32868,0.0066175,0.0066175,0.0066175
43,1814.98,1.37,0.6013,1.05041,0.84875,0.73768,0.78992,0.36239,1.84982,1.1769,1.29445,0.006535,0.006535,0.006535
44,1860.27,1.35812,0.59745,1.0466,0.8302,0.71905,0.77718,0.32585,2.02892,1.41985,1.38549,0.0064525,0.0064525,0.0064525
45,1898.5,1.35845,0.59492,1.04918,0.85793,0.80532,0.79847,0.36738,1.86571,1.01913,1.31736,0.00637,0.00637,0.00637
46,1933.99,1.35117,0.59512,1.04071,0.65949,0.19017,0.27967,0.12626,2.21106,4.01351,1.48325,0.0062875,0.0062875,0.0062875
47,1969.71,1.35173,0.59092,1.04297,0.68808,0.52727,0.56481,0.26847,1.84617,1.6632,1.30419,0.006205,0.006205,0.006205
48,2006.33,1.34505,0.58862,1.04175,0.73734,0.57439,0.60347,0.28173,1.87444,1.54109,1.31236,0.0061225,0.0061225,0.0061225
49,2040.96,1.33888,0.58137,1.03862,0.82395,0.7838,0.81047,0.36096,1.86973,1.17842,1.30849,0.00604,0.00604,0.00604
50,2075.62,1.33269,0.57752,1.03316,0.85866,0.77409,0.7937,0.36439,1.84105,1.09534,1.30705,0.0059575,0.0059575,0.0059575
51,2111.01,1.33083,0.58039,1.03692,0.83318,0.7205,0.79047,0.33446,2.01145,1.4331,1.38695,0.005875,0.005875,0.005875
52,2146.47,1.32589,0.57438,1.03359,0.50245,0.30531,0.33782,0.16397,2.00364,3.08328,1.38697,0.0057925,0.0057925,0.0057925
53,2194.37,1.32189,0.57284,1.03124,0.88051,0.81034,0.83333,0.37266,1.84664,1.03581,1.31462,0.00571,0.00571,0.00571
54,2244.24,1.31255,0.56907,1.02884,0.78199,0.67676,0.7011,0.32507,1.8642,1.37127,1.31401,0.0056275,0.0056275,0.0056275
55,2289.74,1.31082,0.56504,1.03115,0.83878,0.75659,0.80684,0.34993,1.96235,1.11394,1.37454,0.005545,0.005545,0.005545
56,2336.45,1.30818,0.5624,1.02854,0.64174,0.44333,0.47434,0.23053,1.91913,2.23019,1.32834,0.0054625,0.0054625,0.0054625
57,2377.31,1.30227,0.55643,1.02729,0.75158,0.56146,0.59321,0.28169,1.86056,1.57977,1.30475,0.00538,0.00538,0.00538
58,2412.32,1.29799,0.55911,1.02426,0.82207,0.63554,0.70609,0.32981,1.855,1.33235,1.30136,0.0052975,0.0052975,0.0052975
59,2446.88,1.29134,0.56249,1.02055,0.83657,0.77809,0.81686,0.34782,2.02279,1.19723,1.4039,0.005215,0.005215,0.005215
60,2480.89,1.2871,0.55641,1.01906,0.86006,0.7955,0.83094,0.35781,1.96552,1.18834,1.3777,0.0051325,0.0051325,0.0051325
61,2515.71,1.28254,0.55417,1.01888,0.80105,0.75285,0.78327,0.32697,2.09585,1.36349,1.44042,0.00505,0.00505,0.00505
62,2567.68,1.27931,0.54848,1.01936,0.84391,0.82534,0.81343,0.35967,1.88907,1.04096,1.33289,0.0049675,0.0049675,0.0049675
63,2615.26,1.2765,0.54351,1.01962,0.87037,0.79592,0.82006,0.35488,1.95461,1.1302,1.37259,0.004885,0.004885,0.004885
64,2665.48,1.27039,0.5424,1.01452,0.8186,0.62544,0.67149,0.3237,1.80787,1.30004,1.29103,0.0048025,0.0048025,0.0048025
