epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3625,6.08789,20.0207,3.9409,0,0,0,0,5.79295,6.44538,3.20051,0.00330532,0.00330532,0.0702521
2,144.687,2.74873,3.05473,1.85248,0.636,0.10626,0.12959,0.04854,2.40756,4.25141,1.72494,0.00658389,0.00658389,0.0401973
3,211.677,2.16002,1.93879,1.41899,0,0,0,0,4.93307,2.15514e+08,1550.06,0.00980745,0.00980745,0.0100876
4,280.046,1.9513,1.45136,1.29638,0,0,0,0,5.61404,2.73837e+07,9849.23,0.0097525,0.0097525,0.0097525
5,338.287,1.81519,1.17377,1.23977,0.25144,0.36852,0.26559,0.11419,2.29311,4.08031,1.59462,0.00967,0.00967,0.00967
6,394.314,1.73677,1.03438,1.20203,0.0625,0.00333,0.03256,0.00773,2.82984,3141.37,3.71315,0.0095875,0.0095875,0.0095875
7,449.355,1.69658,0.96339,1.18627,0.52438,0.03554,0.04514,0.01851,3.59726,5.40213,2.55152,0.009505,0.009505,0.009505
8,503.795,1.64876,0.90577,1.16648,0,0.00075,0,0,4.80749,73.2263,11.4846,0.0094225,0.0094225,0.0094225
9,557.926,1.62989,0.86096,1.15564,0,0.00075,0,0,4.10125,24926.3,6.29289,0.00934,0.00934,0.00934
10,613.093,1.60569,0.83085,1.14538,0,0,0,0,2.36122,134558,5.33111,0.0092575,0.0092575,0.0092575
11,665.961,1.58723,0.80836,1.13383,0.31938,0.06709,0.05094,0.01931,3.02303,4.83836,1.96818,0.009175,0.009175,0.009175
12,717.776,1.55612,0.78564,1.12857,0.79076,0.75521,0.76623,0.3561,1.87524,1.39503,1.30786,0.0090925,0.0090925,0.0090925
13,769.535,1.55496,0.76822,1.12266,0.03346,0.10222,0.02416,0.01146,3.93092,18.9258,2.86601,0.00901,0.00901,0.00901
14,822.551,1.53205,0.75197,1.11245,0.42233,0.15087,0.12269,0.05203,3.30832,5.21366,2.10009,0.0089275,0.0089275,0.0089275
15,873.558,1.52554,0.73631,1.10886,0.6173,0.05563,0.06384,0.03001,3.00238,12.0806,2.00615,0.008845,0.008845,0.008845
16,925.905,1.50817,0.72008,1.10699,0.66573,0.50718,0.53571,0.25438,1.87776,1.8277,1.32567,0.0087625,0.0087625,0.0087625
17,977.188,1.50586,0.71198,1.10032,0.51416,0.21408,0.22656,0.09458,2.52962,3.25688,1.61622,0.00868,0.00868,0.00868
18,1027.22,1.49643,0.70337,1.09954,0.79779,0.75897,0.80124,0.33489,2.08349,1.30851,1.39573,0.0085975,0.0085975,0.0085975
19,1077.11,1.47861,0.68859,1.08883,0.67134,0.58639,0.63886,0.25929,2.02428,1.8768,1.38036,0.008515,0.008515,0.008515
20,1181.48,1.464,0.67972,1.08606,0.81225,0.09029,0.13966,0.06079,2.43286,5.86135,1.58647,0.0084325,0.0084325,0.0084325
21,1258.47,1.46368,0.6745,1.09005,0.47489,0.24114,0.25354,0.11438,2.46977,3.22573,1.61311,0.00835,0.00835,0.00835
22,1331.65,1.45497,0.66252,1.08451,0.81961,0.76565,0.81205,0.36133,1.97004,1.26739,1.33609,0.0082675,0.0082675,0.0082675
23,1399.31,1.44889,0.66013,1.08297,0.9155,0.18237,0.31077,0.13432,2.20183,3.28025,1.46929,0.008185,0.008185,0.008185
24,1459.17,1.43971,0.65248,1.07932,0.84779,0.82032,0.82493,0.35779,1.9017,1.18937,1.33904,0.0081025,0.0081025,0.0081025
25,1518.08,1.43214,0.64452,1.07268,0.78215,0.12872,0.14127,0.06594,2.50615,13.0236,1.62529,0.00802,0.00802,0.00802
26,1572.53,1.42664,0.64101,1.07436,0.52505,0.14814,0.1554,0.06616,2.64421,4.04848,1.66244,0.0079375,0.0079375,0.0079375
27,1630.88,1.41361,0.63177,1.0675,0.61876,0.08723,0.12672,0.05134,3.16043,7.60146,1.9337,0.007855,0.007855,0.007855
28,1683.66,1.4062,0.62763,1.06314,0.54063,0.45217,0.47399,0.22367,1.92903,2.05747,1.34061,0.0077725,0.0077725,0.0077725
29,1734.96,1.40634,0.62272,1.06237,0.7176,0.69777,0.74418,0.29601,2.10226,1.6398,1.41483,0.00769,0.00769,0.00769
30,1786.33,1.39398,0.61756,1.06028,0.70569,0.24936,0.32568,0.16733,1.94636,3.58449,1.34653,0.0076075,0.0076075,0.0076075
31,1836.78,1.39616,0.61405,1.05924,0.88302,0.81809,0.83532,0.35225,1.92002,1.12833,1.3436,0.007525,0.007525,0.007525
32,1887.01,1.37683,0.60887,1.05449,0.85365,0.76133,0.83358,0.34706,2.04849,1.36689,1.39606,0.0074425,0.0074425,0.0074425
33,1935.58,1.3737,0.60113,1.05185,0.85418,0.81001,0.80255,0.36802,1.84422,1.09186,1.31773,0.00736,0.00736,0.00736
34,1985.71,1.36932,0.59864,1.05008,0.66904,0.41437,0.46979,0.24537,1.84008,2.24062,1.31064,0.0072775,0.0072775,0.0072775
35,2034.26,1.364,0.59228,1.04812,0.47643,0.12945,0.14189,0.06331,2.45997,4.44207,1.64423,0.007195,0.007195,0.007195
36,2080.95,1.35679,0.59267,1.04512,0.62905,0.26463,0.35,0.17333,2.00267,3.29525,1.37446,0.0071125,0.0071125,0.0071125
37,2130.25,1.34957,0.58403,1.04353,0.64571,0.49745,0.52828,0.2605,1.83266,1.84015,1.29427,0.00703,0.00703,0.00703
38,2179.66,1.35065,0.58538,1.0462,0.58755,0.17737,0.22895,0.11715,2.1323,4.20881,1.42571,0.0069475,0.0069475,0.0069475
39,2258.19,1.33626,0.57511,1.04023,0.70759,0.59035,0.62365,0.26988,2.00073,2.37201,1.37994,0.006865,0.006865,0.006865
40,2328.94,1.32855,0.57395,1.03679,0.62192,0.17796,0.22173,0.11135,2.25171,4.1594,1.50682,0.0067825,0.0067825,0.0067825
