epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,153.009,1.8125,4.00721,0.56962,4e-05,0.01221,3e-05,1e-05,1.47378,0.60904,0.34874,0.00331237,0.00331237,0.0701887
2,298.355,1.41422,0.64407,0.35426,0.40822,0.07954,0.00354,0.00081,1.16227,0.73185,0.26592,0.00659088,0.00659088,0.0401339
3,444.308,1.16785,0.66708,0.24617,0.16049,0.42782,0.06092,0.01845,0.69769,1.03642,0.12971,0.00981438,0.00981438,0.010024
4,590.723,0.93552,0.62743,0.17273,0.42771,0.46941,0.36431,0.10559,0.76954,0.70112,0.14623,0.0097525,0.0097525,0.0097525
5,737.056,0.92403,0.56884,0.16427,0.57285,0.54274,0.5259,0.17658,0.77322,0.61956,0.15157,0.00967,0.00967,0.00967
6,882.942,1.01139,0.50285,0.17906,0.51648,0.67884,0.58569,0.16424,0.79027,0.61218,0.13806,0.0095875,0.0095875,0.0095875
7,1028.83,0.92457,0.51924,0.15882,0.41478,0.50205,0.39841,0.09074,1.0021,0.4949,0.1669,0.009505,0.009505,0.009505
8,1174.29,0.99534,0.4837,0.17563,0.56973,0.59038,0.53909,0.17482,0.83763,0.58335,0.14586,0.0094225,0.0094225,0.0094225
9,1320.27,0.90476,0.5268,0.15578,0.47672,0.5459,0.49974,0.15051,0.87293,0.57594,0.15108,0.00934,0.00934,0.00934
10,1465.84,0.96492,0.48757,0.16234,0.2991,0.46383,0.33949,0.08903,0.88036,0.6321,0.14829,0.0092575,0.0092575,0.0092575
11,1611.45,0.9558,0.48069,0.16129,0.66001,0.6779,0.65463,0.23009,0.74577,0.60405,0.13361,0.009175,0.009175,0.009175
12,1757.26,0.90682,0.51826,0.15331,0.63846,0.59902,0.61017,0.20586,0.7802,0.60168,0.13451,0.0090925,0.0090925,0.0090925
13,1902.89,0.84882,0.51778,0.14024,0.68842,0.68801,0.67717,0.25846,0.71618,0.59435,0.12957,0.00901,0.00901,0.00901
14,2048.93,0.87102,0.49013,0.14094,0.71572,0.74504,0.69068,0.23607,0.76811,0.5531,0.13126,0.0089275,0.0089275,0.0089275
15,2194.41,0.87433,0.47723,0.14276,0.81801,0.83863,0.7933,0.33246,0.6073,0.59185,0.11585,0.008845,0.008845,0.008845
16,2340.08,0.87106,0.49303,0.13801,0.75394,0.7388,0.71819,0.25506,0.72961,0.60545,0.12971,0.0087625,0.0087625,0.0087625
17,2485.79,0.77924,0.50968,0.12369,0.78726,0.78809,0.74807,0.29304,0.67135,0.57155,0.1197,0.00868,0.00868,0.00868
18,2631.32,1.00291,0.4434,0.16182,0.61267,0.69109,0.5982,0.19005,0.80974,0.51217,0.14462,0.0085975,0.0085975,0.0085975
19,2776.67,0.82602,0.45627,0.12792,0.79949,0.81471,0.76514,0.28856,0.68309,0.55106,0.12211,0.008515,0.008515,0.008515
20,2921.8,0.87406,0.46893,0.13257,0.82417,0.79604,0.74379,0.28895,0.69759,0.56462,0.1255,0.0084325,0.0084325,0.0084325
21,3066.91,0.85853,0.46091,0.12962,0.84116,0.83922,0.77616,0.30327,0.66068,0.56354,0.11992,0.00835,0.00835,0.00835
22,3213.39,0.82325,0.47116,0.12486,0.28599,0.58478,0.3389,0.09278,0.8056,0.73482,0.14061,0.0082675,0.0082675,0.0082675
23,3359.34,0.79127,0.54113,0.12404,0.86747,0.84951,0.79865,0.32966,0.62689,0.54823,0.11616,0.008185,0.008185,0.008185
24,3505.06,0.77627,0.47449,0.11959,0.82794,0.85201,0.78907,0.32446,0.61015,0.54655,0.11464,0.0081025,0.0081025,0.0081025
25,3650.38,0.78291,0.44233,0.11892,0.84819,0.85908,0.79584,0.33579,0.59733,0.5353,0.11375,0.00802,0.00802,0.00802
26,3798.37,0.74103,0.43211,0.11272,0.65264,0.65669,0.61536,0.20242,0.89663,0.47143,0.15306,0.0079375,0.0079375,0.0079375
27,3946.92,1.03722,0.39138,0.17784,0.19357,0.5789,0.19331,0.05541,1.05788,0.79631,0.2111,0.007855,0.007855,0.007855
28,4094.86,0.79669,0.51071,0.12679,0.83126,0.82289,0.77021,0.3092,0.64272,0.53228,0.11995,0.0077725,0.0077725,0.0077725
29,4242.93,0.70948,0.45228,0.10738,0.86804,0.83991,0.79103,0.34754,0.60821,0.53442,0.11456,0.00769,0.00769,0.00769
30,4391.83,0.6994,0.44527,0.10387,0.86396,0.85286,0.81015,0.36722,0.60717,0.53568,0.11587,0.0076075,0.0076075,0.0076075
31,4541,0.6926,0.43758,0.1044,0.83291,0.81729,0.75175,0.32335,0.64938,0.51048,0.12306,0.007525,0.007525,0.007525
32,4688.97,0.92982,0.54211,0.15012,0.82071,0.8277,0.76295,0.31986,0.636,0.52093,0.11858,0.0074425,0.0074425,0.0074425
