epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.917,4.38454,7.00763,2.79287,0,0,0,0,4.52591,5.87547,2.61554,0.00330532,0.00330532,0.0702521
2,81.5359,2.34363,2.30461,1.56655,0.07251,0.18063,0.07199,0.02166,2.96191,20.3147,2.12321,0.00658389,0.00658389,0.0401973
3,110.935,2.02525,1.73085,1.35289,0.19857,0.195,0.09508,0.02967,2.68502,80.026,2.18031,0.00980745,0.00980745,0.0100876
4,139.742,1.8776,1.36151,1.26958,0.64306,0.64825,0.6407,0.26295,1.98321,2.02525,1.40953,0.0097525,0.0097525,0.0097525
5,168.616,1.75349,1.12016,1.21892,0.719,0.16032,0.13957,0.05487,2.24144,4.38588,1.59787,0.00967,0.00967,0.00967
6,201.423,1.70589,1.01726,1.19265,0.71271,0.66743,0.69459,0.27195,2.05607,1.52003,1.4185,0.0095875,0.0095875,0.0095875
7,230.33,1.66139,0.94138,1.17252,0.72255,0.68225,0.68284,0.28809,1.87325,1.52149,1.32838,0.009505,0.009505,0.009505
8,259.139,1.62914,0.89555,1.1559,0.67978,0.68486,0.68414,0.28198,1.89383,1.47997,1.35319,0.0094225,0.0094225,0.0094225
9,289.013,1.60964,0.86166,1.15108,0.53615,0.37857,0.35533,0.15759,2.00698,2.60704,1.41369,0.00934,0.00934,0.00934
10,318.452,1.58844,0.83354,1.13681,0.51839,0.16074,0.1446,0.05635,2.58841,4.24984,1.68334,0.0092575,0.0092575,0.0092575
11,347.319,1.56952,0.81065,1.13325,0.77721,0.76383,0.78049,0.31599,1.94563,1.27188,1.35198,0.009175,0.009175,0.009175
12,377.399,1.55044,0.79027,1.12496,0.68833,0.70754,0.70509,0.28078,2.07721,1.38348,1.3819,0.0090925,0.0090925,0.0090925
13,407.531,1.53153,0.7647,1.11479,0.76686,0.76696,0.78019,0.35206,1.84497,1.26901,1.31273,0.00901,0.00901,0.00901
14,436.306,1.52039,0.76013,1.11031,0.62385,0.4548,0.49349,0.171,2.3654,1.65545,1.53547,0.0089275,0.0089275,0.0089275
15,465.076,1.50448,0.74628,1.10699,0.6936,0.49937,0.53338,0.22283,2.29805,1.97061,1.48892,0.008845,0.008845,0.008845
16,493.831,1.50029,0.73119,1.10493,0.8067,0.78415,0.80565,0.34726,1.85958,1.24536,1.32066,0.0087625,0.0087625,0.0087625
