epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3881,2.1605,4.21881,1.29985,0.04434,0.83444,0.31704,0.1345,1.78722,3.87825,1.17926,0.00330532,0.00330532,0.0702521
2,70.6141,1.83119,1.88639,1.19581,0.43033,0.21808,0.18042,0.07941,1.95572,3.73592,1.36514,0.00658389,0.00658389,0.0401973
3,102.421,1.80599,1.47381,1.19485,0.50749,0.11203,0.06794,0.02184,2.37385,4.31811,1.57687,0.00980745,0.00980745,0.0100876
4,132.621,1.77134,1.26739,1.19549,0.56052,0.17046,0.14676,0.05428,2.38611,3.53597,1.54848,0.0097525,0.0097525,0.0097525
5,161.877,1.6978,1.05435,1.17352,0.67753,0.40272,0.45706,0.1888,1.95716,2.27038,1.35528,0.00967,0.00967,0.00967
6,192.902,1.65301,0.94791,1.15439,0.46855,0.31056,0.29647,0.1237,2.20452,2.73341,1.50306,0.0095875,0.0095875,0.0095875
7,222.435,1.61859,0.87538,1.14095,0.46151,0.18395,0.18276,0.06102,2.45089,3.15371,1.63098,0.009505,0.009505,0.009505
8,251.635,1.59605,0.83586,1.13222,0.66026,0.55095,0.61718,0.23963,2.11149,2.23729,1.43056,0.0094225,0.0094225,0.0094225
9,281.592,1.58031,0.80519,1.12383,0.43918,0.41864,0.41633,0.18506,1.97624,2.6889,1.35633,0.00934,0.00934,0.00934
10,311.023,1.56119,0.78144,1.1142,0.5137,0.34556,0.3876,0.17146,2.14093,2.53148,1.41958,0.0092575,0.0092575,0.0092575
11,340.893,1.54817,0.76663,1.1063,0.39697,0.25256,0.20692,0.09239,2.14885,3.04859,1.38963,0.009175,0.009175,0.009175
12,369.51,1.52283,0.74867,1.10004,0.49841,0.22516,0.33465,0.15695,2.09548,5.26991,1.36068,0.0090925,0.0090925,0.0090925
13,400.651,1.52229,0.73703,1.09467,0.50704,0.4304,0.40658,0.18544,1.96042,2.36786,1.33985,0.00901,0.00901,0.00901
14,430.117,1.50656,0.72277,1.08683,0.48511,0.36498,0.41075,0.18827,2.17876,2.8839,1.40344,0.0089275,0.0089275,0.0089275
15,459.962,1.50334,0.71285,1.08516,0.73239,0.54278,0.60578,0.27746,1.95806,2.11948,1.31804,0.008845,0.008845,0.008845
16,491.496,1.4909,0.70165,1.08456,0.87122,0.75833,0.8178,0.33534,2.11206,1.41845,1.43331,0.0087625,0.0087625,0.0087625
17,520.594,1.48259,0.69667,1.0767,0.84076,0.79719,0.8035,0.34914,1.96154,1.21879,1.35366,0.00868,0.00868,0.00868
18,548.652,1.47671,0.68472,1.07667,0.84151,0.50682,0.62479,0.26642,1.90893,2.33116,1.30167,0.0085975,0.0085975,0.0085975
19,581.386,1.46379,0.67618,1.06691,0.75899,0.69241,0.70471,0.31499,1.93016,1.69066,1.3267,0.008515,0.008515,0.008515
20,610.724,1.4546,0.6704,1.0656,0.85535,0.79818,0.82928,0.36615,1.9339,1.27873,1.31584,0.0084325,0.0084325,0.0084325
21,639.291,1.4522,0.66362,1.06932,0.24584,0.22285,0.22584,0.09986,2.42067,5.35471,1.4381,0.00835,0.00835,0.00835
22,671.391,1.44274,0.65722,1.06436,0.70682,0.62798,0.6707,0.29268,1.93731,1.63215,1.31437,0.0082675,0.0082675,0.0082675
23,700.075,1.43883,0.65278,1.06261,0.75693,0.38996,0.49045,0.2297,1.91811,3.02494,1.29301,0.008185,0.008185,0.008185
24,729.179,1.43206,0.64749,1.0575,0.85252,0.78405,0.80379,0.37086,1.85308,1.25797,1.29209,0.0081025,0.0081025,0.0081025
25,760.968,1.41965,0.63696,1.05217,0.72585,0.6796,0.78123,0.334,1.97318,1.74267,1.34152,0.00802,0.00802,0.00802
26,790.075,1.42464,0.63734,1.05673,0.80419,0.74188,0.78277,0.36036,1.83675,1.42276,1.26924,0.0079375,0.0079375,0.0079375
27,818.75,1.41322,0.63099,1.05048,0.72482,0.67677,0.68577,0.31357,1.87939,1.66115,1.28514,0.007855,0.007855,0.007855
28,850.099,1.40416,0.62732,1.04564,0.79514,0.75321,0.81277,0.34559,1.9858,1.48121,1.35392,0.0077725,0.0077725,0.0077725
29,879.605,1.40344,0.62619,1.04506,0.82584,0.75875,0.83538,0.3604,1.95892,1.63278,1.3432,0.00769,0.00769,0.00769
30,908.491,1.401,0.61989,1.04523,0.82593,0.72296,0.7856,0.33507,2.05564,2.01832,1.38497,0.0076075,0.0076075,0.0076075
31,937.503,1.39374,0.61762,1.04259,0.71577,0.44043,0.58014,0.27209,1.87312,1.69563,1.27955,0.007525,0.007525,0.007525
32,967.175,1.38713,0.6118,1.03904,0.75386,0.56773,0.64029,0.29195,1.91637,1.59259,1.29497,0.0074425,0.0074425,0.0074425
33,997.171,1.38464,0.60567,1.03889,0.80328,0.69843,0.76219,0.33029,2.02454,1.91814,1.37153,0.00736,0.00736,0.00736
34,1025.69,1.38104,0.60381,1.03763,0.82947,0.75252,0.8051,0.33261,1.99856,1.61354,1.35272,0.0072775,0.0072775,0.0072775
35,1056.36,1.37286,0.60342,1.03468,0.44241,0.25812,0.23976,0.11136,2.11267,2.83526,1.36745,0.007195,0.007195,0.007195
36,1085.95,1.36499,0.5956,1.0321,0.8224,0.76094,0.8037,0.35302,1.91964,1.65546,1.33303,0.0071125,0.0071125,0.0071125
37,1113.75,1.36432,0.59516,1.03283,0.81388,0.67687,0.73924,0.31575,2.06181,1.76672,1.3876,0.00703,0.00703,0.00703
38,1143.07,1.36025,0.59413,1.03291,0.77963,0.50012,0.62953,0.28706,2.09796,2.57923,1.39128,0.0069475,0.0069475,0.0069475
39,1172.24,1.35635,0.58777,1.03111,0.86586,0.79014,0.83795,0.37821,1.92142,1.19351,1.31265,0.006865,0.006865,0.006865
