epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3875,4.15681,6.83759,2.71083,0,0,0,0,5.03054,5.99651,2.85158,0.00330532,0.00330532,0.0702521
2,102.938,2.30985,2.27165,1.56967,0.09597,0.2712,0.08161,0.02854,2.96415,385.93,2.32287,0.00658389,0.00658389,0.0401973
3,146.854,1.99691,1.64114,1.34694,0.4214,0.22514,0.08731,0.02597,2.86101,40.0971,3.05325,0.00980745,0.00980745,0.0100876
4,189.936,1.84513,1.27316,1.26064,0.70481,0.17393,0.15591,0.05556,2.54998,4.89357,1.85188,0.0097525,0.0097525,0.0097525
5,233.018,1.73525,1.03896,1.20985,0.54896,0.15893,0.13329,0.04265,2.63026,5.06024,1.69767,0.00967,0.00967,0.00967
6,275.927,1.67034,0.94753,1.17927,0.56412,0.40453,0.40806,0.12883,2.69273,2.18232,1.72376,0.0095875,0.0095875,0.0095875
7,318.904,1.6296,0.88046,1.16026,0.77599,0.71613,0.78236,0.30653,1.9832,1.34879,1.35313,0.009505,0.009505,0.009505
8,361.873,1.59358,0.83411,1.14256,0.8266,0.25381,0.31605,0.11424,2.32383,2.72472,1.57974,0.0094225,0.0094225,0.0094225
9,404.874,1.57791,0.80306,1.1369,0.81224,0.27734,0.36834,0.14151,2.18222,2.81805,1.47383,0.00934,0.00934,0.00934
10,447.769,1.5499,0.78095,1.12201,0.6812,0.73037,0.70022,0.28177,2.05731,1.18454,1.40403,0.0092575,0.0092575,0.0092575
11,490.674,1.52845,0.75587,1.11923,0.80908,0.78315,0.78943,0.32324,1.89209,1.06947,1.33806,0.009175,0.009175,0.009175
12,533.661,1.51034,0.73448,1.10967,0.82274,0.80926,0.81614,0.37532,1.78334,1.18157,1.27296,0.0090925,0.0090925,0.0090925
13,576.599,1.49567,0.72134,1.10012,0.80788,0.80112,0.79002,0.33536,1.9114,1.1725,1.33491,0.00901,0.00901,0.00901
14,619.507,1.48071,0.7088,1.09609,0.66308,0.64086,0.66447,0.2434,2.22612,1.50273,1.47309,0.0089275,0.0089275,0.0089275
15,662.411,1.46715,0.69747,1.09265,0.684,0.72661,0.70465,0.28628,2.05508,1.19361,1.39482,0.008845,0.008845,0.008845
16,705.33,1.46117,0.68473,1.09011,0.73768,0.70157,0.7548,0.33234,1.84744,1.34776,1.32174,0.0087625,0.0087625,0.0087625
17,748.229,1.44624,0.67283,1.08271,0.86143,0.79971,0.82652,0.36279,1.80419,1.18841,1.28152,0.00868,0.00868,0.00868
18,791.172,1.43735,0.66382,1.07962,0.844,0.81147,0.7976,0.35432,1.82325,1.07231,1.2909,0.0085975,0.0085975,0.0085975
19,834.055,1.43353,0.66394,1.07767,0.76763,0.71202,0.71961,0.27726,2.11308,1.21074,1.42425,0.008515,0.008515,0.008515
20,876.942,1.4157,0.65224,1.07009,0.51443,0.46308,0.4733,0.16901,2.43246,1.56558,1.58925,0.0084325,0.0084325,0.0084325
21,919.829,1.41014,0.64459,1.06829,0.84076,0.80256,0.8096,0.34833,1.85434,1.01711,1.31948,0.00835,0.00835,0.00835
22,962.73,1.39751,0.63739,1.06369,0.66505,0.61256,0.63897,0.23551,2.24594,1.47999,1.49198,0.0082675,0.0082675,0.0082675
23,1005.66,1.3844,0.63284,1.06153,0.8526,0.78986,0.81594,0.35422,1.92337,1.03835,1.32815,0.008185,0.008185,0.008185
24,1048.61,1.37515,0.62536,1.05315,0.84726,0.774,0.79644,0.34321,1.94293,0.98729,1.35025,0.0081025,0.0081025,0.0081025
25,1091.52,1.37512,0.62015,1.05408,0.6383,0.66333,0.62788,0.25338,2.17808,1.24507,1.47353,0.00802,0.00802,0.00802
26,1134.46,1.369,0.61627,1.05396,0.7012,0.71308,0.68527,0.2744,2.05492,1.10322,1.42094,0.0079375,0.0079375,0.0079375
27,1177.35,1.35565,0.60723,1.04666,0.78163,0.72593,0.75882,0.36018,1.74164,1.25417,1.27011,0.007855,0.007855,0.007855
28,1220.25,1.35271,0.60614,1.04811,0.66115,0.63885,0.6616,0.2717,2.1122,1.14219,1.43134,0.0077725,0.0077725,0.0077725
29,1263.16,1.34254,0.59901,1.04484,0.8619,0.79501,0.82953,0.37428,1.78176,1.04063,1.30173,0.00769,0.00769,0.00769
30,1306.06,1.32555,0.5938,1.03631,0.84771,0.81416,0.83236,0.39238,1.76622,1.01058,1.28508,0.0076075,0.0076075,0.0076075
31,1349.03,1.32273,0.58777,1.03668,0.79071,0.75469,0.76024,0.30953,2.00906,1.09007,1.38287,0.007525,0.007525,0.007525
32,1391.9,1.31352,0.58312,1.03196,0.83443,0.78821,0.83121,0.35362,1.91398,1.03653,1.35761,0.0074425,0.0074425,0.0074425
33,1434.79,1.30662,0.58168,1.02739,0.80134,0.79337,0.77621,0.34476,1.88218,1.01559,1.34009,0.00736,0.00736,0.00736
34,1477.71,1.29515,0.57822,1.02553,0.85379,0.78063,0.79822,0.33072,1.93266,1.03166,1.36629,0.0072775,0.0072775,0.0072775
35,1520.66,1.29199,0.57257,1.02301,0.68966,0.478,0.54825,0.25047,1.98442,1.76433,1.40577,0.007195,0.007195,0.007195
36,1563.6,1.2853,0.56852,1.02286,0.57024,0.45494,0.52231,0.2431,1.92853,1.97501,1.37002,0.0071125,0.0071125,0.0071125
37,1606.66,1.27558,0.56134,1.01709,0.87351,0.81688,0.8192,0.37079,1.81849,0.9923,1.321,0.00703,0.00703,0.00703
38,1649.57,1.27112,0.56221,1.01547,0.8694,0.78849,0.80986,0.386,1.77355,1.0481,1.28758,0.0069475,0.0069475,0.0069475
39,1692.47,1.26589,0.55958,1.01957,0.8033,0.78708,0.77664,0.33154,1.95248,1.05933,1.3842,0.006865,0.006865,0.006865
40,1735.41,1.26322,0.55669,1.01416,0.84665,0.81166,0.78701,0.33985,1.87088,1.00941,1.33563,0.0067825,0.0067825,0.0067825
41,1778.3,1.25764,0.55542,1.00952,0.82084,0.78098,0.79492,0.34372,1.8823,1.01293,1.35069,0.0067,0.0067,0.0067
42,1821.21,1.24416,0.54865,1.00743,0.87021,0.81122,0.81831,0.36538,1.81277,1.03459,1.31847,0.0066175,0.0066175,0.0066175
43,1864.1,1.23482,0.54756,1.0074,0.65455,0.52794,0.56683,0.2684,1.88245,1.7156,1.35866,0.006535,0.006535,0.006535
