epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3,2.07378,3.87679,1.25442,0.55567,0.51859,0.56332,0.22888,1.88052,2.11509,1.17333,0.00330532,0.00330532,0.0702521
2,72.9915,1.74269,1.164,1.1312,0.5519,0.31735,0.3022,0.1299,2.08184,2.70606,1.31749,0.00658389,0.00658389,0.0401973
3,106.451,1.75199,1.05365,1.14319,0.71153,0.22015,0.30714,0.11837,2.35808,3.02588,1.67742,0.00980745,0.00980745,0.0100876
4,139.715,1.73738,1.00898,1.15778,0.44535,0.0598,0.03411,0.00903,2.71887,5.87773,1.7358,0.0097525,0.0097525,0.0097525
5,174.14,1.6724,0.90366,1.13353,0.37068,0.22086,0.14043,0.05922,2.19277,4.57679,1.39187,0.00967,0.00967,0.00967
6,207.501,1.62896,0.8421,1.12135,0.63167,0.64264,0.67893,0.2617,2.1692,1.43134,1.39945,0.0095875,0.0095875,0.0095875
7,240.852,1.59415,0.80657,1.11141,0.73708,0.49358,0.52578,0.22746,2.0364,1.78502,1.34812,0.009505,0.009505,0.009505
8,274.573,1.56598,0.77108,1.10065,0.74445,0.52475,0.582,0.27771,1.84708,1.57929,1.28139,0.0094225,0.0094225,0.0094225
9,308.135,1.55907,0.75679,1.09923,0.44301,0.35553,0.3577,0.15516,2.06268,2.30847,1.38324,0.00934,0.00934,0.00934
10,341.478,1.53178,0.73536,1.08766,0.82807,0.71334,0.75954,0.33245,1.82717,1.32866,1.29001,0.0092575,0.0092575,0.0092575
11,374.994,1.51563,0.72051,1.07949,0.74402,0.57862,0.70511,0.32012,1.97895,1.61502,1.30242,0.009175,0.009175,0.009175
12,408.479,1.49031,0.70004,1.07653,0.8522,0.79148,0.83177,0.37501,1.83914,1.10889,1.28867,0.0090925,0.0090925,0.0090925
