epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.914,1.95072,3.24391,1.21484,0.64508,0.56806,0.57807,0.22782,2.04793,1.96332,1.30466,0.00331933,0.00331933,0.0701261
2,86.7265,1.68425,0.99927,1.10433,0.74118,0.60074,0.6968,0.29611,1.92355,1.58491,1.25283,0.00659778,0.00659778,0.0400712
3,127.308,1.68132,0.94573,1.10664,0.61626,0.39058,0.34716,0.14608,2.03345,3.10561,1.29749,0.00982123,0.00982123,0.00996128
4,167.862,1.68597,0.9409,1.12686,0.65814,0.62261,0.65772,0.29095,1.81922,1.48893,1.26271,0.0097525,0.0097525,0.0097525
5,208.713,1.61887,0.84652,1.10464,0.7374,0.52521,0.58946,0.26799,1.90797,1.81079,1.26232,0.00967,0.00967,0.00967
6,248.987,1.57304,0.78742,1.09298,0.56508,0.26054,0.30036,0.12004,2.20665,3.76932,1.44328,0.0095875,0.0095875,0.0095875
7,289.125,1.53267,0.75664,1.07645,0.78444,0.60602,0.75248,0.31962,1.89129,1.51381,1.27845,0.009505,0.009505,0.009505
8,330.117,1.49941,0.72735,1.06429,0.76966,0.51435,0.55706,0.25787,1.92333,1.74132,1.28754,0.0094225,0.0094225,0.0094225
9,371.587,1.47446,0.69815,1.05429,0.74167,0.59023,0.66436,0.29379,1.94891,1.45119,1.32281,0.00934,0.00934,0.00934
10,412.074,1.45348,0.68084,1.04729,0.85457,0.7202,0.80375,0.34858,1.91633,1.21767,1.30731,0.0092575,0.0092575,0.0092575
11,452.613,1.42617,0.65648,1.03737,0.85132,0.66673,0.8023,0.33657,1.95884,1.26231,1.32397,0.009175,0.009175,0.009175
12,493.53,1.40277,0.6433,1.02994,0.84053,0.70443,0.77416,0.343,1.89919,1.34172,1.28047,0.0090925,0.0090925,0.0090925
13,534.188,1.38095,0.6314,1.02,0.82597,0.75368,0.8217,0.36966,1.86474,1.17085,1.27955,0.00901,0.00901,0.00901
14,574.875,1.35783,0.61626,1.0124,0.86448,0.603,0.75738,0.32346,1.93685,1.24832,1.32441,0.0089275,0.0089275,0.0089275
15,615.65,1.34028,0.60603,1.00853,0.8114,0.69738,0.78006,0.35222,1.89446,1.2409,1.31067,0.008845,0.008845,0.008845
16,656.33,1.31613,0.59673,0.99946,0.83208,0.74799,0.79445,0.33893,1.98066,1.35913,1.35907,0.0087625,0.0087625,0.0087625
17,696.982,1.30101,0.58195,0.99464,0.77408,0.71362,0.73534,0.32601,1.90472,1.33029,1.32666,0.00868,0.00868,0.00868
18,737.521,1.27606,0.57095,0.98823,0.76662,0.70156,0.78382,0.34824,1.94032,1.28634,1.30239,0.0085975,0.0085975,0.0085975
19,778.253,1.26103,0.56462,0.98069,0.86491,0.77266,0.83232,0.36245,1.9455,1.1206,1.33164,0.008515,0.008515,0.008515
20,818.72,1.23764,0.54976,0.97417,0.70233,0.67124,0.73596,0.32846,1.93966,1.62846,1.29849,0.0084325,0.0084325,0.0084325
21,858.97,1.22306,0.54331,0.97071,0.85737,0.76906,0.8081,0.35691,1.94175,1.30389,1.34363,0.00835,0.00835,0.00835
22,899.539,1.19817,0.53406,0.96307,0.84617,0.72706,0.81556,0.34821,1.91696,1.19943,1.32188,0.0082675,0.0082675,0.0082675
23,939.922,1.18083,0.52598,0.95674,0.84727,0.74428,0.8208,0.36207,1.91674,1.07553,1.32078,0.008185,0.008185,0.008185
24,980.642,1.1629,0.5165,0.95216,0.8004,0.64842,0.74674,0.34158,1.90192,1.29056,1.31855,0.0081025,0.0081025,0.0081025
25,1021.04,1.14795,0.50778,0.94761,0.86721,0.68555,0.80856,0.36312,1.92141,1.12097,1.34751,0.00802,0.00802,0.00802
26,1061.92,1.12333,0.50319,0.93975,0.8057,0.72451,0.75402,0.33393,1.93639,1.37208,1.34345,0.0079375,0.0079375,0.0079375
27,1102.01,1.10037,0.49384,0.93379,0.8155,0.71844,0.78131,0.34581,1.94107,1.37513,1.33917,0.007855,0.007855,0.007855
