epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8133,1.96468,3.09386,1.26014,0.75235,0.67098,0.75605,0.31688,1.96739,1.45865,1.31283,0.00330532,0.00330532,0.0702521
2,117.331,1.68408,1.03513,1.14469,0.75836,0.71201,0.76709,0.30504,1.97104,1.39843,1.35836,0.00658389,0.00658389,0.0401973
3,174.621,1.71369,0.97056,1.16753,0.58905,0.35688,0.36125,0.11675,2.39901,2.98182,1.61049,0.00980745,0.00980745,0.0100876
4,231.89,1.72753,0.9463,1.18236,0.62485,0.19518,0.20469,0.08829,2.21719,3.29563,1.52235,0.0097525,0.0097525,0.0097525
5,289.085,1.66332,0.85681,1.15794,0.69809,0.34708,0.42812,0.16432,2.07178,2.1214,1.42072,0.00967,0.00967,0.00967
6,346.25,1.60318,0.79991,1.13093,0.76168,0.69217,0.73688,0.32432,1.87964,1.30317,1.33354,0.0095875,0.0095875,0.0095875
7,403.512,1.57749,0.76174,1.12128,0.69616,0.39517,0.50669,0.23571,1.89992,2.1923,1.3052,0.009505,0.009505,0.009505
8,460.623,1.54745,0.7304,1.10778,0.29456,0.416,0.38762,0.19593,1.9892,4.29955,1.3211,0.0094225,0.0094225,0.0094225
9,517.99,1.52811,0.70662,1.10137,0.77164,0.6838,0.76173,0.34614,1.83818,1.38202,1.28069,0.00934,0.00934,0.00934
10,575.255,1.50541,0.70173,1.08982,0.63319,0.18987,0.31113,0.14762,2.16347,5.22716,1.41463,0.0092575,0.0092575,0.0092575
11,633.855,1.49463,0.68198,1.08159,0.84478,0.74834,0.80771,0.34066,1.99054,1.25175,1.36262,0.009175,0.009175,0.009175
12,691.057,1.46822,0.66161,1.07752,0.69391,0.18168,0.27591,0.12975,2.17323,5.44016,1.38526,0.0090925,0.0090925,0.0090925
13,748.325,1.46323,0.65853,1.07064,0.864,0.79252,0.82452,0.3867,1.83926,1.19921,1.28346,0.00901,0.00901,0.00901
14,805.556,1.44723,0.64419,1.06152,0.72874,0.32757,0.47629,0.2293,1.89989,3.22134,1.28449,0.0089275,0.0089275,0.0089275
15,862.854,1.43455,0.63206,1.05748,0.72987,0.61141,0.65572,0.27208,2.06667,1.61956,1.40829,0.008845,0.008845,0.008845
16,919.991,1.42222,0.62374,1.05679,0.81091,0.75875,0.78068,0.32504,2.05329,1.22348,1.39974,0.0087625,0.0087625,0.0087625
17,977.113,1.4097,0.62049,1.04935,0.6623,0.3682,0.46671,0.23839,1.84001,2.29681,1.27857,0.00868,0.00868,0.00868
18,1034.34,1.39957,0.61003,1.04711,0.77541,0.49337,0.56799,0.27115,1.88959,2.33869,1.30051,0.0085975,0.0085975,0.0085975
19,1091.48,1.39455,0.60414,1.03861,0.84441,0.79656,0.81545,0.37546,1.86995,1.13646,1.31165,0.008515,0.008515,0.008515
20,1148.66,1.37549,0.59018,1.03576,0.74218,0.58465,0.6424,0.28939,1.89789,2.00772,1.31007,0.0084325,0.0084325,0.0084325
21,1205.81,1.36727,0.58762,1.03707,0.56861,0.43994,0.49557,0.23671,2.04383,3.80517,1.3373,0.00835,0.00835,0.00835
22,1263.02,1.35591,0.58121,1.03199,0.84037,0.78325,0.78969,0.36285,1.92184,1.12612,1.33505,0.0082675,0.0082675,0.0082675
23,1320.24,1.3505,0.57583,1.02895,0.85472,0.7979,0.81932,0.3525,1.91472,1.09892,1.32546,0.008185,0.008185,0.008185
24,1377.4,1.33741,0.56753,1.02551,0.71087,0.54561,0.62143,0.2981,1.91322,1.67501,1.29985,0.0081025,0.0081025,0.0081025
25,1434.59,1.32925,0.56079,1.01927,0.85134,0.8055,0.83104,0.37768,1.84072,1.05285,1.28804,0.00802,0.00802,0.00802
26,1491.79,1.32278,0.55708,1.02019,0.88399,0.80052,0.82949,0.37417,1.88762,1.06594,1.30841,0.0079375,0.0079375,0.0079375
27,1549.17,1.3114,0.55142,1.01425,0.86692,0.75639,0.81676,0.37914,1.83716,1.28087,1.29036,0.007855,0.007855,0.007855
28,1606.36,1.30019,0.54771,1.00875,0.84054,0.81645,0.81322,0.38144,1.83818,1.04802,1.29865,0.0077725,0.0077725,0.0077725
29,1663.58,1.28913,0.53772,1.00487,0.78727,0.60108,0.6731,0.32196,1.85524,1.7282,1.29972,0.00769,0.00769,0.00769
30,1720.85,1.27687,0.53367,1.00218,0.71528,0.45734,0.55542,0.26868,1.93302,1.92139,1.32331,0.0076075,0.0076075,0.0076075
31,1778.09,1.2722,0.52876,0.9991,0.65858,0.57371,0.62623,0.30148,1.86309,1.67953,1.32203,0.007525,0.007525,0.007525
32,1835.31,1.25805,0.52491,0.9947,0.88881,0.82112,0.84282,0.38777,1.81058,1.0525,1.28852,0.0074425,0.0074425,0.0074425
33,1892.8,1.25487,0.52013,0.99357,0.84528,0.82048,0.81549,0.37375,1.88622,1.01942,1.32092,0.00736,0.00736,0.00736
34,1950,1.24615,0.51651,0.99208,0.87766,0.83113,0.84284,0.40092,1.78067,1.02028,1.28901,0.0072775,0.0072775,0.0072775
35,2007.34,1.23177,0.51297,0.98637,0.8501,0.81552,0.81531,0.38252,1.86628,1.0162,1.33357,0.007195,0.007195,0.007195
36,2064.75,1.22047,0.50583,0.98193,0.85582,0.81549,0.80922,0.38887,1.80073,1.00837,1.30266,0.0071125,0.0071125,0.0071125
37,2121.95,1.21155,0.50111,0.97987,0.86519,0.80675,0.82255,0.36118,1.94665,1.00001,1.36675,0.00703,0.00703,0.00703
38,2179.12,1.19755,0.49839,0.9774,0.8523,0.80977,0.80271,0.37199,1.85594,1.01441,1.32996,0.0069475,0.0069475,0.0069475
39,2236.41,1.18532,0.48984,0.9727,0.86292,0.80811,0.81314,0.37425,1.89456,1.0322,1.35732,0.006865,0.006865,0.006865
40,2293.62,1.1804,0.48879,0.96851,0.75228,0.69359,0.72357,0.32402,1.92757,1.56522,1.3551,0.0067825,0.0067825,0.0067825
41,2350.82,1.17119,0.48476,0.96761,0.85607,0.82751,0.82762,0.38989,1.83742,0.97698,1.33902,0.0067,0.0067,0.0067
42,2412.81,1.16396,0.4813,0.96186,0.84138,0.81634,0.81827,0.3943,1.81737,1.05156,1.30993,0.0066175,0.0066175,0.0066175
43,2470.04,1.14887,0.47581,0.95942,0.85949,0.80464,0.80524,0.38508,1.81506,1.03995,1.31229,0.006535,0.006535,0.006535
44,2527.28,1.13709,0.47039,0.95537,0.84974,0.81864,0.81052,0.38497,1.85416,0.98064,1.33907,0.0064525,0.0064525,0.0064525
45,2584.88,1.12567,0.46449,0.95509,0.88686,0.80451,0.83549,0.38807,1.87773,0.92937,1.35539,0.00637,0.00637,0.00637
46,2642.17,1.11324,0.4605,0.94656,0.85599,0.81366,0.80511,0.37711,1.84186,1.00436,1.33761,0.0062875,0.0062875,0.0062875
47,2699.4,1.11184,0.46074,0.94746,0.84585,0.83429,0.81537,0.3722,1.86702,0.98413,1.35032,0.006205,0.006205,0.006205
48,2756.83,1.09793,0.45366,0.94422,0.84227,0.8121,0.79653,0.37439,1.88294,1.00581,1.36599,0.0061225,0.0061225,0.0061225
49,2814.07,1.08399,0.45083,0.93902,0.84692,0.81639,0.81338,0.38034,1.85474,0.99827,1.36239,0.00604,0.00604,0.00604
50,2871.33,1.06646,0.44284,0.93172,0.85509,0.80837,0.81859,0.37291,1.92482,1.07374,1.39686,0.0059575,0.0059575,0.0059575
51,2928.87,1.06103,0.43986,0.93226,0.8484,0.81745,0.80375,0.37934,1.86259,1.02286,1.3675,0.005875,0.005875,0.005875
52,2986.09,1.05088,0.43921,0.9277,0.83312,0.77452,0.80808,0.35846,1.92218,1.07521,1.37219,0.0057925,0.0057925,0.0057925
53,3043.26,1.04417,0.43413,0.92441,0.85525,0.79645,0.80526,0.38147,1.86398,1.07231,1.3797,0.00571,0.00571,0.00571
54,3100.62,1.0277,0.42969,0.92142,0.85924,0.8281,0.81425,0.38085,1.86014,0.99774,1.37476,0.0056275,0.0056275,0.0056275
55,3157.86,1.01442,0.42463,0.92177,0.85363,0.8116,0.8056,0.37485,1.87568,1.03727,1.38998,0.005545,0.005545,0.005545
56,3215.08,1.00167,0.41957,0.91608,0.86038,0.81191,0.8256,0.3785,1.86205,1.05548,1.38347,0.0054625,0.0054625,0.0054625
57,3272.36,0.99401,0.41423,0.91432,0.84431,0.82402,0.81386,0.38644,1.85402,1.01421,1.38938,0.00538,0.00538,0.00538
58,3329.54,0.98402,0.4117,0.91164,0.85051,0.82662,0.81577,0.37937,1.86562,0.97913,1.38507,0.0052975,0.0052975,0.0052975
59,3386.78,0.96783,0.40746,0.90451,0.84807,0.81582,0.81669,0.38583,1.87155,1.02398,1.39936,0.005215,0.005215,0.005215
60,3444.07,0.96329,0.40417,0.90402,0.84551,0.8253,0.81584,0.38655,1.85848,1.01994,1.39065,0.0051325,0.0051325,0.0051325
61,3501.34,0.94767,0.39943,0.89964,0.84376,0.81774,0.8294,0.39341,1.85084,1.11571,1.37782,0.00505,0.00505,0.00505
62,3558.55,0.94274,0.39788,0.89852,0.86188,0.81211,0.81816,0.37649,1.88137,1.00964,1.40138,0.0049675,0.0049675,0.0049675
63,3615.83,0.93109,0.39355,0.89888,0.84027,0.82015,0.8084,0.37348,1.87812,1.03708,1.40716,0.004885,0.004885,0.004885
64,3673.05,0.91848,0.38537,0.89182,0.8473,0.82025,0.8167,0.37763,1.89392,1.03024,1.42119,0.0048025,0.0048025,0.0048025
65,3730.3,0.90749,0.38287,0.88919,0.84121,0.81088,0.8068,0.37555,1.90281,1.0349,1.4317,0.00472,0.00472,0.00472
66,3787.61,0.90035,0.38188,0.88598,0.85192,0.81664,0.81453,0.38358,1.86638,0.99704,1.41545,0.0046375,0.0046375,0.0046375
