epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.2709,2.05892,4.02489,1.22376,0.69168,0.28182,0.46105,0.18934,1.90029,3.4834,1.1717,0.00330532,0.00330532,0.0702521
2,104.248,1.74724,1.69082,1.11495,0.44897,0.46322,0.45866,0.17452,2.041,2.6113,1.31529,0.00658389,0.00658389,0.0401973
3,126.251,1.73247,1.34313,1.12926,0.48445,0.20292,0.17662,0.06449,2.32088,7.05356,1.48592,0.00980745,0.00980745,0.0100876
4,148.217,1.70104,1.14527,1.1361,0.35073,0.41159,0.34609,0.13974,2.05222,3.13297,1.46666,0.0097525,0.0097525,0.0097525
5,170.22,1.62837,0.95506,1.11449,0.69812,0.53964,0.62722,0.2575,1.92542,2.2383,1.34636,0.00967,0.00967,0.00967
6,192.22,1.58063,0.87307,1.09759,0.90443,0.22418,0.34585,0.15507,2.06308,3.40879,1.35717,0.0095875,0.0095875,0.0095875
7,214.94,1.54812,0.80943,1.086,0.76128,0.70735,0.76816,0.31994,1.87166,1.33069,1.29399,0.009505,0.009505,0.009505
8,236.992,1.51171,0.76154,1.07494,0.79116,0.23135,0.33041,0.14465,2.18134,4.03738,1.40104,0.0094225,0.0094225,0.0094225
9,259.256,1.48955,0.73468,1.06833,0.66462,0.54118,0.5235,0.24662,1.91961,1.74368,1.3059,0.00934,0.00934,0.00934
10,281.117,1.4554,0.70479,1.05489,0.79117,0.60268,0.68552,0.31234,1.89996,1.82221,1.31518,0.0092575,0.0092575,0.0092575
11,303.105,1.44169,0.68663,1.04927,0.77342,0.64371,0.73606,0.33011,1.87593,1.66513,1.28602,0.009175,0.009175,0.009175
12,324.931,1.41178,0.66849,1.04051,0.72607,0.6204,0.70015,0.31437,1.88595,1.60715,1.2961,0.0090925,0.0090925,0.0090925
13,346.769,1.39663,0.65112,1.03483,0.49289,0.36557,0.39711,0.16257,2.30319,2.78886,1.60638,0.00901,0.00901,0.00901
14,368.788,1.37957,0.64063,1.0291,0.26952,0.50416,0.42005,0.18582,2.19311,3.46967,1.44402,0.0089275,0.0089275,0.0089275
15,390.834,1.36055,0.62654,1.02233,0.7651,0.65975,0.71924,0.31947,1.87971,1.40966,1.32401,0.008845,0.008845,0.008845
16,412.646,1.33952,0.6118,1.0152,0.6237,0.39806,0.47308,0.20058,2.17674,3.11208,1.43232,0.0087625,0.0087625,0.0087625
17,434.833,1.32126,0.60266,1.01001,0.71188,0.73669,0.78319,0.34175,1.88415,1.22994,1.30925,0.00868,0.00868,0.00868
18,456.651,1.30043,0.59034,1.00339,0.83926,0.74916,0.80965,0.34186,1.95094,1.41716,1.34494,0.0085975,0.0085975,0.0085975
19,478.402,1.28534,0.58307,0.99856,0.82353,0.74695,0.80138,0.36302,1.90058,1.27535,1.31859,0.008515,0.008515,0.008515
20,500.214,1.26816,0.56744,0.99222,0.73215,0.6308,0.6754,0.30046,1.89717,1.86263,1.3032,0.0084325,0.0084325,0.0084325
21,522.392,1.2567,0.56307,0.98738,0.84961,0.72804,0.80508,0.34038,1.95532,1.3581,1.36731,0.00835,0.00835,0.00835
22,544.106,1.24034,0.55765,0.98212,0.75991,0.55591,0.63134,0.27103,2.08616,1.67187,1.40492,0.0082675,0.0082675,0.0082675
23,565.75,1.21005,0.5414,0.97335,0.65385,0.49131,0.56439,0.24924,2.08634,2.11798,1.43021,0.008185,0.008185,0.008185
24,587.557,1.2047,0.54135,0.97138,0.55878,0.51224,0.54464,0.23371,2.06887,1.86685,1.43509,0.0081025,0.0081025,0.0081025
25,609.186,1.18274,0.52812,0.96446,0.84841,0.79175,0.80662,0.34963,1.87368,1.09213,1.3438,0.00802,0.00802,0.00802
26,630.832,1.16386,0.52203,0.96003,0.76512,0.63536,0.72114,0.29838,2.04375,1.60841,1.40073,0.0079375,0.0079375,0.0079375
27,652.726,1.14916,0.51482,0.95442,0.83409,0.75867,0.80718,0.34217,1.94514,1.15353,1.38679,0.007855,0.007855,0.007855
28,676.619,1.13241,0.50586,0.94952,0.7977,0.57044,0.66977,0.28414,2.04723,1.5422,1.41799,0.0077725,0.0077725,0.0077725
29,698.33,1.11631,0.49626,0.94465,0.7131,0.73506,0.80213,0.34414,1.97772,1.47108,1.37846,0.00769,0.00769,0.00769
30,720.176,1.10091,0.49183,0.93917,0.81655,0.72672,0.78975,0.33682,1.98728,1.20726,1.41962,0.0076075,0.0076075,0.0076075
31,741.818,1.07738,0.4844,0.93275,0.83742,0.73777,0.83565,0.3485,1.96412,1.34289,1.38668,0.007525,0.007525,0.007525
32,763.562,1.06338,0.47676,0.92897,0.85139,0.76523,0.82347,0.34563,1.95525,1.04583,1.39899,0.0074425,0.0074425,0.0074425
33,785.242,1.05003,0.47346,0.92479,0.86036,0.65111,0.74249,0.31519,2.03254,1.73299,1.42258,0.00736,0.00736,0.00736
34,807.498,1.03719,0.46517,0.92169,0.78043,0.75435,0.82066,0.33184,2.00843,1.46602,1.42789,0.0072775,0.0072775,0.0072775
35,829.259,1.01654,0.45984,0.91645,0.81644,0.70245,0.75807,0.32965,1.90606,1.199,1.39629,0.007195,0.007195,0.007195
36,850.961,0.99964,0.45113,0.91127,0.77484,0.75638,0.79239,0.33932,2.01058,1.2244,1.44599,0.0071125,0.0071125,0.0071125
37,872.755,0.98767,0.44489,0.90721,0.83659,0.78791,0.81001,0.35052,1.94195,1.12563,1.41581,0.00703,0.00703,0.00703
38,894.397,0.96271,0.43926,0.90098,0.8169,0.73659,0.77661,0.33535,2.01972,1.37039,1.45439,0.0069475,0.0069475,0.0069475
39,916.1,0.95466,0.43574,0.89885,0.83316,0.73904,0.79103,0.34058,1.90073,1.13557,1.41019,0.006865,0.006865,0.006865
40,938.149,0.94034,0.43147,0.89389,0.82665,0.75952,0.79733,0.33664,2.0073,1.32415,1.45499,0.0067825,0.0067825,0.0067825
41,959.806,0.92758,0.42571,0.89208,0.8342,0.74957,0.78663,0.33335,1.9742,1.26268,1.4539,0.0067,0.0067,0.0067
42,981.439,0.91335,0.42065,0.88663,0.80377,0.74254,0.78243,0.33342,1.98298,1.24864,1.43621,0.0066175,0.0066175,0.0066175
43,1003.21,0.89822,0.41336,0.88287,0.84374,0.78182,0.80951,0.34869,1.94327,1.04512,1.44789,0.006535,0.006535,0.006535
44,1024.88,0.87775,0.40504,0.87783,0.85266,0.74562,0.79266,0.35293,1.93193,1.18509,1.43729,0.0064525,0.0064525,0.0064525
45,1046.63,0.86848,0.40249,0.87579,0.82401,0.77212,0.81097,0.33693,1.98554,1.22833,1.47009,0.00637,0.00637,0.00637
46,1068.47,0.85609,0.39797,0.87279,0.82719,0.74121,0.78779,0.34698,1.95534,1.14273,1.46021,0.0062875,0.0062875,0.0062875
47,1090.93,0.84052,0.39334,0.86754,0.8189,0.75744,0.78448,0.33999,1.96085,1.06259,1.47487,0.006205,0.006205,0.006205
48,1112.81,0.82704,0.38992,0.86511,0.80908,0.76369,0.78352,0.33592,1.98808,1.20489,1.4912,0.0061225,0.0061225,0.0061225
49,1134.91,0.81783,0.38268,0.86368,0.82147,0.77174,0.81213,0.34202,1.95908,1.23736,1.47392,0.00604,0.00604,0.00604
50,1156.69,0.79935,0.37731,0.85873,0.80686,0.76212,0.80357,0.33886,1.97776,1.19705,1.49079,0.0059575,0.0059575,0.0059575
51,1178.42,0.79395,0.37399,0.85687,0.79892,0.72658,0.78235,0.3305,1.9802,1.24641,1.48792,0.005875,0.005875,0.005875
52,1200.39,0.77498,0.36861,0.85278,0.77272,0.76614,0.77378,0.33089,1.98582,1.35516,1.48846,0.0057925,0.0057925,0.0057925
53,1222.29,0.76144,0.36558,0.84945,0.8104,0.73416,0.76692,0.332,1.9812,1.22503,1.52554,0.00571,0.00571,0.00571
54,1244.14,0.74979,0.36105,0.84736,0.82298,0.72024,0.76819,0.32674,1.99351,1.27878,1.52073,0.0056275,0.0056275,0.0056275
55,1266.25,0.73753,0.35712,0.84373,0.82024,0.76701,0.80418,0.34418,1.95309,1.18529,1.5081,0.005545,0.005545,0.005545
56,1288.2,0.72735,0.3523,0.84191,0.82361,0.73923,0.79652,0.32955,1.9554,1.23332,1.50588,0.0054625,0.0054625,0.0054625
57,1310.1,0.71816,0.34825,0.83949,0.78011,0.75781,0.77824,0.3326,1.98086,1.21746,1.52937,0.00538,0.00538,0.00538
