epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.9721,3.69897,4.45301,3.76113,0.00069,0.00275,0.00035,0.0001,3.54583,4.40756,3.37913,0.00330623,0.00330623,0.0702439
2,113.881,3.06213,3.58641,3.0177,0.18848,0.16143,0.06695,0.0252,2.61201,4.19742,2.72979,0.00658479,0.00658479,0.0401891
3,168.036,2.36483,2.93606,2.42016,0.26839,0.13674,0.1086,0.04041,2.39201,4.17634,2.51993,0.00980835,0.00980835,0.0100793
4,223.222,2.0202,2.47333,2.07454,0.29465,0.22808,0.15273,0.06278,2.14188,3.54993,2.24162,0.0097525,0.0097525,0.0097525
5,277.35,1.83597,2.15373,1.89736,0.52633,0.35134,0.369,0.17239,1.84221,2.36736,1.94458,0.00967,0.00967,0.00967
6,331.776,1.7427,1.96988,1.80634,0.50204,0.39786,0.40292,0.20576,1.7587,2.14059,1.87188,0.0095875,0.0095875,0.0095875
7,385.923,1.67425,1.83866,1.73374,0.60189,0.4418,0.48661,0.25165,1.69155,1.94579,1.78076,0.009505,0.009505,0.009505
8,439.927,1.62543,1.73543,1.68273,0.61558,0.47153,0.5127,0.26888,1.6284,1.85592,1.73459,0.0094225,0.0094225,0.0094225
9,494.477,1.57629,1.64118,1.65409,0.66692,0.54072,0.59093,0.33589,1.54962,1.62396,1.65529,0.00934,0.00934,0.00934
10,549.89,1.54938,1.56966,1.61271,0.651,0.51732,0.58509,0.3261,1.55248,1.76025,1.65832,0.0092575,0.0092575,0.0092575
11,603.24,1.51801,1.52179,1.60153,0.64299,0.51059,0.55807,0.31992,1.54821,1.70844,1.64703,0.009175,0.009175,0.009175
12,655.795,1.49505,1.45608,1.57559,0.68779,0.57169,0.63353,0.37044,1.46434,1.51911,1.59963,0.0090925,0.0090925,0.0090925
13,711.449,1.47646,1.41966,1.56061,0.71241,0.5972,0.66073,0.3986,1.42521,1.40728,1.54743,0.00901,0.00901,0.00901
14,763.642,1.45071,1.38554,1.53575,0.73412,0.60591,0.67672,0.40986,1.42076,1.34328,1.55308,0.0089275,0.0089275,0.0089275
15,817.448,1.42763,1.33878,1.52048,0.71895,0.61351,0.67879,0.41123,1.40448,1.36467,1.52788,0.008845,0.008845,0.008845
16,871.311,1.41834,1.31985,1.51656,0.74064,0.61041,0.68487,0.42293,1.38965,1.31879,1.52029,0.0087625,0.0087625,0.0087625
17,926.794,1.39123,1.27821,1.49363,0.73821,0.62785,0.69869,0.43159,1.3766,1.28856,1.50377,0.00868,0.00868,0.00868
18,981.49,1.3796,1.24823,1.48645,0.72824,0.64005,0.68886,0.43514,1.34466,1.24089,1.4777,0.0085975,0.0085975,0.0085975
19,1037.18,1.36466,1.23703,1.48267,0.75634,0.63529,0.70436,0.44399,1.34296,1.24317,1.47769,0.008515,0.008515,0.008515
20,1092.22,1.36113,1.22327,1.47411,0.76498,0.63636,0.71325,0.44591,1.34123,1.22485,1.46974,0.0084325,0.0084325,0.0084325
21,1146.26,1.33847,1.19138,1.44976,0.7729,0.64606,0.72453,0.458,1.326,1.1991,1.45937,0.00835,0.00835,0.00835
22,1199.86,1.32862,1.16855,1.44742,0.78284,0.6526,0.731,0.47137,1.30942,1.15759,1.45013,0.0082675,0.0082675,0.0082675
23,1251.61,1.32151,1.159,1.43818,0.77095,0.66381,0.7374,0.47745,1.29087,1.12607,1.42934,0.008185,0.008185,0.008185
24,1303.85,1.31662,1.13425,1.43292,0.7909,0.65774,0.74022,0.48104,1.2839,1.13202,1.43505,0.0081025,0.0081025,0.0081025
25,1359.03,1.30521,1.12273,1.42648,0.74901,0.67119,0.73453,0.46977,1.30797,1.14842,1.44981,0.00802,0.00802,0.00802
26,1411.09,1.29121,1.10276,1.41837,0.7833,0.67282,0.75423,0.49167,1.27417,1.07984,1.41821,0.0079375,0.0079375,0.0079375
27,1463.33,1.28585,1.0895,1.40666,0.7747,0.67542,0.74855,0.48992,1.25969,1.09268,1.41691,0.007855,0.007855,0.007855
28,1516.79,1.27582,1.07205,1.40252,0.77732,0.6782,0.74799,0.48917,1.26258,1.11672,1.4158,0.0077725,0.0077725,0.0077725
29,1568.56,1.26956,1.05638,1.39713,0.79418,0.67816,0.755,0.49456,1.26168,1.07961,1.4064,0.00769,0.00769,0.00769
30,1622.73,1.26177,1.04817,1.39766,0.79695,0.68427,0.7626,0.50542,1.23975,1.0489,1.39155,0.0076075,0.0076075,0.0076075
31,1677,1.246,1.04181,1.38487,0.79172,0.68332,0.76207,0.50266,1.24619,1.04029,1.38904,0.007525,0.007525,0.007525
32,1730.9,1.24409,1.02248,1.3751,0.80184,0.68508,0.76356,0.50885,1.23303,1.03101,1.38727,0.0074425,0.0074425,0.0074425
33,1784.02,1.23748,1.01348,1.37319,0.80442,0.68696,0.76957,0.51501,1.22384,1.02209,1.38351,0.00736,0.00736,0.00736
34,1838.57,1.23123,1.00059,1.36486,0.80225,0.69497,0.77317,0.51769,1.2145,1.03617,1.37251,0.0072775,0.0072775,0.0072775
35,1892.45,1.22817,0.98623,1.36409,0.80538,0.69733,0.77759,0.52172,1.21446,0.99497,1.37124,0.007195,0.007195,0.007195
36,1945.82,1.21552,0.97471,1.35748,0.81475,0.69911,0.78024,0.52671,1.20724,0.98437,1.36778,0.0071125,0.0071125,0.0071125
37,1999.83,1.21289,0.97046,1.35394,0.8088,0.71247,0.78471,0.52966,1.20108,0.98801,1.36121,0.00703,0.00703,0.00703
38,2051.74,1.21057,0.96647,1.35136,0.80109,0.71865,0.78834,0.53386,1.19939,0.9711,1.35598,0.0069475,0.0069475,0.0069475
39,2105.96,1.19736,0.95518,1.34492,0.80599,0.70862,0.78508,0.53386,1.19624,0.96024,1.3589,0.006865,0.006865,0.006865
40,2159.64,1.19444,0.94613,1.34387,0.79546,0.72144,0.78846,0.53562,1.19449,0.95333,1.36144,0.0067825,0.0067825,0.0067825
41,2212.88,1.18629,0.93297,1.33466,0.80896,0.71679,0.79247,0.53887,1.19204,0.93781,1.35109,0.0067,0.0067,0.0067
42,2265.56,1.18498,0.92811,1.3284,0.80441,0.72923,0.79617,0.54378,1.18313,0.93745,1.34576,0.0066175,0.0066175,0.0066175
43,2318.06,1.17637,0.91969,1.3231,0.80961,0.7161,0.79379,0.54262,1.179,0.94316,1.34165,0.006535,0.006535,0.006535
44,2371.61,1.16319,0.90725,1.31773,0.80968,0.72328,0.79351,0.54195,1.18911,0.94053,1.34724,0.0064525,0.0064525,0.0064525
45,2424.54,1.16562,0.90186,1.31805,0.82238,0.72408,0.80335,0.55076,1.1766,0.91326,1.33572,0.00637,0.00637,0.00637
46,2478.22,1.15808,0.89371,1.31228,0.82395,0.72604,0.80432,0.55207,1.17452,0.9073,1.33529,0.0062875,0.0062875,0.0062875
47,2531.12,1.15394,0.88475,1.30396,0.82136,0.73042,0.80455,0.55339,1.16633,0.91823,1.33167,0.006205,0.006205,0.006205
48,2584.02,1.15237,0.88289,1.30865,0.82723,0.73046,0.80666,0.55602,1.16218,0.89789,1.32716,0.0061225,0.0061225,0.0061225
49,2636.95,1.14917,0.87483,1.30268,0.8326,0.72697,0.80552,0.55459,1.16345,0.90318,1.32681,0.00604,0.00604,0.00604
50,2691.61,1.1405,0.86955,1.2981,0.82236,0.7315,0.80895,0.55932,1.16083,0.89614,1.32253,0.0059575,0.0059575,0.0059575
51,2744.51,1.12992,0.85778,1.29253,0.82121,0.7368,0.80893,0.55946,1.15583,0.8854,1.32082,0.005875,0.005875,0.005875
52,2798.82,1.13398,0.85244,1.29384,0.82659,0.7314,0.81001,0.56096,1.15054,0.88796,1.31665,0.0057925,0.0057925,0.0057925
53,2853.37,1.12645,0.84456,1.28907,0.83999,0.72759,0.81513,0.56529,1.15187,0.8734,1.31758,0.00571,0.00571,0.00571
54,2909.16,1.12045,0.84311,1.28467,0.83625,0.73572,0.81261,0.56679,1.14705,0.88485,1.31346,0.0056275,0.0056275,0.0056275
55,2962.69,1.11574,0.83221,1.27935,0.83188,0.73601,0.81402,0.56822,1.14341,0.87729,1.31138,0.005545,0.005545,0.005545
56,3016.94,1.1193,0.8373,1.2802,0.82857,0.7438,0.81524,0.56844,1.14358,0.87422,1.30739,0.0054625,0.0054625,0.0054625
57,3071.19,1.10839,0.82482,1.27672,0.81983,0.74546,0.81339,0.5669,1.14451,0.86848,1.31169,0.00538,0.00538,0.00538
58,3123.97,1.10329,0.81389,1.27079,0.82125,0.74699,0.81774,0.57098,1.14094,0.8583,1.31033,0.0052975,0.0052975,0.0052975
59,3176.71,1.10244,0.80918,1.26258,0.8344,0.74189,0.81885,0.57367,1.13747,0.86268,1.30536,0.005215,0.005215,0.005215
60,3229.05,1.09627,0.80105,1.2648,0.81523,0.75339,0.81639,0.57064,1.13579,0.86379,1.30713,0.0051325,0.0051325,0.0051325
61,3282.37,1.0929,0.79802,1.26345,0.82482,0.75002,0.81917,0.57432,1.13527,0.85222,1.30513,0.00505,0.00505,0.00505
62,3334.62,1.08182,0.78941,1.25857,0.83206,0.74813,0.81859,0.57384,1.13838,0.85537,1.30712,0.0049675,0.0049675,0.0049675
