epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.9675,3.72686,4.85857,4.25855,0.00013,0.01206,7e-05,2e-05,3.68977,4.79166,4.11971,0.00327957,0.00327957,0.0704839
2,86.5439,3.74357,4.73671,4.07983,0.00044,0.04762,0.00032,9e-05,3.6192,4.60977,3.78355,0.00655835,0.00655835,0.0404293
3,123.327,3.33246,4.15779,3.25042,0.12382,0.12499,0.01665,0.00513,2.92633,8.99331,3.02998,0.00978212,0.00978212,0.0103198
4,157.498,2.65495,3.47508,2.6495,0.11341,0.15444,0.0716,0.0267,2.4808,4.99412,2.64829,0.0097525,0.0097525,0.0097525
5,189.879,2.25114,2.99838,2.313,0.20735,0.17584,0.12567,0.04744,2.25535,3.40339,2.40301,0.00967,0.00967,0.00967
6,221.36,2.06521,2.70217,2.13697,0.35031,0.26764,0.23527,0.09417,2.0718,2.69727,2.22244,0.0095875,0.0095875,0.0095875
7,253.434,1.96175,2.46677,2.03162,0.41812,0.3197,0.30371,0.13281,1.94547,2.67024,2.08884,0.009505,0.009505,0.009505
8,284.667,1.89203,2.32155,1.95665,0.44648,0.34155,0.32495,0.14915,1.8809,2.42099,2.02314,0.0094225,0.0094225,0.0094225
9,316.245,1.82555,2.20722,1.90151,0.46402,0.35505,0.3495,0.15961,1.8471,2.33437,1.95368,0.00934,0.00934,0.00934
10,347.704,1.7798,2.09627,1.8571,0.52991,0.41884,0.4284,0.2094,1.72731,2.07693,1.88089,0.0092575,0.0092575,0.0092575
11,379.008,1.74096,2.0179,1.82106,0.56484,0.40555,0.43269,0.21929,1.71128,2.06306,1.87373,0.009175,0.009175,0.009175
12,410.392,1.7092,1.95297,1.79283,0.592,0.41937,0.45385,0.23096,1.69152,2.02073,1.83161,0.0090925,0.0090925,0.0090925
13,441.476,1.68044,1.89399,1.76604,0.598,0.452,0.48863,0.25656,1.66632,1.94192,1.79661,0.00901,0.00901,0.00901
