epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.302,3.73769,4.82578,4.27006,0.00032,0.03514,0.00021,5e-05,3.71093,4.79804,4.11186,0.00330623,0.00330623,0.0702439
2,239.773,3.71681,4.57091,3.93344,0.00236,0.13137,0.00184,0.00052,3.48882,95.655,5.71343,0.00658479,0.00658479,0.0401891
3,319.123,2.93533,3.67503,2.8947,0.09798,0.11837,0.0505,0.0185,2.62703,3.82293,2.75002,0.00980835,0.00980835,0.0100793
4,398.235,2.21589,2.84264,2.29387,0.33023,0.29441,0.22735,0.0898,2.07155,2.80264,2.22,0.0097525,0.0097525,0.0097525
5,477.135,1.9425,2.42302,2.03498,0.41608,0.33419,0.30042,0.13181,1.88031,2.54756,2.04226,0.00967,0.00967,0.00967
6,556.493,1.82496,2.18845,1.90736,0.48495,0.37514,0.37703,0.17825,1.80325,2.28674,1.95478,0.0095875,0.0095875,0.0095875
7,635.778,1.74797,2.03081,1.82622,0.53023,0.42993,0.44535,0.2186,1.70315,2.15362,1.82532,0.009505,0.009505,0.009505
8,715.097,1.69152,1.90838,1.76621,0.52851,0.42352,0.43733,0.219,1.70983,2.10723,1.85473,0.0094225,0.0094225,0.0094225
9,793.967,1.63978,1.79983,1.72971,0.60751,0.47745,0.51518,0.27462,1.61083,1.89377,1.74228,0.00934,0.00934,0.00934
10,872.652,1.60679,1.71745,1.68037,0.63385,0.49533,0.54653,0.29651,1.58481,1.80605,1.71714,0.0092575,0.0092575,0.0092575
11,952.418,1.5734,1.66052,1.66693,0.66629,0.5291,0.5868,0.32572,1.53657,1.65737,1.67678,0.009175,0.009175,0.009175
12,1031.41,1.5482,1.58815,1.63428,0.69217,0.54543,0.61522,0.3559,1.49047,1.57937,1.63834,0.0090925,0.0090925,0.0090925
13,1110.84,1.5277,1.5471,1.62132,0.6725,0.56945,0.62427,0.36543,1.46995,1.50862,1.62901,0.00901,0.00901,0.00901
14,1189.38,1.5009,1.49966,1.58905,0.7093,0.58107,0.64589,0.38208,1.45636,1.4665,1.60058,0.0089275,0.0089275,0.0089275
15,1267.53,1.47826,1.45074,1.57463,0.71326,0.57882,0.64666,0.38736,1.44147,1.47862,1.58802,0.008845,0.008845,0.008845
16,1345.42,1.46657,1.42184,1.57082,0.71356,0.58319,0.65117,0.39064,1.42912,1.43992,1.5814,0.0087625,0.0087625,0.0087625
17,1423.85,1.43961,1.37871,1.54627,0.72843,0.56324,0.64174,0.38572,1.42906,1.49206,1.58731,0.00868,0.00868,0.00868
18,1501.5,1.42299,1.34588,1.53493,0.69266,0.61981,0.66531,0.41246,1.38344,1.33422,1.53661,0.0085975,0.0085975,0.0085975
19,1580.01,1.40699,1.32882,1.53127,0.72604,0.62383,0.68949,0.42767,1.36426,1.32432,1.52645,0.008515,0.008515,0.008515
20,1658.3,1.40246,1.30413,1.5185,0.74715,0.62079,0.70263,0.43894,1.36163,1.29095,1.515,0.0084325,0.0084325,0.0084325
21,1736.43,1.37996,1.27511,1.49609,0.76363,0.62966,0.71016,0.44638,1.33946,1.24241,1.50819,0.00835,0.00835,0.00835
22,1814.49,1.36811,1.24436,1.49149,0.75599,0.64393,0.71564,0.45289,1.32912,1.23054,1.49722,0.0082675,0.0082675,0.0082675
23,1892.53,1.36203,1.23928,1.48376,0.75019,0.63671,0.71422,0.45069,1.33634,1.22298,1.50392,0.008185,0.008185,0.008185
24,1971.81,1.35449,1.21465,1.47463,0.74687,0.65898,0.72246,0.46021,1.30516,1.20624,1.48024,0.0081025,0.0081025,0.0081025
25,2050.25,1.34182,1.2009,1.46708,0.74454,0.65001,0.72212,0.46257,1.31299,1.18462,1.47377,0.00802,0.00802,0.00802
26,2128.74,1.32775,1.17609,1.46064,0.77212,0.66316,0.73651,0.47484,1.29556,1.1438,1.46878,0.0079375,0.0079375,0.0079375
27,2207.07,1.3219,1.1561,1.44896,0.76444,0.65558,0.73072,0.46702,1.30696,1.16396,1.46907,0.007855,0.007855,0.007855
28,2286.36,1.31278,1.1367,1.44278,0.76889,0.67635,0.74687,0.48157,1.28771,1.11291,1.46064,0.0077725,0.0077725,0.0077725
29,2364.62,1.30387,1.12532,1.43999,0.77525,0.67908,0.74849,0.48457,1.27948,1.11573,1.4549,0.00769,0.00769,0.00769
30,2443.46,1.29097,1.10946,1.43513,0.78458,0.67704,0.75119,0.49162,1.26544,1.09691,1.44177,0.0076075,0.0076075,0.0076075
