epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3142,1.05267,3.13375,0.41882,0.25981,0.195,0.20392,0.07175,0.78321,1.0152,0.28095,0.00324561,0.00324561,0.0707895
2,58.487,1.27347,0.57095,0.42419,0.50343,0.01,0.00032,6e-05,1.80374,0.2523,0.5715,0.00652467,0.00652467,0.0407352
3,85.2805,1.12861,0.52435,0.32486,0.02434,0.14778,0.02174,0.00566,1.30412,0.6119,0.37255,0.00974873,0.00974873,0.0106259
4,111.498,0.9573,0.45315,0.23838,0.54186,0.52134,0.45439,0.20203,0.60909,0.67753,0.19598,0.0097525,0.0097525,0.0097525
5,138.334,0.86855,0.43569,0.21557,0.02919,0.54238,0.05125,0.00929,1.52996,0.30744,0.33069,0.00967,0.00967,0.00967
6,164.479,0.90026,0.41663,0.21691,0.10609,0.13465,0.09338,0.01964,1.30219,0.34696,0.30091,0.0095875,0.0095875,0.0095875
7,190.871,0.93021,0.40869,0.21533,0.62705,0.73698,0.65115,0.25971,0.64817,0.47195,0.19515,0.009505,0.009505,0.009505
8,217.212,0.8763,0.40708,0.22013,0.54826,0.611,0.52546,0.34345,0.43052,0.44785,0.14327,0.0094225,0.0094225,0.0094225
9,243.907,0.94868,0.40413,0.23099,0.65381,0.77174,0.69489,0.25792,0.68423,0.47675,0.17751,0.00934,0.00934,0.00934
10,270.341,0.84272,0.41291,0.19841,0.6169,0.63707,0.55363,0.27473,0.59126,0.47826,0.19232,0.0092575,0.0092575,0.0092575
11,296.574,1.02135,0.37698,0.22254,0.17551,0.67083,0.23308,0.05811,1.33599,0.30067,0.24767,0.009175,0.009175,0.009175
12,323.135,1.01694,0.39623,0.25137,0.52362,0.46543,0.46361,0.09953,0.99643,0.39874,0.27642,0.0090925,0.0090925,0.0090925
13,349.488,0.87589,0.42431,0.19572,0.35585,0.44653,0.36458,0.07577,1.05113,0.41168,0.31094,0.00901,0.00901,0.00901
14,376.154,0.87,0.41088,0.19477,0.77158,0.75491,0.74932,0.37311,0.44417,0.46577,0.14956,0.0089275,0.0089275,0.0089275
15,402.873,0.99273,0.37648,0.21825,0.84264,0.75772,0.75814,0.30226,0.65991,0.44047,0.21887,0.008845,0.008845,0.008845
16,429.088,0.98013,0.3623,0.21996,0.47857,0.4159,0.36796,0.07884,1.11029,0.34948,0.21147,0.0087625,0.0087625,0.0087625
17,455.309,0.81459,0.41108,0.20002,0.26301,0.30513,0.24958,0.0487,1.12353,0.40058,0.26171,0.00868,0.00868,0.00868
18,481.768,0.92271,0.3853,0.21517,0.58885,0.67139,0.63707,0.32043,0.6791,0.41464,0.16633,0.0085975,0.0085975,0.0085975
19,507.824,1.04305,0.37739,0.24589,0.72349,0.81124,0.73475,0.38993,0.45045,0.43877,0.14737,0.008515,0.008515,0.008515
20,534.31,0.82773,0.41068,0.19259,0.81655,0.84377,0.84282,0.467,0.3912,0.44813,0.13695,0.0084325,0.0084325,0.0084325
21,560.892,0.91405,0.384,0.20468,0.79868,0.79642,0.79214,0.31252,0.70957,0.44459,0.20041,0.00835,0.00835,0.00835
22,587.033,0.78631,0.41491,0.17784,0.37706,0.38508,0.29776,0.05692,1.03429,0.38735,0.22424,0.0082675,0.0082675,0.0082675
23,613.117,0.81916,0.40598,0.18514,0.52107,0.61327,0.52198,0.27993,0.58399,0.4269,0.19503,0.008185,0.008185,0.008185
24,639.205,0.68121,0.43444,0.15264,0.69151,0.71323,0.67924,0.30535,0.65182,0.45467,0.15886,0.0081025,0.0081025,0.0081025
25,665.295,0.77789,0.42102,0.16092,0.84957,0.85441,0.85934,0.43019,0.44001,0.42843,0.12578,0.00802,0.00802,0.00802
26,691.356,0.70637,0.40466,0.15136,0.65776,0.65457,0.6099,0.31898,0.53449,0.40982,0.17881,0.0079375,0.0079375,0.0079375
