epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.267,1.57556,3.55057,1.24462,0.0023,0.4975,0.11946,0.03422,1.62963,4.17676,1.31138,0.00324561,0.00324561,0.0707895
2,15.8811,1.42789,1.82463,1.08812,0.00517,0.82624,0.37788,0.19201,1.43844,3.09154,1.11684,0.00652467,0.00652467,0.0407352
3,21.267,1.4895,1.61146,1.12042,0.79361,0.38651,0.46809,0.19286,1.85851,2.14348,1.6578,0.00974873,0.00974873,0.0106259
4,26.7299,1.56883,1.55044,1.23049,0.52901,0.55595,0.58971,0.23879,1.76846,7.8698,1.54275,0.0097525,0.0097525,0.0097525
5,32.4001,1.46229,1.35606,1.16013,0.48223,0.67187,0.59256,0.24796,1.6572,6.59018,1.49386,0.00967,0.00967,0.00967
6,38.2447,1.35621,1.15996,1.09899,0.68775,0.71468,0.73047,0.34036,1.6164,3.00022,1.30677,0.0095875,0.0095875,0.0095875
7,44.0332,1.28175,1.00108,1.06781,0.74387,0.74456,0.78053,0.33331,1.77577,2.09038,1.31441,0.009505,0.009505,0.009505
8,49.344,1.19565,0.89325,1.03197,0.74545,0.72744,0.76438,0.36339,1.51097,1.68864,1.22781,0.0094225,0.0094225,0.0094225
9,54.9199,1.13172,0.82587,1.00517,0.76133,0.7652,0.78135,0.36363,1.42172,1.67458,1.17422,0.00934,0.00934,0.00934
10,60.6561,1.10845,0.79398,0.98579,0.7623,0.71528,0.74791,0.34363,1.6238,1.21747,1.23925,0.0092575,0.0092575,0.0092575
11,66.3327,1.05927,0.74101,0.97854,0.692,0.71343,0.74143,0.41032,1.24733,0.94619,1.13693,0.009175,0.009175,0.009175
12,71.8409,1.04709,0.7282,0.96535,0.80717,0.80354,0.82332,0.42288,1.29562,0.91424,1.13965,0.0090925,0.0090925,0.0090925
13,77.1777,1.0121,0.69367,0.95665,0.80342,0.73775,0.78755,0.3802,1.35414,0.97655,1.16632,0.00901,0.00901,0.00901
14,82.52,0.9898,0.66695,0.94232,0.71442,0.78336,0.74239,0.39006,1.37367,0.89309,1.15576,0.0089275,0.0089275,0.0089275
15,87.8502,0.9479,0.64435,0.92925,0.79434,0.74441,0.78857,0.42764,1.24353,0.88695,1.13888,0.008845,0.008845,0.008845
16,93.2196,0.93882,0.62752,0.92582,0.80512,0.74305,0.79588,0.43349,1.24662,0.8639,1.16038,0.0087625,0.0087625,0.0087625
17,98.6674,0.91468,0.60854,0.9164,0.79519,0.73721,0.76986,0.42474,1.28668,0.81069,1.11946,0.00868,0.00868,0.00868
18,104.051,0.89118,0.58558,0.90838,0.72212,0.73338,0.75585,0.37408,1.5392,1.10707,1.2441,0.0085975,0.0085975,0.0085975
19,109.348,0.87396,0.5754,0.90205,0.84073,0.76762,0.82242,0.41394,1.36365,0.86898,1.16604,0.008515,0.008515,0.008515
20,115.128,0.84519,0.55693,0.89558,0.82926,0.71948,0.77737,0.43818,1.17748,0.76336,1.10575,0.0084325,0.0084325,0.0084325
21,120.735,0.8222,0.54814,0.88349,0.77247,0.70486,0.75394,0.42481,1.16216,0.80782,1.10115,0.00835,0.00835,0.00835
22,126.484,0.82089,0.53449,0.88147,0.57786,0.78345,0.70715,0.34412,1.59893,1.91368,1.34313,0.0082675,0.0082675,0.0082675
23,131.758,0.79234,0.53789,0.87862,0.76949,0.77162,0.79135,0.41681,1.22566,0.7357,1.1064,0.008185,0.008185,0.008185
24,137.068,0.7875,0.51144,0.87507,0.79796,0.7466,0.78166,0.4314,1.18473,0.75542,1.11796,0.0081025,0.0081025,0.0081025
25,142.381,0.75966,0.50678,0.86999,0.78593,0.7673,0.79637,0.43493,1.19136,0.83754,1.10233,0.00802,0.00802,0.00802
26,147.595,0.76249,0.50025,0.87126,0.75082,0.76098,0.76833,0.42874,1.28942,0.78664,1.14456,0.0079375,0.0079375,0.0079375
27,153.274,0.73215,0.49275,0.8607,0.77891,0.74575,0.78631,0.43079,1.24868,0.83561,1.17465,0.007855,0.007855,0.007855
28,158.685,0.72376,0.48165,0.86102,0.77017,0.75953,0.77911,0.43033,1.15827,0.77011,1.0983,0.0077725,0.0077725,0.0077725
29,163.9,0.71354,0.47658,0.85818,0.82274,0.7676,0.809,0.42964,1.29311,0.75789,1.15699,0.00769,0.00769,0.00769
30,169.273,0.69894,0.45927,0.85064,0.79814,0.75931,0.77623,0.41346,1.37462,0.91947,1.15915,0.0076075,0.0076075,0.0076075
31,174.798,0.69179,0.45263,0.84795,0.78924,0.77706,0.77346,0.42734,1.20719,0.77715,1.13221,0.007525,0.007525,0.007525
32,180.558,0.66126,0.4479,0.84669,0.81967,0.72991,0.78549,0.43765,1.178,0.74902,1.1072,0.0074425,0.0074425,0.0074425
33,186.105,0.65988,0.44728,0.84367,0.70003,0.63686,0.65353,0.27396,1.90657,2.01046,1.71978,0.00736,0.00736,0.00736
34,191.377,0.64508,0.43328,0.84134,0.83498,0.73132,0.78714,0.4421,1.16622,0.69357,1.10368,0.0072775,0.0072775,0.0072775
35,196.663,0.6331,0.42637,0.83729,0.87897,0.75494,0.80794,0.44714,1.20098,0.69529,1.12788,0.007195,0.007195,0.007195
