epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8778,1.58579,8.34032,0.00902,0.69735,0.41141,0.55161,0.31045,1.28285,2.0589,0.00729,0.00324561,0.00324561,0.0707895
2,21.8206,1.40955,1.27141,0.00605,0.68315,0.61032,0.68807,0.30665,1.78001,1.71394,0.01093,0.00652467,0.00652467,0.0407352
3,30.6576,1.51781,1.22903,0.00663,0.60579,0.64375,0.61326,0.2649,1.79573,1.96268,0.00911,0.00974873,0.00974873,0.0106259
4,39.4634,1.66057,1.13161,0.00778,0.72368,0.69793,0.72877,0.28325,2.00861,1.71536,0.01633,0.0097525,0.0097525,0.0097525
5,48.5748,1.59541,0.8455,0.00718,0.72772,0.76314,0.7716,0.32091,1.94395,1.41414,0.01464,0.00967,0.00967,0.00967
6,57.6349,1.58824,0.66154,0.00694,0.84527,0.76632,0.85426,0.38663,1.91207,0.98675,0.01202,0.0095875,0.0095875,0.0095875
7,66.8518,1.52421,0.59905,0.00663,0.80612,0.71794,0.80416,0.38762,1.76691,0.88728,0.00951,0.009505,0.009505,0.009505
8,75.9345,1.3723,0.5375,0.00581,0.58223,0.80631,0.61289,0.29472,1.4601,1.6872,0.0089,0.0094225,0.0094225,0.0094225
9,84.873,1.2993,0.50957,0.00567,0.87604,0.81823,0.8864,0.45158,1.55921,0.62404,0.0092,0.00934,0.00934,0.00934
10,93.9645,1.36354,0.50166,0.00564,0.84195,0.83226,0.88139,0.43926,1.65009,0.62625,0.00897,0.0092575,0.0092575,0.0092575
11,102.818,1.28638,0.47216,0.00533,0.83719,0.82065,0.87775,0.47283,1.39632,0.54063,0.00742,0.009175,0.009175,0.009175
12,111.713,1.26484,0.47928,0.0052,0.86316,0.80379,0.87103,0.45827,1.41733,0.6237,0.00831,0.0090925,0.0090925,0.0090925
13,120.441,1.20472,0.44727,0.00482,0.78151,0.80466,0.84084,0.46233,1.27079,0.63457,0.00737,0.00901,0.00901,0.00901
14,129.17,1.16475,0.42976,0.00488,0.83658,0.80652,0.86436,0.49173,1.26902,0.59335,0.00695,0.0089275,0.0089275,0.0089275
15,138.079,1.1632,0.41183,0.00441,0.86729,0.73879,0.85627,0.48659,1.23751,0.65678,0.00678,0.008845,0.008845,0.008845
16,146.832,1.15028,0.39622,0.00467,0.83663,0.80158,0.86287,0.48002,1.36422,0.58143,0.00767,0.0087625,0.0087625,0.0087625
17,155.852,1.0756,0.37794,0.00425,0.86107,0.83439,0.87803,0.49648,1.36279,0.5506,0.00688,0.00868,0.00868,0.00868
18,164.649,1.06659,0.36813,0.00406,0.82905,0.81493,0.87124,0.46848,1.38831,0.63318,0.00743,0.0085975,0.0085975,0.0085975
19,173.544,1.05785,0.36914,0.00415,0.84951,0.79191,0.8654,0.47726,1.33317,0.63698,0.00718,0.008515,0.008515,0.008515
20,182.473,0.99386,0.34565,0.004,0.85307,0.82163,0.87802,0.46315,1.46134,0.61794,0.00824,0.0084325,0.0084325,0.0084325
21,191.327,1.02501,0.35666,0.00398,0.86,0.80795,0.87911,0.49786,1.28375,0.58195,0.00679,0.00835,0.00835,0.00835
22,200.063,1.00441,0.35578,0.00375,0.80347,0.83215,0.86491,0.50151,1.2701,0.58201,0.00685,0.0082675,0.0082675,0.0082675
23,209.093,0.99856,0.33728,0.00385,0.8333,0.81716,0.87541,0.50294,1.20452,0.60956,0.00693,0.008185,0.008185,0.008185
24,217.977,0.98181,0.33524,0.00362,0.85093,0.85122,0.89081,0.50007,1.23296,0.58078,0.00654,0.0081025,0.0081025,0.0081025
25,226.66,0.97347,0.33601,0.00362,0.8698,0.82209,0.8879,0.47165,1.34734,0.60172,0.00708,0.00802,0.00802,0.00802
26,235.23,0.95127,0.33887,0.0036,0.86901,0.80018,0.86972,0.50102,1.27665,0.59807,0.00732,0.0079375,0.0079375,0.0079375
27,243.838,0.91586,0.34344,0.00359,0.82754,0.83614,0.86957,0.45057,1.39742,0.61415,0.00745,0.007855,0.007855,0.007855
28,252.562,0.91982,0.31769,0.00345,0.85277,0.83882,0.87139,0.48943,1.19168,0.57014,0.00637,0.0077725,0.0077725,0.0077725
29,261.409,0.90394,0.32805,0.00333,0.81858,0.84798,0.86059,0.45149,1.38622,0.67258,0.00707,0.00769,0.00769,0.00769
30,270.16,0.90366,0.31531,0.00327,0.87897,0.79978,0.86872,0.48576,1.24106,0.6018,0.00656,0.0076075,0.0076075,0.0076075
31,279.128,0.85156,0.2968,0.0031,0.8987,0.76948,0.87105,0.49948,1.21214,0.58416,0.00651,0.007525,0.007525,0.007525
32,287.804,0.82173,0.2907,0.003,0.83514,0.78484,0.85155,0.48391,1.1864,0.65481,0.00671,0.0074425,0.0074425,0.0074425
33,296.924,0.83126,0.29148,0.00304,0.8522,0.78833,0.83718,0.48524,1.21161,0.54812,0.00669,0.00736,0.00736,0.00736
34,305.675,0.82319,0.28045,0.0031,0.82656,0.83942,0.86691,0.49172,1.27791,0.57646,0.00667,0.0072775,0.0072775,0.0072775
35,314.578,0.80919,0.26881,0.00287,0.86479,0.82299,0.87086,0.48245,1.31981,0.61783,0.00681,0.007195,0.007195,0.007195
36,323.291,0.78724,0.26455,0.00292,0.8689,0.83694,0.88084,0.48567,1.29042,0.61054,0.00673,0.0071125,0.0071125,0.0071125
37,332.049,0.76091,0.24486,0.00272,0.8225,0.84062,0.86024,0.49797,1.1505,0.58319,0.00623,0.00703,0.00703,0.00703
38,340.837,0.75908,0.26395,0.00276,0.83001,0.82562,0.85233,0.47666,1.28216,0.59122,0.00686,0.0069475,0.0069475,0.0069475
39,349.508,0.73494,0.25144,0.00256,0.8671,0.79153,0.86148,0.50317,1.17642,0.55284,0.00632,0.006865,0.006865,0.006865
40,358.783,0.71777,0.24553,0.00268,0.84003,0.83353,0.86293,0.49039,1.24061,0.63278,0.00689,0.0067825,0.0067825,0.0067825
41,367.485,0.6979,0.24008,0.00249,0.87475,0.80465,0.87472,0.48561,1.23525,0.55375,0.00668,0.0067,0.0067,0.0067
42,376.336,0.69072,0.23382,0.00242,0.87007,0.82644,0.86925,0.46506,1.32839,0.58892,0.00684,0.0066175,0.0066175,0.0066175
43,385.238,0.69544,0.24354,0.00244,0.84387,0.84673,0.8728,0.49656,1.21157,0.59756,0.00663,0.006535,0.006535,0.006535
44,394.279,0.6671,0.25298,0.00246,0.85511,0.78696,0.86144,0.47138,1.35348,0.66399,0.00696,0.0064525,0.0064525,0.0064525
45,403.348,0.67213,0.24073,0.00238,0.828,0.81793,0.86988,0.51142,1.22289,0.58821,0.00653,0.00637,0.00637,0.00637
46,412.363,0.6371,0.23102,0.0023,0.87275,0.79996,0.86138,0.51267,1.1658,0.52849,0.00643,0.0062875,0.0062875,0.0062875
47,421.341,0.63986,0.22956,0.00233,0.81752,0.83464,0.87626,0.49565,1.20288,0.58073,0.00692,0.006205,0.006205,0.006205
48,430.418,0.64008,0.21455,0.00227,0.83588,0.81458,0.86079,0.48051,1.25958,0.62043,0.00655,0.0061225,0.0061225,0.0061225
49,439.263,0.61484,0.20691,0.00226,0.86235,0.804,0.8632,0.50049,1.21885,0.62192,0.00646,0.00604,0.00604,0.00604
50,448.062,0.61532,0.19602,0.00218,0.88251,0.77057,0.85826,0.48204,1.26361,0.69428,0.00672,0.0059575,0.0059575,0.0059575
51,457.049,0.58459,0.20761,0.00209,0.85747,0.83561,0.87865,0.50434,1.18694,0.54854,0.00647,0.005875,0.005875,0.005875
52,465.81,0.59561,0.19963,0.00212,0.84164,0.81648,0.85481,0.48667,1.1929,0.56288,0.00656,0.0057925,0.0057925,0.0057925
53,475.009,0.60044,0.20863,0.00209,0.83861,0.81912,0.86462,0.49591,1.21913,0.58932,0.00661,0.00571,0.00571,0.00571
