epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3431,1.49327,7.60339,0.00766,0.65805,0.5028,0.57899,0.31718,1.40603,2.07176,0.00791,0.00325397,0.00325397,0.0707143
2,25.6264,1.28125,1.10249,0.00496,0.65627,0.60143,0.66471,0.27758,1.94266,1.69989,0.01285,0.00653296,0.00653296,0.0406599
3,35.4559,1.37966,0.95654,0.00581,0.40122,0.52015,0.4327,0.18908,1.7378,2.02015,0.01038,0.00975694,0.00975694,0.0105506
4,45.3851,1.41903,0.92207,0.00581,0.69231,0.67632,0.73637,0.36645,1.52575,1.33663,0.00849,0.0097525,0.0097525,0.0097525
5,55.0591,1.33505,0.80359,0.00501,0.62792,0.67379,0.68602,0.35308,1.4779,1.41048,0.00858,0.00967,0.00967,0.00967
6,64.7152,1.24575,0.67104,0.00464,0.79314,0.60907,0.69804,0.36518,1.51273,1.31793,0.00875,0.0095875,0.0095875,0.0095875
7,74.5226,1.19101,0.59095,0.00461,0.77494,0.70377,0.77209,0.38715,1.56537,1.58627,0.00785,0.009505,0.009505,0.009505
8,84.2588,1.15126,0.50181,0.00411,0.82491,0.74665,0.81432,0.45954,1.33624,1.38738,0.00753,0.0094225,0.0094225,0.0094225
9,94.8167,1.13525,0.46702,0.00413,0.82863,0.81545,0.84573,0.43973,1.48824,0.99651,0.00783,0.00934,0.00934,0.00934
10,104.437,1.11178,0.44754,0.00393,0.80392,0.73536,0.80122,0.44561,1.44855,0.98458,0.00764,0.0092575,0.0092575,0.0092575
11,114.056,1.07232,0.40985,0.00387,0.77049,0.75775,0.78892,0.42757,1.49033,1.06095,0.00773,0.009175,0.009175,0.009175
12,123.632,1.04158,0.40951,0.00367,0.82705,0.72022,0.78481,0.42104,1.34142,1.36916,0.00717,0.0090925,0.0090925,0.0090925
13,133.297,1.01607,0.38646,0.00349,0.76436,0.74476,0.82734,0.48153,1.2567,0.82154,0.00643,0.00901,0.00901,0.00901
14,143.355,1.01168,0.36901,0.00351,0.75591,0.76011,0.80645,0.45297,1.33299,0.92741,0.0076,0.0089275,0.0089275,0.0089275
15,152.909,0.97638,0.35425,0.00333,0.77402,0.77534,0.83209,0.48218,1.38334,0.82535,0.00687,0.008845,0.008845,0.008845
16,162.727,0.95643,0.36277,0.00335,0.76034,0.75557,0.81168,0.47313,1.25006,0.98302,0.00683,0.0087625,0.0087625,0.0087625
17,172.408,0.92327,0.33475,0.0032,0.7836,0.72581,0.79258,0.44784,1.30023,0.88202,0.00691,0.00868,0.00868,0.00868
18,182.058,0.91951,0.31719,0.00305,0.75322,0.82923,0.83488,0.49491,1.27918,0.87624,0.00677,0.0085975,0.0085975,0.0085975
19,191.814,0.89304,0.31326,0.00309,0.78551,0.81604,0.83711,0.47072,1.3424,0.83548,0.00688,0.008515,0.008515,0.008515
20,201.44,0.89887,0.31703,0.00304,0.86611,0.73026,0.82859,0.46867,1.42657,0.79857,0.00736,0.0084325,0.0084325,0.0084325
21,211.075,0.87303,0.30775,0.0029,0.818,0.77904,0.817,0.48704,1.26631,0.75827,0.00665,0.00835,0.00835,0.00835
22,220.72,0.87642,0.30814,0.00303,0.84521,0.71849,0.81043,0.46737,1.41176,0.81933,0.00749,0.0082675,0.0082675,0.0082675
23,230.49,0.84786,0.2999,0.0029,0.829,0.74833,0.81393,0.4974,1.19719,0.749,0.00658,0.008185,0.008185,0.008185
24,240.575,0.85296,0.2859,0.00279,0.89541,0.76447,0.85709,0.49814,1.33821,0.78503,0.00684,0.0081025,0.0081025,0.0081025
25,250.363,0.82515,0.27078,0.00271,0.86112,0.80127,0.83937,0.52934,1.16785,0.74489,0.00619,0.00802,0.00802,0.00802
26,260.51,0.81122,0.27613,0.00268,0.83691,0.79285,0.83748,0.48638,1.28758,0.77312,0.00711,0.0079375,0.0079375,0.0079375
27,270.13,0.8128,0.28054,0.00272,0.88438,0.75239,0.82481,0.50935,1.22785,0.73687,0.00653,0.007855,0.007855,0.007855
28,279.68,0.77409,0.27703,0.00269,0.83575,0.74521,0.83064,0.48519,1.29121,0.83774,0.00675,0.0077725,0.0077725,0.0077725
29,289.47,0.7703,0.27127,0.00252,0.85392,0.73209,0.83263,0.48928,1.33285,0.81665,0.00731,0.00769,0.00769,0.00769
30,299.309,0.75796,0.25247,0.00252,0.82065,0.7575,0.81826,0.50452,1.18863,0.75873,0.00661,0.0076075,0.0076075,0.0076075
31,309.059,0.74824,0.2618,0.00259,0.85489,0.76083,0.80532,0.47447,1.2543,0.89428,0.00673,0.007525,0.007525,0.007525
32,318.884,0.74271,0.25986,0.00241,0.83239,0.78025,0.81789,0.49666,1.17241,0.76655,0.00638,0.0074425,0.0074425,0.0074425
33,328.743,0.7085,0.25355,0.0023,0.81263,0.74172,0.80169,0.49568,1.23952,0.78554,0.00636,0.00736,0.00736,0.00736
34,338.762,0.71799,0.24176,0.00234,0.88897,0.7506,0.82546,0.50724,1.157,0.75833,0.00613,0.0072775,0.0072775,0.0072775
