epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5247,1.51724,2.58706,0.00687,0.41667,0.03546,0.22552,0.12125,1.92917,5.09149,0.01282,9.7619e-05,9.7619e-05,0.0805738
2,24.2384,1.2427,0.84265,0.00504,0.63129,0.51945,0.58832,0.31403,1.55901,1.58192,0.01057,0.000197614,0.000197614,0.0606738
3,34.6888,1.20119,0.70673,0.00452,0.68697,0.71234,0.75474,0.4208,1.3153,1.39631,0.00738,0.00029759,0.00029759,0.0407738
4,44.9167,0.9821,0.56304,0.00386,0.77524,0.65582,0.77351,0.4345,1.31668,1.20772,0.00749,0.000397531,0.000397531,0.0208737
5,55.126,0.96995,0.55221,0.00381,0.7727,0.67721,0.75557,0.46303,1.1458,1.01008,0.0061,0.000497423,0.000497423,0.000973613
6,65.3991,0.8863,0.45739,0.00324,0.80898,0.6504,0.76801,0.44851,1.29332,1.00719,0.00737,0.000499692,0.000499692,0.000499692
7,75.7706,0.82219,0.39513,0.00308,0.77721,0.68704,0.75686,0.466,1.21233,0.85698,0.00622,0.000499556,0.000499556,0.000499556
8,85.9594,0.7852,0.36824,0.00279,0.78365,0.70014,0.76289,0.45935,1.30681,0.80539,0.00665,0.000499396,0.000499396,0.000499396
9,96.0804,0.72341,0.33955,0.0027,0.77472,0.68826,0.76135,0.47355,1.15583,0.71462,0.00604,0.000499211,0.000499211,0.000499211
10,106.328,0.69614,0.32138,0.00245,0.68075,0.66253,0.71046,0.44489,1.19553,0.8468,0.00633,0.000499001,0.000499001,0.000499001
11,116.555,0.70016,0.28608,0.00254,0.79559,0.70315,0.76686,0.47479,1.22179,0.73543,0.00623,0.000498767,0.000498767,0.000498767
12,126.73,0.69886,0.29138,0.0026,0.68464,0.70971,0.74109,0.46039,1.2402,0.77109,0.00641,0.000498509,0.000498509,0.000498509
13,136.889,0.65033,0.28332,0.00234,0.77703,0.69183,0.77564,0.48372,1.214,0.77161,0.00614,0.000498226,0.000498226,0.000498226
14,147.153,0.58948,0.24563,0.00226,0.74075,0.68034,0.74698,0.46813,1.24549,0.67997,0.00659,0.000497918,0.000497918,0.000497918
15,157.319,0.57998,0.23885,0.00231,0.72607,0.693,0.73574,0.45981,1.2229,0.7754,0.00645,0.000497586,0.000497586,0.000497586
16,167.67,0.55118,0.2369,0.00225,0.67533,0.68193,0.73478,0.45081,1.24818,0.85402,0.00663,0.00049723,0.00049723,0.00049723
17,177.892,0.50129,0.20836,0.00202,0.76189,0.69572,0.75142,0.47447,1.22426,0.75196,0.00613,0.000496849,0.000496849,0.000496849
18,188.119,0.53956,0.21222,0.00205,0.73407,0.69973,0.72433,0.45777,1.23992,0.77831,0.00664,0.000496444,0.000496444,0.000496444
19,198.287,0.51626,0.20879,0.00203,0.73522,0.73016,0.76281,0.47804,1.23263,0.7512,0.00653,0.000496015,0.000496015,0.000496015
20,208.515,0.50017,0.20719,0.00199,0.77463,0.66093,0.71884,0.45495,1.21628,0.83945,0.00639,0.000495561,0.000495561,0.000495561
21,218.624,0.49337,0.20505,0.00186,0.71405,0.73581,0.75692,0.46974,1.23537,0.75423,0.00634,0.000495083,0.000495083,0.000495083
