epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3356,1.73644,2.81254,0.00832,0,0,0,0,1.85965,5.06998,0.01308,9.7619e-05,9.7619e-05,0.0805738
2,23.8661,1.52162,1.01764,0.00658,0.65485,0.57416,0.67184,0.27072,1.97251,1.44688,0.00965,0.000196967,0.000196967,0.0606732
3,34.1882,1.42112,0.96609,0.00622,0.66966,0.66913,0.70212,0.33471,1.60447,1.24781,0.01017,0.000295655,0.000295655,0.0407718
4,44.3995,1.30802,0.81475,0.00566,0.67495,0.75947,0.77873,0.34828,1.81259,1.25418,0.01137,0.000393683,0.000393683,0.0208699
5,54.6754,1.25615,0.75105,0.00549,0.76524,0.69735,0.74667,0.34452,1.76243,1.09656,0.00941,0.00049105,0.00049105,0.000967241
6,64.9876,1.25076,0.71036,0.00554,0.66707,0.69478,0.70559,0.35656,1.55201,0.98927,0.00796,0.00049175,0.00049175,0.00049175
7,75.2112,1.28824,0.65503,0.00553,0.74917,0.70401,0.74927,0.4062,1.39488,0.87937,0.00769,0.0004901,0.0004901,0.0004901
8,85.4679,1.22182,0.61242,0.0053,0.76853,0.6701,0.75502,0.43054,1.35199,0.92141,0.0077,0.00048845,0.00048845,0.00048845
9,95.739,1.20058,0.58509,0.00519,0.6615,0.71866,0.74545,0.42102,1.34753,0.99022,0.00722,0.0004868,0.0004868,0.0004868
10,105.994,1.16158,0.54234,0.00485,0.78879,0.77334,0.81447,0.442,1.46256,0.78534,0.00745,0.00048515,0.00048515,0.00048515
11,116.224,1.148,0.52877,0.00481,0.72821,0.76831,0.76687,0.43794,1.3803,0.77842,0.00683,0.0004835,0.0004835,0.0004835
12,126.234,1.10652,0.49301,0.00488,0.76845,0.7501,0.77964,0.45385,1.26751,0.81774,0.0068,0.00048185,0.00048185,0.00048185
13,136.419,1.05304,0.48045,0.0045,0.7233,0.74583,0.77982,0.44842,1.27609,0.79997,0.00626,0.0004802,0.0004802,0.0004802
14,146.507,1.0183,0.41988,0.00426,0.7911,0.80246,0.83224,0.48966,1.27295,0.73463,0.00648,0.00047855,0.00047855,0.00047855
15,156.938,1.04458,0.42595,0.00441,0.75485,0.70787,0.75393,0.44136,1.37559,0.73921,0.00728,0.0004769,0.0004769,0.0004769
16,167.032,0.99669,0.41821,0.00428,0.75146,0.72033,0.77537,0.45683,1.30741,0.71587,0.00671,0.00047525,0.00047525,0.00047525
17,177.056,0.99575,0.40157,0.0041,0.71595,0.78288,0.77243,0.46493,1.20634,0.75057,0.00598,0.0004736,0.0004736,0.0004736
18,187.135,0.98168,0.38904,0.00397,0.81464,0.80252,0.82402,0.47492,1.3253,0.65616,0.00663,0.00047195,0.00047195,0.00047195
19,197.117,0.95258,0.38895,0.00382,0.7843,0.74992,0.80914,0.48274,1.16633,0.67085,0.00621,0.0004703,0.0004703,0.0004703
