epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6512,1.75872,2.85557,0.00887,0.04048,0.4775,0.2955,0.1275,1.84555,3.15388,0.01287,9.7619e-05,9.7619e-05,0.0805738
2,26.1445,1.52801,0.98498,0.00722,0.87846,0.40871,0.73788,0.31075,2.01816,1.51849,0.01001,0.000197614,0.000197614,0.0606738
3,36.7294,1.40246,0.87915,0.00602,0.7886,0.67279,0.75606,0.30444,2.05005,1.2492,0.0115,0.00029759,0.00029759,0.0407738
4,46.8163,1.32078,0.76231,0.00568,0.74526,0.73912,0.81746,0.34872,1.92524,1.1936,0.00994,0.000397531,0.000397531,0.0208737
5,57.0971,1.23159,0.68765,0.00566,0.81889,0.74957,0.80383,0.43068,1.46903,0.78231,0.0087,0.000497423,0.000497423,0.000973613
6,67.3448,1.2334,0.64037,0.00558,0.78034,0.79525,0.83389,0.43549,1.43984,0.82671,0.00915,0.000499692,0.000499692,0.000499692
7,77.686,1.18865,0.57425,0.00527,0.75839,0.75255,0.7736,0.43554,1.38041,0.87672,0.00709,0.000499556,0.000499556,0.000499556
8,87.9733,1.15742,0.53983,0.00488,0.80293,0.77456,0.81077,0.48358,1.21612,0.74293,0.00615,0.000499396,0.000499396,0.000499396
9,98.1303,1.09337,0.5061,0.00467,0.72549,0.75624,0.76462,0.45629,1.22747,0.86269,0.0065,0.000499211,0.000499211,0.000499211
10,108.323,1.04408,0.46204,0.00448,0.82526,0.75619,0.82963,0.49054,1.21933,0.82306,0.00616,0.000499001,0.000499001,0.000499001
11,118.682,1.04477,0.4651,0.00447,0.79746,0.76458,0.80086,0.43811,1.40038,0.8109,0.007,0.000498767,0.000498767,0.000498767
12,128.823,1.00358,0.43236,0.00425,0.75654,0.7401,0.78206,0.46618,1.20373,0.83513,0.006,0.000498509,0.000498509,0.000498509
13,138.679,1.04878,0.45159,0.00433,0.77626,0.80482,0.81843,0.46871,1.3886,0.74175,0.00697,0.000498226,0.000498226,0.000498226
14,148.684,1.02485,0.44237,0.00443,0.80054,0.7956,0.83576,0.47683,1.3647,0.6838,0.0077,0.000497918,0.000497918,0.000497918
15,158.749,1.01638,0.41548,0.0044,0.79116,0.78752,0.81619,0.47203,1.26837,0.60738,0.00736,0.000497586,0.000497586,0.000497586
16,168.737,0.97469,0.40628,0.00418,0.79188,0.81543,0.81887,0.46585,1.26781,0.68821,0.00601,0.00049723,0.00049723,0.00049723
17,178.604,0.98656,0.40212,0.00407,0.77236,0.84448,0.82079,0.46169,1.34982,0.67528,0.00643,0.000496849,0.000496849,0.000496849
18,188.494,0.9358,0.38384,0.00387,0.84534,0.79948,0.83422,0.49483,1.25877,0.68027,0.00579,0.000496444,0.000496444,0.000496444
19,198.661,0.93668,0.39356,0.00395,0.78618,0.78937,0.80893,0.49383,1.15901,0.67628,0.00575,0.000496015,0.000496015,0.000496015
20,208.707,0.93626,0.37416,0.00397,0.84962,0.73101,0.82743,0.51414,1.12036,0.59177,0.00541,0.000495561,0.000495561,0.000495561
21,218.898,0.93712,0.37763,0.00385,0.77928,0.76933,0.78227,0.43856,1.50648,0.7428,0.00714,0.000495083,0.000495083,0.000495083
22,229.134,0.91197,0.36533,0.00371,0.84688,0.78895,0.8362,0.49326,1.22654,0.59616,0.00605,0.000494581,0.000494581,0.000494581
23,239.087,0.92674,0.35816,0.00385,0.81478,0.82219,0.8609,0.48253,1.32025,0.65207,0.0064,0.000494055,0.000494055,0.000494055
24,249.15,0.91246,0.33045,0.00378,0.77898,0.80068,0.80007,0.48172,1.15545,0.63626,0.0059,0.000493505,0.000493505,0.000493505
25,259.3,0.90802,0.35021,0.00385,0.81938,0.81309,0.83119,0.50105,1.16665,0.60699,0.00563,0.000492931,0.000492931,0.000492931
26,269.465,0.8927,0.34995,0.00362,0.84122,0.74128,0.83817,0.51373,1.13897,0.61508,0.00568,0.000492333,0.000492333,0.000492333
27,279.748,0.87476,0.34576,0.00365,0.79387,0.78232,0.83517,0.50243,1.10882,0.74553,0.0055,0.000491712,0.000491712,0.000491712
28,289.809,0.87506,0.33231,0.00369,0.79963,0.8264,0.87258,0.51369,1.16779,0.72882,0.00578,0.000491066,0.000491066,0.000491066
29,299.95,0.90688,0.33278,0.00387,0.78738,0.8146,0.83372,0.50327,1.19101,0.5961,0.00581,0.000490397,0.000490397,0.000490397
30,310.029,0.916,0.34127,0.00377,0.89632,0.77469,0.88041,0.53177,1.18078,0.59281,0.00601,0.000489704,0.000489704,0.000489704
31,320.31,0.87904,0.34892,0.00369,0.80022,0.80481,0.83212,0.49899,1.21317,0.58897,0.00614,0.000488988,0.000488988,0.000488988
32,330.632,0.88168,0.34631,0.00362,0.80323,0.8001,0.83601,0.51287,1.14454,0.68851,0.006,0.000488248,0.000488248,0.000488248
33,340.779,0.85388,0.33115,0.00347,0.78679,0.81504,0.83336,0.51655,1.12554,0.62039,0.00556,0.000487485,0.000487485,0.000487485
34,350.841,0.84138,0.32569,0.00338,0.84425,0.75168,0.83864,0.51209,1.11697,0.61958,0.00593,0.000486698,0.000486698,0.000486698
35,360.913,0.85549,0.32303,0.00364,0.80479,0.8226,0.83752,0.49165,1.26499,0.65001,0.00596,0.000485888,0.000485888,0.000485888
36,371.196,0.84434,0.31777,0.00351,0.80997,0.83207,0.85374,0.52167,1.15681,0.52064,0.0059,0.000485056,0.000485056,0.000485056
37,381.212,0.85151,0.3226,0.00362,0.83533,0.81342,0.83394,0.50372,1.16276,0.64153,0.00586,0.0004842,0.0004842,0.0004842
38,391.17,0.82332,0.32601,0.00332,0.83827,0.79691,0.84509,0.50397,1.1531,0.63931,0.00581,0.000483321,0.000483321,0.000483321
39,401.283,0.86879,0.32325,0.00361,0.83957,0.81295,0.84374,0.50142,1.2176,0.59051,0.00591,0.000482419,0.000482419,0.000482419
40,411.343,0.85089,0.30933,0.00343,0.82628,0.83201,0.86,0.50997,1.1664,0.60071,0.00575,0.000481495,0.000481495,0.000481495
41,421.826,0.81637,0.31242,0.00334,0.8496,0.79215,0.83339,0.51894,1.12798,0.63011,0.00558,0.000480548,0.000480548,0.000480548
42,431.892,0.82353,0.31223,0.00337,0.81207,0.82181,0.86051,0.5002,1.24768,0.59945,0.00611,0.000479578,0.000479578,0.000479578
43,441.869,0.85445,0.34497,0.00354,0.79843,0.78688,0.82204,0.5128,1.14461,0.69737,0.00576,0.000478586,0.000478586,0.000478586
44,451.786,0.82206,0.31815,0.00343,0.8672,0.81775,0.8677,0.53174,1.1349,0.55395,0.00591,0.000477572,0.000477572,0.000477572
45,461.857,0.84682,0.32137,0.00354,0.81448,0.79775,0.83268,0.50375,1.22942,0.64543,0.00612,0.000476535,0.000476535,0.000476535
46,472.112,0.8293,0.31292,0.00339,0.84549,0.80389,0.84515,0.50349,1.20938,0.66455,0.00611,0.000475476,0.000475476,0.000475476
47,482.157,0.81325,0.31267,0.00321,0.83049,0.797,0.85021,0.51069,1.15517,0.57701,0.00572,0.000474396,0.000474396,0.000474396
48,492.272,0.83155,0.30635,0.00339,0.84482,0.77397,0.83929,0.51409,1.17277,0.60874,0.00578,0.000473293,0.000473293,0.000473293
49,502.331,0.80713,0.29339,0.00323,0.84126,0.82609,0.86335,0.52128,1.1668,0.56843,0.00599,0.000472169,0.000472169,0.000472169
50,512.521,0.80062,0.2923,0.00328,0.84061,0.83147,0.86472,0.51871,1.19253,0.56847,0.00608,0.000471023,0.000471023,0.000471023
51,522.839,0.78885,0.29169,0.0032,0.8137,0.80801,0.82894,0.50427,1.1147,0.58325,0.0056,0.000469856,0.000469856,0.000469856
52,532.914,0.80987,0.2843,0.00324,0.83839,0.82165,0.84796,0.50518,1.18448,0.5817,0.00587,0.000468667,0.000468667,0.000468667
53,543.032,0.81666,0.30042,0.00328,0.87293,0.79627,0.83587,0.50539,1.19114,0.59927,0.00615,0.000467457,0.000467457,0.000467457
54,553.027,0.80348,0.2929,0.00324,0.87654,0.7656,0.85425,0.51259,1.21412,0.56421,0.00593,0.000466226,0.000466226,0.000466226
55,563.088,0.80038,0.28175,0.00314,0.87297,0.79106,0.8525,0.49339,1.35609,0.68345,0.007,0.000464974,0.000464974,0.000464974
56,573.413,0.79626,0.28473,0.00315,0.82687,0.82214,0.85493,0.51137,1.25083,0.65801,0.00615,0.000463701,0.000463701,0.000463701
57,583.594,0.78968,0.26898,0.00309,0.79377,0.80691,0.83428,0.49029,1.20975,0.70784,0.00584,0.000462407,0.000462407,0.000462407
