epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9505,1.66309,2.86877,0.00813,0.00428,0.05625,0.00693,0.00239,2.80146,5.91641,0.02154,9.7619e-05,9.7619e-05,0.0805738
2,24.6025,1.53282,1.06716,0.00716,0.60293,0.59016,0.52119,0.20117,2.09461,1.74225,0.013,0.000197614,0.000197614,0.0606738
3,34.9288,1.46628,0.89638,0.0066,0.70398,0.65706,0.72171,0.34871,1.67315,1.09052,0.01017,0.00029759,0.00029759,0.0407738
4,45.3574,1.37639,0.80423,0.00613,0.70793,0.63123,0.68619,0.34081,1.63859,1.08963,0.00825,0.000397531,0.000397531,0.0208737
5,55.2619,1.32996,0.79126,0.00652,0.66555,0.65026,0.7126,0.33789,1.63409,1.2024,0.00876,0.000497423,0.000497423,0.000973613
6,65.2664,1.29163,0.72509,0.00615,0.71485,0.69806,0.75891,0.36091,1.64125,0.99043,0.00866,0.000499692,0.000499692,0.000499692
7,75.7084,1.24797,0.6595,0.00566,0.77534,0.7452,0.8065,0.35616,1.85829,0.96979,0.00945,0.000499556,0.000499556,0.000499556
8,85.7977,1.22134,0.59591,0.00557,0.80132,0.7632,0.79968,0.40009,1.62194,0.84219,0.00817,0.000499396,0.000499396,0.000499396
9,95.9466,1.154,0.55185,0.00518,0.81076,0.68562,0.80384,0.47447,1.25751,0.74567,0.00696,0.000499211,0.000499211,0.000499211
10,106.222,1.1208,0.54343,0.00477,0.74287,0.82671,0.81237,0.35364,1.97647,1.03398,0.00972,0.000499001,0.000499001,0.000499001
11,116.334,1.06977,0.49513,0.0046,0.74183,0.67208,0.73757,0.41035,1.41151,0.82795,0.00756,0.000498767,0.000498767,0.000498767
12,126.421,1.0574,0.49601,0.00452,0.7855,0.72037,0.75439,0.41338,1.47023,0.80841,0.00755,0.000498509,0.000498509,0.000498509
13,136.461,1.04144,0.45857,0.00432,0.76828,0.73126,0.77463,0.44592,1.29197,0.69165,0.00704,0.000498226,0.000498226,0.000498226
14,146.452,0.99772,0.42848,0.00424,0.8211,0.80516,0.82738,0.4692,1.32135,0.66609,0.00636,0.000497918,0.000497918,0.000497918
15,156.461,1.00009,0.41883,0.00419,0.80561,0.82716,0.86262,0.46371,1.49829,0.65237,0.00687,0.000497586,0.000497586,0.000497586
16,166.804,0.9928,0.42017,0.00427,0.82231,0.7546,0.83692,0.47447,1.32659,0.65618,0.00628,0.00049723,0.00049723,0.00049723
17,177.033,0.99146,0.42396,0.00421,0.72914,0.70537,0.72995,0.43356,1.29059,0.73848,0.00626,0.000496849,0.000496849,0.000496849
18,187.189,0.99627,0.41766,0.0041,0.75752,0.73994,0.76923,0.46793,1.20752,0.66771,0.00609,0.000496444,0.000496444,0.000496444
19,197.242,0.99198,0.40587,0.00405,0.7713,0.80556,0.80191,0.42576,1.49391,0.89117,0.00665,0.000496015,0.000496015,0.000496015
20,207.365,0.97901,0.38383,0.00415,0.79731,0.76502,0.81656,0.44798,1.41999,0.68515,0.00701,0.000495561,0.000495561,0.000495561
21,217.702,0.95356,0.37921,0.00408,0.77824,0.82868,0.84122,0.4679,1.4077,0.78233,0.00678,0.000495083,0.000495083,0.000495083
22,227.756,0.94248,0.37254,0.00392,0.89265,0.7788,0.85431,0.35788,2.01131,0.90867,0.01,0.000494581,0.000494581,0.000494581
23,237.815,0.95292,0.36992,0.00404,0.82313,0.79941,0.83393,0.32257,2.17987,0.99463,0.01026,0.000494055,0.000494055,0.000494055
24,247.926,0.91595,0.35729,0.00378,0.73819,0.81025,0.80619,0.4771,1.32062,0.61955,0.00641,0.000493505,0.000493505,0.000493505
25,258.055,0.92809,0.366,0.00384,0.78144,0.79066,0.81677,0.48034,1.3277,0.71125,0.00622,0.000492931,0.000492931,0.000492931
26,268.382,0.91672,0.35824,0.00381,0.82392,0.80439,0.81297,0.33527,2.0905,0.94718,0.00985,0.000492333,0.000492333,0.000492333
27,278.547,0.90913,0.37021,0.0038,0.76434,0.81879,0.83788,0.49638,1.23322,0.69197,0.00627,0.000491712,0.000491712,0.000491712
28,288.723,0.86981,0.3571,0.00367,0.78851,0.82714,0.84936,0.47256,1.36295,0.64912,0.00715,0.000491066,0.000491066,0.000491066
29,298.776,0.93114,0.36917,0.00395,0.78835,0.77595,0.81819,0.49707,1.21395,0.65682,0.00598,0.000490397,0.000490397,0.000490397
30,309.14,0.90433,0.36384,0.00371,0.81831,0.81066,0.83749,0.51324,1.24415,0.62915,0.00674,0.000489704,0.000489704,0.000489704
31,319.281,0.92086,0.36898,0.00401,0.82593,0.84193,0.86974,0.48843,1.4024,0.66004,0.00699,0.000488988,0.000488988,0.000488988
32,329.244,0.93218,0.35582,0.00399,0.84492,0.82671,0.87414,0.50381,1.32609,0.675,0.00618,0.000488248,0.000488248,0.000488248
33,339.226,0.88663,0.34087,0.00371,0.82279,0.78492,0.83572,0.50906,1.24637,0.63646,0.00627,0.000487485,0.000487485,0.000487485
34,349.509,0.88286,0.33072,0.0038,0.84529,0.75706,0.82803,0.49242,1.28193,0.68339,0.00647,0.000486698,0.000486698,0.000486698
35,359.639,0.91227,0.35148,0.0039,0.77846,0.76352,0.81915,0.50443,1.14848,0.65097,0.00632,0.000485888,0.000485888,0.000485888
36,369.635,0.87161,0.32793,0.00372,0.81424,0.78262,0.83084,0.49737,1.23364,0.62021,0.00628,0.000485056,0.000485056,0.000485056
37,379.641,0.88882,0.35767,0.00378,0.77267,0.81714,0.83025,0.51161,1.16569,0.65711,0.00599,0.0004842,0.0004842,0.0004842
38,389.711,0.874,0.33732,0.00366,0.81482,0.78124,0.84891,0.50188,1.27837,0.67841,0.00651,0.000483321,0.000483321,0.000483321
39,399.813,0.85525,0.32795,0.00355,0.82917,0.80828,0.84066,0.50867,1.21194,0.58922,0.00612,0.000482419,0.000482419,0.000482419
40,409.912,0.84468,0.32984,0.00352,0.84092,0.82609,0.85163,0.48779,1.36758,0.6647,0.00659,0.000481495,0.000481495,0.000481495
41,419.729,0.85606,0.33451,0.00367,0.79889,0.79543,0.83559,0.50475,1.19699,0.59261,0.00606,0.000480548,0.000480548,0.000480548
42,429.553,0.84707,0.32409,0.00345,0.76362,0.82567,0.84558,0.50682,1.19824,0.67647,0.006,0.000479578,0.000479578,0.000479578
43,439.758,0.83621,0.31221,0.00351,0.84074,0.76761,0.83714,0.51568,1.14083,0.60443,0.0058,0.000478586,0.000478586,0.000478586
44,449.88,0.85145,0.30559,0.00354,0.79281,0.82439,0.83991,0.51717,1.15013,0.61257,0.00614,0.000477572,0.000477572,0.000477572
45,459.983,0.85951,0.32514,0.00358,0.78005,0.82782,0.8353,0.48406,1.29787,0.66156,0.00645,0.000476535,0.000476535,0.000476535
46,470.002,0.87537,0.32341,0.00366,0.87663,0.81359,0.89476,0.53922,1.17508,0.54312,0.0057,0.000475476,0.000475476,0.000475476
47,480.067,0.88986,0.3441,0.0037,0.83125,0.7977,0.8426,0.49523,1.24895,0.60782,0.00629,0.000474396,0.000474396,0.000474396
48,496.402,0.87847,0.32863,0.00365,0.84548,0.79275,0.84922,0.50366,1.2522,0.5846,0.00645,0.000473293,0.000473293,0.000473293
49,508.732,0.85398,0.32962,0.00359,0.86098,0.81334,0.86442,0.53085,1.11899,0.52607,0.00576,0.000472169,0.000472169,0.000472169
50,518.714,0.80681,0.3112,0.00334,0.82486,0.79981,0.85235,0.50516,1.17259,0.57654,0.00581,0.000471023,0.000471023,0.000471023
51,528.856,0.82096,0.30249,0.00344,0.79053,0.85507,0.85521,0.49858,1.24465,0.57463,0.00652,0.000469856,0.000469856,0.000469856
52,538.696,0.84729,0.32722,0.00357,0.87941,0.74834,0.8348,0.50175,1.16102,0.65695,0.00611,0.000468667,0.000468667,0.000468667
53,549.178,0.83877,0.30562,0.00352,0.76251,0.7629,0.78036,0.47857,1.17629,0.60234,0.00645,0.000467457,0.000467457,0.000467457
54,558.942,0.8028,0.30326,0.00346,0.78125,0.80287,0.82137,0.50433,1.15066,0.59266,0.00577,0.000466226,0.000466226,0.000466226
55,568.989,0.78628,0.2925,0.00321,0.87222,0.73973,0.85051,0.50651,1.19851,0.64509,0.00594,0.000464974,0.000464974,0.000464974
56,579.227,0.81438,0.30258,0.00338,0.8336,0.83757,0.85771,0.49947,1.23014,0.61496,0.00626,0.000463701,0.000463701,0.000463701
57,589.26,0.82394,0.29751,0.00337,0.81201,0.81752,0.85832,0.52879,1.14318,0.55688,0.00556,0.000462407,0.000462407,0.000462407
58,599.227,0.81575,0.30478,0.00351,0.86426,0.80957,0.86607,0.53492,1.11693,0.57561,0.00644,0.000461093,0.000461093,0.000461093
