epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0572,1.52768,2.60887,0.00679,0.87438,0.24959,0.4339,0.21075,1.77779,2.2753,0.00992,0.000195238,0.000195238,0.0806714
2,25.6657,1.31259,0.96871,0.00563,0.63981,0.61729,0.65354,0.29019,1.76451,1.38378,0.01138,0.000395227,0.000395227,0.0608714
3,36.6106,1.29352,0.856,0.00546,0.62439,0.71143,0.70991,0.39258,1.3288,1.46188,0.0082,0.000595173,0.000595173,0.0410714
4,47.48,1.15395,0.65791,0.0049,0.72384,0.71191,0.74484,0.42486,1.36516,0.90352,0.00838,0.000795044,0.000795044,0.0212712
5,58.0564,1.13443,0.54025,0.00487,0.6914,0.70461,0.71715,0.38684,1.53986,0.97321,0.00892,0.000994806,0.000994806,0.001471
6,68.5473,0.99314,0.50524,0.00409,0.61529,0.72992,0.74187,0.40176,1.39155,1.18825,0.00808,0.000999322,0.000999322,0.000999322
7,79.1991,0.94278,0.49999,0.00397,0.70393,0.73124,0.73765,0.41104,1.39819,0.97164,0.00861,0.000999023,0.000999023,0.000999023
8,89.6123,0.89956,0.4098,0.00383,0.68058,0.70362,0.72936,0.43569,1.32005,0.8913,0.00782,0.000998671,0.000998671,0.000998671
9,100.174,0.84229,0.36844,0.00335,0.75356,0.64637,0.72153,0.42775,1.30721,0.86812,0.00767,0.000998264,0.000998264,0.000998264
10,110.211,0.80359,0.34469,0.00317,0.73885,0.65672,0.69785,0.4216,1.36641,0.92232,0.00746,0.000997803,0.000997803,0.000997803
11,120.581,0.82276,0.3313,0.00313,0.75922,0.69224,0.73775,0.43185,1.29314,0.90331,0.00729,0.000997288,0.000997288,0.000997288
12,131.05,0.77663,0.31438,0.003,0.76399,0.7195,0.75613,0.45539,1.25498,0.77726,0.00661,0.00099672,0.00099672,0.00099672
13,141.531,0.79583,0.3224,0.0031,0.7533,0.71237,0.75403,0.45698,1.24903,0.78374,0.00648,0.000996097,0.000996097,0.000996097
14,152.698,0.68385,0.26528,0.0028,0.77885,0.69182,0.74439,0.42279,1.46207,0.89664,0.00776,0.00099542,0.00099542,0.00099542
15,163.943,0.69502,0.2591,0.00267,0.78799,0.63442,0.72265,0.43441,1.35109,0.91134,0.00705,0.00099469,0.00099469,0.00099469
16,174.435,0.66339,0.25592,0.00259,0.72103,0.73051,0.74033,0.46051,1.25564,0.74792,0.00676,0.000993906,0.000993906,0.000993906
17,184.811,0.65774,0.24529,0.00245,0.75263,0.66951,0.72734,0.44375,1.27977,0.85473,0.00677,0.000993068,0.000993068,0.000993068
18,195.148,0.69147,0.25705,0.00257,0.78821,0.63435,0.70576,0.44218,1.24474,0.78605,0.0068,0.000992177,0.000992177,0.000992177
19,205.595,0.65847,0.24496,0.0023,0.75832,0.72151,0.75652,0.46274,1.2141,0.74043,0.00646,0.000991232,0.000991232,0.000991232
20,216.606,0.58904,0.22519,0.00223,0.78635,0.74342,0.78125,0.48118,1.22146,0.70098,0.00657,0.000990234,0.000990234,0.000990234
21,227.166,0.5815,0.21857,0.00221,0.78391,0.72601,0.77303,0.46977,1.22288,0.76514,0.00617,0.000989183,0.000989183,0.000989183
22,237.31,0.55976,0.23265,0.00216,0.69998,0.69013,0.69611,0.44251,1.19606,0.85364,0.00625,0.000988079,0.000988079,0.000988079
23,247.899,0.55039,0.22095,0.00215,0.76534,0.67491,0.70452,0.42293,1.32472,0.82703,0.007,0.000986922,0.000986922,0.000986922
24,258.185,0.55755,0.20592,0.00223,0.77976,0.67227,0.70905,0.45217,1.19388,0.79397,0.00634,0.000985711,0.000985711,0.000985711
25,268.644,0.55759,0.21258,0.00219,0.72044,0.66238,0.70956,0.44401,1.26124,0.97118,0.00698,0.000984449,0.000984449,0.000984449
26,278.81,0.52327,0.19831,0.00194,0.67957,0.69887,0.71484,0.44496,1.2162,0.99304,0.00655,0.000983133,0.000983133,0.000983133
27,289.309,0.47592,0.18691,0.00173,0.77627,0.70754,0.74341,0.46476,1.24887,0.9157,0.00644,0.000981765,0.000981765,0.000981765
28,299.789,0.49363,0.18204,0.00179,0.71301,0.68718,0.7113,0.46386,1.22045,0.80214,0.00646,0.000980345,0.000980345,0.000980345
29,310.155,0.48587,0.17684,0.00183,0.75536,0.67637,0.71265,0.44895,1.25822,0.83862,0.00655,0.000978873,0.000978873,0.000978873
30,320.653,0.51315,0.18995,0.00183,0.71766,0.72014,0.74099,0.47327,1.19542,0.77617,0.00653,0.000977349,0.000977349,0.000977349
31,331.11,0.54531,0.18842,0.00207,0.76012,0.66468,0.73961,0.46079,1.26595,0.87979,0.00667,0.000975773,0.000975773,0.000975773
32,341.548,0.45554,0.16573,0.00177,0.80232,0.67759,0.75614,0.48535,1.18896,0.8044,0.00624,0.000974145,0.000974145,0.000974145
33,352.526,0.49275,0.19175,0.00186,0.7129,0.668,0.70332,0.44052,1.28376,0.86056,0.00653,0.000972466,0.000972466,0.000972466
34,363.019,0.49028,0.18834,0.00199,0.74647,0.6319,0.7065,0.44987,1.21723,1.01219,0.0063,0.000970736,0.000970736,0.000970736
35,373.099,0.44781,0.1638,0.00175,0.7416,0.64614,0.68239,0.42975,1.31765,0.90804,0.00707,0.000968955,0.000968955,0.000968955
36,383.113,0.42741,0.15631,0.00165,0.75394,0.68728,0.73381,0.47609,1.20206,0.80418,0.00604,0.000967122,0.000967122,0.000967122
37,393.189,0.44712,0.15281,0.00168,0.76534,0.7041,0.72959,0.46562,1.23006,0.82169,0.00627,0.000965239,0.000965239,0.000965239
38,404.358,0.44767,0.16099,0.00164,0.78069,0.64065,0.71903,0.44874,1.34911,0.91605,0.00697,0.000963306,0.000963306,0.000963306
39,418.797,0.42004,0.15114,0.00152,0.77363,0.67355,0.76097,0.47168,1.20948,0.86126,0.00617,0.000961322,0.000961322,0.000961322
40,428.736,0.40758,0.14054,0.00168,0.74433,0.71579,0.75364,0.48524,1.20418,0.80287,0.00619,0.000959289,0.000959289,0.000959289
41,439.133,0.39782,0.14245,0.00164,0.76387,0.65855,0.73594,0.46231,1.2457,0.86604,0.00661,0.000957205,0.000957205,0.000957205
42,449.621,0.42543,0.1393,0.00181,0.77704,0.66611,0.70899,0.45684,1.21372,0.85707,0.00642,0.000955072,0.000955072,0.000955072
43,459.645,0.37803,0.12874,0.00153,0.7812,0.658,0.739,0.46873,1.20384,0.9165,0.00635,0.000952889,0.000952889,0.000952889
44,469.959,0.38013,0.12816,0.0014,0.76296,0.64581,0.72741,0.47789,1.17315,0.99562,0.00617,0.000950658,0.000950658,0.000950658
45,480.523,0.35815,0.12343,0.00134,0.69301,0.63012,0.65793,0.44745,1.15586,1.01366,0.00606,0.000948377,0.000948377,0.000948377
46,490.61,0.38783,0.13942,0.00146,0.73277,0.71616,0.73102,0.47262,1.21825,0.91388,0.00621,0.000946048,0.000946048,0.000946048
47,500.649,0.36958,0.14165,0.00136,0.74008,0.66332,0.71997,0.47242,1.18277,0.95792,0.00631,0.000943671,0.000943671,0.000943671
48,515.533,0.36273,0.13411,0.00136,0.77905,0.66256,0.69236,0.44956,1.19162,0.99626,0.00627,0.000941245,0.000941245,0.000941245
49,526.387,0.37156,0.14295,0.00151,0.84195,0.67313,0.75077,0.45769,1.29245,0.91752,0.0065,0.000938772,0.000938772,0.000938772
50,536.527,0.40499,0.14902,0.00176,0.72954,0.67736,0.67596,0.4415,1.20719,0.95751,0.00636,0.000936251,0.000936251,0.000936251
51,551.817,0.39786,0.14186,0.00168,0.73916,0.69891,0.69723,0.4517,1.21211,0.89192,0.00616,0.000933683,0.000933683,0.000933683
52,566.51,0.34739,0.12911,0.00135,0.7781,0.6905,0.70009,0.45899,1.16235,0.90518,0.00594,0.000931067,0.000931067,0.000931067
53,585.336,0.36153,0.12943,0.00141,0.74823,0.68248,0.712,0.44996,1.23737,0.95827,0.00624,0.000928405,0.000928405,0.000928405
54,599.174,0.35709,0.12634,0.00138,0.77173,0.67425,0.70493,0.45237,1.25284,0.98944,0.00662,0.000925697,0.000925697,0.000925697
55,614.388,0.35614,0.13102,0.00136,0.7728,0.65404,0.69243,0.45425,1.17639,0.92625,0.00595,0.000922942,0.000922942,0.000922942
56,627.858,0.34046,0.1418,0.00128,0.77963,0.64024,0.67924,0.4486,1.19235,1.17948,0.00608,0.000920142,0.000920142,0.000920142
57,641.797,0.38861,0.1541,0.00147,0.7504,0.74517,0.7203,0.45754,1.14119,0.96394,0.00604,0.000917296,0.000917296,0.000917296
58,656.922,0.34095,0.1337,0.00136,0.78971,0.68238,0.70545,0.46508,1.14242,1.00964,0.00603,0.000914405,0.000914405,0.000914405
59,668.154,0.34257,0.13256,0.00127,0.82118,0.66314,0.73849,0.46991,1.19055,0.99793,0.00618,0.000911469,0.000911469,0.000911469
60,680.261,0.35235,0.12934,0.00119,0.76786,0.69894,0.74143,0.47121,1.1818,0.91061,0.006,0.000908488,0.000908488,0.000908488
61,691.039,0.32311,0.11788,0.00113,0.75154,0.6881,0.72144,0.47866,1.14927,0.92812,0.00601,0.000905463,0.000905463,0.000905463
62,701.209,0.33243,0.11738,0.00118,0.78736,0.67115,0.71124,0.47392,1.15521,0.93648,0.00595,0.000902395,0.000902395,0.000902395
63,711.528,0.33807,0.12371,0.00121,0.78014,0.69637,0.7344,0.46487,1.22319,1.02059,0.00629,0.000899282,0.000899282,0.000899282
64,722.269,0.31479,0.12033,0.00118,0.7954,0.67448,0.74667,0.48241,1.19434,0.9556,0.006,0.000896127,0.000896127,0.000896127
65,732.709,0.32613,0.11596,0.00122,0.76458,0.69366,0.73336,0.47821,1.18306,0.91461,0.00598,0.000892928,0.000892928,0.000892928
66,743.199,0.32699,0.1154,0.00116,0.82367,0.65823,0.73493,0.46949,1.21215,0.92748,0.00623,0.000889687,0.000889687,0.000889687
67,753.768,0.30416,0.1074,0.00109,0.80501,0.65841,0.72334,0.46139,1.21507,0.99879,0.0061,0.000886404,0.000886404,0.000886404
68,764.455,0.3198,0.11279,0.00114,0.7843,0.67507,0.70923,0.45542,1.22097,1.01532,0.0064,0.000883079,0.000883079,0.000883079
69,774.582,0.32844,0.11391,0.00129,0.8051,0.68698,0.7447,0.47651,1.17681,0.98855,0.00604,0.000879713,0.000879713,0.000879713
70,788.16,0.3002,0.11185,0.00118,0.75353,0.681,0.73545,0.48035,1.17358,0.99685,0.00581,0.000876305,0.000876305,0.000876305
71,798.665,0.3119,0.11103,0.00121,0.78598,0.6783,0.73281,0.48235,1.1611,0.94244,0.00586,0.000872857,0.000872857,0.000872857
72,809.606,0.32512,0.12815,0.00127,0.79497,0.67134,0.75971,0.48946,1.17581,0.97137,0.00594,0.000869368,0.000869368,0.000869368
73,820.24,0.32142,0.11488,0.00121,0.78854,0.71116,0.75683,0.4927,1.17599,0.89781,0.0059,0.000865839,0.000865839,0.000865839
74,830.833,0.30484,0.11311,0.00124,0.76037,0.65777,0.73838,0.479,1.19553,1.09117,0.00612,0.000862271,0.000862271,0.000862271
75,841.472,0.29176,0.11209,0.00121,0.73609,0.7316,0.74742,0.47428,1.18274,0.85221,0.00613,0.000858664,0.000858664,0.000858664
76,852.078,0.28914,0.11201,0.00104,0.80744,0.71346,0.77233,0.49069,1.19909,0.90733,0.00609,0.000855018,0.000855018,0.000855018
77,862.528,0.31529,0.10977,0.00112,0.77693,0.69096,0.7332,0.47845,1.16841,1.00288,0.0061,0.000851333,0.000851333,0.000851333
78,872.63,0.28938,0.107,0.001,0.7618,0.70387,0.76607,0.49462,1.17051,0.90367,0.00614,0.000847611,0.000847611,0.000847611
79,883.824,0.2999,0.11067,0.00106,0.8146,0.70608,0.77682,0.49423,1.18433,0.9282,0.00606,0.000843851,0.000843851,0.000843851
80,894.427,0.28693,0.10243,0.00105,0.77406,0.7179,0.76722,0.48792,1.16657,1.03452,0.00591,0.000840054,0.000840054,0.000840054
81,908.149,0.29476,0.10274,0.00105,0.79406,0.66111,0.74277,0.48304,1.20861,1.14375,0.00626,0.00083622,0.00083622,0.00083622
82,918.909,0.28927,0.10337,0.00099,0.78027,0.6995,0.74709,0.48671,1.16823,0.92669,0.00587,0.000832349,0.000832349,0.000832349
83,929.962,0.25478,0.09508,0.0009,0.77603,0.69823,0.75831,0.48904,1.18862,0.92991,0.00601,0.000828443,0.000828443,0.000828443
84,940.312,0.26863,0.09158,0.00102,0.85896,0.64866,0.73277,0.47203,1.18291,0.94948,0.00603,0.000824502,0.000824502,0.000824502
85,951.005,0.27327,0.0942,0.00095,0.79466,0.66962,0.75863,0.4857,1.20555,1.05945,0.00624,0.000820525,0.000820525,0.000820525
86,961.618,0.25651,0.09093,0.00092,0.78721,0.64942,0.75215,0.48698,1.21584,1.09207,0.00615,0.000816514,0.000816514,0.000816514
87,972.647,0.24843,0.08812,0.00088,0.77827,0.66583,0.76125,0.48914,1.19994,1.06108,0.00612,0.000812468,0.000812468,0.000812468
88,983.373,0.23341,0.08363,0.00089,0.74918,0.67742,0.74599,0.48803,1.19248,1.04118,0.00596,0.000808389,0.000808389,0.000808389
89,994.004,0.23225,0.09091,0.00086,0.75201,0.65796,0.73302,0.48004,1.18917,1.06545,0.00598,0.000804277,0.000804277,0.000804277
90,1004.77,0.24832,0.09318,0.00089,0.76707,0.65727,0.75374,0.48117,1.21928,1.11846,0.00609,0.000800131,0.000800131,0.000800131
91,1015.63,0.25738,0.09177,0.00091,0.76782,0.66715,0.76075,0.49341,1.17832,1.12637,0.00601,0.000795954,0.000795954,0.000795954
92,1026.33,0.25843,0.09313,0.00097,0.77717,0.68587,0.72611,0.48269,1.15125,1.08147,0.00595,0.000791744,0.000791744,0.000791744
93,1036.89,0.24889,0.09118,0.0009,0.79494,0.6702,0.75283,0.4858,1.20083,1.09814,0.00606,0.000787503,0.000787503,0.000787503
94,1048.01,0.24448,0.08596,0.00088,0.7656,0.6709,0.72612,0.48217,1.15247,1.07093,0.00593,0.000783231,0.000783231,0.000783231
95,1058.9,0.25676,0.09326,0.001,0.77834,0.69093,0.70836,0.46889,1.1558,0.99794,0.00598,0.000778929,0.000778929,0.000778929
96,1069.17,0.24064,0.09671,0.00097,0.78316,0.64608,0.70622,0.46179,1.18582,1.0966,0.00598,0.000774596,0.000774596,0.000774596
97,1079.96,0.22472,0.08809,0.0009,0.82784,0.62174,0.70934,0.47016,1.17527,1.061,0.00602,0.000770234,0.000770234,0.000770234
98,1090.65,0.22369,0.08867,0.0009,0.80102,0.64922,0.73665,0.47969,1.19387,1.11235,0.00609,0.000765843,0.000765843,0.000765843
99,1101.19,0.25221,0.10161,0.00102,0.77744,0.67212,0.70293,0.45416,1.21846,1.08048,0.0062,0.000761423,0.000761423,0.000761423
100,1111.63,0.23682,0.09285,0.00094,0.82033,0.65676,0.7006,0.44464,1.23738,1.08163,0.00625,0.000756976,0.000756976,0.000756976
101,1122.35,0.2426,0.09153,0.00092,0.75311,0.71351,0.70484,0.45811,1.17106,0.93754,0.00604,0.0007525,0.0007525,0.0007525
102,1132.9,0.26946,0.10042,0.00098,0.75841,0.67465,0.69078,0.45202,1.18888,1.02868,0.00609,0.000747997,0.000747997,0.000747997
103,1146.37,0.22711,0.09104,0.00077,0.76581,0.70739,0.72436,0.46363,1.18663,0.99464,0.006,0.000743468,0.000743468,0.000743468
104,1157.36,0.2201,0.08276,0.00077,0.68883,0.7491,0.77389,0.49683,1.20537,1.08967,0.00616,0.000738913,0.000738913,0.000738913
105,1167.99,0.23208,0.08653,0.00089,0.77879,0.70948,0.76983,0.49401,1.18035,0.9927,0.00599,0.000734332,0.000734332,0.000734332
106,1178.6,0.23547,0.08814,0.00087,0.78807,0.68968,0.76365,0.4902,1.19878,1.02158,0.00603,0.000729725,0.000729725,0.000729725
107,1189.27,0.2529,0.09138,0.00094,0.78658,0.64285,0.72141,0.48105,1.19168,1.08706,0.00608,0.000725094,0.000725094,0.000725094
108,1199.86,0.22726,0.08287,0.0008,0.7763,0.66631,0.75395,0.49701,1.17009,1.09631,0.0059,0.000720439,0.000720439,0.000720439
109,1210.84,0.22156,0.08135,0.00077,0.78186,0.67937,0.7614,0.50046,1.16287,1.07986,0.006,0.000715761,0.000715761,0.000715761
110,1221.55,0.23783,0.08315,0.00083,0.77608,0.66945,0.7508,0.49026,1.22163,1.12784,0.00606,0.000711059,0.000711059,0.000711059
111,1231.94,0.22828,0.0862,0.00083,0.86551,0.62163,0.76067,0.49422,1.18344,1.11864,0.006,0.000706335,0.000706335,0.000706335
112,1242.54,0.21541,0.08054,0.00082,0.80703,0.65822,0.7615,0.49337,1.18488,1.0587,0.00602,0.000701588,0.000701588,0.000701588
113,1254.49,0.21283,0.0806,0.0007,0.82257,0.65756,0.76484,0.49667,1.18266,1.19076,0.00602,0.00069682,0.00069682,0.00069682
114,1266.99,0.19875,0.07261,0.00077,0.80974,0.67445,0.7729,0.50219,1.19187,1.02727,0.00607,0.000692031,0.000692031,0.000692031
115,1277.37,0.20393,0.07482,0.00084,0.8411,0.6699,0.76879,0.50415,1.15324,1.0901,0.00598,0.000687222,0.000687222,0.000687222
116,1287.79,0.21691,0.0778,0.00082,0.82884,0.66442,0.7556,0.49512,1.16834,1.16395,0.00614,0.000682392,0.000682392,0.000682392
117,1298.13,0.19856,0.07121,0.00072,0.8062,0.69413,0.77494,0.50259,1.17405,1.26177,0.00606,0.000677543,0.000677543,0.000677543
118,1308.43,0.19961,0.07196,0.00069,0.80164,0.6772,0.77305,0.49777,1.19736,1.2725,0.00618,0.000672675,0.000672675,0.000672675
119,1318.97,0.19353,0.06758,0.00071,0.79351,0.68508,0.75872,0.49771,1.18392,1.28544,0.00609,0.000667789,0.000667789,0.000667789
120,1329.55,0.18068,0.07018,0.00063,0.82396,0.67746,0.77981,0.50631,1.16613,1.15715,0.00597,0.000662885,0.000662885,0.000662885
121,1340.1,0.19269,0.07241,0.00075,0.78186,0.69809,0.7652,0.49635,1.17855,1.1775,0.00615,0.000657963,0.000657963,0.000657963
122,1354.67,0.18151,0.06631,0.00071,0.87424,0.63563,0.76428,0.49306,1.20265,1.13962,0.0062,0.000653025,0.000653025,0.000653025
123,1365.61,0.18848,0.07102,0.00071,0.8133,0.70779,0.78013,0.49628,1.16396,1.06693,0.00604,0.000648071,0.000648071,0.000648071
124,1375.96,0.20094,0.07223,0.00071,0.8056,0.68204,0.77905,0.49888,1.19626,1.15635,0.00615,0.000643101,0.000643101,0.000643101
125,1387.5,0.19921,0.0781,0.00073,0.81173,0.67431,0.77353,0.50249,1.17712,1.1123,0.0061,0.000638115,0.000638115,0.000638115
126,1400.72,0.18816,0.0702,0.00071,0.78559,0.68355,0.76916,0.50389,1.17896,1.09432,0.00606,0.000633115,0.000633115,0.000633115
127,1411.15,0.19102,0.07534,0.00079,0.85835,0.63909,0.76345,0.49311,1.18315,1.04129,0.00624,0.000628101,0.000628101,0.000628101
128,1421.46,0.20576,0.07839,0.00091,0.78649,0.66249,0.75839,0.49586,1.18007,1.11251,0.00601,0.000623074,0.000623074,0.000623074
129,1432.16,0.17746,0.06816,0.00076,0.81265,0.69552,0.76311,0.49313,1.16241,1.12096,0.00603,0.000618034,0.000618034,0.000618034
130,1442.68,0.18943,0.07123,0.00073,0.81649,0.68509,0.76721,0.49636,1.18822,1.05214,0.006,0.000612981,0.000612981,0.000612981
131,1453.3,0.18885,0.07501,0.00067,0.77439,0.67968,0.75481,0.49334,1.16649,1.13605,0.00591,0.000607916,0.000607916,0.000607916
132,1463.66,0.19386,0.07634,0.0007,0.79324,0.6659,0.76161,0.49928,1.18101,1.11702,0.00597,0.00060284,0.00060284,0.00060284
133,1474.2,0.16902,0.06424,0.0006,0.8527,0.65638,0.76587,0.49914,1.16036,1.0409,0.00595,0.000597754,0.000597754,0.000597754
134,1484.78,0.1732,0.06408,0.00066,0.79735,0.69673,0.77211,0.49765,1.16594,1.0976,0.00585,0.000592657,0.000592657,0.000592657
135,1495.57,0.16934,0.06075,0.00063,0.78537,0.67675,0.76038,0.50281,1.16568,1.09494,0.00598,0.000587551,0.000587551,0.000587551
136,1510.45,0.17243,0.06827,0.00062,0.81246,0.68406,0.77032,0.49772,1.17344,1.00364,0.00597,0.000582435,0.000582435,0.000582435
137,1520.92,0.17877,0.06647,0.00066,0.77244,0.68134,0.76114,0.49379,1.16556,1.07384,0.00592,0.000577311,0.000577311,0.000577311
138,1532.03,0.1892,0.0723,0.00071,0.79283,0.68808,0.76531,0.50299,1.18471,1.14183,0.00602,0.000572179,0.000572179,0.000572179
