epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5968,1.59084,2.72929,0.00751,0.2224,0.3425,0.30157,0.13252,1.82152,3.74681,0.0144,0.000195238,0.000195238,0.0806714
2,26.6869,1.47166,1.09403,0.00699,0.60707,0.53248,0.56303,0.2191,1.95515,1.79713,0.01496,0.000393934,0.000393934,0.0608701
3,37.8566,1.52804,1.03338,0.00771,0.762,0.64106,0.6953,0.32065,1.6952,1.88324,0.00943,0.00059131,0.00059131,0.0410675
4,48.4546,1.43901,0.86514,0.00663,0.64183,0.66473,0.67589,0.28651,1.80012,1.43162,0.01015,0.000787365,0.000787365,0.0212636
5,58.5863,1.3806,0.77763,0.00636,0.75302,0.7159,0.76008,0.31219,1.86181,1.39975,0.01134,0.000982101,0.000982101,0.00145829
6,68.9289,1.3453,0.74169,0.00616,0.72688,0.57706,0.64432,0.33251,1.60659,1.05835,0.00906,0.0009835,0.0009835,0.0009835
7,79.7595,1.35603,0.7212,0.00642,0.68787,0.57369,0.6746,0.3603,1.39859,1.14845,0.00784,0.0009802,0.0009802,0.0009802
8,90.3837,1.24586,0.69553,0.00557,0.65445,0.71867,0.71489,0.36585,1.59141,1.14849,0.00827,0.0009769,0.0009769,0.0009769
9,101.397,1.22519,0.64862,0.00536,0.67192,0.71563,0.71298,0.39464,1.38891,0.92809,0.00788,0.0009736,0.0009736,0.0009736
10,112.256,1.20661,0.59766,0.00557,0.68322,0.68543,0.71253,0.36843,1.49211,1.04664,0.0088,0.0009703,0.0009703,0.0009703
11,122.695,1.17795,0.56375,0.00546,0.63975,0.72925,0.74261,0.35847,1.60773,1.23607,0.00826,0.000967,0.000967,0.000967
12,133.024,1.16002,0.51319,0.00507,0.69156,0.76376,0.76453,0.41953,1.30938,0.81961,0.00744,0.0009637,0.0009637,0.0009637
13,143.783,1.12839,0.49223,0.00489,0.79636,0.76604,0.821,0.45637,1.36577,0.76905,0.00709,0.0009604,0.0009604,0.0009604
14,154.452,1.0791,0.46016,0.00462,0.75311,0.71562,0.7431,0.39141,1.48018,0.81373,0.00765,0.0009571,0.0009571,0.0009571
15,164.575,1.08076,0.46209,0.00459,0.75928,0.7718,0.79894,0.44242,1.37285,0.88885,0.00683,0.0009538,0.0009538,0.0009538
16,174.81,1.11729,0.44954,0.0047,0.80091,0.77168,0.80703,0.41338,1.50655,0.90389,0.00812,0.0009505,0.0009505,0.0009505
17,184.952,1.12181,0.43762,0.00491,0.75753,0.77195,0.79984,0.42468,1.38173,0.72818,0.00726,0.0009472,0.0009472,0.0009472
18,195.319,1.03564,0.42519,0.0046,0.84449,0.77496,0.84493,0.49858,1.23714,0.68649,0.00666,0.0009439,0.0009439,0.0009439
19,205.723,1.01431,0.41186,0.00443,0.79226,0.77287,0.7906,0.43405,1.38499,0.83092,0.00667,0.0009406,0.0009406,0.0009406
20,215.981,1.01038,0.38117,0.00432,0.74417,0.74928,0.77128,0.43537,1.28927,0.83009,0.00704,0.0009373,0.0009373,0.0009373
21,226.688,1.04995,0.3961,0.00462,0.75375,0.77148,0.80821,0.46366,1.29556,0.74633,0.00649,0.000934,0.000934,0.000934
22,237.603,1.02788,0.39481,0.00447,0.76416,0.76375,0.81101,0.43718,1.53364,0.79192,0.00808,0.0009307,0.0009307,0.0009307
23,248.004,1.00303,0.41225,0.00422,0.82159,0.76272,0.82854,0.46469,1.38372,0.7038,0.00716,0.0009274,0.0009274,0.0009274
