epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2879,1.67216,3.02187,0.00872,0.05174,0.28625,0.09614,0.04184,1.94081,4.03428,0.01401,0.000195238,0.000195238,0.0806714
2,27.3155,1.55139,1.14252,0.00818,0.46483,0.60164,0.56804,0.21891,2.24471,1.67106,0.01305,0.000395227,0.000395227,0.0608714
3,37.9246,1.42855,0.90514,0.00704,0.49038,0.60285,0.51622,0.1854,2.73542,1.60254,0.0168,0.000595173,0.000595173,0.0410714
4,48.5577,1.37765,0.82516,0.00705,0.78554,0.74999,0.80631,0.40285,1.73874,0.89945,0.00919,0.000795044,0.000795044,0.0212712
5,59.1511,1.33408,0.78019,0.00646,0.68736,0.70802,0.74753,0.30497,2.06187,1.06605,0.00982,0.000994806,0.000994806,0.001471
6,69.9211,1.33263,0.73904,0.00675,0.79266,0.70828,0.79493,0.43447,1.43894,1.09517,0.00775,0.000999322,0.000999322,0.000999322
7,79.9684,1.30842,0.73015,0.00656,0.69621,0.78022,0.77144,0.38612,1.66959,1.21029,0.01105,0.000999023,0.000999023,0.000999023
8,90.3571,1.27536,0.68324,0.00627,0.81093,0.73287,0.78883,0.43287,1.3793,0.82326,0.00711,0.000998671,0.000998671,0.000998671
9,100.561,1.2568,0.64989,0.0062,0.74471,0.72731,0.77939,0.39302,1.61898,0.92061,0.00838,0.000998264,0.000998264,0.000998264
10,110.847,1.23019,0.59997,0.00583,0.78424,0.75575,0.80955,0.37371,1.82751,0.96626,0.00903,0.000997803,0.000997803,0.000997803
11,120.921,1.22623,0.57113,0.00596,0.71496,0.74051,0.77745,0.36704,1.73776,1.26667,0.00997,0.000997288,0.000997288,0.000997288
12,131.17,1.26197,0.57005,0.00621,0.71676,0.77045,0.76209,0.42074,1.40396,0.89505,0.00715,0.00099672,0.00099672,0.00099672
13,141.839,1.21499,0.52219,0.00573,0.77831,0.78899,0.80295,0.41115,1.42377,0.89439,0.00705,0.000996097,0.000996097,0.000996097
14,152.518,1.12976,0.48739,0.00532,0.79533,0.80086,0.82289,0.41663,1.67727,0.82751,0.00867,0.00099542,0.00099542,0.00099542
15,162.688,1.11437,0.46748,0.00507,0.77374,0.79892,0.82508,0.41656,1.6301,0.72852,0.00805,0.00099469,0.00099469,0.00099469
16,172.666,1.08616,0.44135,0.00498,0.82076,0.73149,0.78571,0.43223,1.44487,0.88609,0.00671,0.000993906,0.000993906,0.000993906
17,183.401,1.14721,0.44182,0.00539,0.77734,0.75412,0.76357,0.35268,1.86091,0.80891,0.00914,0.000993068,0.000993068,0.000993068
18,193.317,1.15122,0.44623,0.00539,0.81536,0.77098,0.81833,0.44404,1.44306,0.77599,0.00705,0.000992177,0.000992177,0.000992177
19,203.802,1.09951,0.4352,0.00509,0.81557,0.75621,0.82787,0.46657,1.34027,0.69956,0.00682,0.000991232,0.000991232,0.000991232
20,213.799,1.04807,0.40601,0.00486,0.767,0.77349,0.79891,0.39048,1.7168,0.95061,0.00841,0.000990234,0.000990234,0.000990234
21,224.025,1.04846,0.38982,0.00478,0.83625,0.81429,0.86147,0.45556,1.53571,0.72031,0.00781,0.000989183,0.000989183,0.000989183
22,234.057,1.03882,0.39812,0.00466,0.79914,0.75086,0.80079,0.42226,1.52548,0.7483,0.00751,0.000988079,0.000988079,0.000988079
23,244.214,1.02427,0.37651,0.00469,0.75241,0.73391,0.76975,0.43656,1.37776,0.78398,0.00748,0.000986922,0.000986922,0.000986922
24,254.267,1.02694,0.38355,0.00492,0.76978,0.78247,0.8048,0.48713,1.26117,0.68203,0.00692,0.000985711,0.000985711,0.000985711
25,264.589,0.98951,0.37754,0.0049,0.80223,0.7751,0.82796,0.4728,1.34547,0.69314,0.00815,0.000984449,0.000984449,0.000984449
26,275.248,1.01901,0.38451,0.00464,0.76108,0.81254,0.82967,0.46157,1.4401,0.70532,0.00744,0.000983133,0.000983133,0.000983133
27,285.829,0.9867,0.36108,0.00471,0.81729,0.7756,0.81222,0.49928,1.20376,0.6664,0.00615,0.000981765,0.000981765,0.000981765
28,296.52,0.98978,0.36591,0.0046,0.79292,0.81612,0.84598,0.46424,1.4444,0.68018,0.0066,0.000980345,0.000980345,0.000980345
29,306.647,1.02994,0.3836,0.00467,0.73356,0.75014,0.77967,0.43959,1.34584,0.72987,0.00702,0.000978873,0.000978873,0.000978873
30,316.705,1.01156,0.39336,0.00472,0.79902,0.80033,0.81576,0.46499,1.41739,0.66777,0.00755,0.000977349,0.000977349,0.000977349
31,326.817,0.94559,0.37074,0.00432,0.84185,0.80215,0.84112,0.42003,1.73106,0.77958,0.00825,0.000975773,0.000975773,0.000975773
32,337.405,1.03218,0.39823,0.00466,0.77176,0.75976,0.79438,0.43173,1.46475,0.76246,0.00715,0.000974145,0.000974145,0.000974145
33,347.556,0.96757,0.36451,0.00438,0.78584,0.76075,0.79434,0.4865,1.23051,0.71471,0.00658,0.000972466,0.000972466,0.000972466
34,357.953,0.97435,0.36714,0.00463,0.80324,0.76933,0.8061,0.3519,2.06541,0.97721,0.01,0.000970736,0.000970736,0.000970736
35,368.037,0.96464,0.35603,0.00451,0.74838,0.79374,0.79005,0.47915,1.22707,0.65626,0.00617,0.000968955,0.000968955,0.000968955
36,378.192,0.96871,0.34441,0.00448,0.77476,0.79921,0.8059,0.47018,1.28685,0.71151,0.00665,0.000967122,0.000967122,0.000967122
37,388.243,0.93621,0.34588,0.00425,0.83808,0.80051,0.83317,0.47555,1.34931,0.67407,0.00686,0.000965239,0.000965239,0.000965239
38,398.73,0.93458,0.34246,0.00409,0.77585,0.75037,0.79386,0.45758,1.4008,0.68691,0.00742,0.000963306,0.000963306,0.000963306
39,409.054,0.92856,0.33263,0.00422,0.82509,0.76988,0.84239,0.47965,1.33021,0.65034,0.00708,0.000961322,0.000961322,0.000961322
40,419.053,0.89929,0.3263,0.00401,0.82751,0.73251,0.81867,0.46245,1.47349,0.79399,0.0073,0.000959289,0.000959289,0.000959289
41,429.425,0.90802,0.3209,0.00388,0.86402,0.79761,0.84731,0.50234,1.25651,0.67647,0.00611,0.000957205,0.000957205,0.000957205
42,440.276,0.92411,0.33317,0.00404,0.83301,0.79096,0.85097,0.46725,1.40613,0.79993,0.00692,0.000955072,0.000955072,0.000955072
43,450.506,0.91471,0.32354,0.00412,0.80084,0.75767,0.78659,0.47324,1.18185,0.68928,0.00656,0.000952889,0.000952889,0.000952889
44,460.696,0.90436,0.31281,0.00398,0.79421,0.7369,0.78402,0.46952,1.23504,0.68974,0.00636,0.000950658,0.000950658,0.000950658
45,471.687,0.90425,0.33352,0.00397,0.84276,0.77427,0.84674,0.5015,1.19366,0.65758,0.00611,0.000948377,0.000948377,0.000948377
46,481.926,0.91175,0.31573,0.00407,0.86379,0.7916,0.86093,0.49605,1.28604,0.65462,0.00694,0.000946048,0.000946048,0.000946048
47,492.338,0.87254,0.30615,0.00391,0.84053,0.79085,0.84308,0.49932,1.23095,0.67244,0.0064,0.000943671,0.000943671,0.000943671
48,502.542,0.88766,0.30912,0.00401,0.83784,0.79749,0.83311,0.49992,1.20765,0.70132,0.0062,0.000941245,0.000941245,0.000941245
49,512.668,0.92448,0.32584,0.00415,0.86111,0.81441,0.86227,0.44826,1.6102,0.7384,0.00806,0.000938772,0.000938772,0.000938772
50,523.194,0.87164,0.31595,0.00386,0.86211,0.80755,0.85207,0.47803,1.39792,0.62146,0.00672,0.000936251,0.000936251,0.000936251
51,533.356,0.85713,0.29914,0.00387,0.80819,0.80088,0.82672,0.49441,1.21664,0.69956,0.00659,0.000933683,0.000933683,0.000933683
52,543.494,0.85676,0.31861,0.00385,0.80198,0.77005,0.78277,0.4644,1.22497,0.65021,0.00599,0.000931067,0.000931067,0.000931067
53,553.677,0.88382,0.33047,0.00393,0.85803,0.76892,0.8337,0.50002,1.26047,0.6632,0.00643,0.000928405,0.000928405,0.000928405
54,567.783,0.87643,0.31352,0.00395,0.82144,0.75207,0.79132,0.45137,1.40705,0.74843,0.00672,0.000925697,0.000925697,0.000925697
55,580.099,0.87171,0.31437,0.00384,0.78912,0.78943,0.7975,0.49334,1.15907,0.66467,0.0059,0.000922942,0.000922942,0.000922942
56,591.17,0.85197,0.30862,0.00372,0.83112,0.80688,0.85003,0.49908,1.31286,0.68644,0.0063,0.000920142,0.000920142,0.000920142
57,601.825,0.84197,0.29691,0.00369,0.81556,0.7742,0.81412,0.48283,1.24101,0.66972,0.00618,0.000917296,0.000917296,0.000917296
58,611.995,0.8386,0.30327,0.0037,0.79412,0.74681,0.79734,0.48539,1.19331,0.72065,0.0061,0.000914405,0.000914405,0.000914405
59,622.561,0.83357,0.29692,0.00363,0.81373,0.74973,0.7901,0.48243,1.21466,0.62936,0.00618,0.000911469,0.000911469,0.000911469
60,632.863,0.84064,0.30167,0.00365,0.86301,0.80043,0.8367,0.4844,1.3212,0.69008,0.0064,0.000908488,0.000908488,0.000908488
61,643.171,0.86559,0.30072,0.00376,0.79616,0.79123,0.82938,0.46099,1.40361,0.77839,0.0071,0.000905463,0.000905463,0.000905463
