epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3635,1.65205,2.70449,0.008,0.02837,0.32125,0.09596,0.03183,2.19023,4.40489,0.01807,0.000195238,0.000195238,0.0806714
2,27.3625,1.56287,1.03581,0.00765,0.64519,0.4981,0.55802,0.22226,1.96306,1.69122,0.01423,0.000395227,0.000395227,0.0608714
3,38.3822,1.45775,0.8445,0.00684,0.66299,0.69369,0.70144,0.27461,2.03433,1.32959,0.01177,0.000595173,0.000595173,0.0410714
4,48.9989,1.42572,0.75841,0.00662,0.67166,0.61309,0.71606,0.33093,1.58192,1.29449,0.00858,0.000795044,0.000795044,0.0212712
5,59.2345,1.43789,0.72489,0.00681,0.67158,0.71817,0.68209,0.25193,2.22356,1.23755,0.01116,0.000994806,0.000994806,0.001471
6,69.3165,1.30946,0.7067,0.00591,0.74343,0.75976,0.77633,0.32201,1.79275,1.44206,0.00877,0.000999322,0.000999322,0.000999322
7,80.5219,1.34955,0.65843,0.0062,0.80315,0.60209,0.72613,0.33933,1.6294,1.2639,0.00881,0.000999023,0.000999023,0.000999023
8,91.1265,1.28721,0.61309,0.00597,0.78396,0.6472,0.73413,0.37866,1.51525,1.16302,0.00882,0.000998671,0.000998671,0.000998671
9,102.26,1.27595,0.57943,0.00566,0.79968,0.66381,0.78487,0.41561,1.44208,1.15059,0.00778,0.000998264,0.000998264,0.000998264
10,113.129,1.24276,0.584,0.00549,0.78146,0.63052,0.73888,0.37724,1.44899,1.06452,0.00746,0.000997803,0.000997803,0.000997803
11,124.244,1.18626,0.52299,0.00516,0.78956,0.70895,0.78986,0.37444,1.71612,0.94591,0.00845,0.000997288,0.000997288,0.000997288
12,134.801,1.25318,0.51995,0.00561,0.72968,0.70473,0.74408,0.42303,1.36208,0.803,0.00763,0.00099672,0.00099672,0.00099672
13,145.317,1.2244,0.50877,0.00556,0.74929,0.72159,0.76017,0.43622,1.40435,0.84134,0.00756,0.000996097,0.000996097,0.000996097
14,156.113,1.1304,0.43449,0.00497,0.79109,0.73232,0.78848,0.43617,1.44791,0.85805,0.00734,0.00099542,0.00099542,0.00099542
15,166.417,1.09584,0.42806,0.00502,0.75745,0.72591,0.77799,0.44396,1.41451,0.8337,0.00832,0.00099469,0.00099469,0.00099469
16,176.688,1.09827,0.42511,0.00499,0.81814,0.76897,0.80875,0.41877,1.60385,0.85637,0.00771,0.000993906,0.000993906,0.000993906
17,187.246,1.06014,0.42002,0.00469,0.79447,0.75087,0.77266,0.42532,1.49529,0.83503,0.00777,0.000993068,0.000993068,0.000993068
18,197.657,1.07773,0.41659,0.00495,0.83132,0.73453,0.79506,0.46115,1.33696,0.78886,0.0074,0.000992177,0.000992177,0.000992177
19,208.321,1.03416,0.40601,0.00477,0.81371,0.7454,0.8024,0.45961,1.37782,0.70841,0.00764,0.000991232,0.000991232,0.000991232
20,218.568,0.98145,0.37739,0.00433,0.76536,0.7555,0.80722,0.46385,1.20105,0.70073,0.00599,0.000990234,0.000990234,0.000990234
21,229.178,0.99224,0.38215,0.00429,0.81673,0.7754,0.79531,0.43515,1.54572,0.73412,0.00724,0.000989183,0.000989183,0.000989183
22,239.578,1.00203,0.40351,0.00429,0.80924,0.76746,0.81931,0.474,1.34732,0.63882,0.00666,0.000988079,0.000988079,0.000988079
23,250.122,0.99725,0.38899,0.00426,0.79549,0.80152,0.82388,0.46252,1.38976,0.69494,0.00662,0.000986922,0.000986922,0.000986922
24,260.595,1.05093,0.3787,0.00439,0.82135,0.72408,0.80318,0.41312,1.64917,0.72758,0.00767,0.000985711,0.000985711,0.000985711
25,271.065,1.00163,0.35737,0.00433,0.76034,0.76715,0.81014,0.47972,1.2459,0.81193,0.00653,0.000984449,0.000984449,0.000984449
26,281.764,1.01918,0.3725,0.0042,0.84258,0.70909,0.78196,0.45257,1.34035,0.70634,0.00736,0.000983133,0.000983133,0.000983133
27,292.08,0.96239,0.35515,0.00414,0.79251,0.80308,0.83073,0.50207,1.22788,0.68826,0.00602,0.000981765,0.000981765,0.000981765
28,302.759,0.97418,0.35104,0.00422,0.83641,0.7667,0.82669,0.48633,1.30725,0.70644,0.00661,0.000980345,0.000980345,0.000980345
29,315.983,0.96904,0.35774,0.00407,0.84901,0.74203,0.80868,0.46736,1.3285,0.63035,0.00672,0.000978873,0.000978873,0.000978873
30,326.293,0.969,0.34109,0.00419,0.8862,0.75787,0.84276,0.50639,1.24825,0.70909,0.00645,0.000977349,0.000977349,0.000977349
31,338.355,0.92514,0.34937,0.00394,0.82547,0.78472,0.81717,0.48402,1.3033,0.65909,0.00676,0.000975773,0.000975773,0.000975773
32,348.757,0.95731,0.36427,0.00402,0.78661,0.77757,0.80301,0.4532,1.31922,0.76657,0.00717,0.000974145,0.000974145,0.000974145
33,358.914,0.96359,0.34664,0.00417,0.80278,0.74403,0.78464,0.45868,1.28922,0.71975,0.00643,0.000972466,0.000972466,0.000972466
34,369.048,0.92282,0.34371,0.00416,0.88415,0.78854,0.85811,0.49743,1.29024,0.69591,0.00688,0.000970736,0.000970736,0.000970736
35,379.956,0.90514,0.32482,0.00385,0.81023,0.80254,0.81709,0.49365,1.27695,0.68937,0.00674,0.000968955,0.000968955,0.000968955
36,392.656,0.90248,0.3312,0.00388,0.91115,0.74865,0.85593,0.50407,1.27946,0.6941,0.0062,0.000967122,0.000967122,0.000967122
37,403.06,0.93624,0.35174,0.00414,0.83898,0.76027,0.80979,0.45756,1.4191,0.7648,0.00755,0.000965239,0.000965239,0.000965239
38,413.602,0.88074,0.33062,0.00366,0.83615,0.78391,0.83887,0.47877,1.30104,0.70796,0.00622,0.000963306,0.000963306,0.000963306
39,424.102,0.87899,0.31972,0.00367,0.90412,0.76836,0.85353,0.50374,1.19705,0.6395,0.00612,0.000961322,0.000961322,0.000961322
40,434.399,0.92141,0.32612,0.00387,0.81481,0.80522,0.85048,0.47519,1.38823,0.69237,0.00677,0.000959289,0.000959289,0.000959289
41,445.074,0.87755,0.31232,0.0036,0.79649,0.81753,0.83994,0.47177,1.39161,0.71807,0.00679,0.000957205,0.000957205,0.000957205
42,455.91,0.88875,0.30866,0.00375,0.82313,0.7779,0.83507,0.48441,1.2835,0.66113,0.00615,0.000955072,0.000955072,0.000955072
43,465.973,0.85249,0.29832,0.0036,0.91705,0.70653,0.79636,0.46496,1.33897,0.69402,0.00654,0.000952889,0.000952889,0.000952889
44,476.059,0.87476,0.30835,0.00364,0.84755,0.81002,0.85953,0.49236,1.29965,0.65617,0.00636,0.000950658,0.000950658,0.000950658
45,486.411,0.8816,0.31053,0.00369,0.8752,0.78939,0.86844,0.52173,1.17754,0.63919,0.00596,0.000948377,0.000948377,0.000948377
