epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9029,1.51512,2.57356,0.00696,0.06162,0.3625,0.21483,0.10392,1.78223,3.92704,0.0137,9.7619e-05,9.7619e-05,0.0805738
2,25.0878,1.28755,0.84694,0.00491,0.72115,0.56115,0.68438,0.39396,1.30528,1.31198,0.00811,0.000196967,0.000196967,0.0606732
3,35.5039,1.10134,0.6221,0.00434,0.71432,0.62406,0.70581,0.39154,1.34246,1.06941,0.00735,0.000295655,0.000295655,0.0407718
4,45.5629,0.99914,0.50046,0.00366,0.82736,0.61839,0.75614,0.4198,1.35386,0.91538,0.00704,0.000393683,0.000393683,0.0208699
5,55.8733,0.90924,0.43234,0.00341,0.81677,0.66601,0.76117,0.45074,1.2504,0.81206,0.00712,0.00049105,0.00049105,0.000967241
6,66.1013,0.87736,0.40371,0.00332,0.74744,0.72051,0.76745,0.47169,1.18716,0.75388,0.00601,0.00049175,0.00049175,0.00049175
7,76.482,0.81458,0.3725,0.00304,0.76435,0.67649,0.74059,0.4533,1.21701,0.86805,0.00599,0.0004901,0.0004901,0.0004901
8,86.55,0.79298,0.35727,0.00306,0.80455,0.67598,0.76645,0.45917,1.29865,0.87886,0.00639,0.00048845,0.00048845,0.00048845
9,96.8002,0.74759,0.31329,0.00276,0.76749,0.74906,0.78672,0.4662,1.24436,0.76468,0.00636,0.0004868,0.0004868,0.0004868
10,106.923,0.71483,0.30935,0.00258,0.82289,0.67177,0.76255,0.4462,1.34008,0.83427,0.00672,0.00048515,0.00048515,0.00048515
11,116.986,0.68123,0.29424,0.0025,0.81292,0.67539,0.77113,0.48784,1.12076,0.77353,0.00566,0.0004835,0.0004835,0.0004835
12,127.484,0.65725,0.28148,0.00245,0.77971,0.70407,0.7738,0.47548,1.20412,0.73706,0.00636,0.00048185,0.00048185,0.00048185
13,137.454,0.64371,0.26783,0.00249,0.80368,0.74331,0.79759,0.48643,1.19027,0.6906,0.00641,0.0004802,0.0004802,0.0004802
14,147.534,0.60956,0.24274,0.00254,0.79113,0.70159,0.74716,0.47088,1.18614,0.81446,0.00641,0.00047855,0.00047855,0.00047855
15,157.782,0.56394,0.22705,0.00217,0.79523,0.6659,0.74269,0.47215,1.17304,0.87804,0.00629,0.0004769,0.0004769,0.0004769
16,168.053,0.54556,0.22661,0.00194,0.78271,0.67442,0.73504,0.45974,1.16525,0.81787,0.00605,0.00047525,0.00047525,0.00047525
17,178.441,0.56025,0.22403,0.00198,0.78011,0.68876,0.73935,0.46868,1.21803,0.80419,0.00647,0.0004736,0.0004736,0.0004736
18,188.468,0.52549,0.21094,0.00214,0.84394,0.68948,0.76405,0.48258,1.16363,0.76529,0.00581,0.00047195,0.00047195,0.00047195
19,198.48,0.49425,0.2013,0.00178,0.8196,0.70221,0.76966,0.48076,1.21319,0.76644,0.00617,0.0004703,0.0004703,0.0004703
20,208.476,0.5013,0.20276,0.00182,0.78786,0.71055,0.76867,0.46861,1.19515,0.87176,0.00619,0.00046865,0.00046865,0.00046865
21,218.667,0.4979,0.19924,0.00186,0.84936,0.66491,0.76738,0.48302,1.14352,0.82533,0.00577,0.000467,0.000467,0.000467
22,229.01,0.50135,0.2129,0.00188,0.80591,0.72741,0.78527,0.47498,1.26366,0.76582,0.00639,0.00046535,0.00046535,0.00046535
23,239.097,0.46806,0.19148,0.00168,0.76754,0.70542,0.74728,0.47628,1.18059,0.84466,0.00576,0.0004637,0.0004637,0.0004637
24,248.886,0.43402,0.17861,0.00163,0.8449,0.69264,0.78284,0.47965,1.2157,0.79089,0.00599,0.00046205,0.00046205,0.00046205
25,258.638,0.43618,0.16747,0.00158,0.8222,0.6825,0.76216,0.48081,1.18314,0.84213,0.00581,0.0004604,0.0004604,0.0004604
26,268.61,0.41208,0.17069,0.00149,0.81869,0.69213,0.76631,0.46531,1.24702,0.81869,0.0062,0.00045875,0.00045875,0.00045875
27,278.931,0.40753,0.16647,0.00153,0.80848,0.71055,0.76315,0.48296,1.18431,0.80286,0.00595,0.0004571,0.0004571,0.0004571
28,288.994,0.39379,0.15155,0.00153,0.81927,0.66425,0.75295,0.48333,1.14781,0.83209,0.00585,0.00045545,0.00045545,0.00045545
29,299.451,0.40224,0.15422,0.00156,0.82903,0.67091,0.76163,0.47731,1.21852,0.85464,0.00609,0.0004538,0.0004538,0.0004538
30,310.145,0.4029,0.15463,0.00155,0.80441,0.68573,0.7574,0.48905,1.16378,0.85541,0.00604,0.00045215,0.00045215,0.00045215
31,321.076,0.3875,0.15253,0.00153,0.79061,0.69889,0.75173,0.47004,1.19327,0.90975,0.00608,0.0004505,0.0004505,0.0004505
32,331.455,0.38103,0.15735,0.00142,0.75705,0.71075,0.75044,0.47339,1.19915,0.85718,0.00576,0.00044885,0.00044885,0.00044885
33,341.915,0.39366,0.15754,0.00141,0.73598,0.7156,0.76177,0.47678,1.2039,0.85448,0.00636,0.0004472,0.0004472,0.0004472
34,352.103,0.37159,0.15628,0.00134,0.82201,0.64229,0.73857,0.46725,1.21081,0.89979,0.00598,0.00044555,0.00044555,0.00044555
35,362.758,0.38499,0.15155,0.00141,0.83904,0.67563,0.76556,0.47206,1.26942,0.88597,0.00613,0.0004439,0.0004439,0.0004439
36,372.931,0.35931,0.14747,0.00126,0.76939,0.71669,0.76476,0.49473,1.13777,0.85194,0.00564,0.00044225,0.00044225,0.00044225
37,383.262,0.36046,0.14736,0.00123,0.83384,0.66922,0.75498,0.48192,1.1981,0.90441,0.00581,0.0004406,0.0004406,0.0004406
38,393.649,0.33734,0.13968,0.00123,0.83257,0.70612,0.7783,0.49687,1.17901,0.80538,0.0057,0.00043895,0.00043895,0.00043895
39,404.012,0.33073,0.13213,0.00137,0.81338,0.69796,0.76368,0.49187,1.18042,0.87374,0.00571,0.0004373,0.0004373,0.0004373
40,414.337,0.31905,0.12783,0.00115,0.8346,0.70262,0.7712,0.49022,1.19126,0.84851,0.00588,0.00043565,0.00043565,0.00043565
41,424.236,0.32953,0.12555,0.00117,0.83491,0.69493,0.7853,0.49667,1.20078,0.9053,0.0059,0.000434,0.000434,0.000434
42,434.239,0.32285,0.12778,0.00118,0.78905,0.73308,0.78153,0.49043,1.19651,0.81595,0.00604,0.00043235,0.00043235,0.00043235
43,444.402,0.32332,0.12889,0.00117,0.80146,0.70833,0.77814,0.49517,1.17628,0.85887,0.0058,0.0004307,0.0004307,0.0004307
44,454.557,0.31981,0.13068,0.00118,0.80991,0.68823,0.75258,0.48085,1.16384,0.87738,0.00582,0.00042905,0.00042905,0.00042905
45,464.946,0.31565,0.12862,0.00123,0.78957,0.67035,0.75038,0.48468,1.18349,0.89797,0.00596,0.0004274,0.0004274,0.0004274
46,475.386,0.30122,0.12195,0.00114,0.83479,0.69257,0.77097,0.49384,1.18225,0.92621,0.00577,0.00042575,0.00042575,0.00042575
47,485.795,0.28633,0.11474,0.00117,0.82396,0.68162,0.77053,0.49472,1.16652,0.95688,0.0059,0.0004241,0.0004241,0.0004241
48,495.999,0.2848,0.11613,0.00108,0.79951,0.71012,0.77529,0.49857,1.19011,0.91841,0.0059,0.00042245,0.00042245,0.00042245
49,506.588,0.30664,0.11995,0.0012,0.8293,0.67811,0.76781,0.48296,1.2471,0.98698,0.00641,0.0004208,0.0004208,0.0004208
50,516.923,0.26664,0.10881,0.00102,0.81298,0.69441,0.77406,0.494,1.18982,0.99553,0.00589,0.00041915,0.00041915,0.00041915
51,527.506,0.26582,0.10954,0.00095,0.83123,0.67503,0.76093,0.49051,1.18219,0.92583,0.00573,0.0004175,0.0004175,0.0004175
52,537.691,0.28057,0.10529,0.00102,0.79009,0.73558,0.78085,0.48628,1.19688,0.91851,0.0059,0.00041585,0.00041585,0.00041585
53,547.951,0.29815,0.11627,0.00106,0.82606,0.70695,0.77909,0.4947,1.17205,0.87192,0.00587,0.0004142,0.0004142,0.0004142
54,558.284,0.29378,0.10924,0.00102,0.80964,0.70346,0.77697,0.4903,1.22312,0.90442,0.00594,0.00041255,0.00041255,0.00041255
55,568.888,0.30561,0.11432,0.00107,0.80288,0.71774,0.78529,0.50358,1.16517,0.94727,0.00575,0.0004109,0.0004109,0.0004109
56,579.185,0.29816,0.11039,0.001,0.84175,0.69162,0.78462,0.49708,1.18873,0.88568,0.00615,0.00040925,0.00040925,0.00040925
57,589.567,0.29603,0.11888,0.00107,0.80734,0.69366,0.77134,0.49461,1.20566,0.90788,0.00592,0.0004076,0.0004076,0.0004076
58,599.667,0.32329,0.12804,0.00115,0.79984,0.69637,0.76066,0.49214,1.16525,0.89647,0.00584,0.00040595,0.00040595,0.00040595
59,610.4,0.28976,0.11604,0.00104,0.78057,0.68562,0.74181,0.47764,1.17578,0.9485,0.00588,0.0004043,0.0004043,0.0004043
60,620.449,0.27584,0.11955,0.00103,0.76542,0.72139,0.7535,0.4779,1.18106,0.91092,0.0059,0.00040265,0.00040265,0.00040265
61,630.724,0.28125,0.11403,0.00107,0.78502,0.6534,0.74158,0.47978,1.1497,0.91378,0.00578,0.000401,0.000401,0.000401
62,641.024,0.26595,0.10604,0.00099,0.78221,0.67602,0.7418,0.48054,1.14485,0.94487,0.00576,0.00039935,0.00039935,0.00039935
63,651.309,0.28043,0.10533,0.00103,0.80374,0.6837,0.76424,0.50419,1.15348,0.89074,0.00568,0.0003977,0.0003977,0.0003977
64,661.722,0.25827,0.10097,0.00092,0.82095,0.67653,0.76414,0.48829,1.19306,1.01215,0.00582,0.00039605,0.00039605,0.00039605
65,672.102,0.27131,0.10535,0.00105,0.80917,0.65312,0.75182,0.49248,1.16599,1.04871,0.00578,0.0003944,0.0003944,0.0003944
66,682.105,0.27833,0.10914,0.00105,0.78458,0.65227,0.75161,0.48713,1.18639,0.99072,0.00589,0.00039275,0.00039275,0.00039275
67,691.909,0.28223,0.1139,0.00101,0.7919,0.69116,0.75367,0.48461,1.21027,0.96419,0.00589,0.0003911,0.0003911,0.0003911
68,702.204,0.25784,0.10922,0.00094,0.86872,0.68274,0.78274,0.50678,1.14593,0.88241,0.0056,0.00038945,0.00038945,0.00038945
69,712.482,0.23293,0.099,0.00092,0.79513,0.67877,0.7674,0.49632,1.17401,1.03531,0.00593,0.0003878,0.0003878,0.0003878
70,722.35,0.2207,0.09816,0.0009,0.78602,0.70451,0.76535,0.49052,1.16345,0.9324,0.00567,0.00038615,0.00038615,0.00038615
71,732.595,0.21865,0.09718,0.00078,0.86161,0.68089,0.76561,0.49015,1.16841,0.96061,0.00566,0.0003845,0.0003845,0.0003845
72,742.539,0.24559,0.10473,0.00089,0.80677,0.65842,0.74936,0.49388,1.14574,1.04475,0.00587,0.00038285,0.00038285,0.00038285
73,752.78,0.21988,0.0993,0.00079,0.85322,0.68927,0.77005,0.49569,1.13603,0.93165,0.00558,0.0003812,0.0003812,0.0003812
74,762.833,0.21737,0.09745,0.00076,0.83021,0.68666,0.74588,0.48048,1.17553,0.99284,0.00576,0.00037955,0.00037955,0.00037955
75,773.046,0.21378,0.0927,0.00079,0.78915,0.70407,0.75444,0.48701,1.13456,0.94611,0.00552,0.0003779,0.0003779,0.0003779
76,783.387,0.2129,0.09248,0.00076,0.76082,0.71157,0.74284,0.47405,1.16901,1.02394,0.00574,0.00037625,0.00037625,0.00037625
77,794.155,0.20501,0.09375,0.00074,0.81117,0.67925,0.75706,0.48922,1.14195,1.03046,0.00553,0.0003746,0.0003746,0.0003746
78,804.455,0.22152,0.09017,0.00076,0.81839,0.68207,0.7549,0.48818,1.15931,1.0316,0.00572,0.00037295,0.00037295,0.00037295
79,814.664,0.24097,0.09634,0.00081,0.80884,0.67074,0.74495,0.48252,1.14993,0.98834,0.00565,0.0003713,0.0003713,0.0003713
80,824.856,0.25251,0.10528,0.00097,0.83036,0.67509,0.76058,0.50289,1.13291,0.92414,0.00556,0.00036965,0.00036965,0.00036965
81,835.055,0.23103,0.09375,0.00092,0.81994,0.66421,0.75857,0.49794,1.16092,1.06479,0.00568,0.000368,0.000368,0.000368
82,845.337,0.22243,0.0898,0.0008,0.86484,0.67425,0.77368,0.49912,1.16311,0.99264,0.00565,0.00036635,0.00036635,0.00036635
83,855.768,0.20524,0.08217,0.00067,0.85147,0.65881,0.7567,0.4794,1.20675,1.02436,0.00586,0.0003647,0.0003647,0.0003647
84,866.123,0.20217,0.08274,0.00074,0.82461,0.68698,0.76354,0.48209,1.19193,0.93245,0.00577,0.00036305,0.00036305,0.00036305
85,876.29,0.21294,0.09177,0.00075,0.81349,0.69113,0.76942,0.49931,1.16867,1.0117,0.00572,0.0003614,0.0003614,0.0003614
86,886.801,0.21484,0.08839,0.00074,0.8454,0.67022,0.76312,0.48692,1.15412,1.06009,0.00576,0.00035975,0.00035975,0.00035975
87,897.307,0.19766,0.08526,0.00076,0.81487,0.67195,0.75592,0.49165,1.1499,1.06458,0.00568,0.0003581,0.0003581,0.0003581
88,907.715,0.21704,0.08752,0.00086,0.8565,0.67384,0.75222,0.48336,1.16926,1.06225,0.0057,0.00035645,0.00035645,0.00035645
89,918.135,0.20438,0.08459,0.00083,0.8356,0.65622,0.74875,0.47901,1.16874,1.09422,0.00583,0.0003548,0.0003548,0.0003548
90,928.348,0.19084,0.08131,0.0007,0.81979,0.68113,0.76181,0.48532,1.17145,1.01122,0.00575,0.00035315,0.00035315,0.00035315
91,938.394,0.19276,0.07974,0.00071,0.86771,0.65152,0.74277,0.48399,1.14964,1.07109,0.00559,0.0003515,0.0003515,0.0003515
92,948.832,0.21225,0.08494,0.00075,0.83997,0.6883,0.76579,0.49306,1.14659,0.97719,0.00561,0.00034985,0.00034985,0.00034985
93,959.082,0.21527,0.08454,0.00077,0.84262,0.68392,0.77518,0.5004,1.15777,1.04467,0.00571,0.0003482,0.0003482,0.0003482
94,969.38,0.19473,0.08096,0.00066,0.85012,0.68613,0.76705,0.4909,1.15967,1.06954,0.00571,0.00034655,0.00034655,0.00034655
95,979.599,0.18826,0.07651,0.00067,0.83428,0.66711,0.76704,0.49892,1.16015,1.0985,0.00577,0.0003449,0.0003449,0.0003449
96,989.768,0.22341,0.08678,0.00083,0.82394,0.6657,0.75022,0.48508,1.16572,0.99662,0.00574,0.00034325,0.00034325,0.00034325
97,1000.02,0.23439,0.09248,0.00083,0.80153,0.6977,0.75327,0.48278,1.15477,0.96643,0.00559,0.0003416,0.0003416,0.0003416
98,1010.46,0.21139,0.08727,0.00075,0.81873,0.69009,0.76409,0.48639,1.16627,1.03689,0.00557,0.00033995,0.00033995,0.00033995
99,1020.57,0.1869,0.07816,0.00071,0.83252,0.69073,0.76574,0.48417,1.16988,0.95765,0.00573,0.0003383,0.0003383,0.0003383
100,1030.91,0.19867,0.07995,0.00074,0.8536,0.68738,0.76879,0.49135,1.15005,0.98505,0.00559,0.00033665,0.00033665,0.00033665
101,1041.4,0.19947,0.07917,0.00074,0.82445,0.69127,0.74954,0.47824,1.19571,1.07939,0.00582,0.000335,0.000335,0.000335
102,1051.69,0.19546,0.07997,0.00065,0.82506,0.6609,0.74587,0.47621,1.16787,1.11028,0.00587,0.00033335,0.00033335,0.00033335
103,1061.61,0.20419,0.08256,0.00071,0.81739,0.6782,0.76577,0.48456,1.14754,1.00927,0.00578,0.0003317,0.0003317,0.0003317
104,1071.96,0.19628,0.08286,0.00075,0.86133,0.64716,0.75985,0.49675,1.133,1.04769,0.00558,0.00033005,0.00033005,0.00033005
105,1082.16,0.20443,0.08926,0.00083,0.82291,0.64692,0.74971,0.48645,1.17564,1.1117,0.00596,0.0003284,0.0003284,0.0003284
106,1092.45,0.19576,0.08402,0.00078,0.80185,0.69962,0.78043,0.49665,1.19697,1.00162,0.00587,0.00032675,0.00032675,0.00032675
107,1102.76,0.18545,0.08061,0.00067,0.80594,0.69965,0.76353,0.49416,1.13285,1.01789,0.00548,0.0003251,0.0003251,0.0003251
108,1113.14,0.18627,0.07433,0.00066,0.8464,0.66538,0.76017,0.4828,1.17946,1.07661,0.0058,0.00032345,0.00032345,0.00032345
109,1123.34,0.17976,0.0705,0.00062,0.81366,0.66595,0.75535,0.48572,1.16213,1.04898,0.00575,0.0003218,0.0003218,0.0003218
110,1133.37,0.19159,0.07417,0.00071,0.82711,0.67314,0.75015,0.48829,1.13701,1.07556,0.00559,0.00032015,0.00032015,0.00032015
111,1143.72,0.16734,0.06943,0.00064,0.8333,0.67425,0.76415,0.49739,1.14134,1.11224,0.00562,0.0003185,0.0003185,0.0003185
112,1153.93,0.17904,0.07692,0.00065,0.83082,0.6682,0.76766,0.50392,1.14528,1.11059,0.0056,0.00031685,0.00031685,0.00031685
113,1164.29,0.18727,0.07656,0.0007,0.83682,0.6585,0.74202,0.47684,1.17892,1.1385,0.00577,0.0003152,0.0003152,0.0003152
114,1174.54,0.18386,0.07994,0.00069,0.82888,0.66894,0.74701,0.48621,1.15559,1.05799,0.00574,0.00031355,0.00031355,0.00031355
115,1184.84,0.165,0.07226,0.00063,0.80495,0.68996,0.76246,0.49128,1.14069,1.03315,0.00565,0.0003119,0.0003119,0.0003119
116,1195.22,0.17708,0.07418,0.00072,0.82282,0.65986,0.75544,0.48714,1.18184,1.11583,0.00581,0.00031025,0.00031025,0.00031025
117,1205.24,0.17649,0.07463,0.00067,0.80351,0.68634,0.76088,0.48665,1.17156,1.11916,0.00575,0.0003086,0.0003086,0.0003086
118,1215.43,0.15597,0.06823,0.00055,0.84596,0.67402,0.75889,0.48753,1.15696,1.11292,0.00561,0.00030695,0.00030695,0.00030695
