epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8373,1.58644,10.1403,0.00863,0.5748,0.08273,0.17487,0.10468,1.2693,3.61354,0.0078,0.00097619,0.00097619,0.0814524
2,25.3337,1.10145,1.53289,0.00414,0.57263,0.44437,0.53545,0.29656,1.3152,2.01084,0.00778,0.00196967,0.00196967,0.0624459
3,35.7312,1.07027,0.93353,0.00386,0.61334,0.61458,0.64021,0.36665,1.31831,1.33685,0.00673,0.00295655,0.00295655,0.0434327
4,46.0034,1.04236,0.76768,0.00378,0.65875,0.62994,0.68607,0.3643,1.38531,1.24077,0.0073,0.00393683,0.00393683,0.024413
5,56.117,1.0451,0.70667,0.00392,0.72668,0.63792,0.68152,0.37249,1.42652,1.26064,0.00872,0.0049105,0.0049105,0.0053867
6,66.8431,1.02287,0.59617,0.00389,0.75409,0.71212,0.76295,0.42,1.35599,1.21581,0.00739,0.0049175,0.0049175,0.0049175
7,77.1165,1.01484,0.57669,0.00366,0.74632,0.7479,0.76362,0.39891,1.54031,1.1385,0.00762,0.004901,0.004901,0.004901
8,87.158,1.00115,0.52461,0.00368,0.76999,0.74046,0.78865,0.44916,1.27762,1.02605,0.00706,0.0048845,0.0048845,0.0048845
9,97.8086,0.90859,0.47146,0.00324,0.68009,0.75558,0.75601,0.44752,1.21303,0.99058,0.00621,0.004868,0.004868,0.004868
10,108.347,0.86889,0.45416,0.00301,0.80582,0.74938,0.80462,0.47273,1.22933,0.93951,0.00676,0.0048515,0.0048515,0.0048515
11,118.813,0.82763,0.40846,0.00286,0.76291,0.77293,0.81333,0.46762,1.27652,0.9079,0.00669,0.004835,0.004835,0.004835
12,129.051,0.79812,0.37382,0.00276,0.76217,0.75938,0.80885,0.48578,1.19777,0.87612,0.00685,0.0048185,0.0048185,0.0048185
13,140.581,0.76014,0.34176,0.00263,0.81334,0.73459,0.80775,0.46582,1.22202,0.89337,0.00652,0.004802,0.004802,0.004802
14,151.376,0.73926,0.33334,0.00255,0.81228,0.74486,0.80253,0.47798,1.17582,0.85833,0.00591,0.0047855,0.0047855,0.0047855
15,161.586,0.72253,0.31173,0.00251,0.82828,0.74435,0.83626,0.50647,1.12688,0.79266,0.00595,0.004769,0.004769,0.004769
16,171.82,0.69995,0.30716,0.00238,0.7908,0.75708,0.81437,0.49148,1.13602,0.88537,0.00607,0.0047525,0.0047525,0.0047525
17,182.146,0.66605,0.2957,0.00232,0.69861,0.76356,0.76175,0.45651,1.16872,0.89124,0.006,0.004736,0.004736,0.004736
18,192.859,0.67785,0.28627,0.00221,0.77951,0.71509,0.78972,0.46713,1.22224,0.85323,0.00609,0.0047195,0.0047195,0.0047195
19,203.216,0.66654,0.27637,0.00227,0.75604,0.75309,0.80406,0.46925,1.24281,0.86698,0.00625,0.004703,0.004703,0.004703
20,213.428,0.63372,0.26165,0.00215,0.75846,0.76729,0.79846,0.47428,1.24119,0.79535,0.00631,0.0046865,0.0046865,0.0046865
