epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,13.399,0.68697,2.05234,0.34918,0.1231,0.29284,0.08073,0.0329,0.69538,1.08164,0.3608,0.0015,0.0015,0.0865
2,24.6581,0.73502,0.84308,0.3197,0.74392,0.55699,0.63547,0.38444,0.54634,0.82041,0.28068,0.00307443,0.00307443,0.0720744
3,35.8946,0.84851,0.50533,0.36778,0.20786,0.20645,0.07107,0.01212,1.4436,0.30245,0.70877,0.00462245,0.00462245,0.0576225
4,47.1,1.10813,0.38397,0.49454,0.79629,0.65568,0.67794,0.20767,0.87236,0.42959,0.42983,0.00614407,0.00614407,0.0431441
5,57.8844,0.98766,0.39874,0.41815,0.90741,0.85376,0.88468,0.38404,0.63609,0.46462,0.32918,0.0076393,0.0076393,0.0286393
6,68.6536,0.77804,0.43005,0.30602,0.91573,0.86467,0.92536,0.62603,0.38206,0.46092,0.19252,0.00910812,0.00910812,0.0141081
7,79.6264,0.48099,0.4247,0.17851,0.92259,0.89711,0.93716,0.60361,0.41655,0.4467,0.19929,0.009505,0.009505,0.009505
8,90.5325,0.53248,0.4196,0.19517,0.96562,0.88817,0.93051,0.64587,0.36239,0.45646,0.19786,0.0094225,0.0094225,0.0094225
9,101.497,0.56093,0.42353,0.20226,0.95085,0.9153,0.96913,0.70279,0.31771,0.40576,0.16618,0.00934,0.00934,0.00934
10,112.491,0.47739,0.4074,0.16985,0.93925,0.86442,0.9381,0.44873,0.56271,0.45007,0.24661,0.0092575,0.0092575,0.0092575
11,123.279,0.51059,0.40702,0.17686,0.95064,0.83011,0.91033,0.46281,0.59322,0.45234,0.25838,0.009175,0.009175,0.009175
12,134.083,0.47649,0.40707,0.17598,0.77671,0.72903,0.75406,0.29304,0.75763,0.5417,0.39099,0.0090925,0.0090925,0.0090925
13,144.871,0.50243,0.40834,0.19607,0.9298,0.88602,0.95403,0.63788,0.3835,0.42811,0.19144,0.00901,0.00901,0.00901
14,155.671,0.43518,0.39763,0.15915,0.94247,0.89677,0.95273,0.57697,0.43741,0.4661,0.23552,0.0089275,0.0089275,0.0089275
