epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.80762,1.1101,3.03282,1.12653,0.01196,0.95699,0.26204,0.16022,1.00808,2.7013,1.00415,0.0015,0.0015,0.0865
2,12.1183,0.90548,1.65958,0.98284,0.01218,0.97419,0.59162,0.40417,0.96766,2.57182,0.97572,0.00307443,0.00307443,0.0720744
3,14.1831,0.90805,1.0954,0.97224,0.01178,0.92473,0.6263,0.44502,1.02144,2.59951,1.0121,0.00462245,0.00462245,0.0576225
4,16.429,0.93003,0.95798,0.97293,1,0.25583,0.69324,0.4972,0.95805,2.42737,1.00604,0.00614407,0.00614407,0.0431441
5,18.484,0.9408,0.92133,0.97253,0.94529,0.26012,0.74448,0.46742,1.18089,2.35824,1.07983,0.0076393,0.0076393,0.0286393
6,20.5325,0.9683,0.89873,0.98628,0.90535,0.71997,0.84576,0.56147,1.13535,1.77738,1.09994,0.00910812,0.00910812,0.0141081
7,22.5766,0.94994,0.87547,0.99061,0.83757,0.8129,0.86961,0.57501,1.12416,1.15481,1.14089,0.009505,0.009505,0.009505
8,24.6344,0.90503,0.83821,0.97011,0.81835,0.65161,0.73833,0.47242,1.21146,1.43902,1.2274,0.0094225,0.0094225,0.0094225
9,26.6733,0.85485,0.76316,0.95989,0.75939,0.61087,0.6684,0.39306,1.3612,1.71117,1.32596,0.00934,0.00934,0.00934
10,28.7218,0.82924,0.74358,0.94474,0.87316,0.65136,0.74962,0.50161,1.21945,1.38935,1.2233,0.0092575,0.0092575,0.0092575
11,30.8002,0.79716,0.71416,0.9412,0.86137,0.75699,0.83563,0.53176,1.23075,1.10771,1.22297,0.009175,0.009175,0.009175
12,32.9663,0.80913,0.67727,0.93675,0.85362,0.74839,0.82161,0.5276,1.19277,1.13032,1.19057,0.0090925,0.0090925,0.0090925
13,34.9992,0.79031,0.64874,0.93265,0.91678,0.78183,0.85151,0.54109,1.22966,1.05223,1.18674,0.00901,0.00901,0.00901
14,37.0657,0.7426,0.64005,0.92242,0.88145,0.86237,0.89671,0.59878,1.09223,0.92986,1.09316,0.0089275,0.0089275,0.0089275
15,39.1412,0.73639,0.5914,0.91685,0.91377,0.79758,0.86607,0.58003,1.15871,0.98963,1.15108,0.008845,0.008845,0.008845
16,41.2102,0.70175,0.59134,0.90039,0.91365,0.82151,0.88373,0.61984,1.05395,0.90191,1.08965,0.0087625,0.0087625,0.0087625
17,43.2672,0.68555,0.55806,0.89537,0.95399,0.81935,0.91336,0.62713,1.07951,0.84166,1.07792,0.00868,0.00868,0.00868
18,45.3019,0.68454,0.55134,0.89074,0.88611,0.73548,0.82593,0.55366,1.17034,1.02949,1.14717,0.0085975,0.0085975,0.0085975
19,47.378,0.64164,0.51878,0.88353,0.93131,0.80215,0.89584,0.60117,1.09457,0.86505,1.08873,0.008515,0.008515,0.008515
20,49.5423,0.6279,0.51178,0.88077,0.93744,0.83784,0.91965,0.61502,1.10324,0.80832,1.09432,0.0084325,0.0084325,0.0084325
21,51.5829,0.62741,0.50965,0.87577,0.92664,0.84209,0.90063,0.60077,1.11111,0.85663,1.10181,0.00835,0.00835,0.00835
22,53.6902,0.59585,0.47519,0.865,0.92164,0.83471,0.90032,0.59442,1.11327,0.86396,1.10168,0.0082675,0.0082675,0.0082675
23,55.6955,0.58774,0.45982,0.86483,0.92836,0.86397,0.92316,0.6379,1.04444,0.77372,1.07054,0.008185,0.008185,0.008185
24,57.7586,0.57433,0.45432,0.85839,0.93136,0.84301,0.90787,0.63821,1.04758,0.81143,1.0655,0.0081025,0.0081025,0.0081025
25,59.7824,0.54444,0.45045,0.85802,0.92763,0.78495,0.85696,0.5772,1.15423,0.97094,1.14978,0.00802,0.00802,0.00802
26,61.8288,0.53121,0.43575,0.85055,0.9258,0.85863,0.91356,0.63042,1.0721,0.81249,1.10185,0.0079375,0.0079375,0.0079375
27,63.9515,0.51082,0.42872,0.84655,0.92086,0.84516,0.89791,0.61478,1.08937,0.87075,1.09958,0.007855,0.007855,0.007855
28,65.9537,0.50654,0.41871,0.84566,0.93405,0.82151,0.88259,0.61322,1.07773,0.85171,1.09843,0.0077725,0.0077725,0.0077725
29,67.9901,0.49476,0.40392,0.84078,0.96652,0.8071,0.89282,0.61411,1.07464,0.87318,1.09129,0.00769,0.00769,0.00769
30,69.9999,0.47835,0.40151,0.83699,0.92709,0.81075,0.897,0.59542,1.12694,0.90009,1.10864,0.0076075,0.0076075,0.0076075
31,71.9975,0.47176,0.39874,0.83837,0.92111,0.82857,0.89792,0.60523,1.11465,0.84738,1.10705,0.007525,0.007525,0.007525
32,74.0841,0.45348,0.38538,0.83358,0.92109,0.85591,0.91354,0.62578,1.06496,0.76945,1.06386,0.0074425,0.0074425,0.0074425
33,76.0825,0.44045,0.38454,0.82999,0.96075,0.8043,0.89651,0.60901,1.09439,0.85111,1.07501,0.00736,0.00736,0.00736
34,78.1235,0.43566,0.36608,0.82793,0.9191,0.84516,0.90496,0.62573,1.06783,0.77767,1.07052,0.0072775,0.0072775,0.0072775
35,80.3206,0.44005,0.36014,0.82566,0.92887,0.83011,0.91096,0.62632,1.0587,0.80009,1.08136,0.007195,0.007195,0.007195
36,82.4396,0.42542,0.35917,0.82248,0.95344,0.79275,0.90645,0.61296,1.06984,0.78546,1.07705,0.0071125,0.0071125,0.0071125
37,84.467,0.41253,0.35516,0.82023,0.88249,0.84516,0.89574,0.62286,1.03818,0.78948,1.05946,0.00703,0.00703,0.00703
