epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.15657,1.03291,3.57601,0.0066,0.3891,0.48602,0.41925,0.29906,0.93089,2.18055,0.00886,0.0015,0.0015,0.0865
2,8.81676,0.88177,1.29815,0.00524,0.84067,0.74409,0.84879,0.64194,0.91734,0.98359,0.0086,0.00307443,0.00307443,0.0720744
3,12.4283,0.86868,0.69741,0.00522,0.77919,0.68602,0.78999,0.53902,1.13337,1.11405,0.01115,0.00462245,0.00462245,0.0576225
4,15.9496,0.87292,0.59119,0.00532,0.85346,0.80161,0.88773,0.65257,0.96468,0.7874,0.00904,0.00614407,0.00614407,0.0431441
5,19.5276,0.86845,0.5786,0.00528,0.82904,0.80303,0.87817,0.64134,1.00723,0.81431,0.00921,0.0076393,0.0076393,0.0286393
6,23.0509,0.9328,0.56852,0.00569,0.84278,0.70753,0.81691,0.59861,1.02552,1.01434,0.00987,0.00910812,0.00910812,0.0141081
7,26.642,0.92953,0.57462,0.00581,0.89881,0.8086,0.88984,0.65117,1.00869,0.80063,0.00952,0.009505,0.009505,0.009505
8,30.1497,0.91672,0.5758,0.00597,0.82418,0.78925,0.85945,0.61252,1.07015,0.9379,0.01027,0.0094225,0.0094225,0.0094225
9,33.6701,0.88231,0.48008,0.00547,0.87812,0.78495,0.87967,0.6295,1.09256,0.81469,0.01064,0.00934,0.00934,0.00934
10,37.2003,0.84103,0.47347,0.00502,0.88372,0.7871,0.89324,0.67219,1.02157,0.75539,0.00972,0.0092575,0.0092575,0.0092575
11,40.7793,0.82786,0.41849,0.00509,0.88327,0.8086,0.91524,0.65003,1.11308,0.69154,0.01107,0.009175,0.009175,0.009175
12,44.2994,0.82516,0.42207,0.00522,0.89372,0.8086,0.91041,0.66685,1.05965,0.7346,0.01023,0.0090925,0.0090925,0.0090925
13,47.9659,0.79717,0.39035,0.00495,0.93376,0.78825,0.89701,0.65173,1.10998,0.79038,0.01057,0.00901,0.00901,0.00901
