epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7947,1.19217,1.3269,0.71302,0.00312,0.24946,0.01846,0.00513,1.44932,1.34313,1.53833,1.5e-05,1.5e-05,0.085015
2,30.5636,0.63218,1.42144,0.29748,0.00207,0.16559,0.00173,0.00035,1.43722,0.41564,1.50598,3.09992e-05,3.09992e-05,0.069031
3,43.022,0.43141,1.50062,0.19113,0.00478,0.3828,0.00667,0.00136,1.20895,0.61707,0.94227,4.69954e-05,4.69954e-05,0.053047
4,54.6361,0.33118,1.49914,0.13555,0.01073,0.85806,0.07451,0.04141,0.63474,1.35426,0.41313,6.2986e-05,6.2986e-05,0.037063
5,66.5074,0.21859,1.75694,0.09325,0.01167,0.93333,0.06649,0.04763,0.398,1.50061,0.22628,7.89688e-05,7.89688e-05,0.021079
6,78.9274,0.1957,1.6005,0.0799,0.0319,0.94194,0.08012,0.06224,0.27624,1.51171,0.14498,9.49414e-05,9.49414e-05,0.00509494
7,91.0037,0.17102,1.57241,0.07166,0.03987,0.90108,0.07418,0.05706,0.25581,1.50547,0.13533,9.99112e-05,9.99112e-05,9.99112e-05
8,102.932,0.15199,1.62419,0.06391,0.05249,0.81505,0.09445,0.0717,0.2468,1.49652,0.12958,9.98792e-05,9.98792e-05,9.98792e-05
9,115.175,0.15136,1.5363,0.06422,0.07267,0.66022,0.09954,0.07412,0.24104,1.40617,0.12255,9.98422e-05,9.98422e-05,9.98422e-05
10,127.518,0.13099,1.50497,0.05409,0.08337,0.55269,0.09279,0.07039,0.23002,1.37106,0.12357,9.98003e-05,9.98003e-05,9.98003e-05
11,139.201,0.13801,1.41402,0.05936,0.07368,0.49892,0.09129,0.06969,0.24337,1.35686,0.12874,9.97535e-05,9.97535e-05,9.97535e-05
12,150.776,0.11405,1.44533,0.04728,0.09553,0.35054,0.09241,0.06806,0.22804,1.34715,0.11584,9.97018e-05,9.97018e-05,9.97018e-05
13,162.396,0.10827,1.42462,0.04485,0.09846,0.37204,0.09346,0.06901,0.22833,1.39737,0.11659,9.96452e-05,9.96452e-05,9.96452e-05
14,174.046,0.11214,1.42666,0.04767,0.10745,0.40215,0.10024,0.07287,0.23291,1.34387,0.11656,9.95837e-05,9.95837e-05,9.95837e-05
15,185.577,0.10367,1.42139,0.04302,0.10717,0.35054,0.10073,0.0724,0.23255,1.34121,0.12204,9.95173e-05,9.95173e-05,9.95173e-05
16,197.303,0.09709,1.41391,0.03999,0.12433,0.3871,0.1078,0.0775,0.23455,1.34364,0.11847,9.9446e-05,9.9446e-05,9.9446e-05
17,209.389,0.10304,1.38325,0.04188,0.10254,0.33333,0.09438,0.06917,0.23342,1.40483,0.11833,9.93698e-05,9.93698e-05,9.93698e-05
18,221.05,0.09254,1.38227,0.03796,0.10936,0.28602,0.09443,0.06931,0.22882,1.38373,0.11788,9.92888e-05,9.92888e-05,9.92888e-05
19,232.593,0.08389,1.40493,0.03332,0.09679,0.33118,0.09927,0.07225,0.22787,1.34715,0.11658,9.92029e-05,9.92029e-05,9.92029e-05
20,244.406,0.0808,1.41092,0.03228,0.11843,0.30538,0.10346,0.07525,0.22994,1.43037,0.11899,9.91122e-05,9.91122e-05,9.91122e-05
21,256.031,0.08521,1.33338,0.0343,0.12826,0.33978,0.11832,0.08672,0.25115,1.34087,0.13171,9.90166e-05,9.90166e-05,9.90166e-05
22,268.194,0.08775,1.22027,0.03525,0.35766,0.6086,0.36994,0.27836,0.27023,0.9903,0.1508,9.89163e-05,9.89163e-05,9.89163e-05
23,280.642,0.09607,0.75991,0.0402,0.90204,0.79207,0.86381,0.67053,0.29364,0.57511,0.16857,9.88111e-05,9.88111e-05,9.88111e-05
