epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7382,1.40734,1.2488,0.96286,0.0029,0.23226,0.00323,0.00065,1.50786,0.45706,1.18097,1.5e-05,1.5e-05,0.085015
2,32.4841,0.6643,1.27607,0.31226,0.00462,0.36989,0.00329,0.00073,1.26832,0.73728,1.01824,3.08977e-05,3.08977e-05,0.0690309
3,45.4676,0.49097,1.44326,0.21188,0.00239,0.1914,0.00159,0.00046,1.42877,0.50416,1.18685,4.66898e-05,4.66898e-05,0.0530467
4,57.9675,0.38326,1.56422,0.16349,0.00882,0.70538,0.05752,0.031,0.87728,1.10517,0.59423,6.23763e-05,6.23763e-05,0.0370624
5,70.1127,0.32718,1.5255,0.13802,0.01073,0.85806,0.06644,0.0476,0.48099,1.37887,0.3042,7.79572e-05,7.79572e-05,0.021078
6,82.1271,0.32563,1.49938,0.14386,0.03727,0.87742,0.08627,0.05977,0.3718,1.43243,0.21405,9.34325e-05,9.34325e-05,0.00509343
7,94.737,0.30762,1.50472,0.12872,0.05169,0.81935,0.09706,0.06503,0.34668,1.35543,0.18624,9.802e-05,9.802e-05,9.802e-05
8,106.731,0.29424,1.43747,0.13196,0.07686,0.65591,0.12414,0.07972,0.33892,1.29435,0.18814,9.769e-05,9.769e-05,9.769e-05
9,118.733,0.29736,1.34624,0.12746,0.10928,0.50108,0.15268,0.09795,0.34354,1.23251,0.18625,9.736e-05,9.736e-05,9.736e-05
10,131.069,0.29467,1.33746,0.12757,0.15063,0.46022,0.17967,0.10993,0.33389,1.18861,0.1843,9.703e-05,9.703e-05,9.703e-05
11,143.543,0.30016,1.20685,0.12293,0.19533,0.50323,0.25169,0.14129,0.40053,1.06029,0.22494,9.67e-05,9.67e-05,9.67e-05
12,155.86,0.30036,1.21483,0.14232,0.27494,0.51538,0.31814,0.20272,0.33236,1.03672,0.18679,9.637e-05,9.637e-05,9.637e-05
13,168.52,0.33219,1.07829,0.1521,0.20579,0.53118,0.2255,0.10993,0.53341,1.13846,0.34097,9.604e-05,9.604e-05,9.604e-05
14,180.428,0.34814,1.29433,0.1714,0.25524,0.50108,0.27934,0.16957,0.30685,1.13519,0.16278,9.571e-05,9.571e-05,9.571e-05
15,192.326,0.34169,1.03936,0.1593,0.22521,0.6086,0.24789,0.11345,0.52648,1.18228,0.33445,9.538e-05,9.538e-05,9.538e-05
16,204.431,0.33601,1.51038,0.15101,0.16879,0.52185,0.18619,0.11111,0.29039,1.26458,0.15712,9.505e-05,9.505e-05,9.505e-05
17,216.83,0.30927,1.17497,0.13746,0.23006,0.52258,0.24439,0.13885,0.35806,1.14319,0.20635,9.472e-05,9.472e-05,9.472e-05
18,228.941,0.30182,1.10994,0.14011,0.16603,0.63226,0.21303,0.11856,0.39879,1.27379,0.23312,9.439e-05,9.439e-05,9.439e-05
19,240.931,0.2642,1.49377,0.11278,0.20322,0.62473,0.26906,0.1865,0.29124,1.22003,0.15754,9.406e-05,9.406e-05,9.406e-05
20,253.021,0.30014,1.06572,0.13799,0.5015,0.67097,0.56524,0.32967,0.40602,0.91902,0.24646,9.373e-05,9.373e-05,9.373e-05
21,265.462,0.29097,0.99225,0.13246,0.30611,0.70968,0.43329,0.28926,0.34097,1.08717,0.19508,9.34e-05,9.34e-05,9.34e-05
22,277.551,0.30357,0.92455,0.14433,0.82504,0.85186,0.8783,0.59705,0.35728,0.64873,0.21015,9.307e-05,9.307e-05,9.307e-05
23,290.198,0.32595,0.59272,0.15799,0.86025,0.88695,0.89222,0.52142,0.44577,0.52746,0.29587,9.274e-05,9.274e-05,9.274e-05
24,302.45,0.32031,0.52171,0.15871,0.826,0.90861,0.89718,0.57873,0.36472,0.5172,0.22598,9.241e-05,9.241e-05,9.241e-05
25,314.611,0.31956,0.43793,0.15881,0.86261,0.93164,0.92323,0.56664,0.40485,0.47107,0.25216,9.208e-05,9.208e-05,9.208e-05
26,326.698,0.33203,0.40618,0.16356,0.88038,0.918,0.91073,0.56883,0.41931,0.47013,0.27521,9.175e-05,9.175e-05,9.175e-05
