epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2884,1.3494,1.1512,0.94469,0.00427,0.34194,0.0041,0.00093,1.38165,0.74819,1.17599,1.5e-05,1.5e-05,0.085015
2,33.2391,0.86327,1.07054,0.40261,0.00376,0.30108,0.00263,0.0006,1.27986,0.56739,1.00058,3.09992e-05,3.09992e-05,0.069031
3,45.5613,0.63823,1.27562,0.2883,0.00142,0.11398,0.00088,0.00018,1.46876,0.3859,1.26462,4.69954e-05,4.69954e-05,0.053047
4,57.275,0.44574,1.44418,0.19553,0.00433,0.34624,0.03684,0.0133,1.20413,0.8532,0.98627,6.2986e-05,6.2986e-05,0.037063
5,69.2014,0.47186,1.39343,0.18733,0.01194,0.95484,0.11887,0.08,0.39202,1.43972,0.21685,7.89688e-05,7.89688e-05,0.021079
6,81.1213,0.37148,1.41062,0.16002,0.04736,0.93978,0.10373,0.06981,0.3429,1.41312,0.19287,9.49414e-05,9.49414e-05,0.00509494
7,92.9525,0.31573,1.45605,0.14063,0.06276,0.84516,0.09772,0.06744,0.3435,1.34072,0.19851,9.99112e-05,9.99112e-05,9.99112e-05
8,104.507,0.29884,1.44724,0.13884,0.08884,0.68172,0.11684,0.07443,0.34993,1.24721,0.20222,9.98792e-05,9.98792e-05,9.98792e-05
9,116.156,0.3046,1.29465,0.13306,0.08472,0.65376,0.10631,0.07074,0.32227,1.23175,0.17997,9.98422e-05,9.98422e-05,9.98422e-05
10,127.83,0.29371,1.33656,0.12926,0.10163,0.52903,0.1227,0.07612,0.32905,1.18097,0.18833,9.98003e-05,9.98003e-05,9.98003e-05
11,139.475,0.27744,1.24438,0.1133,0.12359,0.46237,0.13547,0.08274,0.31903,1.18579,0.17472,9.97535e-05,9.97535e-05,9.97535e-05
12,151.399,0.28179,1.26832,0.12884,0.14796,0.47527,0.16533,0.09871,0.36213,1.0799,0.20567,9.97018e-05,9.97018e-05,9.97018e-05
13,163.73,0.28507,1.21933,0.12394,0.19643,0.49677,0.20864,0.12453,0.36106,1.03019,0.20159,9.96452e-05,9.96452e-05,9.96452e-05
14,175.919,0.28417,1.16786,0.1333,0.1953,0.49892,0.21834,0.11154,0.44188,1.02029,0.26851,9.95837e-05,9.95837e-05,9.95837e-05
15,187.769,0.28671,1.18155,0.12723,0.24729,0.57204,0.28814,0.15626,0.39711,0.9183,0.24411,9.95173e-05,9.95173e-05,9.95173e-05
