epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4585,1.3075,1.24977,0.91058,3e-05,0.00215,1e-05,0,2.15906,0.39927,5.97224,1.5e-05,1.5e-05,0.085015
2,32.8995,0.69261,1.2369,0.32297,0,0,0,0,1.98661,0.26048,6.87028,3.09992e-05,3.09992e-05,0.069031
3,44.7621,0.46666,1.45764,0.21863,3e-05,0.00215,2e-05,0,2.15012,0.22861,4.24102,4.69954e-05,4.69954e-05,0.053047
4,56.4536,0.44737,1.45597,0.19853,0.00094,0.07527,0.01607,0.00421,2.12609,0.32176,2.74854,6.2986e-05,6.2986e-05,0.037063
5,68.2536,0.39178,1.36079,0.17562,0.05585,0.75914,0.09982,0.06085,0.72949,1.15836,0.58379,7.89688e-05,7.89688e-05,0.021079
6,79.8588,0.34798,1.42699,0.15653,0.08967,0.61935,0.11267,0.07398,0.41238,1.26854,0.2519,9.49414e-05,9.49414e-05,0.00509494
7,91.9584,0.33274,1.37069,0.14698,0.10133,0.52043,0.12749,0.07729,0.37409,1.21114,0.22622,9.99112e-05,9.99112e-05,9.99112e-05
8,103.564,0.31651,1.33116,0.14645,0.11409,0.53333,0.13365,0.07978,0.37817,1.13713,0.22394,9.98792e-05,9.98792e-05,9.98792e-05
9,115.427,0.31609,1.24307,0.14375,0.12615,0.54409,0.15592,0.10045,0.32746,1.16339,0.18582,9.98422e-05,9.98422e-05,9.98422e-05
10,127.134,0.31139,1.25844,0.13732,0.20159,0.53118,0.23821,0.14667,0.38442,1.03847,0.22883,9.98003e-05,9.98003e-05,9.98003e-05
11,138.79,0.30308,1.23744,0.12358,0.26603,0.53005,0.32012,0.17031,0.43144,0.9647,0.26351,9.97535e-05,9.97535e-05,9.97535e-05
12,150.543,0.30794,1.19962,0.14876,0.31149,0.55914,0.38515,0.20987,0.43079,0.92661,0.26419,9.97018e-05,9.97018e-05,9.97018e-05
13,162.121,0.33299,1.12592,0.15741,0.25482,0.54839,0.3103,0.17433,0.42942,1.05471,0.25577,9.96452e-05,9.96452e-05,9.96452e-05
14,173.522,0.33092,1.17126,0.16377,0.3315,0.54624,0.34278,0.16014,0.53248,0.87928,0.34362,9.95837e-05,9.95837e-05,9.95837e-05
15,184.694,0.35278,1.21226,0.17105,0.25227,0.58065,0.28996,0.18419,0.35932,0.98124,0.20877,9.95173e-05,9.95173e-05,9.95173e-05
16,196.711,0.33338,1.08347,0.14909,0.30992,0.6,0.35681,0.19346,0.48022,0.87998,0.3026,9.9446e-05,9.9446e-05,9.9446e-05
17,207.833,0.31288,1.1927,0.14596,0.28205,0.63441,0.32061,0.21123,0.36797,0.95668,0.2164,9.93698e-05,9.93698e-05,9.93698e-05
18,219.451,0.32677,0.98906,0.15852,0.48069,0.64893,0.55792,0.31049,0.48841,0.75119,0.32729,9.92888e-05,9.92888e-05,9.92888e-05
19,231.444,0.32253,1.10474,0.15197,0.57896,0.70968,0.68682,0.45609,0.33231,0.79291,0.19199,9.92029e-05,9.92029e-05,9.92029e-05
20,243.289,0.3563,0.81354,0.17524,0.84941,0.8086,0.85757,0.42735,0.55097,0.53967,0.37723,9.91122e-05,9.91122e-05,9.91122e-05
21,254.575,0.35397,0.80513,0.17285,0.833,0.81525,0.85193,0.56462,0.37567,0.59072,0.23386,9.90166e-05,9.90166e-05,9.90166e-05
22,266.612,0.36623,0.53731,0.17903,0.84238,0.90108,0.88642,0.51955,0.46583,0.45851,0.30222,9.89163e-05,9.89163e-05,9.89163e-05
23,277.843,0.35558,0.4581,0.18235,0.84254,0.9206,0.90973,0.55304,0.4331,0.50622,0.27406,9.88111e-05,9.88111e-05,9.88111e-05
24,289.066,0.34481,0.4498,0.17232,0.88403,0.90161,0.9193,0.59725,0.38605,0.50081,0.24068,9.8701e-05,9.8701e-05,9.8701e-05
25,300.769,0.34121,0.42283,0.17364,0.86648,0.90968,0.9114,0.55564,0.42953,0.48019,0.27115,9.85862e-05,9.85862e-05,9.85862e-05
26,312.131,0.35536,0.43773,0.1814,0.87354,0.90614,0.92415,0.5733,0.41231,0.48667,0.25858,9.84667e-05,9.84667e-05,9.84667e-05
27,323.288,0.32431,0.42019,0.1658,0.91964,0.91063,0.9261,0.58278,0.40251,0.46167,0.25223,9.83423e-05,9.83423e-05,9.83423e-05
28,334.58,0.33815,0.41617,0.17975,0.90222,0.89296,0.90564,0.5585,0.42778,0.47372,0.27456,9.82132e-05,9.82132e-05,9.82132e-05
29,346.005,0.33079,0.41442,0.1626,0.90068,0.87756,0.90309,0.53603,0.46822,0.46413,0.30474,9.80794e-05,9.80794e-05,9.80794e-05
