epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3715,1.27596,1.18279,0.78634,0.00196,0.15699,0.00744,0.00144,1.59376,0.75286,1.68313,0.00015,0.00015,0.08515
2,30.9897,0.69764,1.18647,0.34925,0,0,0,0,1.82477,0.25902,5.20348,0.000308977,0.000308977,0.069309
3,43.3127,0.35783,1.38485,0.16431,0.07888,0.2086,0.0427,0.01592,1.19176,0.68578,0.87652,0.000466898,0.000466898,0.0534669
4,55.3267,0.34369,1.19199,0.15661,0.12361,0.36559,0.10228,0.05618,0.68715,1.0586,0.38623,0.000623763,0.000623763,0.0376238
5,67.2634,0.28178,1.17773,0.12416,0.15673,0.35054,0.15504,0.09684,0.45585,1.51206,0.27919,0.000779572,0.000779572,0.0217796
6,79.3035,0.2931,1.11084,0.12277,0.14395,0.50538,0.15997,0.10858,0.357,1.13631,0.20275,0.000934325,0.000934325,0.00593432
7,91.395,0.24368,1.12605,0.10374,0.2334,0.5179,0.24335,0.16377,0.27219,1.08827,0.15095,0.0009802,0.0009802,0.0009802
8,103.391,0.22949,1.12815,0.10149,0.18839,0.52115,0.19087,0.1166,0.30573,1.12428,0.1652,0.0009769,0.0009769,0.0009769
9,115.127,0.21686,1.13356,0.09111,0.18293,0.54624,0.20242,0.14317,0.28189,1.13308,0.15632,0.0009736,0.0009736,0.0009736
10,126.871,0.24632,1.13334,0.10373,0.19376,0.56774,0.25196,0.17652,0.29028,1.16995,0.16698,0.0009703,0.0009703,0.0009703
11,139.522,0.23051,1.0365,0.09949,0.31675,0.49251,0.34802,0.21391,0.34244,0.98956,0.21814,0.000967,0.000967,0.000967
12,151.563,0.21769,1.00068,0.09919,0.34743,0.62581,0.43283,0.30281,0.328,0.92814,0.18823,0.0009637,0.0009637,0.0009637
13,163.845,0.28565,0.86576,0.12622,0.31352,0.60215,0.34405,0.21409,0.40014,0.87623,0.22433,0.0009604,0.0009604,0.0009604
14,175.462,0.26835,0.87519,0.11759,0.32416,0.69032,0.39699,0.28534,0.36532,1.25718,0.22863,0.0009571,0.0009571,0.0009571
15,187.098,0.22599,1.05543,0.09581,0.33578,0.87312,0.37133,0.2575,0.33376,0.87301,0.18632,0.0009538,0.0009538,0.0009538
