epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1179,0.68338,2.10847,0.34535,0.01146,0.24946,0.01443,0.00415,0.97859,0.85719,0.52713,0.00075,0.00075,0.08575
2,36.9163,0.63209,1.04667,0.2733,0.37258,0.36523,0.29114,0.1609,0.55446,1.0874,0.31607,0.00154991,0.00154991,0.0705499
3,56.3754,0.79793,0.64007,0.33092,0.63085,0.59903,0.58764,0.24515,0.69407,0.66527,0.32157,0.00234943,0.00234943,0.0553494
4,76.547,0.72447,0.47867,0.27729,0.77119,0.71031,0.73075,0.24051,0.77934,0.49929,0.36975,0.00314827,0.00314827,0.0401483
5,88.0903,0.70487,0.45919,0.2827,0.92212,0.89121,0.94369,0.60258,0.39613,0.46737,0.20054,0.00394614,0.00394614,0.0249461
6,99.6932,0.56721,0.43592,0.20481,0.90245,0.90538,0.92748,0.53875,0.46946,0.44003,0.22276,0.00474275,0.00474275,0.00974275
7,111.254,0.42472,0.41419,0.15571,0.9248,0.9256,0.95809,0.53055,0.46342,0.46039,0.21638,0.00498902,0.00498902,0.00498902
8,122.497,0.35055,0.38113,0.13045,0.92136,0.92258,0.96838,0.73049,0.2792,0.38529,0.14946,0.00498505,0.00498505,0.00498505
9,134.49,0.2935,0.35211,0.11033,0.93755,0.93628,0.97268,0.74308,0.27606,0.36185,0.15228,0.00498048,0.00498048,0.00498048
10,146.142,0.26995,0.33816,0.10271,0.93329,0.92688,0.97033,0.76633,0.25609,0.35948,0.14824,0.00497531,0.00497531,0.00497531
11,158.171,0.26606,0.33133,0.09818,0.94683,0.91906,0.9731,0.75134,0.27427,0.35152,0.1638,0.00496953,0.00496953,0.00496953
12,169.741,0.22103,0.30208,0.08653,0.92205,0.95484,0.97432,0.72494,0.30001,0.38014,0.16974,0.00496315,0.00496315,0.00496315
13,181.379,0.24792,0.31995,0.09548,0.91759,0.96989,0.97792,0.76264,0.26744,0.34631,0.14597,0.00495616,0.00495616,0.00495616
14,192.861,0.22927,0.30503,0.08668,0.94406,0.95269,0.98288,0.72838,0.29732,0.36932,0.16348,0.00494858,0.00494858,0.00494858
15,204.419,0.27541,0.33578,0.09631,0.9476,0.94194,0.97701,0.71638,0.30527,0.38445,0.15815,0.00494039,0.00494039,0.00494039
16,215.827,0.23364,0.30668,0.085,0.93844,0.96129,0.98086,0.71561,0.30717,0.39198,0.15394,0.00493162,0.00493162,0.00493162
17,227.159,0.2589,0.32468,0.0905,0.96651,0.92688,0.97493,0.68018,0.33731,0.40677,0.17199,0.00492224,0.00492224,0.00492224
18,238.583,0.28223,0.3323,0.09383,0.95828,0.93763,0.97982,0.77686,0.2452,0.33779,0.13818,0.00491228,0.00491228,0.00491228
19,250.325,0.23007,0.30257,0.08037,0.94818,0.95484,0.98226,0.77837,0.24323,0.34036,0.13739,0.00490173,0.00490173,0.00490173
20,263.299,0.21525,0.29366,0.07956,0.95546,0.94624,0.97775,0.70288,0.33096,0.39666,0.17415,0.00489059,0.00489059,0.00489059
21,274.776,0.2224,0.29769,0.07769,0.93889,0.92473,0.96958,0.72946,0.30387,0.37434,0.16777,0.00487886,0.00487886,0.00487886
22,286.599,0.25623,0.3172,0.08245,0.95582,0.93548,0.97625,0.6914,0.34125,0.40693,0.17351,0.00486656,0.00486656,0.00486656
23,298.292,0.26719,0.32883,0.08608,0.95385,0.93347,0.97817,0.73635,0.29086,0.37234,0.15178,0.00485368,0.00485368,0.00485368
24,309.664,0.2432,0.31047,0.08132,0.94336,0.94409,0.97513,0.67238,0.35812,0.41511,0.18714,0.00484022,0.00484022,0.00484022
25,321.181,0.24252,0.31021,0.08074,0.94389,0.94056,0.97317,0.76522,0.26973,0.34019,0.14846,0.0048262,0.0048262,0.0048262
26,332.774,0.20932,0.28991,0.06972,0.94181,0.94194,0.97472,0.76868,0.25882,0.34834,0.14817,0.0048116,0.0048116,0.0048116
27,344.092,0.17501,0.25921,0.06121,0.94992,0.93827,0.97772,0.7339,0.28786,0.37994,0.15873,0.00479644,0.00479644,0.00479644
28,355.715,0.20418,0.28615,0.07045,0.95229,0.94424,0.97724,0.74472,0.28547,0.35716,0.15382,0.00478072,0.00478072,0.00478072
29,367.167,0.19458,0.28063,0.071,0.94379,0.93888,0.97418,0.73813,0.29206,0.36377,0.15485,0.00476445,0.00476445,0.00476445
30,378.443,0.23754,0.30795,0.07908,0.958,0.93191,0.9772,0.77808,0.25475,0.33605,0.1447,0.00474762,0.00474762,0.00474762
31,390.001,0.19213,0.27438,0.06483,0.9625,0.93845,0.97903,0.77672,0.25214,0.34719,0.14167,0.00473024,0.00473024,0.00473024
32,401.375,0.18417,0.27003,0.06833,0.96356,0.93333,0.98283,0.76455,0.26835,0.35029,0.14159,0.00471232,0.00471232,0.00471232
33,412.858,0.16323,0.24871,0.055,0.96249,0.93548,0.98183,0.76199,0.26147,0.36181,0.13766,0.00469386,0.00469386,0.00469386
34,424.296,0.21919,0.29675,0.07219,0.95095,0.93763,0.97332,0.75649,0.27134,0.3505,0.1451,0.00467486,0.00467486,0.00467486
35,435.909,0.23813,0.30626,0.07532,0.95064,0.93978,0.97127,0.74905,0.27927,0.3586,0.14677,0.00465534,0.00465534,0.00465534
36,447.093,0.21382,0.29229,0.06851,0.9605,0.94132,0.97791,0.76315,0.25898,0.35009,0.14111,0.00463528,0.00463528,0.00463528
37,458.636,0.21973,0.29352,0.0694,0.95493,0.95682,0.98106,0.77948,0.25639,0.33148,0.14353,0.00461471,0.00461471,0.00461471
38,470.473,0.21114,0.28751,0.06848,0.94389,0.94062,0.97,0.67168,0.36573,0.42229,0.17962,0.00459362,0.00459362,0.00459362
39,482.207,0.21248,0.29105,0.07104,0.94707,0.93118,0.96579,0.76164,0.26861,0.36655,0.14706,0.00457202,0.00457202,0.00457202
40,498.051,0.19775,0.27811,0.06346,0.93297,0.9579,0.97575,0.7326,0.29927,0.38983,0.16059,0.00454992,0.00454992,0.00454992
41,509.891,0.21853,0.29502,0.06545,0.95241,0.94693,0.97623,0.75222,0.2805,0.36249,0.15167,0.00452732,0.00452732,0.00452732
42,521.567,0.19399,0.27609,0.05974,0.95803,0.94194,0.97702,0.73899,0.29342,0.37174,0.15559,0.00450422,0.00450422,0.00450422
43,533.353,0.21991,0.29161,0.06876,0.95903,0.93978,0.97874,0.77443,0.2509,0.35318,0.14074,0.00448063,0.00448063,0.00448063
44,545.052,0.19346,0.27538,0.06219,0.95602,0.95484,0.9831,0.77368,0.25757,0.33831,0.1429,0.00445657,0.00445657,0.00445657
45,556.63,0.17787,0.26229,0.06063,0.95647,0.94516,0.98188,0.75085,0.27991,0.3588,0.15051,0.00443202,0.00443202,0.00443202
46,568.381,0.17752,0.26068,0.05705,0.9458,0.93548,0.97437,0.7657,0.2608,0.35214,0.14643,0.004407,0.004407,0.004407
47,580.042,0.15991,0.24619,0.05287,0.94932,0.93763,0.9789,0.77349,0.25821,0.35099,0.14169,0.00438152,0.00438152,0.00438152
48,592.14,0.1601,0.24862,0.05123,0.9546,0.94953,0.98042,0.73972,0.28894,0.37694,0.15068,0.00435559,0.00435559,0.00435559
49,604.435,0.19591,0.27529,0.06123,0.95387,0.94624,0.97989,0.72865,0.29837,0.39612,0.15299,0.0043292,0.0043292,0.0043292
50,616.707,0.19734,0.2789,0.06555,0.95844,0.94222,0.97548,0.68899,0.3401,0.43161,0.16814,0.00430236,0.00430236,0.00430236
51,628.435,0.22082,0.29407,0.06571,0.9324,0.95914,0.97271,0.72538,0.30086,0.37779,0.1529,0.00427509,0.00427509,0.00427509
52,640.028,0.20306,0.28255,0.06284,0.94128,0.96531,0.97888,0.70107,0.33386,0.40288,0.16237,0.00424738,0.00424738,0.00424738
53,651.503,0.17263,0.25329,0.05352,0.95103,0.9605,0.97734,0.68683,0.34148,0.44157,0.16189,0.00421925,0.00421925,0.00421925
