epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2954,0.71918,2.11816,0.367,0.02032,0.13763,0.01758,0.00767,0.79684,1.05549,0.44551,0.00075,0.00075,0.08575
2,31.7987,0.64613,1.06568,0.28902,0.31981,0.32473,0.2256,0.06915,0.70237,0.95727,0.34766,0.00154488,0.00154488,0.0705449
3,44.0707,0.79522,0.67798,0.33184,0.75983,0.6129,0.59866,0.2035,0.84023,0.5241,0.38494,0.00233449,0.00233449,0.0553345
4,56.4462,0.78163,0.47771,0.31491,0.7692,0.77849,0.72522,0.23649,0.75855,0.4918,0.33566,0.00311882,0.00311882,0.0401188
5,68.1425,0.67177,0.453,0.25539,0.76113,0.76559,0.72918,0.33997,0.69945,0.45683,0.31394,0.00389786,0.00389786,0.0248979
6,80.2037,0.52871,0.42944,0.19694,0.92332,0.93216,0.94913,0.61983,0.39536,0.40492,0.18828,0.00467163,0.00467163,0.00967163
7,92.1056,0.33017,0.38297,0.13424,0.93768,0.93832,0.97825,0.73206,0.29208,0.37405,0.15564,0.004901,0.004901,0.004901
8,103.97,0.28896,0.35871,0.12045,0.92936,0.93373,0.96331,0.70498,0.31216,0.38726,0.16174,0.0048845,0.0048845,0.0048845
9,115.618,0.29857,0.36332,0.11953,0.91552,0.95558,0.97953,0.72692,0.2845,0.37482,0.14919,0.004868,0.004868,0.004868
10,126.953,0.27872,0.34458,0.11114,0.94465,0.91753,0.97581,0.75813,0.26435,0.34245,0.14444,0.0048515,0.0048515,0.0048515
11,138.684,0.23359,0.32141,0.09754,0.92495,0.94839,0.98051,0.74693,0.27623,0.3514,0.15675,0.004835,0.004835,0.004835
12,150.08,0.25363,0.32691,0.10339,0.92353,0.93501,0.9781,0.61699,0.39899,0.43438,0.189,0.0048185,0.0048185,0.0048185
13,161.694,0.30763,0.34942,0.11717,0.92829,0.94646,0.97868,0.75379,0.26414,0.35133,0.14058,0.004802,0.004802,0.004802
14,173.093,0.26336,0.3331,0.10498,0.94982,0.93623,0.98341,0.75977,0.26643,0.3474,0.14314,0.0047855,0.0047855,0.0047855
15,184.676,0.27368,0.33404,0.10638,0.95294,0.92688,0.98238,0.76784,0.25424,0.3415,0.13708,0.004769,0.004769,0.004769
16,197.968,0.25537,0.32191,0.09939,0.94736,0.92883,0.97852,0.75944,0.26341,0.34576,0.14426,0.0047525,0.0047525,0.0047525
17,209.327,0.24181,0.31951,0.09963,0.94804,0.94409,0.98386,0.77396,0.24943,0.34231,0.14296,0.004736,0.004736,0.004736
18,221.223,0.24876,0.31789,0.09641,0.9333,0.9328,0.97723,0.75378,0.26634,0.36592,0.14141,0.0047195,0.0047195,0.0047195
19,232.793,0.25192,0.31854,0.09821,0.93975,0.93118,0.98173,0.69079,0.34076,0.39958,0.17807,0.004703,0.004703,0.004703
20,244.159,0.23376,0.30829,0.09346,0.94502,0.94409,0.98427,0.72633,0.29711,0.38304,0.15282,0.0046865,0.0046865,0.0046865
21,255.646,0.22622,0.3084,0.09038,0.93326,0.96228,0.9799,0.77457,0.25234,0.33138,0.13425,0.00467,0.00467,0.00467
