epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3628,1.31205,1.33825,0.91094,0.00293,0.23441,0.00216,0.0004,1.3989,0.45164,1.57195,1.5e-05,1.5e-05,0.085015
2,31.6327,0.79328,1.18107,0.38611,0.0064,0.51183,0.00627,0.0016,1.11972,0.67847,0.96534,3.09992e-05,3.09992e-05,0.069031
3,44.6556,0.62392,1.29088,0.28806,0.00202,0.16129,0.00184,0.00029,1.5454,0.42625,1.43875,4.69949e-05,4.69949e-05,0.053047
4,56.4017,0.45612,1.40028,0.20031,0.00677,0.54194,0.04622,0.02116,1.08287,0.96428,0.97166,6.29846e-05,6.29846e-05,0.037063
5,68.692,0.38551,1.5022,0.17685,0.01067,0.85376,0.11153,0.06866,0.5379,1.29557,0.32794,7.89657e-05,7.89657e-05,0.021079
6,81.1347,0.36057,1.43243,0.16249,0.0359,0.93333,0.13209,0.08841,0.36179,1.40604,0.20561,9.49356e-05,9.49356e-05,0.00509494
7,93.1395,0.31173,1.45478,0.14326,0.06137,0.86452,0.11166,0.07757,0.32167,1.38689,0.17454,9.99023e-05,9.99023e-05,9.99023e-05
8,104.776,0.29131,1.47585,0.13735,0.08625,0.73763,0.12792,0.08463,0.31344,1.31734,0.17128,9.98671e-05,9.98671e-05,9.98671e-05
9,116.478,0.30089,1.31501,0.13433,0.09216,0.63011,0.11953,0.08368,0.30544,1.26554,0.17247,9.98264e-05,9.98264e-05,9.98264e-05
10,128.047,0.29038,1.33994,0.12949,0.1235,0.48387,0.13952,0.09469,0.32089,1.19194,0.18406,9.97803e-05,9.97803e-05,9.97803e-05
11,140.012,0.2724,1.25772,0.1087,0.14246,0.45376,0.15409,0.0966,0.38562,1.11655,0.22858,9.97288e-05,9.97288e-05,9.97288e-05
12,152.294,0.2802,1.23546,0.13147,0.20942,0.44516,0.21598,0.13621,0.39448,1.05303,0.23928,9.9672e-05,9.9672e-05,9.9672e-05
13,164.357,0.31721,1.16568,0.1459,0.27261,0.49247,0.27799,0.18227,0.30954,1.05797,0.1704,9.96097e-05,9.96097e-05,9.96097e-05
14,177.17,0.33736,1.07478,0.16727,0.21347,0.52043,0.21977,0.13373,0.39805,1.07507,0.23469,9.9542e-05,9.9542e-05,9.9542e-05
15,189.25,0.35889,1.16717,0.16818,0.25301,0.47527,0.25046,0.13463,0.42577,0.99858,0.25245,9.9469e-05,9.9469e-05,9.9469e-05
16,200.754,0.33136,1.01604,0.15095,0.27282,0.58413,0.28966,0.19037,0.36854,0.98992,0.21902,9.93906e-05,9.93906e-05,9.93906e-05
17,212.948,0.31673,1.04872,0.14988,0.3202,0.57419,0.3339,0.21001,0.36648,0.90577,0.21193,9.93068e-05,9.93068e-05,9.93068e-05
18,225.178,0.33152,0.97827,0.15888,0.43745,0.63441,0.50465,0.33208,0.38173,0.87781,0.23779,9.92177e-05,9.92177e-05,9.92177e-05
19,237.375,0.31132,0.89584,0.14609,0.63498,0.62151,0.68658,0.41234,0.4666,0.73014,0.2939,9.91232e-05,9.91232e-05,9.91232e-05
20,249.243,0.33303,0.64042,0.16552,0.81783,0.83226,0.86069,0.54898,0.4019,0.58264,0.25525,9.90234e-05,9.90234e-05,9.90234e-05
21,261.533,0.31208,0.5016,0.1492,0.858,0.84462,0.82992,0.49359,0.46565,0.51834,0.32016,9.89183e-05,9.89183e-05,9.89183e-05
22,273.188,0.33159,0.44371,0.17022,0.88712,0.86192,0.87356,0.57889,0.39395,0.49298,0.24973,9.88079e-05,9.88079e-05,9.88079e-05
23,285.36,0.32292,0.41487,0.15824,0.91453,0.87097,0.9048,0.53297,0.45037,0.46756,0.30227,9.86922e-05,9.86922e-05,9.86922e-05
24,297.094,0.31928,0.40612,0.16217,0.88235,0.91936,0.93229,0.60682,0.38351,0.47719,0.24163,9.85711e-05,9.85711e-05,9.85711e-05
25,309.278,0.31963,0.40944,0.15987,0.89925,0.90968,0.90349,0.55934,0.4396,0.45469,0.29797,9.84449e-05,9.84449e-05,9.84449e-05
26,320.907,0.31758,0.40363,0.15936,0.88651,0.92396,0.92304,0.58903,0.40073,0.49251,0.25957,9.83133e-05,9.83133e-05,9.83133e-05
27,332.624,0.30484,0.40156,0.15058,0.88603,0.90281,0.9101,0.56602,0.4347,0.45058,0.30256,9.81765e-05,9.81765e-05,9.81765e-05
28,344.594,0.32249,0.39048,0.1631,0.90945,0.9072,0.92524,0.58081,0.42442,0.46228,0.28559,9.80345e-05,9.80345e-05,9.80345e-05
29,356.228,0.30209,0.39296,0.14914,0.86901,0.91828,0.90078,0.5651,0.41967,0.50467,0.29019,9.78873e-05,9.78873e-05,9.78873e-05
30,367.752,0.30033,0.39058,0.15387,0.9036,0.87527,0.89438,0.58142,0.40951,0.4622,0.27124,9.77349e-05,9.77349e-05,9.77349e-05
31,379.579,0.29975,0.37997,0.15136,0.90837,0.90538,0.93558,0.61072,0.38899,0.46722,0.25294,9.75773e-05,9.75773e-05,9.75773e-05
32,391.959,0.29302,0.3867,0.14352,0.92254,0.89677,0.93817,0.67887,0.3229,0.43009,0.19954,9.74145e-05,9.74145e-05,9.74145e-05
33,404.136,0.29637,0.38272,0.14742,0.93316,0.89032,0.92257,0.61537,0.38554,0.46099,0.24958,9.72466e-05,9.72466e-05,9.72466e-05
34,415.8,0.28694,0.37909,0.13461,0.8945,0.87097,0.9032,0.58068,0.4282,0.49295,0.28233,9.70736e-05,9.70736e-05,9.70736e-05
35,427.419,0.29136,0.37952,0.14488,0.90734,0.88441,0.9114,0.61774,0.38787,0.4634,0.25477,9.68955e-05,9.68955e-05,9.68955e-05
36,438.994,0.29459,0.37614,0.14379,0.90203,0.88172,0.90625,0.57634,0.43268,0.47476,0.29383,9.67122e-05,9.67122e-05,9.67122e-05
37,450.48,0.29447,0.37855,0.1433,0.91137,0.89032,0.92335,0.62228,0.39547,0.45447,0.25364,9.65239e-05,9.65239e-05,9.65239e-05
38,462.261,0.28888,0.37438,0.1428,0.9221,0.89032,0.92273,0.61315,0.41012,0.4277,0.2716,9.63306e-05,9.63306e-05,9.63306e-05
39,473.777,0.27597,0.36108,0.13674,0.9298,0.91398,0.93588,0.65539,0.35988,0.43044,0.2275,9.61322e-05,9.61322e-05,9.61322e-05
40,485.355,0.27711,0.36152,0.13206,0.90125,0.90753,0.91733,0.61982,0.38565,0.46517,0.24119,9.59289e-05,9.59289e-05,9.59289e-05
41,497.035,0.28085,0.3768,0.13838,0.92126,0.87312,0.90137,0.57401,0.42493,0.47007,0.28446,9.57205e-05,9.57205e-05,9.57205e-05
42,508.548,0.27883,0.36501,0.13208,0.88999,0.88387,0.9042,0.54049,0.47506,0.50659,0.32674,9.55072e-05,9.55072e-05,9.55072e-05
43,520.341,0.27924,0.37023,0.14192,0.91704,0.90968,0.93658,0.64904,0.36139,0.44157,0.22433,9.52889e-05,9.52889e-05,9.52889e-05
44,531.98,0.26586,0.35377,0.12805,0.90687,0.87742,0.91315,0.59806,0.41837,0.46112,0.27866,9.50658e-05,9.50658e-05,9.50658e-05
45,543.536,0.26661,0.36904,0.12301,0.92741,0.84946,0.91472,0.57069,0.45185,0.4801,0.30753,9.48377e-05,9.48377e-05,9.48377e-05
46,555.203,0.26058,0.36082,0.12039,0.93395,0.91227,0.93408,0.62424,0.38708,0.46754,0.24673,9.46048e-05,9.46048e-05,9.46048e-05
47,567.343,0.2588,0.35004,0.12624,0.91959,0.8854,0.90757,0.58435,0.42941,0.45663,0.29656,9.43671e-05,9.43671e-05,9.43671e-05
48,579.156,0.26196,0.35773,0.1238,0.93003,0.91464,0.93575,0.64509,0.37322,0.43548,0.24044,9.41245e-05,9.41245e-05,9.41245e-05
49,590.775,0.25715,0.35102,0.12394,0.933,0.89834,0.9214,0.60813,0.40313,0.46761,0.26809,9.38772e-05,9.38772e-05,9.38772e-05
50,602.514,0.26176,0.35265,0.13096,0.9199,0.89247,0.91506,0.61614,0.39594,0.4653,0.26043,9.36251e-05,9.36251e-05,9.36251e-05
51,614.141,0.25476,0.35688,0.11739,0.93899,0.89677,0.92283,0.59433,0.41807,0.47681,0.27706,9.33683e-05,9.33683e-05,9.33683e-05
52,625.874,0.24842,0.35053,0.11841,0.92746,0.9073,0.93819,0.64127,0.38087,0.42796,0.24836,9.31067e-05,9.31067e-05,9.31067e-05
53,637.573,0.25317,0.34453,0.11954,0.92342,0.89892,0.94009,0.66917,0.33882,0.4431,0.21002,9.28405e-05,9.28405e-05,9.28405e-05
54,649.747,0.2563,0.3371,0.12551,0.94558,0.89677,0.92918,0.66819,0.33871,0.44126,0.20928,9.25697e-05,9.25697e-05,9.25697e-05
55,661.357,0.25921,0.34785,0.12411,0.93486,0.89677,0.94619,0.67204,0.33261,0.44876,0.19872,9.22942e-05,9.22942e-05,9.22942e-05
56,673.072,0.25601,0.34523,0.12267,0.93605,0.87527,0.92612,0.64139,0.37016,0.44133,0.23517,9.20142e-05,9.20142e-05,9.20142e-05
57,685.072,0.25339,0.34011,0.11681,0.90761,0.88728,0.92345,0.60019,0.40811,0.47309,0.2636,9.17296e-05,9.17296e-05,9.17296e-05
58,696.788,0.24884,0.3498,0.12114,0.92296,0.90753,0.94099,0.66068,0.33835,0.43361,0.20483,9.14405e-05,9.14405e-05,9.14405e-05
59,708.49,0.24624,0.33463,0.11687,0.9226,0.89722,0.947,0.66635,0.34784,0.43586,0.21489,9.11469e-05,9.11469e-05,9.11469e-05
60,720.325,0.24563,0.34023,0.11996,0.91947,0.90753,0.94615,0.62594,0.38546,0.45883,0.2509,9.08488e-05,9.08488e-05,9.08488e-05
61,731.727,0.23772,0.33211,0.11007,0.93985,0.90729,0.95036,0.6279,0.3865,0.46342,0.24602,9.05463e-05,9.05463e-05,9.05463e-05
62,743.172,0.24325,0.33291,0.11622,0.95457,0.90377,0.94635,0.63155,0.38489,0.42425,0.24966,9.02395e-05,9.02395e-05,9.02395e-05
63,754.668,0.24085,0.34424,0.1138,0.91679,0.92412,0.95241,0.64404,0.37,0.46428,0.23835,8.99282e-05,8.99282e-05,8.99282e-05
64,766.507,0.24304,0.333,0.11411,0.94,0.90753,0.95394,0.63881,0.38087,0.42743,0.24979,8.96127e-05,8.96127e-05,8.96127e-05
65,778.022,0.24737,0.3334,0.12304,0.93723,0.89677,0.94938,0.64254,0.37578,0.43404,0.24561,8.92928e-05,8.92928e-05,8.92928e-05
66,789.703,0.23523,0.32746,0.11425,0.9311,0.90968,0.94697,0.65604,0.36103,0.46601,0.22357,8.89687e-05,8.89687e-05,8.89687e-05
67,801.848,0.24112,0.33318,0.11437,0.9136,0.92258,0.94748,0.64693,0.37022,0.41753,0.23698,8.86404e-05,8.86404e-05,8.86404e-05
68,813.386,0.23106,0.31778,0.11282,0.92636,0.92903,0.94848,0.59964,0.40765,0.48828,0.26589,8.83079e-05,8.83079e-05,8.83079e-05
69,824.939,0.23815,0.32142,0.11479,0.93902,0.90968,0.95112,0.62744,0.38946,0.45239,0.24639,8.79713e-05,8.79713e-05,8.79713e-05
70,836.72,0.23598,0.3223,0.11142,0.92418,0.91613,0.94223,0.63314,0.3831,0.44831,0.24124,8.76305e-05,8.76305e-05,8.76305e-05
71,848.465,0.23151,0.31282,0.11384,0.92711,0.87957,0.91799,0.616,0.40461,0.45339,0.26903,8.72857e-05,8.72857e-05,8.72857e-05
72,860.159,0.24297,0.3277,0.12536,0.941,0.89181,0.93254,0.64739,0.36766,0.45589,0.22866,8.69368e-05,8.69368e-05,8.69368e-05
73,871.746,0.23152,0.32863,0.10549,0.95541,0.87556,0.9245,0.64342,0.36639,0.45065,0.23419,8.65839e-05,8.65839e-05,8.65839e-05
74,883.483,0.22571,0.32626,0.10587,0.95329,0.87782,0.93687,0.64293,0.37592,0.44624,0.24846,8.62271e-05,8.62271e-05,8.62271e-05
75,895.04,0.22495,0.31603,0.10776,0.94799,0.90162,0.94666,0.64584,0.37183,0.43926,0.24444,8.58664e-05,8.58664e-05,8.58664e-05
76,906.827,0.23162,0.32087,0.11164,0.94187,0.90599,0.95047,0.65269,0.35734,0.4476,0.22775,8.55018e-05,8.55018e-05,8.55018e-05
77,921.086,0.23317,0.31934,0.10905,0.9427,0.89032,0.94316,0.68011,0.33545,0.41529,0.21939,8.51333e-05,8.51333e-05,8.51333e-05
78,934.021,0.23488,0.31871,0.11483,0.93174,0.88068,0.93467,0.63698,0.37753,0.44395,0.24982,8.47611e-05,8.47611e-05,8.47611e-05
79,945.598,0.2173,0.30928,0.10081,0.92777,0.91157,0.94684,0.66261,0.35494,0.43167,0.22547,8.43851e-05,8.43851e-05,8.43851e-05
80,957.617,0.22574,0.31311,0.10894,0.93343,0.90968,0.94351,0.62986,0.39225,0.46901,0.25788,8.40054e-05,8.40054e-05,8.40054e-05
81,969.353,0.22182,0.31164,0.10856,0.93793,0.90323,0.93967,0.64047,0.37445,0.45032,0.24753,8.3622e-05,8.3622e-05,8.3622e-05
82,980.974,0.2136,0.31716,0.10165,0.91894,0.92043,0.93916,0.64792,0.36598,0.45291,0.24203,8.32349e-05,8.32349e-05,8.32349e-05
83,993.028,0.22364,0.31432,0.10235,0.93357,0.93978,0.95776,0.657,0.35967,0.43506,0.2308,8.28443e-05,8.28443e-05,8.28443e-05
84,1005.69,0.22152,0.30194,0.10163,0.93228,0.91772,0.95337,0.6606,0.3512,0.45726,0.2214,8.24502e-05,8.24502e-05,8.24502e-05
85,1017.52,0.21455,0.30989,0.09807,0.94043,0.92688,0.95517,0.67231,0.34451,0.42907,0.21775,8.20525e-05,8.20525e-05,8.20525e-05
