epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1125,0.81235,2.25285,0.40974,0.02122,0.52258,0.02388,0.01049,0.67955,1.1573,0.4426,0.00075,0.00075,0.08575
2,33.4748,0.6947,1.14468,0.32083,0.18977,0.26667,0.13874,0.07397,0.5369,1.19125,0.31522,0.00154996,0.00154996,0.07055
3,46.016,0.82684,0.78867,0.34978,0.69746,0.63656,0.69326,0.33323,0.57658,0.77744,0.322,0.00234974,0.00234974,0.0553497
4,58.967,0.84681,0.55788,0.34509,0.82385,0.71183,0.75436,0.27285,0.73025,0.54506,0.38872,0.00314923,0.00314923,0.0401492
5,70.5992,0.9478,0.46993,0.36921,0.90739,0.85161,0.90583,0.47844,0.5207,0.52255,0.32895,0.00394828,0.00394828,0.0249483
6,82.5181,0.65014,0.4861,0.27092,0.92026,0.89344,0.94645,0.46035,0.54705,0.47035,0.30059,0.00474678,0.00474678,0.00974678
7,94.2277,0.53923,0.45871,0.2306,0.93362,0.90737,0.95943,0.56416,0.43898,0.4322,0.27718,0.00499512,0.00499512,0.00499512
8,106.261,0.44986,0.43588,0.21355,0.92285,0.92607,0.95896,0.60144,0.4111,0.42245,0.26285,0.00499335,0.00499335,0.00499335
9,118.039,0.43236,0.41794,0.19897,0.91426,0.91721,0.95322,0.57622,0.42616,0.43542,0.27255,0.00499132,0.00499132,0.00499132
10,129.538,0.43192,0.43125,0.19877,0.95022,0.90314,0.96749,0.58521,0.42113,0.41909,0.27327,0.00498902,0.00498902,0.00498902
11,141.272,0.40064,0.41766,0.17013,0.94724,0.92473,0.96959,0.56333,0.45317,0.43726,0.30093,0.00498644,0.00498644,0.00498644
12,152.953,0.41287,0.41618,0.19506,0.94489,0.91613,0.96516,0.60086,0.4083,0.41219,0.26799,0.0049836,0.0049836,0.0049836
13,164.506,0.3871,0.41356,0.17762,0.91276,0.93548,0.96971,0.65401,0.35768,0.39519,0.21745,0.00498048,0.00498048,0.00498048
14,177.448,0.388,0.41068,0.18434,0.96532,0.87527,0.95245,0.57529,0.43906,0.43088,0.28375,0.0049771,0.0049771,0.0049771
15,189.433,0.40938,0.41661,0.18358,0.92766,0.89032,0.94424,0.59867,0.4241,0.41796,0.2507,0.00497345,0.00497345,0.00497345
16,200.974,0.40631,0.40923,0.17776,0.94198,0.90323,0.95822,0.62129,0.3966,0.42585,0.26138,0.00496953,0.00496953,0.00496953
17,212.796,0.41225,0.40678,0.17965,0.93773,0.88817,0.94672,0.56687,0.4559,0.43198,0.28504,0.00496534,0.00496534,0.00496534
18,224.408,0.39537,0.39418,0.1831,0.95393,0.87312,0.95243,0.58764,0.42712,0.42451,0.275,0.00496088,0.00496088,0.00496088
19,235.959,0.41008,0.41342,0.17119,0.96598,0.88387,0.95488,0.60681,0.41373,0.42376,0.26225,0.00495616,0.00495616,0.00495616
20,247.271,0.46215,0.42166,0.18939,0.94725,0.84955,0.91361,0.5151,0.51512,0.43672,0.32239,0.00495117,0.00495117,0.00495117
21,258.698,0.45323,0.41214,0.18613,0.9651,0.89201,0.95047,0.589,0.43489,0.42072,0.26796,0.00494592,0.00494592,0.00494592
22,270.275,0.43231,0.41024,0.18478,0.94318,0.8925,0.94687,0.55097,0.46568,0.44086,0.31726,0.00494039,0.00494039,0.00494039
23,281.91,0.42295,0.39974,0.17807,0.94035,0.91544,0.95701,0.6034,0.41596,0.41455,0.26616,0.00493461,0.00493461,0.00493461
24,293.567,0.38401,0.39129,0.17077,0.94727,0.91613,0.97152,0.65086,0.36977,0.40222,0.22601,0.00492856,0.00492856,0.00492856
25,305.214,0.40293,0.40129,0.17199,0.95462,0.90477,0.96895,0.59411,0.42889,0.42445,0.26229,0.00492224,0.00492224,0.00492224
26,316.741,0.41403,0.40069,0.17636,0.95371,0.93118,0.9809,0.65197,0.37236,0.39856,0.22645,0.00491567,0.00491567,0.00491567
27,328.322,0.40784,0.4052,0.17408,0.95154,0.92043,0.97834,0.67004,0.35011,0.38701,0.20856,0.00490883,0.00490883,0.00490883
28,340.11,0.38959,0.40215,0.17792,0.95522,0.91757,0.96173,0.62717,0.39349,0.40595,0.25336,0.00490173,0.00490173,0.00490173
29,351.788,0.40133,0.40247,0.17189,0.93105,0.91183,0.95954,0.56975,0.44757,0.41396,0.29141,0.00489437,0.00489437,0.00489437
30,363.605,0.40979,0.40284,0.17619,0.94889,0.87839,0.94752,0.586,0.43479,0.4112,0.28361,0.00488674,0.00488674,0.00488674
31,375.235,0.36374,0.39739,0.16101,0.95799,0.88275,0.96015,0.62675,0.39107,0.41275,0.24059,0.00487886,0.00487886,0.00487886
32,386.828,0.40924,0.39912,0.16801,0.91312,0.90415,0.96101,0.56757,0.44536,0.43956,0.26646,0.00487073,0.00487073,0.00487073
33,398.413,0.39237,0.39495,0.16817,0.94012,0.91161,0.96953,0.59186,0.42709,0.42731,0.26484,0.00486233,0.00486233,0.00486233
34,411.369,0.40795,0.40123,0.16334,0.93776,0.93978,0.97976,0.6317,0.38975,0.40937,0.24272,0.00485368,0.00485368,0.00485368
35,423.15,0.38975,0.39126,0.17006,0.95185,0.93529,0.9812,0.6488,0.3719,0.40114,0.23067,0.00484477,0.00484477,0.00484477
36,434.806,0.38353,0.3938,0.16498,0.95513,0.90323,0.96779,0.5841,0.43365,0.42697,0.27826,0.00483561,0.00483561,0.00483561
37,446.312,0.38172,0.39102,0.16269,0.9333,0.90278,0.95294,0.6308,0.39038,0.41296,0.25103,0.0048262,0.0048262,0.0048262
38,457.956,0.3993,0.39559,0.16894,0.93313,0.92258,0.96287,0.60358,0.41434,0.42489,0.26208,0.00481653,0.00481653,0.00481653
39,469.926,0.37004,0.38972,0.15859,0.94938,0.92772,0.97064,0.62678,0.39293,0.40953,0.24467,0.00480661,0.00480661,0.00480661
40,481.482,0.37298,0.38688,0.15492,0.95253,0.94409,0.98152,0.66721,0.35287,0.39455,0.20512,0.00479644,0.00479644,0.00479644
41,493.361,0.34973,0.38236,0.15886,0.95201,0.92688,0.97249,0.63775,0.38032,0.40861,0.22856,0.00478603,0.00478603,0.00478603
42,505.019,0.35698,0.38604,0.14987,0.95479,0.90843,0.97345,0.63965,0.3796,0.4113,0.23505,0.00477536,0.00477536,0.00477536
43,516.925,0.33359,0.37792,0.15472,0.96542,0.89677,0.97238,0.65435,0.36902,0.40579,0.22019,0.00476445,0.00476445,0.00476445
44,528.503,0.35318,0.3767,0.15475,0.96304,0.89663,0.97014,0.63899,0.37644,0.41907,0.22719,0.00475329,0.00475329,0.00475329
45,540.092,0.33404,0.37394,0.14223,0.94267,0.91613,0.97193,0.62817,0.39578,0.42371,0.24334,0.00474189,0.00474189,0.00474189
