epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9801,0.66279,2.14982,0.34133,0.04197,0.23226,0.03201,0.01572,0.60826,1.22253,0.34627,0.00075,0.00075,0.08575
2,31.8783,0.54749,1.12199,0.24139,0.30541,0.38925,0.24941,0.1418,0.6027,1.05596,0.39184,0.00154991,0.00154991,0.0705499
3,44.8905,0.77681,0.64946,0.34207,0.74906,0.58417,0.6475,0.25821,0.75372,0.59012,0.39544,0.00234943,0.00234943,0.0553494
4,57.303,0.81254,0.4744,0.31806,0.76829,0.73548,0.69042,0.24529,0.76621,0.46219,0.35674,0.00314827,0.00314827,0.0401483
5,68.7302,0.66191,0.45796,0.26347,0.87915,0.86452,0.87398,0.42192,0.59076,0.45259,0.29085,0.00394614,0.00394614,0.0249461
6,80.4611,0.61587,0.42965,0.22865,0.89264,0.92688,0.95672,0.67204,0.34088,0.41399,0.17518,0.00474275,0.00474275,0.00974275
7,92.3072,0.33725,0.38515,0.13474,0.93504,0.91398,0.9522,0.654,0.36627,0.42133,0.19362,0.00498902,0.00498902,0.00498902
8,104.102,0.284,0.36372,0.11987,0.91144,0.91183,0.93779,0.62743,0.41209,0.43751,0.20653,0.00498505,0.00498505,0.00498505
9,116.096,0.30476,0.36078,0.12154,0.93345,0.9351,0.97515,0.75788,0.26104,0.35698,0.14878,0.00498048,0.00498048,0.00498048
10,127.917,0.26975,0.34126,0.10818,0.90134,0.93118,0.96771,0.72989,0.28701,0.36193,0.16724,0.00497531,0.00497531,0.00497531
11,144.075,0.29852,0.35939,0.11646,0.96012,0.88009,0.96913,0.61142,0.39898,0.43275,0.19421,0.00496953,0.00496953,0.00496953
12,155.572,0.31372,0.35964,0.11865,0.90707,0.94463,0.97444,0.69281,0.32578,0.38835,0.1733,0.00496315,0.00496315,0.00496315
13,167.108,0.31782,0.35984,0.11922,0.89873,0.9543,0.97681,0.73976,0.27484,0.35668,0.15013,0.00495616,0.00495616,0.00495616
14,178.96,0.27107,0.33892,0.10828,0.94152,0.92903,0.98016,0.74705,0.27185,0.36052,0.14615,0.00494858,0.00494858,0.00494858
15,194.679,0.27161,0.33589,0.10454,0.95412,0.93909,0.98196,0.75155,0.27466,0.34662,0.14915,0.00494039,0.00494039,0.00494039
16,206.119,0.26989,0.33503,0.10544,0.97067,0.92528,0.98231,0.75399,0.26638,0.34775,0.1427,0.00493162,0.00493162,0.00493162
17,218.354,0.31703,0.36314,0.11796,0.94654,0.95187,0.98327,0.73881,0.28096,0.36134,0.15137,0.00492224,0.00492224,0.00492224
18,233.591,0.25263,0.32498,0.09973,0.93485,0.95663,0.98186,0.75574,0.26845,0.35493,0.14594,0.00491228,0.00491228,0.00491228
19,247.43,0.26093,0.33068,0.10316,0.95264,0.90848,0.97145,0.75769,0.2625,0.3542,0.1474,0.00490173,0.00490173,0.00490173
20,263.23,0.23661,0.31599,0.09527,0.9585,0.92258,0.97811,0.74216,0.28567,0.36564,0.15642,0.00489059,0.00489059,0.00489059
21,275.913,0.24136,0.31687,0.09518,0.9584,0.93118,0.97762,0.69513,0.33066,0.39847,0.17462,0.00487886,0.00487886,0.00487886
22,289.734,0.24705,0.31831,0.09819,0.95642,0.94399,0.9849,0.76518,0.25785,0.34115,0.14225,0.00486656,0.00486656,0.00486656
23,305.56,0.21702,0.29796,0.08826,0.94382,0.95484,0.98382,0.74047,0.2891,0.36243,0.15745,0.00485368,0.00485368,0.00485368
24,317.395,0.23135,0.30975,0.08825,0.95836,0.93333,0.98137,0.73518,0.29111,0.3627,0.15846,0.00484022,0.00484022,0.00484022
25,328.913,0.24516,0.31779,0.09296,0.94198,0.94271,0.9772,0.75173,0.28336,0.34968,0.15391,0.0048262,0.0048262,0.0048262
26,340.515,0.27128,0.33376,0.09861,0.94603,0.94239,0.98065,0.77496,0.25659,0.34258,0.14204,0.0048116,0.0048116,0.0048116
27,356.245,0.24761,0.31706,0.09488,0.95581,0.93333,0.98324,0.78081,0.25036,0.33976,0.13586,0.00479644,0.00479644,0.00479644
28,368.243,0.2167,0.29634,0.08488,0.91954,0.93978,0.97608,0.73146,0.3027,0.37856,0.16011,0.00478072,0.00478072,0.00478072
29,379.694,0.23742,0.31136,0.08973,0.92359,0.96182,0.98064,0.75686,0.27471,0.36082,0.15387,0.00476445,0.00476445,0.00476445
30,390.993,0.23246,0.30705,0.09022,0.94899,0.94194,0.98322,0.76034,0.26357,0.35393,0.14901,0.00474762,0.00474762,0.00474762
31,405.074,0.21472,0.29413,0.08414,0.9466,0.95298,0.98365,0.75818,0.27693,0.35142,0.15318,0.00473024,0.00473024,0.00473024
32,417.557,0.21876,0.29871,0.08498,0.95376,0.94409,0.98765,0.74556,0.28048,0.36619,0.14788,0.00471232,0.00471232,0.00471232
33,429.353,0.22619,0.30477,0.08434,0.95841,0.94194,0.98229,0.6518,0.37348,0.43483,0.1772,0.00469386,0.00469386,0.00469386
