epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,19.041,1.19055,1.28788,0.72946,0.00194,0.15484,0.00331,0.00061,1.57773,1.12434,2.11976,0.00015,0.00015,0.08515
2,32.1915,0.7751,1.09534,0.33858,0.0003,0.02366,0.00016,3e-05,1.65025,0.45891,3.16922,0.000308977,0.000308977,0.069309
3,44.8092,0.5205,1.26733,0.21475,0.05357,0.22581,0.03874,0.02044,0.95184,0.87099,0.81855,0.000466898,0.000466898,0.0534669
4,57.0988,0.30798,1.3488,0.12724,0.1016,0.29161,0.08623,0.05654,0.57453,1.14449,0.33067,0.000623763,0.000623763,0.0376238
5,69.5069,0.24443,1.31713,0.10732,0.18928,0.35699,0.17209,0.1129,0.38897,1.37044,0.22602,0.000779572,0.000779572,0.0217796
6,81.9103,0.25327,1.28821,0.10482,0.14238,0.35484,0.14275,0.09868,0.42391,1.15442,0.29231,0.000934325,0.000934325,0.00593432
7,94.179,0.2638,1.22207,0.11656,0.14643,0.5957,0.18395,0.12709,0.34057,1.14015,0.19543,0.0009802,0.0009802,0.0009802
8,106.589,0.31974,1.25006,0.15294,0.1509,0.3914,0.15815,0.10121,0.31518,1.21035,0.17298,0.0009769,0.0009769,0.0009769
9,118.629,0.3525,1.19938,0.16592,0.17086,0.73333,0.22169,0.09069,0.57555,1.14174,0.36307,0.0009736,0.0009736,0.0009736
10,131.06,0.3487,1.2115,0.1659,0.15614,0.73333,0.23794,0.13994,0.40459,1.17246,0.23541,0.0009703,0.0009703,0.0009703
11,143.63,0.25087,1.26579,0.10767,0.13762,0.50108,0.17441,0.1122,0.29265,1.33725,0.15553,0.000967,0.000967,0.000967
12,155.692,0.22775,1.15795,0.09632,0.26247,0.39949,0.24976,0.1658,0.39804,1.09596,0.23594,0.0009637,0.0009637,0.0009637
13,168.413,0.2224,0.82758,0.09716,0.52554,0.61075,0.49184,0.33082,0.37136,0.80294,0.23186,0.0009604,0.0009604,0.0009604
14,180.883,0.25897,0.81911,0.11417,0.25667,0.41584,0.24365,0.16807,0.36061,1.09073,0.21762,0.0009571,0.0009571,0.0009571
15,192.97,0.27739,1.04158,0.12279,0.31112,0.53118,0.3379,0.20855,0.38696,1.04935,0.23426,0.0009538,0.0009538,0.0009538
16,205.084,0.30336,1.10423,0.14117,0.29486,0.53978,0.29697,0.16452,0.44201,1.00414,0.25041,0.0009505,0.0009505,0.0009505
17,217.356,0.24673,1.00982,0.11169,0.30329,0.5957,0.3611,0.23353,0.38861,1.03765,0.24786,0.0009472,0.0009472,0.0009472
18,229.5,0.23239,0.87181,0.10216,0.29846,0.58925,0.34539,0.24115,0.39228,0.91695,0.23466,0.0009439,0.0009439,0.0009439
19,241.527,0.23018,0.72804,0.10265,0.61544,0.70753,0.66409,0.46865,0.37724,0.643,0.25431,0.0009406,0.0009406,0.0009406
20,254.423,0.22075,0.52041,0.10171,0.78845,0.77634,0.78393,0.55495,0.40415,0.51973,0.26955,0.0009373,0.0009373,0.0009373
21,266.957,0.21795,0.47162,0.09719,0.88362,0.82151,0.84106,0.5912,0.41817,0.43906,0.29085,0.000934,0.000934,0.000934
22,279.464,0.20437,0.3753,0.08779,0.88811,0.83643,0.83062,0.62058,0.37741,0.44977,0.2518,0.0009307,0.0009307,0.0009307
23,292.034,0.18179,0.32688,0.0794,0.90078,0.85903,0.84266,0.62311,0.36119,0.4765,0.21841,0.0009274,0.0009274,0.0009274
24,304.897,0.16611,0.33945,0.07281,0.81253,0.81505,0.76922,0.57698,0.36598,0.49134,0.23808,0.0009241,0.0009241,0.0009241
25,316.805,0.1644,0.33329,0.07214,0.91485,0.88387,0.87598,0.63353,0.3662,0.44313,0.22303,0.0009208,0.0009208,0.0009208
26,330.068,0.16542,0.2997,0.07313,0.93863,0.87312,0.89624,0.64647,0.35661,0.41848,0.23069,0.0009175,0.0009175,0.0009175
27,342.906,0.16245,0.32351,0.07175,0.81361,0.82151,0.80988,0.59363,0.41444,0.47035,0.286,0.0009142,0.0009142,0.0009142
28,354.902,0.15521,0.37823,0.06927,0.80557,0.83871,0.79683,0.58307,0.38531,0.46561,0.24169,0.0009109,0.0009109,0.0009109
29,366.736,0.15783,0.30734,0.06872,0.85253,0.85161,0.84555,0.61588,0.36629,0.48404,0.23648,0.0009076,0.0009076,0.0009076
30,378.909,0.15544,0.31896,0.06641,0.86378,0.87957,0.84153,0.62232,0.33705,0.45956,0.22133,0.0009043,0.0009043,0.0009043
31,391.039,0.14912,0.28587,0.06513,0.86455,0.86479,0.8276,0.62264,0.36156,0.45681,0.23216,0.000901,0.000901,0.000901
32,403.297,0.12504,0.26508,0.05537,0.83379,0.89032,0.8249,0.63027,0.33199,0.43817,0.2093,0.0008977,0.0008977,0.0008977
33,415.9,0.11406,0.25642,0.04822,0.862,0.86667,0.82813,0.62912,0.3641,0.43766,0.22537,0.0008944,0.0008944,0.0008944
34,428.157,0.11139,0.24151,0.0479,0.8824,0.82581,0.80701,0.59815,0.38435,0.49656,0.24521,0.0008911,0.0008911,0.0008911
35,440.198,0.13417,0.28223,0.05766,0.87552,0.87729,0.89129,0.64825,0.34871,0.45573,0.2178,0.0008878,0.0008878,0.0008878
36,452.942,0.12324,0.24396,0.05535,0.87823,0.85591,0.85592,0.65042,0.35271,0.49539,0.2363,0.0008845,0.0008845,0.0008845
37,465.818,0.11265,0.22995,0.04968,0.91306,0.88602,0.87177,0.67293,0.32779,0.41921,0.21023,0.0008812,0.0008812,0.0008812
38,478.732,0.10804,0.23807,0.04715,0.92464,0.73882,0.81149,0.61,0.36123,0.64073,0.22891,0.0008779,0.0008779,0.0008779
39,490.989,0.12327,0.30676,0.05317,0.89407,0.83498,0.82757,0.63625,0.3088,0.49725,0.17943,0.0008746,0.0008746,0.0008746
40,502.941,0.10647,0.23449,0.04581,0.92767,0.87097,0.86816,0.66736,0.33024,0.43261,0.19901,0.0008713,0.0008713,0.0008713
41,515.321,0.09572,0.20531,0.03964,0.90461,0.89892,0.8782,0.67745,0.3203,0.42749,0.19197,0.000868,0.000868,0.000868
42,528.162,0.08877,0.19004,0.03718,0.91684,0.87731,0.86537,0.67489,0.31838,0.45484,0.19651,0.0008647,0.0008647,0.0008647
43,540.314,0.08426,0.18648,0.03501,0.91403,0.89892,0.88596,0.69322,0.30309,0.45278,0.18351,0.0008614,0.0008614,0.0008614
44,553.179,0.07286,0.16558,0.03077,0.94513,0.89247,0.89272,0.69854,0.30378,0.43454,0.18412,0.0008581,0.0008581,0.0008581
45,566.031,0.07601,0.16602,0.03138,0.91003,0.88387,0.88485,0.67447,0.33354,0.45082,0.20509,0.0008548,0.0008548,0.0008548
46,578.306,0.07813,0.17752,0.03293,0.91017,0.89032,0.88975,0.67076,0.32721,0.48099,0.19757,0.0008515,0.0008515,0.0008515
47,590.66,0.08146,0.18907,0.03476,0.91923,0.88114,0.87762,0.67376,0.33865,0.44301,0.22476,0.0008482,0.0008482,0.0008482
48,602.824,0.0879,0.19411,0.03741,0.88632,0.89247,0.88212,0.66615,0.3353,0.45408,0.20877,0.0008449,0.0008449,0.0008449
49,615.002,0.09597,0.20574,0.04312,0.89524,0.84538,0.86614,0.64181,0.36453,0.50085,0.24032,0.0008416,0.0008416,0.0008416
