epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6356,0.69514,2.14292,0.37031,0.02127,0.21505,0.01713,0.00749,0.74026,1.12555,0.3747,0.00015,0.00015,0.08515
2,28.636,0.59774,1.21551,0.28599,0.06136,0.30968,0.05701,0.03487,0.45503,1.40459,0.25787,0.000308977,0.000308977,0.069309
3,41.3013,0.54972,1.16145,0.23281,0.27931,0.42422,0.25767,0.15052,0.44933,1.21041,0.23706,0.000466898,0.000466898,0.0534669
4,53.6988,0.62102,0.93396,0.24709,0.33189,0.50968,0.29667,0.11248,0.70775,0.90002,0.34069,0.000623763,0.000623763,0.0376238
5,65.0773,0.53186,0.8375,0.19934,0.78827,0.72688,0.76853,0.54856,0.33782,0.8107,0.17936,0.000779572,0.000779572,0.0217796
6,76.8425,0.45119,0.67765,0.17161,0.82802,0.78692,0.83469,0.58823,0.33521,0.62226,0.17474,0.000934325,0.000934325,0.00593432
7,88.6379,0.30551,0.52153,0.12706,0.87601,0.85085,0.88644,0.65205,0.30857,0.5092,0.16746,0.0009802,0.0009802,0.0009802
8,100.314,0.27997,0.39586,0.11835,0.94818,0.86237,0.93018,0.7103,0.27931,0.42796,0.16104,0.0009769,0.0009769,0.0009769
9,112.215,0.23678,0.33601,0.10174,0.94223,0.88387,0.95223,0.73919,0.27018,0.39344,0.1538,0.0009736,0.0009736,0.0009736
10,124.088,0.21615,0.30936,0.09346,0.96996,0.87957,0.96004,0.75476,0.25772,0.37772,0.14474,0.0009703,0.0009703,0.0009703
11,166.083,0.20573,0.2937,0.08778,0.96775,0.90347,0.96082,0.77006,0.25342,0.36137,0.14252,0.000967,0.000967,0.000967
12,177.55,0.19172,0.2802,0.08144,0.96743,0.8942,0.9626,0.76683,0.24369,0.3995,0.13791,0.0009637,0.0009637,0.0009637
13,188.934,0.18227,0.26778,0.07688,0.96781,0.90108,0.96593,0.77075,0.24682,0.37863,0.14004,0.0009604,0.0009604,0.0009604
14,200.645,0.17027,0.25957,0.07194,0.96141,0.91091,0.9675,0.77492,0.24621,0.37085,0.13769,0.0009571,0.0009571,0.0009571
15,212.353,0.16737,0.25351,0.06953,0.97425,0.89494,0.96839,0.7695,0.24901,0.37383,0.14433,0.0009538,0.0009538,0.0009538
16,223.509,0.15928,0.24691,0.06761,0.94326,0.92955,0.96966,0.77433,0.24372,0.36506,0.13531,0.0009505,0.0009505,0.0009505
17,235.301,0.1516,0.23678,0.06347,0.96581,0.91114,0.97325,0.76883,0.24606,0.37426,0.14259,0.0009472,0.0009472,0.0009472
18,247.249,0.14653,0.23134,0.06081,0.96569,0.90784,0.96955,0.77157,0.25433,0.36566,0.14402,0.0009439,0.0009439,0.0009439
19,258.569,0.14015,0.22503,0.05861,0.93729,0.93213,0.96629,0.76375,0.25588,0.38261,0.1471,0.0009406,0.0009406,0.0009406
20,270.263,0.13487,0.21797,0.05626,0.9293,0.93548,0.96875,0.76622,0.25993,0.3758,0.14854,0.0009373,0.0009373,0.0009373
21,281.658,0.12846,0.21242,0.05444,0.94721,0.92473,0.97133,0.7693,0.25475,0.3654,0.14384,0.000934,0.000934,0.000934
22,293.165,0.12812,0.21288,0.05259,0.94625,0.92688,0.96707,0.76536,0.25521,0.374,0.14475,0.0009307,0.0009307,0.0009307
23,304.338,0.12145,0.20548,0.05015,0.95095,0.92258,0.96573,0.7689,0.24843,0.37178,0.13812,0.0009274,0.0009274,0.0009274
24,315.781,0.11563,0.19964,0.04814,0.94347,0.93326,0.97208,0.77258,0.25002,0.37161,0.14022,0.0009241,0.0009241,0.0009241
25,327.175,0.11184,0.19347,0.04689,0.94362,0.93578,0.97398,0.76875,0.25801,0.36992,0.1458,0.0009208,0.0009208,0.0009208
